DRG,DRG Description , Average Charge 
300,PERIPHERAL VASCULAR DISORDERS W CC," $7,480.69 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC," $6,275.00 "
303,ATHEROSCLEROSIS W/O MCC," $5,657.83 "
305,HYPERTENSION W/O MCC," $7,375.50 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC," $13,989.08 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC," $9,377.18 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC," $8,141.34 "
312,SYNCOPE & COLLAPSE," $9,685.28 "
313,CHEST PAIN," $7,241.54 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC," $10,196.88 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC," $14,373.00 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC," $12,310.60 "
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC"," $16,044.00 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC," $39,038.60 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC," $28,610.69 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," $20,617.26 "
335,PERITONEAL ADHESIOLYSIS W MCC," $59,901.00 "
336,PERITONEAL ADHESIOLYSIS W CC," $19,010.00 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC," $21,913.04 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC," $18,883.65 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $19,480.03 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC," $15,645.58 "
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC," $37,498.00 "
346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC," $20,528.50 "
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC," $10,494.00 "
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC," $52,902.50 "
354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC," $11,138.17 "
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC," $7,610.63 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC," $34,020.65 "
369,MAJOR ESOPHAGEAL DISORDERS W CC," $7,459.00 "
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC," $8,730.63 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC," $11,252.42 "
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC," $6,807.33 "
375,DIGESTIVE MALIGNANCY W CC," $10,005.25 "
377,G.I. HEMORRHAGE W MCC," $17,245.76 "
378,G.I. HEMORRHAGE W CC," $10,655.78 "
379,G.I. HEMORRHAGE W/O CC/MCC," $8,194.13 "
381,COMPLICATED PEPTIC ULCER W CC," $9,903.50 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC," $8,757.50 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC," $6,930.25 "
386,INFLAMMATORY BOWEL DISEASE W CC," $5,641.50 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC," $3,566.00 "
388,G.I. OBSTRUCTION W MCC," $14,007.58 "
389,G.I. OBSTRUCTION W CC," $9,774.69 "
390,G.I. OBSTRUCTION W/O CC/MCC," $8,755.52 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"," $8,046.83 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"," $8,532.60 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC," $12,181.15 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC," $9,990.33 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC," $7,803.83 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC," $17,322.32 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC," $10,135.31 "
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC," $13,719.50 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC," $27,091.95 "
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC," $14,402.50 "
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC," $12,440.75 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC," $13,288.50 "
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC," $15,932.10 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC," $41,866.00 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC," $11,631.00 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC," $10,094.94 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC," $7,807.59 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC"," $15,645.45 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC"," $10,398.87 "
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC"," $5,762.75 "
444,DISORDERS OF THE BILIARY TRACT W MCC," $18,503.50 "
445,DISORDERS OF THE BILIARY TRACT W CC," $15,606.08 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC," $5,349.75 "
518,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM," $12,193.63 "
535,FRACTURES OF HIP & PELVIS W MCC," $5,247.70 "
536,FRACTURES OF HIP & PELVIS W/O MCC," $8,336.00 "
540,OSTEOMYELITIS W CC," $6,450.50 "
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC," $11,247.83 "
548,SEPTIC ARTHRITIS W MCC," $27,113.45 "
552,MEDICAL BACK PROBLEMS W/O MCC," $9,171.03 "
554,BONE DISEASES & ARTHROPATHIES W/O MCC," $9,625.50 "
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC," $8,632.50 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC"," $9,108.00 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"," $6,816.70 "
572,SKIN DEBRIDEMENT W/O CC/MCC," $9,310.88 "
592,SKIN ULCERS W MCC," $4,747.00 "
593,SKIN ULCERS W CC," $10,327.00 "
602,CELLULITIS W MCC," $6,699.65 "
603,CELLULITIS W/O MCC," $9,454.96 "
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC"," $23,185.50 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC"," $11,527.50 "
637,DIABETES W MCC," $12,717.39 "
638,DIABETES W CC," $13,434.59 "
639,DIABETES W/O CC/MCC," $8,020.00 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"," $15,861.95 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"," $7,602.83 "
643,ENDOCRINE DISORDERS W MCC," $15,001.00 "
682,RENAL FAILURE W MCC," $12,203.67 "
683,RENAL FAILURE W CC," $9,935.20 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC," $26,866.00 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC," $8,185.85 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC," $8,338.23 "
695,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC," $25,998.60 "
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC," $7,804.00 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC," $9,410.50 "
700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC," $15,597.00 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC," $4,712.80 "
739,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC"," $13,485.27 "
742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC," $16,770.40 "
743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," $12,275.73 "
746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC"," $27,019.95 "
747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC"," $6,267.00 "
748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES," $9,168.50 "
749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC," $35,023.45 "
754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC"," $13,949.50 "
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC"," $5,655.30 "
761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC," $6,043.33 "
765,CESAREAN SECTION W CC/MCC," $12,073.33 "
766,CESAREAN SECTION W/O CC/MCC," $12,040.87 "
767,VAGINAL DELIVERY W STERILIZATION &/OR D&C," $10,593.88 "
769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE," $6,249.90 "
770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"," $7,073.17 "
774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES," $8,564.98 "
775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," $7,322.55 "
776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE," $6,108.75 "
777,ECTOPIC PREGNANCY," $11,875.33 "
778,THREATENED ABORTION," $6,331.65 "
779,ABORTION W/O D&C," $2,531.75 "
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," $4,399.89 "
782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS," $2,905.90 "
795,NORMAL NEWBORN, $795.50 
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC," $16,552.50 "
809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC," $16,565.85 "
810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC," $10,217.65 "
811,RED BLOOD CELL DISORDERS W MCC," $11,236.24 "
812,RED BLOOD CELL DISORDERS W/O MCC," $7,324.69 "
813,COAGULATION DISORDERS," $7,249.38 "
816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC," $16,069.50 "
818,"P,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROCEDURE"," $7,160.50 "
832,"P,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROCEDURE"," $4,623.00 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC," $23,019.87 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC," $27,191.73 "
862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC," $26,766.00 "
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC," $3,477.15 "
864,FEVER," $6,468.11 "
866,VIRAL ILLNESS W/O MCC," $5,891.75 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC," $25,160.84 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC," $13,824.45 "
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS," $13,073.83 "
881,DEPRESSIVE NEUROSES," $5,013.50 "
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY," $5,750.13 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC," $9,434.10 "
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC," $25,578.10 "
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC," $5,345.14 "
923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC"," $5,588.90 "
939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC," $11,784.66 "
940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC," $11,103.92 "
941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC," $12,387.80 "
947,SIGNS & SYMPTOMS W MCC," $11,725.00 "
948,SIGNS & SYMPTOMS W/O MCC," $7,843.41 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC," $9,118.15 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC," $10,610.70 "
