Description, Total Price 
"HB 1ST SIBLING CLASS, PATIENT PAY", $10.00 
HB 1ST/SBSQ PSYCH COLLAB CARE MGMT EA ADDL 30 MINS, $125.00 
HB 2.5CM DISK W 4OMM HOLE BIOPATCH DRESS, $18.00 
HB 20 G AQUASONIC 100 US TRANSMISSION GEL, $3.00 
HB 20 GUAGE X 16 CM 22 MM PEN BX INSTRUMENT, $79.00 
"HB 20 GUAGE X 16CM, 22MM BIOPSY INSTRUMNT", $94.00 
HB 20 GUAGE X 20 22MM PEN BX INSTRUMENT, $79.00 
"HB 20/20 PENS, PP", $2.00 
HB 20FR 7-10 BALLOON GAST FEED TUBE, $89.00 
HB 20GX10CM 22MM PENETRATION, $79.00 
HB 21 GA DIAGNOSTIC NEEDLE FOR ACCUSTICK II, $17.00 
HB 24 FR 7-10 AQUALINER GUIDEWIRE 3MMJ, $385.00 
HB 26ML CHLORAPREP HI LITE ORANGE, $19.00 
HB 2MMX11MM DISPOSE CYTOLOGY BRUSH, $27.00 
HB 30 CM CONNECTING TUBE W/STOCKCOCK, $27.00 
HB 30 MIN MASSAGE PACKAGE - 6 VISITS (PT PAY), $190.00 
"HB 30 X 36 MED EAZY COVER, WITH ELASTIC BAND", $19.00 
"HB 30"" PERMA-HAND SILK SUTURE", $3.00 
HB 3D IMAGE POST-PROCESSING INDEPENDENT WORK STATION, $417.00 
HB 3M DRESSING LITE, $11.00 
HB 44 X 31 IN TIBURON BRACHIAL ANGIOGRAPHY DRAPE, $9.00 
HB 48 IN 900 PSI MERIT CLEAR PVC CONTRAST INJ TUBING, $8.00 
HB 48 IN FLUID ADM SET W/VENT SPIKE LRG TUBING, $8.00 
HB 48 IN FLUID ADMIN SET W/NON VENTED SPIKE LG TUBE, $8.00 
HB 4FR MICRO INTR KIT NITINOL, $78.00 
HB 4FR S/L SHERLOCK PICC NURSING KIT, $660.00 
HB 4FR X 15CM NTRODUCER KIT BARIATRIC STIFFEN, $177.00 
HB 4M DISPOSABLE TUBING (DP 30 DISPENSER), $140.00 
HB 4X SILVER WALTERS 109-732, $40.00 
HB 5 1/2CARDINAL KELLY HEMOSTAT CURVED, $7.00 
"HB 5 FR IMPULSE ANGIO DIAG CATH, FR4 125CM SINGLE", $50.00 
HB 5 FR X 90CM BEACON TIP .035 IN GUIDEWIRE, $227.00 
HB 500-700 1ML CONTOUR PREFILLED SYRING," $4,341.00 "
HB 500-700 2ML CONTOUR SE MICROSPHERES PREFILLED SYRINGE, $764.00 
HB 500ML TRUCLOSE SUCTION DRAINAGE W/EMPTY PORT, $90.00 
"HB 5FR 110CM PERFORMA DIAG CATHETER, STRAIGHT CARDIAC PIGTAIL 5 SD PORTS", $78.00 
HB 5FR D/L SHERLOCK PICC NURSING KIT, $756.00 
HB 5FR X 40 CM SLIP CATH BEACON TIP CATH, $112.00 
HB 5FR X 60 CM COOK SPEC TURBO JECTPICC SET, $303.00 
HB 5FRX 140CM SOFT-VU CATH NON BRAID 0.038IN GUIDEWIRE, $240.00 
HB 6 MONTH CORE, $350.00 
HB 6 MONTH CORE PROGRAM, $630.00 
HB 6 MONTH METABOLIC/ WM PRG PHASE 2, $300.00 
HB 6 MONTH METABOLIC/WM PROGRAM ESTAB PT, $500.00 
HB 6 MONTH METABOLIC/WM PROGRAM NEW PATIENT," $1,200.00 "
HB 6 MONTH METABOLIC/WM PROGRAM NEW PT," $1,800.00 "
"HB 6FR 100CM PERFORMA DIAG CATHETER, PROGRESSIVE RIGHT CORONARY NON BRAIDED", $84.00 
HB 6MM X6MM  AMPLATZER DUCT OCCLUDER II SJM," $12,300.00 "
HB 6X SILVER WALTERS 109-732, $40.00 
HB 7600 TOOL TVI BOSTON LVL 1, $51.00 
HB 7FR X 13 SAFESHEATH ULTRA, $156.00 
HB 84IN X 112IN CONVERTOR FERMORAL ANGIO DRAPE, $19.00 
HB 8F SOUNDSTAR ECO ULTRASOUND MAPPING CATHETER LVL 32," $7,950.00 "
HB A/E STOCKING/SLEEVE LVL 2, $108.00 
HB ABDOMINAL  PARACENTESIS W GUIDANCE, $750.00 
HB ABIOMED ARTIFICIAL HEART," $50,000.00 "
HB ABIOMED PER DIEM," $4,500.00 "
HB ABLATE L/R ATRIAL FIBRIL W/ ISOLATED PULM VEIN," $1,179.00 "
HB ABLATION AV NODE," $4,950.00 "
HB ABRASION EACH ADDN 4 OR LESS, $15.00 
HB ABRASION LESION SINGLE, $85.00 
HB ABSORB ENEVELOPE (MEDTRONIC)," $2,685.00 "
HB AC CORD GO GEAR, $105.00 
"HB ACCESS SYSTEM, SINGLE CURVE LVL 16"," $3,150.00 "
HB ACCESSORY HAND CNTRL KIT LVL 1, $51.00 
HB ACCESSORY KIT, $315.00 
HB ACCESSORY MAX TRACK, $20.00 
HB ACCESSORY TOOL TUNNELING PACK, $500.00 
HB ACCESSORY TORQMAX SHEATH GRIP, $735.00 
HB ACCU-DISC UNIT PRESSURE MONITOR, $207.00 
HB ACNE SURGERY, $85.00 
HB ACOUSTIC IMMITTANCE TEST, $85.00 
HB ACOUSTIC REFLEX TEST THRESHLD, $18.00 
HB ACTC ELECTRODE," $3,285.00 "
HB ACTION (10% DISC), $42.00 
HB ACTION (15% DISC), $40.00 
HB ACTION (50% DISC), $24.00 
HB ACTION (FULL PRICE), $47.00 
HB ACTISORB DRESSING, $180.00 
HB ACTIVITY THERAPY >45M PER SESSION, $100.00 
HB ACUPUNCT FOLLOW UP 20%OFF (PT PAY), $70.00 
HB ACUPUNCT INITIAL VISIT 20%OFF (PT PAY), $111.00 
HB ACUPUNCT W/ ELEC STIMUL 15 MIN, $44.00 
HB ACUPUNCT W/ ELEC STIMUL ADDL 15M, $44.00 
HB ACUPUNCT W/O ELEC STIMUL 15 MIN, $44.00 
HB ACUPUNCT W/O ELEC STIMUL ADDL 15M, $44.00 
"HB ACUPUNCTURE FOR SMOKING CESSATION, 5 SESSIONS (PT PAY)", $40.00 
HB ACUPUNCTURE PACKAGE - 3 VISITS (PT PAY), $245.00 
HB ACUPUNCTURE PACKAGE - 6 VISITS (PT PAY), $440.00 
HB ADAPT CONVEX RING 1-3/6, $11.00 
"HB ADAPT/EXT, PACING/NEURO LEAD", $209.00 
HB ADAPTER ESCP LTXFR KLNSPC FBRO, $800.58 
HB ADAPTER MODEL-MEDI GATEWAY LVL  6, $675.00 
HB ADAPTER MODEL-MEDI GATEWAY+ 10PK, $64.00 
"HB ADAPTIC TOUCH 3"" X 4 1/2""", $11.00 
"HB ADAPTIVE BEHAV TRTMT, 15 MINS  TECH PT FACE TO FACE", $48.00 
HB ADAPTOR EXTENDER KIT, $240.00 
HB ADAPTOR/EXTENSTION LEAD LVL 10," $1,350.00 "
HB ADAPTOR/EXTENSTION LEAD LVL 2, $108.00 
HB ADAPTOR/EXTENSTION LEAD LVL 3, $225.00 
HB ADAPTOR/EXTENSTION LEAD LVL 8, $975.00 
HB ADDITION TO SPINAL ORTHOSIS LVL 2, $108.00 
HB ADDITION TO SPINAL ORTHOSIS LVL 7, $825.00 
HB ADDITIONAL SELECTIVE VENOGRAPHY S & I”, $900.00 
"HB ADDN, SOFT INTERFACE BELOW KNEE SECTION", $113.00 
"HB ADDRESS BOOK, PP", $22.00 
HB ADHESION BARRIER, $870.71 
HB ADHESIVE REMOVE 3.2 OZ, $11.00 
HB ADHESIVE SKIN CLOSURE, $60.00 
HB ADHESIVE SPRAY 3.2 OZ, $15.00 
"HB ADJ TISS XFER ANY AREA,30.1-60 SQCM", $850.00 
"HB ADJ TISS XFER ANY AREA,EA ADD 30.0 SQCM", $125.00 
"HB ADJ TISS XFER HEAD,FAC,HAND 10.1-30 SQCM", $750.00 
"HB ADJ TISS XFER LID,NOS,EAR <10 SQCM", $750.00 
"HB ADJ TISS XFER LID,NOS,EAR 10.1-30 SQCM", $750.00 
"HB ADJ TISS XFER SCALP,EXTREM <10 SQCM", $750.00 
"HB ADJ TISS XFER SCALP,EXTREM 10.1-30 SQCM", $750.00 
HB ADJ TISS XFER TRUNK <10 SQCM, $750.00 
HB ADJ TISS XFER TRUNK 10.1-30 SQCM, $750.00 
"HB ADJUST GASTRIC BAND DIAMETER, SUBCUT PORT BY INJ OR ASP OF SALINE", $125.00 
HB ADJUSTMENT GASTRIC BAND DIAMETER, $750.00 
HB ADM IV DRG FOR ANES W/SURG, $140.00 
HB ADM VACCINE PNEUMOCOCCAL, $29.00 
HB ADMIN IMMUN/INTRANASAL OR ORAL EACH AD, $17.00 
HB ADMIN IMMUNIZATION ADDL, $17.00 
"HB ADMIN IMMUNIZATION ADDL, THROUGH AGE 18, W COUNSEL", $24.00 
HB ADMIN OF FLU VACCINE, $22.00 
HB ADMIN OF IMMUN. 1 VACCINE, $29.00 
"HB ADMIN OF IMMUN. THROUGH AGE 18, W COUNSEL, 1 VACCINE", $38.00 
HB ADMIN VACCINE HEPATITIS B, $29.00 
"HB ADMIN, FLU VACCINE INTRANASAL", $17.00 
HB ADVANCED CARE PLANNING 1ST 30 MINUTES, $71.00 
HB ADVANCED CARE PLANNING EA ADD'L 30 MINS, $48.00 
HB AEROSOL INHAL PENTAMIDINE, $625.00 
"HB AFO, WALK BOOT TYPE, CUSTOM FABRICATED"," $4,215.00 "
HB AFX BIFURCATED STENT GRAFT ENDOLOGIX," $34,740.00 "
HB AGA AMPLAZER," $2,400.00 "
HB AIR-STIRRUP UNIV CARE KIT, $53.00 
HB AIRWAY PRESSURE BIPAP INITIAL," $2,200.00 "
HB AIRWAY PRESSURE BIPAP SUBQ," $2,200.00 "
HB AIRWAY PRESSURE CPAP INITIATE & MGMT, $350.00 
HB AIRWAY RESIST BY IMPULSE OSCILLOMTRY, $155.00 
HB ALARM ADAPTER HEARTWARE, $825.00 
HB ALLERGEN IMMUNOTHERAPY; 2 OR MORE INJECTIONS, $42.00 
HB ALLERGEN IMMUNOTHERAPY; SINGLE INJECTION, $51.00 
HB ALLERGY DROPS SUBLINGUAL, $50.00 
HB ALLERGY INHAL BRONCH CHALLNGE TEST, $180.00 
HB ALLERGY INTRADERMAL TEST PER TEST, $15.00 
HB ALLERGY PATCH/APPLICTN TEST PER TEST, $14.00 
HB ALLERGY PHOTO PATCH TEST PER TEST, $18.00 
HB ALLERGY PHOTO TESTS, $135.00 
HB ALLERGY PREP/PROV 5 INSECT VENOM, $115.00 
HB ALLERGY SUPV/PREP WHL BODY EXTRACT, $22.00 
"HB ALLIANCE II, 60ML INFLATION SYRINGE", $90.00 
"HB ALLIGATOR FORCEPS, COOK 3.3F X 115CM"," $2,500.00 "
"HB ALLODERM, PER SQ CM", $813.00 
"HB ALLOGENEIC BONE MARROW ACQ CHG, SIMPLE"," $16,445.00 "
"HB ALLOGENEIC BONE MRR ACQ CHG,COMPLEX"," $30,745.00 "
HB ALLOGENEIC COLLECTION (>1 DAY OR IPD)," $16,445.00 "
HB ALLOPLASTIC ORBITAL IMPLANT SUPRAFOIL 0.4 MM THICKNESS," $1,947.00 "
HB ALLRGY INTRADRML DELAY REACT PER TEST, $71.00 
"HB ALLRGY PERC & INTRACUT W/DRGS/BIOLS, EA TST", $43.00 
"HB ALLRGY PERC & INTRACUT W/VENOMS, EA TST", $16.00 
HB ALLRGY PREP/PROV 2 INSECT VEN, $69.00 
HB ALLRGY PREP/PROV 3 INSECT VEN, $132.00 
HB ALLRGY PREP/PROV 4 INSECT VEN, $202.00 
HB ALLRGY PREP/PRV 1 INSECT VEN, $69.00 
HB ALLRGY RPD DESENSITIZATION PROC, $92.00 
HB ALLRGY SKIN TEST (SCRTCH/PRICK) IMM REACT PER TEST, $13.00 
HB ALT STAGED LASER, $850.00 
HB AMB BP MONITR >24HR RECORD ONLY, $225.00 
HB AMB BP MONITR SCAN ANAL & RPT, $116.00 
HB AMB GLUC MONTR >72 HR, $450.00 
HB AMICA MICROWAVE ABLATION PROBE," $6,885.00 "
HB AMNIOCENTESIS DIAGNOSTIC, $250.00 
HB AMNIOCENTESIS THERAPEUTIC, $250.00 
HB AMNIOTIC MEMBRANE GRAFT," $2,300.00 "
HB AMPLATZER DUCT OCCLUDER," $5,391.00 "
HB AMPLATZER SIZING BALLOON II, $894.00 
HB AMPLATZER TORQVUE DEL SYS," $2,208.00 "
"HB AMPLATZER TORQVUE DELIVERY SYSTEM, 10FR X 80CM"," $1,050.00 "
HB AMPLATZER VASCULAR PLUG," $2,850.00 "
HB AMPLATZER VASCULAR PLUG II," $2,496.00 "
HB AMPUTATE FINGER/THUMB SINGL-W FLAPS, $850.00 
HB AMPUTATION FINGER/THUMB, $850.00 
HB AMPUTATION LOW LEG THRU TIB/FIB," $4,957.00 "
HB AMPUTATION TOE INTERPHALANGEAL JOINT, $950.00 
HB AMPUTATION TOE METATARSOPHALANGEAL JOINT, $950.00 
HB AMYVID PER STUDY DOSE," $7,300.00 "
HB ANAL/URINARY MUSCLE STUDY, $125.00 
HB ANALYZE INFUSN PUMP+REPROGRAM, $125.00 
HB ANCHOR CATH  6-8.5FR SMALL UNI, $32.00 
HB ANCHR/SCREW/PLATE/NAIL/PIN BN TO BN LVL 14," $2,550.00 "
HB ANCHR/SCREW/PLATE/NAIL/PIN BN TO BN LVL 3, $225.00 
HB ANES EPIDURAL 1ST 30 MIN, $660.00 
HB ANES EPIDURAL ADD 15 MINS, $125.00 
HB ANES GEN INTENSIVE 1ST 30 MIN, $725.00 
HB ANES GEN INTENSIVE ADD 15 MINS, $225.00 
HB ANES GENERAL 1ST 30 MIN, $660.00 
HB ANES GENERAL ADD 15 MINS, $125.00 
HB ANES LOCAL ANESTHESIA - OBSTET, $330.00 
HB ANES LUMBAR OR THORAC BILAT," $1,400.00 "
HB ANES LUMBAR OR THORAC LT, $700.00 
HB ANES LUMBAR OR THORAC RT, $700.00 
HB ANES MAC 1ST 30 MIN, $660.00 
HB ANES MAC DEEP 1ST 30 MIN, $660.00 
HB ANES MAC DEEP ADD 15 MINS, $65.00 
HB ANES MAC EA ADDL 15 MINS, $125.00 
HB ANES OPEN HEART 1ST 30 MIN, $850.00 
HB ANES OPEN HEART ADD 15 MINS, $161.00 
HB ANES REGIONAL BLOCK 1ST 30 MIN, $550.00 
HB ANES REGIONAL BLOCK ADD 15 MINS, $105.00 
HB ANES SPINAL 1ST 30 MIN, $660.00 
HB ANES SPINAL ADD 15 MINS, $125.00 
HB ANES TOPICAL, $43.00 
HB ANES TOP-LOCAL ANESTHESIA, $4.00 
HB ANESTHESIA - COSMETIC, $22.00 
HB ANESTHESIA/EQUIP/SUPPLY 1ST 1/2HR, $660.00 
HB ANESTHESIA/EQUIP/SUPPLY EA ADTL 15MINS, $125.00 
HB ANGIOCATH SPECIAL GRAY 16GX3-1, $45.00 
HB ANGIODYNAMICS 6.6 F TITANIUM LOW PROFILE SMART PORT, $675.00 
HB ANGIODYNAMICS 6.6F LOW PROFILE SMART PORT, $645.00 
HB ANGIOGRAPHY ILIAC DURING CATH, $450.00 
"HB ANGIOGRAPHY, EXT, BIL, RAD. S&I"," $1,690.00 "
HB ANGIOGRAPHY-EXT UNIL RADIOL S&I," $2,770.00 "
HB ANGIOMAT ILLUMENA SYRINGE W/HANDIFILL," $1,200.00 "
HB ANGIOVAC CANNULA," $34,500.00 "
HB ANGIOVAC VORTEX W/CIRCUIT," $29,000.00 "
HB ANKLE BIMAL FX CLSD TRT-W MAN, $350.00 
HB ANKLE BIMAL FX CLSD TRT-WO MAN, $175.00 
HB ANKLE DISLOC CLSD TRT-WO ANES, $175.00 
HB ANKLE FOOT LE POSTIER MOLD, $440.25 
HB ANKLE TRIMAL FX CLSD TRT-W MAN, $350.00 
HB ANKLE TRIMAL FX CLSD TRT-WO MAN, $175.00 
HB ANLYS COCHLR IMPLT >7Y-INITL, $338.00 
HB ANLYS COCHLR IMPLT >7Y-SUBS, $247.00 
HB ANNUAL DEPRESSION SCREENING 15 MINUTES, $48.00 
"HB ANNUAL WELLNESS MEDICARE VISIT, INITIAL", $290.00 
"HB ANNUAL WELLNESS MEDICARE VISIT, SUBSEQUENT", $142.00 
HB ANODE REPLACEMENT PART KIT," $1,275.00 "
HB ANORECTAL MANOMETRY TEST, $650.00 
HB ANOSCOPY W BIOPSY SINGLE/MULTIPLE, $450.00 
"HB ANOSCOPY,REMOVE FOREIGN BODY", $801.00 
HB ANTERIOR SEG PHOTO-BILAT, $164.00 
HB ANTERIOR THORACIC EXTENSION, $330.00 
HB ANTI ROTATION WEDGE, $25.00 
HB AORTIC EXTENSION," $13,038.00 "
"HB AORTOGRAPHY, ABD. PLUS BILILIOFEM"," $2,149.00 "
HB APERATURE SLEEVE, $47.00 
HB APHASIA ASSESSMENT WITH INTERPRETATION AND REPORT, $231.00 
HB APHASIA ASSMT PER HR, $225.00 
HB APLIGRAF PER SQ CM, $116.00 
HB APLIGRAFT WOUND MATRIX, $118.00 
HB APOLLO MICRO CATHETER," $11,970.00 "
"HB APPL BODY CAST, SHOULDER TO HIPS", $246.00 
HB APPL CAST FIGURE OF EIGHT, $153.00 
HB APPL FINGER SPLINT DYNAMIC, $85.00 
HB APPL FINGER SPLINT STATIC, $85.00 
"HB APPL HI COST, SK-SUB  FACE,GENITALIA,HANDS,FEET >/= 100 SQ CM", $850.00 
"HB APPL HI COST, SK-SUB 1ST TRNK 100CM-1ST 25CM", $750.00 
"HB APPL HI COST, SK-SUB FACE 1ST 25SQCM UPTO 100SQCM", $750.00 
"HB APPL HI COST, SK-SUB FACE,GENITALIA,HANDS,FEET, ADDL 25SQCM", $125.00 
"HB APPL HI COST, SK-SUB TRNK >= 100CM-EA ADL 100CM", $125.00 
"HB APPL HI COST, SK-SUB TRNK 1ST 100CM-ADL 25CM", $125.00 
"HB APPL HI COST,SK-SUB FACE,GENITALIA,HANDS,FEET, >= 100CM-EA ADL 100CM", $125.00 
"HB APPL HI COST,SK-SUB TRNK  >= 100CM-1ST 100CM", $850.00 
HB APPL HIP SPICA CAST 1 & 1 HALF SPICA OR BOTH LEGS, $246.00 
"HB APPL LO COST SKIN SKIN SUBS TRNK, ADDL. 100SQ CM", $125.00 
"HB APPL LO COST SKIN SUBS TRNK >= 100, 1ST 100 SQCM", $850.00 
"HB APPL LO COST SKIN SUBS TRNK UP TO 100SQ CM, 1ST 25", $750.00 
"HB APPL LO COST SKIN SUBS TRUNK, ADDL 25 SQCM", $125.00 
"HB APPL LO COST, SK-SUB  FACE,GENITALIA,HANDS,FEET >/= 100 SQ CM", $850.00 
"HB APPL LO COST, SK-SUB FACE 1ST 25SQCM UPTO 100SQCM", $750.00 
"HB APPL LO COST, SK-SUB FACE,GENITALIA,HANDS,FEET, ADDL 25SQCM", $125.00 
"HB APPL LO COST,SK-SUB FACE,GENITALIA,HANDS,FEET, >= 100CM-EA ADL 100CM", $125.00 
HB APPL LONG ARM SPLINT, $125.00 
HB APPL LONG LEG SPLINT, $125.00 
HB APPL OF PATELLAR TENDON BEARING (PTB) CAST, $125.00 
HB APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION, $85.00 
HB APPL SHORT ARM SPLINT DYNAMIC, $125.00 
HB APPL SHORT ARM SPLINT STATIC, $125.00 
HB APPL SHORT LEG SPLINT, $125.00 
HB APPL SHOULDER SPICA, $246.00 
HB APPLICATOR PREP CHLORAPREP, $10.00 
HB APPLIER INTNLCLP 235CM 11MM OP, $480.00 
HB APPLY CAST FINGER, $125.00 
HB APPLY CAST HIP SPICA 1 LEG, $175.00 
HB APPLY CAST LONG LEG, $175.00 
HB APPLY CAST RIGID-LEG CAST, $175.00 
HB APPLY CAST SHORT LEG, $175.00 
HB APPLY CAST THIGH TO ANKLE, $175.00 
HB APPLY CAST WALKER-LONG LEG, $175.00 
HB APPLY CAST WALKER-SHORT LEG, $175.00 
HB APPLY CAST-ELBOW TO FINGER, $175.00 
HB APPLY CAST-HAND TO FOREARM, $125.00 
HB APPLY CAST-SHOULDER TO HAND, $175.00 
HB APPLY CLUBFFOT CAST, $125.00 
HB APPLY COMPRESSN SYSTEM LEG BELOW KNEE, $350.00 
HB APPLY FINGER SPLINT DYNAMIC, $435.00 
HB APPLY MULITLAYER COMPRESS SYS UPARM LWARM HAND/FINGER, $125.00 
HB APPLY THUMB SPICA CAST, $124.00 
HB APPLY/REMOVE CRANIAL FIX DEV, $750.00 
HB APPLY/REMOVE HALO CRANIAL," $1,250.00 "
"HB APRIMA ACCESS NONVASC INRD SET CHIBA NEEDLE,SS", $231.00 
HB AQUACEL WITH IONIC SILVER, $180.00 
"HB AR COATING - ADD ON, PT PAY", $110.00 
HB ARM SLING (OPTIME), $12.00 
HB ARM SLING ALL SIZES, $4.00 
HB ARROW CVC CATH KIT, $361.00 
HB ARROW PERCU. THROMBOLYTIC DEVICE 5FR X 65CM, $602.00 
HB ARTERIAL CATHETERIZATION, $670.00 
HB ARTERIAL NEEDLE, $4.00 
"HB ARTERIAL STENT, XCRANIAL VERTEBRAL/ THORACIC CAROTID, 1ST VESSEL"," $10,540.00 "
HB ARTHROCENTESIS INT JNT, $175.00 
HB ARTHROCENTESIS MAJOR JNT, $125.00 
"HB ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, JOINT/BURSA W/ULTRASOUND", $175.00 
HB ARTHROGRAM TRAY, $29.00 
HB ARTIFICIAL HEART- SYNCARDIA," $375,000.00 "
HB ARTIFICIAL INSEMINATION INTRA-CERVICAL, $125.00 
HB ARTIFICIAL INSEMINATION INTRA-UTERINE, $125.00 
"HB ARTIFICIAL INSEMINATION, INTRACERVICAL, PATIENT PAY", $125.00 
"HB ARTIFICIAL INSEMINATION, INTRAUTERINE, PATIENT PAY", $125.00 
HB ASP BLADDER BY NEEDLE, $274.00 
HB ASP BLADDER W/CATH INSERT," $1,550.00 "
HB ASPIRATE INJ GANGLION CYST, $175.00 
HB ASPIRATION BLADDER TROCAR/INTRACATHETER," $1,037.00 "
HB ASPIRATION BRST CYST EA ADL, $75.00 
HB ASPIRATION BRST CYST-1ST, $175.00 
HB ASPIRATION TUBING, $200.00 
HB ASSMT & CARE PLANNING PT W/COGNITIVE IMPAIRMENT, $150.00 
HB ATHERECTOMY W/DES W/ W/O ANGPLST; ADDL, $805.00 
HB ATHERECTOMY W/DIAG HEART CATH (BILL 92924)," $1,500.00 "
HB ATHRCTMY W/DES W/W/O ANGPLST;SGLW/DIAG," $3,500.00 "
HB ATHRCTMY W/STNT W/W/O ANGPLST;SGL W/ DIAG," $1,500.00 "
HB ATHROCENTESIS SMALL JNT, $125.00 
HB ATRIAL SEPTECTOMY BLAD METHOD INCL CARD CATH," $5,230.00 "
HB ATRIAL SEPTECTOMY TRANSVENOUS METHOD INCLD CARD CATH," $5,230.00 "
HB ATTACHABLE BLK.WHT & COLOR, $400.00 
HB AUD EVOKED POTENTIALS LIMITED, $195.00 
HB AUD SCREEN PURE TONE AIR ONLY, $149.00 
HB AUDIOMETRY-PURE TONE AIR ONLY, $46.00 
HB AUDIOMETRY-PURE TONE AIR/BONE, $75.00 
"HB AUTISM THERAPY BEHAVIOR, PER 15 MIN", $25.00 
HB AUTO NERV SYS FCT SUDOMOTOR, $240.00 
HB AUTO NRV SYS FCT CARDVG INRVTN, $175.00 
HB AUTO TRANSFUSION DISPOSABLE, $50.00 
HB AUTOPLEX MIXER W/BONE CEMENT STRYKER," $3,123.00 "
HB AUTOTRANSFUSION, $300.00 
HB AUTOTRANSFUSION EA ADDL 1/2, $396.00 
HB AUTOTRANSFUSION FEE, $690.00 
HB AUTOTRANSFUSION STANDBY, $160.00 
HB AVULSION NAIL PLATE EA ADL, $15.00 
"HB AVULSION NAIL PLATE, SINGLE", $125.00 
HB BAG AMBU, $100.00 
HB BAG DRAINAGE DISPOSABLE, $90.00 
HB BAG FECAL, $16.00 
HB BAG FECAL DIGNISHIELD COLLECTION STOOL SYS LATEX FREE REUSABLE, $11.00 
HB BAG PRESSURE, $60.00 
HB BAG URINARY, $10.00 
HB BALLOON CATHETER 5.0MM X 10MM SHAFT 80CM," $2,400.00 "
HB BALLOON CATHETER 6.0MM X 10MM SHAFT 80CM," $2,400.00 "
"HB BALLOON CATHETER 7.0 MM X 10MM, SHAFT 80CM"," $2,400.00 "
HB BALLOON CATHETER ANGIOGRAPHIC, $168.00 
HB BALLOON DILATE URTRL STRICTURE, $740.00 
HB BALL-TIPPED TAPERED STYLET, $96.00 
HB BARD 13 GAUGE COAXIAL NEEDLE, $49.00 
HB BARD BX DEVICE, $96.00 
HB BARD CO-AXIAL 18GX10CM, $36.00 
HB BARD MEMOTHERM X-LG STNT LVL27," $6,450.00 "
