Charge Description Master, Charge 
ABLATION RADIOFREQUENCY BONE TUMOR INCLUDING IMAGING GUIDANCE," 6,474.00 "
ABLATION REMAINING ATRIAL FIBRILLATION AFTER PULMONARY VEIN ISOLATION ADD-ON," 4,805.00 "
ABLATION SPONTANEOUS/INDUCED ARRHYTHMIA AFTER PRIMARY ABLATION ADD-ON," 4,373.00 "
ABLATION SUPRAVENTICULAR TACHYCARDIA W/ OR W/O HIS RECORDING & RIGHT ARTERIAL &  RIGHT VENTRICULAR PACING RECORDING," 32,802.00 "
ABLATION SUPRAVENTRICULAR TACHYCARDIA W/ OR W/O HIS RECORD RIGHT VENTRICULAR PACING/RECORD W/ OR W/O 3D MAPPING & LEFT VENTRICULAR PACING/RECORD," 37,358.00 "
ABLATION THERAPY EXTREMITY PERCUTANEOUS LASER 1ST VEIN W/RADIOLOGICAL SUPERVISION & INTERPRETATION," 4,136.00 "
ABLATION THERAPY EXTREMITY PERCUTANEOUS RADIOFREQUENCY 1ST VEIN W/ RADIOLOGICAL SUPERVISION & INTERPRETATION," 4,221.00 "
ABLATION THERAPY PERCU LASER SUBSEQT VEINS ONE EXTREMITY W/RADIOLOGICAL SUPERVISION & INTERPRETATION," 3,154.00 "
ABLATION THERAPY PERCUTANEOUS RADIOFREQUENCY SUBSEQUENT VEIN ONE EXTREMITY," 2,689.00 "
ACCESS & CLOSURE FEMORAL ARTERY ENDOGRAFT PLACEMENT VIA SHEATH 12FR OR LARGER," 1,519.00 "
ACETAMINOPHEN 1 OR 2, 262.00 
ACID INFUSION FOR GASTRIN SUPPRESSION (BERNSTEIN TEST), 655.00 
ACNE SURGERY, 263.00 
ACOUSTIC IMMITTANCE TEST W/ TYMPANOMETRY/ACOUSTIC REFLEX/DECAY, 202.00 
ACUTE HEPATITIS PANEL, 229.00 
ADD TO LE ORTHO PER BAR/JOINT, 71.00 
ADJACENT TISSUE TRANSFER EYELIDS/NOSE/EARS/LIPS DEFECT 10 SQ CM OR LESS," 2,313.00 "
ADJACENT TISSUE TRANSFER EYELIDS/NOSE/EARS/LIPS DEFECT 10.1-30 SQ CM," 2,332.00 "
ADJACENT TISSUE TRANSFER/REARRANGEMENT," 2,043.00 "
ADJUST-A-LIFT HEEL LIFT, 94.34 
ADMINISTRATION HELICOBACTER PYLORI, 36.00 
ADRENOCORTICOTROPIC HORMONE (ACTH), 491.00 
AEROBIC BACTERIAL BLOOD CULTURE, 200.00 
AEROBIC BACTERIAL CULTURE ADDITIONAL IDENTIFICATION, 45.00 
AEROBIC BACTERIAL CULTURE STOOL, 33.00 
AEROBIC STOOL CULTURE ADDITIONAL PATHOGENS EACH PLATE, 45.00 
AEROSOL OR NEBULIZER TREATMENT, 275.00 
AFLIBERCEPT 1MG," 1,250.00 "
AGILE PATENCY CAPSULE TEST, 252.00 
AKA RRD," 1,124.00 "
ALBUMIN (HUMAN) 5% 250 ML, 159.00 
ALBUMIN QUANTITATIVE, 48.00 
ALBUMIN SERUM/PLASMA/WHOLE BLOOD, 54.00 
ALCOHOL/SUBSTANCE ABUSE ASSESSMENT & INTERVENTION >30 MINS, 122.00 
ALCOHOL/SUBSTANCE ABUSE ASSESSMENT & INTERVENTION 15-30 MINS, 68.00 
ALCOHOLS, 209.00 
ALDOSTERONE, 374.00 
ALKALINE PHOSPHATASE, 55.00 
ALLOGENEIC HEMATOPOIETIC PROGENITOR CELL HARVESTING," 4,342.00 "
ALLOGENEIC LYMPHOCYTE INFUSION," 3,377.00 "
ALPHA-1 ANTITRYPSIN TOTAL, 65.00 
ALPHA-2 ANTIPLASMIN, 187.00 
ALPHA-FETOPROTEIN AMNIOTIC, 94.00 
ALPHA-FETOPROTEIN SERUM, 171.00 
ALVEOLOPLASTY EACH QUADRANT," 3,214.00 "
AMIKACIN, 113.00 
AMMONIA, 146.00 
AMNIO INFUSION, 319.00 
AMNIOCENTESIS DIAGNOSTIC, 849.00 
AMNIOCENTESIS THERAPEUTIC," 1,015.00 "
AMNIOTIC FLUID SPECTROPH, 348.00 
AMPHETAMINES 1 OR 2, 292.00 
AMPHETAMINES 3 OR 4, 292.00 
AMPHETAMINES 5 OR MORE, 292.00 
AMYLASE, 86.00 
ANAEROBIC BACTERIAL CULTURE W/ IDENTIFICATION, 72.00 
ANALYSIS & PROGRAMMING COMPLEX CRANIAL NERVE NEUROSTIMULATOR, 412.00 
ANALYSIS & PROGRAMMING COMPLEX SPINAL/PERIPH NEUROSTIMULATOR FIRST HOUR, 793.00 
ANALYSIS & PROGRAMMING NEUROSTIMULATOR SIMPLE SPINAL CORD/PERIPHERAL NERVE, 857.00 
ANALYSIS & PROGRAMMING OF AUDITORY BRAINSTEM IMPLANT PER HOUR, 241.00 
ANALYSIS & PROGRAMMING SIMPLE CRANIAL NERVE NEUROSTIMULATOR, 371.00 
ANALYSIS W/O PROGRAMMING NEUROSTIMULATOR BRAIN/SPINAL CORD/CRANIAL/PERIPHERAL/SACRAL NERVE, 238.00 
ANEROBIC BACTERIAL CULTURE ADDITIONAL IDENTIFICATION, 59.00 
ANESTHESIA FOR ELECTROCONVULSIVE THERAPY (ECT)," 1,484.00 "
ANESTHETIC INJECTION, 721.00 
ANGIOPLASTY FEMORAL/POPLITEALL ARTERY EACH VESSEL," 11,283.00 "
ANGIOPLASTY ILIAC ARTERY EACH ADDITIONAL VESSEL," 7,459.00 "
ANGIOPLASTY ILIAC ARTERY INITIAL VESSEL," 10,908.00 "
ANGIOPLASTY TIBIAL/PERONEAL ARTERY EACH ADDITIONAL VESSEL," 7,030.00 "
ANGIOPLASTY TIBIAL/PERONEAL ARTERY INITIAL VESSEL," 9,160.00 "
ANGIOTENSIN CONVERTING ENZYME (ACE) INSERTION/DELETION VARIANT, 639.00 
ANORECTAL MANOMETRY, 863.00 
ANOSCOPY DIAGNOSTIC, 156.00 
ANOSCOPY SUBMUCOSAL INJECTION OF BULKING AGENT FOR FECAL INCONTINENCE," 4,644.00 "
ANOSCOPY W/ BIOPSY," 1,610.00 "
ANOSCOPY W/ABLATION TUMOR(S)/POLYP(S) OR OTHER LESION(S)," 3,473.00 "
ANTERIOR SEGMENT EYE PROCEDURE UNLISTED, 233.00 
ANTIBODY ASPERGILLUS, 178.00 
ANTIBODY BLASTOMYCES, 129.00 
ANTIBODY COCCIDIOIDES, 160.00 
ANTIBODY CYTOMEGALOVIRUS, 210.00 
ANTIBODY CYTOMEGALOVIRUS IGM, 214.00 
ANTIBODY ELUTION RED BLOOD CELL EACH, 608.00 
ANTIBODY EPSTEIN BARR ANTIGEN EACH, 150.00 
ANTIBODY HELICOBACTER PYLORI, 65.00 
ANTIBODY HEPATITIS A, 49.00 
ANTIBODY HEPATITIS A IGM, 64.00 
ANTIBODY HEPATITIS B CORE IGM, 67.00 
ANTIBODY HEPATITIS B CORE TOTAL, 67.00 
ANTIBODY HEPATITIS B SURFACE, 61.00 
ANTIBODY HEPATITIS BE, 52.00 
ANTIBODY HEPATITIS C, 73.00 
ANTIBODY HERPES SIMPLEX TYPE 2, 138.00 
ANTIBODY HERPES SIMPLEX TYPE I, 151.00 
ANTIBODY HISTOPLASMA ANTIBODY, 141.00 
ANTIBODY HIV-1, 31.00 
ANTIBODY HIV-1/HIV-2, 151.00 
ANTIBODY HIV-2, 114.00 
ANTIBODY HTLV 1, 161.00 
ANTIBODY IDENTIFICATION PLATELET ANTIBODIES, 214.00 
ANTIBODY IDENTIFICATION RED BLOOD CELL EACH PANEL EACH TECHNIQUE, 490.00 
ANTIBODY LEGIONELLA, 68.00 
ANTIBODY LYME'S DISEASE, 97.00 
ANTIBODY MUMPS, 54.00 
ANTIBODY MYCOPLASMA, 76.00 
ANTIBODY RICHETTISIAE, 63.00 
ANTIBODY RUBELLA, 50.00 
ANTIBODY RUBEOLA, 77.00 
ANTIBODY SCREEN RED BLOOD CELL EACH SERUM TECHNIQUE, 308.00 
ANTIBODY SYPHILIS TEST NON-TREPONEMAL QUALITATIVE, 84.00 
ANTIBODY SYPHILIS TEST NON-TREPONEMAL QUANTITATIVE, 102.00 
ANTIBODY THYROGLOBULIN, 171.00 
ANTIBODY TITER, 191.00 
ANTIBODY TOXOPLASMA, 82.00 
ANTIBODY TOXOPLASMA IGM, 187.00 
ANTIBODY TREPONEMA PALLIDUM, 46.00 
ANTIBODY VARICELLA ZOSTER, 55.00 
ANTIBODY WESTERN BLOT, 96.00 
ANTIDEPRESSANTS SEROTONERGIC CLASS 1 OR 2, 81.00 
ANTIDEPRESSANTS TRICYCLIC 1 OR 2, 299.00 
ANTIEPILEPTICS NOT OTHERWISE SPECIFIED 1-3, 299.00 
ANTINUCLEAR ANTIBODY (ANA), 67.00 
ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 1-3, 299.00 
ANTISTREPTOLYSIN O (ASO) TITER, 36.00 
ANTITACHYCARDIA PACEMAKER ANALYSIS," 1,183.00 "
APHASIA ASSESSMENT PER HOUR, 551.00 
APHERESIS PLATELETS," 3,941.00 "
APHERESIS RED BLOOD CELLS," 3,843.00 "
APHERESIS WHITE BLOOD CELLS," 3,786.00 "
APPLICATION ACELLULAR DERMAL ALLOGRAFT, 426.00 
APPLICATION CONTACT LEG CAST, 407.00 
APPLICATION FULL THICKNESS SKIN GRAFT," 1,578.00 "
APPLICATION MULTI-LAYER WOUND COMPRESSION BELOW KNEE, 273.00 
APPLICATION ON BODY INJECTOR, 92.00 
APPLY HIGH COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND < 100 SQ CM EACH ADDITIONAL 25 SQ CM, 135.00 
APPLY HIGH COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND < 100 SQ CM FIRST 25 SQ CM," 2,308.00 "
APPLY HIGH COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND >100 SQ CM EACH ADDITIONAL 100 SQ CM, 747.00 
APPLY HIGH COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND >100 SQ CM FIRST 100 SQ CM," 2,539.00 "
APPLY HIGH COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA <= 100 SQ CM EACH ADDITIONAL 25 SQ CM, 135.00 
APPLY HIGH COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA <= 100 SQ CM FIRST 25 SQ CM," 2,308.00 "
APPLY HIGH COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA =>100 SQ CM EACH ADDITIONAL100 SQ CM, 747.00 
APPLY HIGH COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA =>100 SQ CM FIRST 100 SQ CM," 3,948.00 "
APPLY LOW COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND < 100 SQ CM EACH ADDITIONAL 25 SQ CM, 251.00 
APPLY LOW COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND < 100 SQ CM FIRST 25 SQ CM, 720.00 
APPLY LOW COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND >100 SQ CM EACH ADDITIONAL 100 SQ CM, 276.00 
APPLY LOW COST SKIN SUBSTITUTE (FACE/NE/HND/FT/GEN) TOTAL WOUND >100 SQ CM FIRST 100 SQ CM," 2,051.00 "
APPLY LOW COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA <= 100 SQ CM EACH ADDITIONAL 25 SQ CM, 255.00 
APPLY LOW COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA <= 100 SQ CM FIRST 25 SQ CM, 720.00 
APPLY LOW COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA >100 SQ CM EACH ADDITIONAL 100 SQ CM, 281.00 
APPLY LOW COST SKIN SUBSTITUTE (TRUNK/ARM/LEG) AREA >100 SQ CM FIRST 100 SQ CM," 2,486.00 "
AQUATIC THERAPY EACH 15 MINS BY ATHLETIC TRAINER, 122.00 
AQUATIC THERAPY EACH 15 MINS BY OCCUPATIONAL THERAPIST, 122.00 
AQUATIC THERAPY EACH 15 MINS BY PHYSICAL THERAPIST, 122.00 
AQUATIC THERAPY EACH 15 MINS BY RECREATIONAL THERAPIST, 122.00 
ARRHYTHMIA INDUCTION BY ELECTRICAL PACING," 1,347.00 "
ARTERIAL CATHETERIZATION PERCUTANEOUS, 224.00 
ARTERIAL PUNCTURE BLOOD FOR DIAGNOSIS, 156.00 
ARTHROCENTESIS JOINT/BURSA INTERMEDIATE W/ ULTRASOUND GUIDANCE, 802.00 
ARTHROCENTESIS JOINT/BURSA INTERMEDIATE W/O ULTRASOUND GUIDANCE, 517.00 
ARTHROCENTESIS JOINT/BURSA MAJOR W/ ULTRASOUND GUIDANCE, 886.00 
ARTHROCENTESIS JOINT/BURSA MAJOR W/O ULTRASOUND GUIDANCE, 435.00 
ARTHROCENTESIS JOINT/BURSA SMALL W/ ULTRASOUND GUIDANCE," 1,111.00 "
ARTHROCENTESIS JOINT/BURSA SMALL W/O ULTRASOUND GUIDANCE, 376.00 
ARTHROGRAPHY ANKLE, 673.00 
ARTHROGRAPHY ELBOW, 746.00 
ARTHROGRAPHY HIP, 673.00 
ARTHROGRAPHY KNEE, 673.00 
ARTHROGRAPHY SHOULDER, 673.00 
ARTHROGRAPHY TEMPORAL MANDIBULAR JOINT, 375.00 
ARTHROGRAPHY WRIST, 753.00 
ASPIRA_1L DRAINAGE, 84.00 
ASPIRA_DRESSING KIT, 63.00 
ASPIRA_LUE ADAPTER, 63.00 
ASPIRA_PLEURAL STARTER KIT," 1,650.00 "
ASPIRA_REPAIR KIT, 63.00 
ASPIRA_UNIV TUBING ADPTR, 63.00 
ASPIRATION ANTERIOR CHAMBER," 2,455.00 "
ASPIRATION THYROID CYST, 837.00 
ASPIRATION VITREOUS/SUBRETINAL/CHOROIDAL FLUID," 4,231.00 "
ASPIRATION/DRAINAGE LYMPHOCELE UPPER ARM, 213.00 
ASPIRATION/DRAINAGE LYMPHOCELE UPPER LEG, 213.00 
ASPIRATION/INJECTION BONE CYST," 1,337.00 "
ASPIRATION/INJECTION GANGLION CYST, 371.00 
ASPIRATION/INJECTION RENAL CYST/PELVIS PERCUTANEOUS," 1,464.00 "
ASSAY SIROLIMUS, 79.00 
ASSESSMENT OF TINNITUS, 228.00 
ASSISTIVE TECHNOLOGY ASSESSMENT AND/OR FABRICATION PER HOUR, 310.00 
ASSISTIVE TECHNOLOGY ASSESSMENT DIRECT EACH 15 MINS BY OCCUPATIONAL THERAPIST, 107.00 
ASSISTIVE TECHNOLOGY ASSESSMENT DIRECT EACH 15 MINS BY PHYSICAL THERAPIST, 107.00 
ATHERECTOMY & STENT INSERTION FEMORAL/POPLITEAL ARTERY EACH VESSEL UNILATERAL," 35,676.00 "
ATHERECTOMY & STENT INSERTION TIBIAL/PERONEAL ARTERY EACH ADDITIONAL VESSEL UNILATERAL," 14,025.00 "
ATHERECTOMY & STENT INSERTION TIBIAL/PERONEAL ARTERY INITIAL VESSEL UNILATERAL," 19,784.00 "
ATHERECTOMY ABDOMINAL AORTA OPEN OR PERCUTANEOUS," 16,400.00 "
ATHERECTOMY BRACHIOCEPHALIC TRUNK & BRANCHES OPEN OR PERCUTANEOUS," 16,400.00 "
ATHERECTOMY FEMORAL/POPLITEAL ARTERY EACH VESSEL UNILATERAL," 18,368.00 "
ATHERECTOMY ILIAC ARTERY OPEN OR PERCUTANEOUS W/ RADIOLOGICAL SUPERVISION & INTERPRETATION," 13,940.00 "
ATHERECTOMY RENAL ARTERY OPEN OR PERCUTANEOUS W/ RADIOLOGICAL SUPERVISION & INTERPRETATION," 16,400.00 "
ATHERECTOMY TIBIAL/PERONEAL ARTERY EACH ADDITIONAL VESSEL UNILATERAL," 12,466.00 "
ATHERECTOMY TIBIAL/PERONEAL ARTERY INITIAL VESSEL UNILATERAL," 18,400.00 "
ATHERECTOMY W/ OR W/O ANGIOPLASTY EACH ADDITIONAL BRANCH OF MAJOR ARTERY," 6,752.00 "
ATHERECTOMY W/ OR W/O ANGIOPLASTY SINGLE MAJOR ARTERY/BRANCH," 12,170.00 "
ATRIAL ELECTROGRAM ESOPHAGEAL RECORDING," 1,672.00 "
ATRIAL ELECTROGRAM ESOPHAGEAL RECORDING W/ PACING," 1,839.00 "
AUDIOMETRY THRESHOLD EVALUATION W/ SPEECH RECOGNITION, 217.00 
AUDITORY EVOKED RESPONSE COMPREHENSIVE, 780.00 
AUDITORY EVOKED RESPONSE LIMITED, 489.00 
AUTOLOGOUS BLOOD PREDEPOSITED, 317.00 
AUTOLOGOUS HEMATOPOIETIC PROGENITOR CELL HARVESTING," 5,406.00 "
AUTOMATED RETICULOCYTE COUNT, 60.00 
AUTONOMIC NERVOUS TESTING CARDIOVAGAL INNERVATION, 579.00 
AUTONOMIC NERVOUS TESTING SUDOMOTOR, 660.00 
AUTONOMIC NERVOUS TESTING VASOMOTOR, 636.00 
AUTO-TRANSFUSION CELL WASH SERVICES," 4,248.00 "
AVULSION NAIL PLATE EACH ADDITIONAL, 122.00 
AVULSION NAIL PLATE SINGLE, 250.00 
BACLOFEN 50 MCG FOR TRIAL, 219.63 
BACTERIAL CULTURE OTHER SOURCE, 194.00 
BACTERIAL CULTURE QUANTITATIVE AEROBIC, 208.00 
BALLOON ANGIOPLASTY INTRACRANIAL PERCUTANEOUS," 10,631.00 "
BALLOON DILATION BILIARY DUCT/AMPULLA PERCUTANEOUS W/ IMAGING GUIDANCE EACH DUCT," 3,175.00 "
BALLOON DILATION INTRACRANIAL VASOSPASM EACH ADDITIONAL VESSEL DIFFERENT FAMILY," 1,080.00 "
BALLOON DILATION INTRACRANIAL VASOSPASM EACH ADDITIONAL VESSEL SAME FAMILY," 1,080.00 "
BALLOON DILATION INTRACRANIAL VASOSPASM INITIAL VESSEL," 1,350.00 "
BALLOON DILATION URETERAL STRICTURE W/ IMAGING GUIDANCE," 2,577.00 "
BARBITURATES, 292.00 
BAROSTIM NEO LEGACY HUD IPG_H130007," 78,000.00 "
BAROSTIM NEO LEGACY HUD LEAD REPAIR KIT_H130007," 10,800.00 "
BASIC RADIATION DOSIMETRY CALCULATION," 1,091.00 "
B-CELLS TOTAL COUNT, 130.00 
BCR/ABL QUANTITATIVE T(9:22)," 1,184.00 "
BCR/ABL1 (9:22) MAJOR BREAKPOINT," 1,098.00 "
BCR/ABL1 (9:22) MINOR BREAKPOINT," 1,098.00 "
BCR/ABL1 (9:22) OTHER BREAKPOINT, 752.00 
BEHAVIORAL AND QUALITATIVE ANALYSIS OF VOICE AND RESONANCE, 476.00 
BENZODIAZEPINES 1-12, 292.00 
BENZODIAZEPINES 13 OR MORE, 292.00 
BETA-2 GLYCOPROTEIN I ANTIBODY EACH, 80.00 
BETA-2 MICROGLOBULIN, 235.00 
BETAMETHAZONE ACET 3MG & SOD PHOS 3MG, 93.50 
BEVACIZUMAB INJECTION 0.25MG, 76.00 
BFO PREMOLDED FOOT INSERT EACH, 85.16 
BILIARY ENDOSCOPY PERCUTANEOUS DIAGNOSTIC," 3,754.00 "
BILIARY ENDOSCOPY PERCUTANEOUS W/ BIOPSY," 3,853.00 "
BILIARY ENDOSCOPY PERCUTANEOUS W/ DILATION W/ STENT," 6,295.00 "
BILIARY ENDOSCOPY PERCUTANEOUS W/ DILATION W/O STENT," 3,754.00 "
BILIRUBIN DIRECT, 50.00 
BILIRUBIN TOTAL, 59.00 
BIOFEEDBACK ANORECTAL OR URETHRAL, 204.00 
BIOFEEDBACK TRAINING ANY MODALITY BY OCCUPATIONAL THERAPIST, 82.00 
BIOFEEDBACK TRAINING ANY MODALITY BY PHYSICAL THERAPIST, 82.00 
BIOFEEDBACK TRAINING ANY MODALITY BY SPEECH THERAPIST, 82.00 
BIOIMPEDANCE CARDIOVASCULAR ANALYSIS, 325.00 
BIOIMPEDANCE SPECTROSCOPY (BIS), 290.00 
BIOIMPEDANCE WHOLE BODY, 358.00 
BIOPSY ABDOMINAL/RETROPERITONELA MASS PERCUTANEOUS," 3,110.00 "
BIOPSY ANORECTAL WALL ANAL APPROACH," 3,397.00 "
BIOPSY BONE TROCAR/NEEDLE DEEP," 1,944.00 "
BIOPSY BONE TROCAR/NEEDLE SUPERFICIAL," 1,458.00 "
BIOPSY BREAST INCISIONAL," 3,989.00 "
BIOPSY BREAST NEEDLE CORE W/O GUIDANCE," 1,944.00 "
BIOPSY CERVIX, 998.00 
BIOPSY CONJUNCTIVA," 2,623.00 "
BIOPSY ENDOMETRIUM W/O DILATION, 288.00 
BIOPSY ENDOMYOCARDIAL," 5,171.00 "
BIOPSY EXTERNAL AUDITORY CANAL," 3,073.00 "
BIOPSY EXTERNAL EAR, 678.00 
BIOPSY FLOOR OF MOUTH," 1,944.00 "
BIOPSY INCISIONAL EYELID INCLUDING LID MARGIN, 394.00 
BIOPSY INTRANASAL," 1,651.00 "
BIOPSY LIVER NEEDLE PERCUTANEOUS," 2,262.00 "
BIOPSY LIVER NEEDLE W/ OTHER PROCEDURE," 2,409.00 "
BIOPSY LUNG MEDIASTINUM PERCUTANEOUS NEEDLE," 3,438.00 "
BIOPSY LYMPH NODE NEEDLE SUPERFICIAL," 1,944.00 "
BIOPSY MOUTH OR NOSE," 1,305.00 "
BIOPSY MUSCLE PERCUTANEOUS NEEDLE," 2,137.00 "
BIOPSY NASOPHARYNX VISIBLE LESION SIMPLE," 3,214.00 "
BIOPSY OF LIP, 344.00 
BIOPSY OR EXCISION LYMPH NODE SUPERFICIAL OPEN," 3,989.00 "
BIOPSY OROPHARYNX," 3,214.00 "
BIOPSY PALATE OR UVULA," 1,651.00 "
BIOPSY PANCREAS PERCUTANEOUS," 2,025.00 "
BIOPSY PENIS," 1,982.00 "
BIOPSY PLEURA PERCUTANEOUS NEEDLE," 1,944.00 "
BIOPSY PROSTATE NEEDLE/PUNCH ANY APPROACH," 2,336.00 "
BIOPSY RENAL PERCUTANEOUS," 1,944.00 "
BIOPSY SALIVARY GLAND NEEDLE," 1,080.00 "
BIOPSY SOFT TISSUE ALL SITES," 1,673.00 "
BIOPSY SOFT TISSUE NECK THORAX," 2,093.00 "
BIOPSY SOFT TISSUE SUPERFICIAL OR NEEDLE CORE," 1,152.00 "
BIOPSY TESTIS INCISIONAL," 3,631.00 "
BIOPSY TESTIS NEEDLE," 3,388.00 "
BIOPSY THYROID PERCUTANEOUS NEEDLE CORE," 1,109.00 "
BIOPSY TONGUE ANTERIOR 2/3," 1,326.00 "
BIOPSY TONGUE NEEDLE/PUNCH, 153.00 
BIOPSY TONGUE POSTERIOR 1/3," 3,214.00 "
BIOPSY URETER/RENAL PELVIS ENDOLUMINAL NON-ENDOSCOPIC W/ IMAGING GUIDANCE," 2,248.00 "
BIOPSY URETHRA," 3,631.00 "
BIOPSY VAGINA SIMPLE, 857.00 
BIOPSY VAGINAL MUCOSA EXTENSIVE," 3,484.00 "
BIOPSY VESTIBULE MOUTH, 770.00 
BIOPSY VULVA OR PERINEUM EACH ADDITIONAL LESION, 715.00 
BIOPSY VULVA OR PERINEUM FIRST LESION, 851.00 
BKA RRD, 857.00 
BLADDER ASPIRATION W/ INSERTION SUPRAPUBIC CATHETER," 2,336.00 "
BLADDER INSTILLATION ANTICARCINOGENIC AGENT," 1,661.00 "
BLADDER IRRIGATION, 580.00 
BLEDSOE KNEE ORTHOSIS," 1,246.14 "
BLEPHAROPLASTY LOWER EYELID," 2,721.00 "
BLEPHAROPLASTY LOWER EYELID WITH EXTENSIVE HERNIATED FAT PAD," 3,598.00 "
BLEPHAROPLASTY UPPER EYELID," 2,545.00 "
BLEPHAROPLASTY UPPER EYELID WITH EXCESSIVE SKIN," 2,833.00 "
BLINK REFLEX TESTING, 207.00 
BLOOD COUNT BY SMEAR W/ MANUAL DIFFERENTIAL WHITE BLOOD CELL COUNT, 21.00 
BLOOD DRAW ARTERIAL LINE, 83.00 
BLOOD GASES MIXED W/O OXYGEN SATURATION, 277.00 
BLOOD GASES OXYGEN SATURATION ONLY, 52.00 
BLOOD GASES PH ONLY, 105.00 
BLOOD GASES W/ OXYGEN SATURATION, 218.00 
BLOOD OSMOLALITY, 91.00 
BLOOD PRESSURE MONITORING HOOK-UP =>24 HOURS, 343.00 
BLOOD PRESSURE MONITORING SCAN =>24 HOURS, 386.00 
BLOOD TYPING ABO ( BLOOD GROUPS), 156.00 
BLOOD TYPING ANTIGEN SCREEN W/ PATIENT SERUM, 57.00 
BLOOD TYPING ANTIGEN SCREEN W/ REAGENT SERUM, 317.00 
BLOOD TYPING RED BLOOD CELL NOT ABO/RH D, 317.00 
BLOOD TYPING RH D, 92.00 
BLOOD/LYMPH EXAM UNLISTED, 541.00 
BONE DENSITY STUDY AXIAL W/ VERTEBRAL FRACTURE ASSESMENT 1 OR MORE SITES, 655.00 
BONE MARROW ASPIRATION(S)," 1,944.00 "
BONE MARROW ASPIRATION(S) AND BIOPSY(IES)," 1,944.00 "
BONE MARROW BIOPSY(IES)," 1,944.00 "
