HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
LAK,0036030757,E&M-NP LVL I,$252.49,,,,,,,,,,,,,,,,,,,
LAK,0036058576,CHOL INHIB TST,$797.75,,,,,,,,,,,,,,,,,,,
LAK,0036059905,REFIL/MAINT PMP,$817.34,,,,,,,,,,,,,,,,,,,
LAK,0036059913,REFIL/MAINT PMP,$817.34,,,,,,,,,,,,,,,,,,,
LAK,0037035607,ANESTH INT 30M,"$1,983.15",,,,,,,,,,,,,,,,,,,
LAK,0037035615,ANESTH EA ADD15,$868.11,,,,,,,,,,,,,,,,,,,
LAK,0037091527,MOD SED INIT15,$294.79,,,,,,,,,,,,,,,,,,,
LAK,0037091535,MOD SED ADD15,$253.63,,,,,,,,,,,,,,,,,,,
LAK,0040000861,DFB AMPLIA,"$140,689.65",,,,,,,,,,,,,,,,,,,
LAK,0040000879,DFB AMPLIA,"$169,343.95",,,,,,,,,,,,,,,,,,,
LAK,0040000887,DFB AMPLIA,"$170,489.50",,,,,,,,,,,,,,,,,,,
LAK,0040000903,DFIB ATLAS+ HF,"$106,203.58",,,,,,,,,,,,,,,,,,,
LAK,0040000952,DFIB COGNIS HE,"$158,979.24",,,,,,,,,,,,,,,,,,,
LAK,0040000960,DFIB CONCERTO,"$136,948.03",,,,,,,,,,,,,,,,,,,
LAK,0040000978,DFIB COGNIS HE,"$149,980.58",,,,,,,,,,,,,,,,,,,
LAK,0040000986,DFB CONCERTO II,"$100,129.29",,,,,,,,,,,,,,,,,,,
LAK,0040000994,DFIB CONSULTA,"$108,331.42",,,,,,,,,,,,,,,,,,,
LAK,0040001042,DFIB CONFIENT,"$83,761.54",,,,,,,,,,,,,,,,,,,
LAK,0040001067,DFIB DC ATLSII,"$106,203.58",,,,,,,,,,,,,,,,,,,
LAK,0040001125,DFB DC ATLS HF$,"$122,850.27",,,,,,,,,,,,,,,,,,,
LAK,0040001141,DFIB DC ENTRUST,"$125,209.67",,,,,,,,,,,,,,,,,,,
LAK,0040001265,DFIB DC INTRNSC,"$123,532.78",,,,,,,,,,,,,,,,,,,
LAK,0040001323,DFIB DC LEXOS,"$111,794.41",,,,,,,,,,,,,,,,,,,
LAK,0040001596,DFIB DC OVATIO,"$136,948.03",,,,,,,,,,,,,,,,,,,
LAK,0040001612,DFB PROTECTA DR,"$83,340.10",,,,,,,,,,,,,,,,,,,
LAK,0040001620,DFIB PROTECTA,"$83,340.10",,,,,,,,,,,,,,,,,,,
LAK,0040001760,DFIB DC VNTK HE,"$95,025.31",,,,,,,,,,,,,,,,,,,
LAK,0040001786,DFIB DC VIRTUOS,"$116,969.35",,,,,,,,,,,,,,,,,,,
LAK,0040001828,DFIB DC VITALTY,"$120,178.94",,,,,,,,,,,,,,,,,,,
LAK,0040001851,DFIB DC VITALTY,"$120,178.94",,,,,,,,,,,,,,,,,,,
LAK,0040001877,DFIB ELLIPSE,"$113,560.06",,,,,,,,,,,,,,,,,,,
LAK,0040001935,DFIB FORTIFY,"$84,551.72",,,,,,,,,,,,,,,,,,,
LAK,0040001943,DFIB FORTIFY,"$75,232.34",,,,,,,,,,,,,,,,,,,
LAK,0040001950,DFIB FORTIFY,"$84,551.72",,,,,,,,,,,,,,,,,,,
LAK,0040001976,DFIB INCEPTA,"$87,587.92",,,,,,,,,,,,,,,,,,,
LAK,0040001984,DFIB INCEPTA,"$95,421.52",,,,,,,,,,,,,,,,,,,
LAK,0040001992,DFIB INCEPTA DR,"$73,379.14",,,,,,,,,,,,,,,,,,,
LAK,0040002032,DFIB SENTRY,"$149,576.80",,,,,,,,,,,,,,,,,,,
LAK,0040002040,DFB INVENTRA,"$131,174.21",,,,,,,,,,,,,,,,,,,
LAK,0040002057,DFIB SENTRY,"$145,089.44",,,,,,,,,,,,,,,,,,,
LAK,0040002065,DFIB LUMAX HF-T,"$124,134.78",,,,,,,,,,,,,,,,,,,
LAK,0040002073,DFIB LUMAX VR-T,"$86,117.13",,,,,,,,,,,,,,,,,,,
LAK,0040002081,DFIB LUMAX DR-T,"$72,771.46",,,,,,,,,,,,,,,,,,,
LAK,0040002131,DFIB LUMAX HF-T,"$134,018.60",,,,,,,,,,,,,,,,,,,
LAK,0040002156,DFIB LUMAX DR-T,"$122,972.69",,,,,,,,,,,,,,,,,,,
LAK,0040002206,DFI B MAXIMO II,"$91,927.76",,,,,,,,,,,,,,,,,,,
LAK,0040002222,DFIB PROMOTE RF,"$120,393.58",,,,,,,,,,,,,,,,,,,
LAK,0040002248,DFIB RENEWAL 3,"$122,920.70",,,,,,,,,,,,,,,,,,,
LAK,0040002321,DFIB RENEW 3 RF,"$135,861.39",,,,,,,,,,,,,,,,,,,
LAK,0040002958,DFIB SC ATLASII,"$79,349.60",,,,,,,,,,,,,,,,,,,
LAK,0040003022,DFIB SC ALTO,"$100,614.46",,,,,,,,,,,,,,,,,,,
LAK,0040003329,DFIB SC MAXIMO,"$99,495.98",,,,,,,,,,,,,,,,,,,
LAK,0040003519,DFIB SC VIRTUOS,"$106,763.68",,,,,,,,,,,,,,,,,,,
LAK,0040003527,DFIB SECURA DR,"$83,340.10",,,,,,,,,,,,,,,,,,,
LAK,0040003535,DFIB SECURA VR,"$76,907.85",,,,,,,,,,,,,,,,,,,
LAK,0040003550,DFIB TELIGEN VR,"$71,148.39",,,,,,,,,,,,,,,,,,,
LAK,0040003568,DFIB TELIGEN DR,"$80,047.60",,,,,,,,,,,,,,,,,,,
LAK,0040003584,DFIB UNIFY,"$102,726.42",,,,,,,,,,,,,,,,,,,
LAK,0040003592,DFIB UNIFY,"$92,910.43",,,,,,,,,,,,,,,,,,,
LAK,0040003626,IMP PCKET ADPTR,"$3,132.52",,,,,,,,,,,,,,,,,,,
LAK,0040003642,IMP REVEAL LINQ,"$22,945.12",,,,,,,,,,,,,,,,,,,
LAK,0040003667,LD ATTAIN UNIPL,"$11,893.83",,,,,,,,,,,,,,,,,,,
LAK,0040003675,LD ATTAIN 4196,"$11,894.17",,,,,,,,,,,,,,,,,,,
LAK,0040003683,LD ATTAIN PERFR,"$10,725.06",,,,,,,,,,,,,,,,,,,
LAK,0040003691,LD COROX OTW,"$9,693.99",,,,,,,,,,,,,,,,,,,
LAK,0040003717,LD COROX OTW,"$11,479.28",,,,,,,,,,,,,,,,,,,
LAK,0040003733,LD COROX OTW,"$11,726.61",,,,,,,,,,,,,,,,,,,
LAK,0040003741,LD COROX OTW,"$9,240.81",,,,,,,,,,,,,,,,,,,
LAK,0040003790,LD DFIB ACUITY,"$9,241.60",,,,,,,,,,,,,,,,,,,
LAK,0040003808,LD DFIB ACUITY,"$9,250.86",,,,,,,,,,,,,,,,,,,
LAK,0040003816,LD DFIB ACUITY,"$14,560.07",,,,,,,,,,,,,,,,,,,
LAK,0040003832,LD LINOX SD,"$19,411.62",,,,,,,,,,,,,,,,,,,
LAK,0040003857,LD LINOX TD,"$22,336.40",,,,,,,,,,,,,,,,,,,
LAK,0040003865,LD DFIB DURATA,"$35,263.70",,,,,,,,,,,,,,,,,,,
LAK,0040003873,LD DFIB DURATA,"$33,267.61",,,,,,,,,,,,,,,,,,,
LAK,0040003931,LD QUICKFLEX,"$15,804.08",,,,,,,,,,,,,,,,,,,
LAK,0040003949,LD QUICKFLEX,"$15,804.08",,,,,,,,,,,,,,,,,,,
LAK,0040003980,LD PM CAPSR SEN,"$2,675.86",,,,,,,,,,,,,,,,,,,
LAK,0040004004,LD PM DEXTRUS,"$2,782.94",,,,,,,,,,,,,,,,,,,
LAK,0040004012,LD PM DEXTRUS,"$2,925.00",,,,,,,,,,,,,,,,,,,
LAK,0040004020,LD PM DEXTRUS,"$2,922.08",,,,,,,,,,,,,,,,,,,
LAK,0040004046,LD PM ELAFIX,"$3,157.67",,,,,,,,,,,,,,,,,,,
LAK,0040004053,LD PM ELAFIX,"$2,631.38",,,,,,,,,,,,,,,,,,,
LAK,0040004061,LD PM ELAFIX,"$3,350.46",,,,,,,,,,,,,,,,,,,
LAK,0040004095,LD PM ELA PASS,"$3,350.46",,,,,,,,,,,,,,,,,,,
LAK,0040004129,LD PM MYOPORE,"$3,571.78",,,,,,,,,,,,,,,,,,,
LAK,0040004137,LD PM MYOPORE,"$3,571.78",,,,,,,,,,,,,,,,,,,
LAK,0040004186,LD PM SETROX S,"$3,835.14",,,,,,,,,,,,,,,,,,,
LAK,0040004244,PM ALTRUA DDDR,"$34,656.65",,,,,,,,,,,,,,,,,,,
LAK,0040004269,PM ADVANTIO DR,"$17,929.21",,,,,,,,,,,,,,,,,,,
LAK,0040004277,PM ADVANTIO SR,"$12,458.40",,,,,,,,,,,,,,,,,,,
LAK,0040004293,PM ASSURITY,"$22,736.45",,,,,,,,,,,,,,,,,,,
LAK,0040004301,PM ASSURITY,"$18,104.75",,,,,,,,,,,,,,,,,,,
LAK,0040004319,PM ADVISA,"$26,822.19",,,,,,,,,,,,,,,,,,,
LAK,0040004327,PM ASSURITY,"$27,475.86",,,,,,,,,,,,,,,,,,,
LAK,0040004335,PM ASSURITY MRI,"$35,535.42",,,,,,,,,,,,,,,,,,,
LAK,0040004343,PM AZURE XT DR,"$26,931.03",,,,,,,,,,,,,,,,,,,
LAK,0040004483,PM CONSULTA,"$40,256.76",,,,,,,,,,,,,,,,,,,
LAK,0040004491,PACEMAKER CONTK,"$53,102.64",,,,,,,,,,,,,,,,,,,
LAK,0040004525,PM DC ACCENT,"$23,400.78",,,,,,,,,,,,,,,,,,,
LAK,0040004574,PM DC ALTRUA 60,"$21,303.65",,,,,,,,,,,,,,,,,,,
LAK,0040004582,PM ALLURE QUAD,"$32,964.92",,,,,,,,,,,,,,,,,,,
LAK,0040004756,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040004764,PM EVIA DR-T,"$24,725.52",,,,,,,,,,,,,,,,,,,
LAK,0040004772,PM EVIA DR,"$20,745.97",,,,,,,,,,,,,,,,,,,
LAK,0040004780,PM ESTELLA,"$16,573.23",,,,,,,,,,,,,,,,,,,
LAK,0040004921,PM DC RR$,"$32,577.55",,,,,,,,,,,,,,,,,,,
LAK,0040004939,PACEMAKER DC RR,"$36,333.57",,,,,,,,,,,,,,,,,,,
LAK,0040004947,PACEMAKER DC RR,"$32,689.62",,,,,,,,,,,,,,,,,,,
LAK,0040004954,PACEMAKER DC RR,"$36,333.57",,,,,,,,,,,,,,,,,,,
LAK,0040004988,PACEMAKER DC RR,"$12,761.73",,,,,,,,,,,,,,,,,,,
LAK,0040005076,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005134,PACEMAKER DC RR,"$25,098.27",,,,,,,,,,,,,,,,,,,
LAK,0040005142,PACEMAKER DC RR,"$31,302.85",,,,,,,,,,,,,,,,,,,
LAK,0040005175,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005183,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005266,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005316,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005332,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005340,PACEMAKER DC RR,"$34,935.03",,,,,,,,,,,,,,,,,,,
LAK,0040005365,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005407,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040005878,PACEMAKER DC RR,"$17,539.74",,,,,,,,,,,,,,,,,,,
LAK,0040006009,PACEMAKER DC RR,"$34,656.65",,,,,,,,,,,,,,,,,,,
LAK,0040006215,PACEMAKER DC RR,"$30,742.75",,,,,,,,,,,,,,,,,,,
LAK,0040006223,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040006249,PACEMAKER DC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040006405,PACEMAKER DC RR,"$18,351.06",,,,,,,,,,,,,,,,,,,
LAK,0040006413,PM DC RR ZEPHYR,"$34,980.29",,,,,,,,,,,,,,,,,,,
LAK,0040006421,PM DC RR ZEPHYR,"$34,980.29",,,,,,,,,,,,,,,,,,,
LAK,0040006439,PM DR REPLY,"$34,621.46",,,,,,,,,,,,,,,,,,,
LAK,0040006983,PM INGENIO SR,"$12,870.07",,,,,,,,,,,,,,,,,,,
LAK,0040006991,PM INGENIO DR,"$16,698.58",,,,,,,,,,,,,,,,,,,
LAK,0040007007,PACEMAKER INSNC,"$41,748.70",,,,,,,,,,,,,,,,,,,
LAK,0040007023,PM INVIVE,"$31,915.16",,,,,,,,,,,,,,,,,,,
LAK,0040009011,PM REVO MRI,"$27,119.80",,,,,,,,,,,,,,,,,,,
LAK,0040009102,PM ACCENT SR,"$14,724.74",,,,,,,,,,,,,,,,,,,
LAK,0040009185,PM EVIA SR,"$14,264.32",,,,,,,,,,,,,,,,,,,
LAK,0040009201,PM EVIA SR-T,"$22,091.51",,,,,,,,,,,,,,,,,,,
LAK,0040010472,PACEMAKER SC RR,"$28,787.46",,,,,,,,,,,,,,,,,,,
LAK,0040010480,PACEMAKER SC RR,"$15,166.74",,,,,,,,,,,,,,,,,,,
LAK,0040010688,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040010803,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040010902,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040010951,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040010993,PACEMAKER SC RR,"$32,141.30",,,,,,,,,,,,,,,,,,,
LAK,0040011462,PACEMAKER SC RR,"$26,245.30",,,,,,,,,,,,,,,,,,,
LAK,0040011470,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040011652,PACEMAKER SC RR,"$25,408.53",,,,,,,,,,,,,,,,,,,
LAK,0040011975,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040011991,PACEMAKER SC RR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040012015,PM SC RR ZPHYR$,"$26,077.58",,,,,,,,,,,,,,,,,,,
LAK,0040012031,PM SC ACCENT,"$19,872.05",,,,,,,,,,,,,,,,,,,
LAK,0040012205,PACEMAKER SC RR,"$28,507.43",,,,,,,,,,,,,,,,,,,
LAK,0040012353,PM SR REPLY,"$26,245.30",,,,,,,,,,,,,,,,,,,
LAK,0040012502,PM VALITUDE,"$61,138.15",,,,,,,,,,,,,,,,,,,
LAK,0040040875,PM ACCOLADE,"$30,753.50",,,,,,,,,,,,,,,,,,,
LAK,0040040883,PM ACCOLADE,"$12,257.20",,,,,,,,,,,,,,,,,,,
LAK,0040040891,PM ACCOLADE,"$15,075.74",,,,,,,,,,,,,,,,,,,
LAK,0040040909,PM ACCOLADE,"$26,383.63",,,,,,,,,,,,,,,,,,,
LAK,0040040917,PM ACCOLADE,"$23,772.41",,,,,,,,,,,,,,,,,,,
LAK,0040040982,PM ADVISA DR,"$35,854.17",,,,,,,,,,,,,,,,,,,
LAK,0040041139,PM ALTRUA SSIR,"$33,370.48",,,,,,,,,,,,,,,,,,,
LAK,0040041147,PM ALLURE RF,"$25,709.80",,,,,,,,,,,,,,,,,,,
LAK,0040041204,PM ANTHEM RF,"$36,523.22",,,,,,,,,,,,,,,,,,,
LAK,0040041253,PM ACCENT DR,"$18,186.45",,,,,,,,,,,,,,,,,,,
LAK,0040041279,PM EVIA SR-T,"$15,606.57",,,,,,,,,,,,,,,,,,,
LAK,0040041287,PM EVIA HF-T,"$32,524.63",,,,,,,,,,,,,,,,,,,
LAK,0040041311,PM ENTOVIS,"$23,887.62",,,,,,,,,,,,,,,,,,,
LAK,0040041329,PM ENTOVIS,"$23,842.11",,,,,,,,,,,,,,,,,,,
LAK,0040041352,PM ENTOVIS,"$17,948.75",,,,,,,,,,,,,,,,,,,
LAK,0040041378,PM EDORA SR-T,"$29,793.10",,,,,,,,,,,,,,,,,,,
LAK,0040041394,PM ELUNA DR-T,"$21,996.11",,,,,,,,,,,,,,,,,,,
LAK,0040041402,PM ELUNA SR-T,"$15,543.74",,,,,,,,,,,,,,,,,,,
LAK,0040041410,PM ETRINSA,"$30,333.48",,,,,,,,,,,,,,,,,,,
LAK,0040041428,PM ETRINSA,"$14,027.07",,,,,,,,,,,,,,,,,,,
LAK,0040041436,PM ETRINSA,"$15,231.75",,,,,,,,,,,,,,,,,,,
LAK,0040041444,PM EDORA DR-T,"$26,196.41",,,,,,,,,,,,,,,,,,,
LAK,0040041451,PM EDORA PROMRI,"$40,689.65",,,,,,,,,,,,,,,,,,,
LAK,0040041808,PM QUADRA ALLUR,"$64,044.33",,,,,,,,,,,,,,,,,,,
LAK,0040041832,PM PERCEPTA,"$50,096.55",,,,,,,,,,,,,,,,,,,
LAK,0040041873,PM REPLY DR,"$17,722.34",,,,,,,,,,,,,,,,,,,
LAK,0040041881,PM REPLY SR,"$19,186.68",,,,,,,,,,,,,,,,,,,
LAK,0040041907,PM STRATOS LV,"$43,332.96",,,,,,,,,,,,,,,,,,,
LAK,0040041931,PM SYNCRA CRT-P,"$39,761.01",,,,,,,,,,,,,,,,,,,
LAK,0040042004,PM VIVA,"$59,909.41",,,,,,,,,,,,,,,,,,,
LAK,0040055345,EPIFIX SQ CM,$458.55,,,,,,,,,,,,,,,,,,,
LAK,0040082919,DFB DYNAGEN,"$89,310.34",,,,,,,,,,,,,,,,,,,
LAK,0040082927,DFB DYNAGEN,"$91,040.27",,,,,,,,,,,,,,,,,,,
LAK,0040082935,DFIB DYNAGEN,"$105,544.82",,,,,,,,,,,,,,,,,,,
LAK,0040082984,DFB DYNAGEN,"$56,710.61",,,,,,,,,,,,,,,,,,,
LAK,0040082992,DFIB DYNAGEN,"$135,849.50",,,,,,,,,,,,,,,,,,,
LAK,0040083016,DFIB CURRENT,"$84,552.55",,,,,,,,,,,,,,,,,,,
LAK,0040083024,DFIB CURRENT,"$75,157.11",,,,,,,,,,,,,,,,,,,
LAK,0040083081,DFIB ENERGEN DR,"$68,507.65",,,,,,,,,,,,,,,,,,,
LAK,0040083099,DEFIB ENERGEN,"$81,618.30",,,,,,,,,,,,,,,,,,,
LAK,0040083107,DFIB INCEPTA VR,"$61,557.25",,,,,,,,,,,,,,,,,,,
LAK,0040083131,DEFIB INCEPTA,"$65,379.26",,,,,,,,,,,,,,,,,,,
LAK,0040083172,DFB FORTFY ASSU,"$71,745.49",,,,,,,,,,,,,,,,,,,
LAK,0040083180,DFB FORTFY ASSU,"$54,340.26",,,,,,,,,,,,,,,,,,,
LAK,0040083198,DFB FORTFY ASSU,"$61,134.96",,,,,,,,,,,,,,,,,,,
LAK,0040083214,DFIB EVERA,"$70,174.99",,,,,,,,,,,,,,,,,,,
LAK,0040083230,DFIB EVERA,"$63,245.31",,,,,,,,,,,,,,,,,,,
