USC VHH CDM Price Increase,,,,,,,,,,,,
Gross Revenue Change (old to new),,,,,,,,,,,,
"July 1, 2017 - June 30, 2018",,,,,,,,,,"Gross Revenue
(old price)","Gross Revenue
(new price)","New Gross Revenue based on Price increase on April 1, 2018"
0008409,ROOM/CARE 7THF-NON ICU ISOLATION,3340,GERO PSYCH ROOM/CARE,124,124,124,"2,760","2,900",0,0,0,Room & Board
0008607,ROOM/CARE TCU-NON ICU ISOLATION,3580,TRANSITIONAL CARE-ROOM/CARE,120,120,120,"2,100","3,445",36,"75,600","124,020",Room & Board
0011007,ROOM/CARE ICU-STD OVERRIDE RATE,3010,INTENSIVE CARE-ROOM/CARE,120,120,120,"4,000","4,205",2,"8,000","8,410",Room & Board
0011106,ROOM/CARE TELE-MED SURG OVERFLOW,3182,FIFTH FLOOR - SOUTH,120,120,120,"3,505","4,245",0,0,0,Room & Board
0012005,ROOM/CARE ICU-MED SURG OVERFLOW,3010,INTENSIVE CARE-ROOM/CARE,120,120,120,"3,505","4,245",1,"3,505","4,245",Room & Board
0012203,ROOM/CARE ER-MED SURG,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"3,505","4,245",40,"140,200","169,800",Room & Board
0014001,ROOM/CARE MED SURG,3184,FOURTH FLOOR ROOM/CARE,120,120,120,"3,505","4,245",69,"241,845","292,905",Room & Board
0016006,ROOM/CARE POST PART-MED SURG OVERFL,3380,OBSTETRICS-ROOM/CARE,122,120,120,"3,505","4,245",6,"21,030","25,470",Room & Board
0018101,ROOM/CARE 5 SOUTH,3182,FIFTH FLOOR - SOUTH,121,121,121,"3,505","4,245",27,"94,635","114,615",Room & Board
0018309,ROOM/CARE 6TH FLOOR,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"3,505","4,245","1,598","5,600,990","6,783,510",Room & Board
0018358,ROOM/CARE 3SUR-MED SURG,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"3,505","4,245",1,"3,505","4,245",Room & Board
0021006,ROOM/CARE ICU,3010,INTENSIVE CARE-ROOM/CARE,200,200,200,"5,975","6,280",259,"1,547,525","1,626,520",Room & Board
0021105,ROOM/CARE TELE-ICU OVERFLOW,3182,FIFTH FLOOR - SOUTH,200,200,200,"5,975","6,280",0,0,0,Room & Board
0022004,ROOM/CARE ICU,3010,INTENSIVE CARE-ROOM/CARE,214,214,214,"5,975","6,280",162,"967,950","1,017,360",Room & Board
0022202,ROOM/CARE ER-ICU,3010,INTENSIVE CARE-ROOM/CARE,200,200,200,"5,975","6,280",11,"65,725","69,080",Room & Board
0028357,ROOM/CARE 3SUR-ICU,3010,INTENSIVE CARE-ROOM/CARE,200,200,200,"5,975","6,280",0,0,0,Room & Board
0031005,ROOM/CARE ICU TELEMETRY OVERFLOW,3010,INTENSIVE CARE-ROOM/CARE,214,214,214,"3,025","4,960",28,"84,700","138,880",Room & Board
0031104,ROOM/CARE TELE,3130,TELEMETRY UNIT-ROOM/CARE,214,214,214,"3,025","4,960",0,0,0,Room & Board
0032003,ROOM/CARE ICU-TELE OVERFLOW,3010,INTENSIVE CARE-ROOM/CARE,214,214,214,"3,025","4,960",16,"48,400","79,360",Room & Board
0032201,ROOM/CARE ER-TELE,3130,TELEMETRY UNIT-ROOM/CARE,214,214,214,"3,025","4,960",41,"124,025","203,360",Room & Board
0034009,ROOM/CARE 4THF - TELEMETRY,3184,FOURTH FLOOR ROOM/CARE,214,214,214,"2,160","4,960",796,"1,719,360","3,948,160",Room & Board
0036004,ROOM/CARE POST PART-TELE OVERFLOW,3380,OBSTETRICS-ROOM/CARE,214,214,214,"3,025","4,960",0,0,0,Room & Board
0037002,ROOM/CARE NURSERY BOARDER BABY,3530,NURSERY-ROOM/CARE,179,179,179,"2,020","2,425",0,0,0,Room & Board
0038109,ROOM/CARE 5SOU-TELE OVERFLOW,3130,TELEMETRY UNIT-ROOM/CARE,214,214,214,"3,025","4,960",624,"1,887,600","3,095,040",Room & Board
0038307,ROOM/CARE 6THF-TELE OVERFLOW,3183,SIXTH FLOOR-ROOM/CARE,214,214,214,"3,025","4,960",4,"12,100","19,840",Room & Board
0038356,ROOM/CARE 3SUR-TELE,3380,OBSTETRICS-ROOM/CARE,214,214,214,"3,025","4,960",0,0,0,Room & Board
0042200,ROOM/CARE ER-TCU,3580,TRANSITIONAL CARE-ROOM/CARE,120,120,120,"1,960","3,445",0,0,0,Room & Board
0048603,ROOM/CARE TCU,3580,TRANSITIONAL CARE-ROOM/CARE,199,120,120,"1,960","3,445","1,245","2,440,200","4,289,025",Room & Board
0052001,ROOM/CARE CCU,3030,CORONARY CARE-ROOM/CARE,210,210,210,"5,975","6,280",23,"137,425","144,440",Room & Board
0056507,ROOM/CARE 5SOU TELEMETRY,3182,FIFTH FLOOR - SOUTH,214,214,214,"3,025","4,960",0,0,0,Room & Board
0066001,ROOM/CARE POST PART-NSY OVERFLOW,3380,OBSTETRICS-ROOM/CARE,120,120,120,"2,020","2,425",26,"52,520","63,050",Room & Board
0067009,ROOM/CARE NURSERY I,3530,NURSERY-ROOM/CARE,171,171,171,"2,020","2,425",138,"278,760","334,650",Room & Board
0076000,ROOM/CARE POST PARTUM,3380,OBSTETRICS-ROOM/CARE,122,122,122,"3,505","4,245",233,"816,665","989,085",Room & Board
0077008,ROOM/CARE NURSERY LVL II,3530,NURSERY-ROOM/CARE,172,172,172,"4,270","5,150",15,"64,050","77,250",Room & Board
0082206,ROOM/CARE ER-PSY,3340,GERO PSYCH ROOM/CARE,124,124,124,"3,505","2,785",7,"24,535","19,495",Room & Board
0087007,ROOM/CARE NURSERY LVL III,3530,NURSERY-ROOM/CARE,173,999,173,"10,607","10,605",26,"275,776","275,730",Room & Board
0088401,ROOM/CARE 7TH FLOOR,3340,GERO PSYCH ROOM/CARE,124,124,124,"2,300","2,785","2,156","4,958,800","6,004,460",Room & Board
0091009,ROOM/CARE ICU-ICU ISOLATION,3010,INTENSIVE CARE-ROOM/CARE,200,200,200,"6,405","6,730",0,0,0,Room & Board
0092007,ROOM/CARE CCU-ICU ISOLATION,3030,CORONARY CARE-ROOM/CARE,214,214,214,"6,405","6,730",0,0,0,Room & Board
0092205,ROOM/CARE ER-ICU ISOLATION,3010,INTENSIVE CARE-ROOM/CARE,120,120,120,"6,405","6,730",0,0,0,Room & Board
0097006,ROOM/CARE NURSERY LVL IV,3070,,174,174,174,"13,513","13,515",5,"67,567","67,575",Room & Board
0098350,ROOM/CARE 3SUR-ICU ISOLATION,3010,INTENSIVE CARE-ROOM/CARE,200,200,200,"6,405","6,730",0,0,0,Room & Board
0100016,NORMAL RECOVERY EACH ADD'L 15MIN,4400,LABOR AND DELIVERY,710,710,710,51,260,36,"1,836","9,360",Recovery Room
0100024,HIGH RISK RECOVERY 1ST HOUR,4400,LABOR AND DELIVERY,710,710,710,243,"1,470",66,"16,038","97,020",Recovery Room
0100503,"TRANSFUSION, BLOOD OR BLD PRODUCTS",3380,OBSTETRICS-ROOM/CARE,450,450,450,583,"1,175",0,0,0,Phase I
0104323,NORMAL RECOVERY 1ST HR,4400,LABOR AND DELIVERY,710,710,710,202,"1,220",10,"2,020","12,200",Recovery Room
0104463,FETAL NON-STRESS TEST,4400,LABOR AND DELIVERY,920,920,920,278,709,17,"4,726","12,053",Phase I
0104513,NORMAL DELIVERY 1ST HR,4400,LABOR AND DELIVERY,722,722,722,"1,156","2,624",9,"10,404","23,616",Phase I
0104562,OBSERVATION TIME 1ST HR,4400,LABOR AND DELIVERY,762,762,762,237,238,0,0,0,Phase I
0104612,OBSERVATION TIME ADD'L HR,4400,LABOR AND DELIVERY,762,762,762,237,238,0,0,0,Phase I
0104711,HIGH RISK RECOVERY EA ADD 15 MIN,4400,LABOR AND DELIVERY,710,710,710,61,370,258,"15,738","95,460",Recovery Room
0104737,MAJOR 1ST HOUR,4400,LABOR AND DELIVERY,360,360,360,"7,515","9,060",36,"270,540","326,160",Operating Room
0104810,MAJOR ADDITIONAL MINUTES,4400,LABOR AND DELIVERY,360,360,360,121,175,747,"90,387","130,725",Operating Room
0104869,MINOR 1ST HOUR,4400,LABOR AND DELIVERY,360,722,360,"6,491","6,610",0,0,0,Operating Room
0104877,MINOR ADDITIONAL MINUTES,4400,LABOR AND DELIVERY,360,722,360,95,125,0,0,0,Operating Room
0104919,SPECIAL INFUSION-FIRST DRUG-1ST HR,4400,LABOR AND DELIVERY,940,940,940,511,915,4,"2,044","3,660",Phase I
0104943,SPECIAL INFUSION-1ST DRUG-EA ADD HR,4400,LABOR AND DELIVERY,940,940,940,139,275,61,"8,479","16,775",Phase I
0104968,SPECIAL INFUSION-ADDL DRUG-1ST HR,4400,LABOR AND DELIVERY,940,940,940,511,915,0,0,0,Phase I
0104992,SPEC INFUSION-ADDL DRUG-EA ADDL HR,4400,LABOR AND DELIVERY,940,940,940,139,275,0,0,0,Phase I
0105023,NEWBORN HEARING SCREEN LTD,3530,NURSERY-ROOM/CARE,471,471,471,839,336,61,"51,158","20,496",Phase I
0105031,CCHD SCREENING,3530,NURSERY-ROOM/CARE,460,460,460,70,164,62,"4,340","10,168",Phase I
0120020,CCHD SCREENING,3070,,460,460,460,70,164,23,"1,610","3,772",Phase I
0120035,NEWBORN HEARING SCR LTD,3070,,471,471,471,839,336,8,"6,709","2,688",Phase I
0200220,TOTAL HIP - METAL ON POLYETHYLENE,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"19,433",0,0,0,Implants w/ HCPCS
0200279,NEUROSTIMULATOR GEN NON-RECHARGE,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"60,463",0,0,0,Implants w/ HCPCS
0200295,TROCHANTERIC NAIL,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"15,528",0,0,0,Implants w/ HCPCS
0200303,DHS SYNTHES HIP NAIL,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"18,288",0,0,0,Implants w/ HCPCS
0200311,ALLOGRAFTS / GRAFTS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"13,145",0,0,0,Implants w/o HCPCS
0200352,KYPHOPLASTY KIT,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"20,603",0,0,0,Implants w/ HCPCS
0200379,URINARY SPHINCTER PROSTHESIS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"44,890",0,0,0,Implants w/ HCPCS
0200394,TOTAL KNEE IMPLANTABLE,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"21,247",0,0,0,Implants w/ HCPCS
0200402,PORTA CATH,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,784,"1,253",10,"7,840","12,532",Implants w/ HCPCS
0200436,AICD DUAL CHAMBER,4471,PROSTHESIS & PT CHARGEABLE,275,275,275,0,"77,485",0,0,0,Implants w/ HCPCS
0200444,AICD SINGLE CHAMBER,4471,PROSTHESIS & PT CHARGEABLE,275,275,275,0,"73,973",0,0,0,Implants w/ HCPCS
0200485,AICD OTHER THAN SING OR DUAL,4471,PROSTHESIS & PT CHARGEABLE,275,275,275,0,"31,084",0,0,0,Implants w/ HCPCS
0200592,INTRAOCULAR LENS,4471,PROSTHESIS & PT CHARGEABLE,276,276,276,0,"1,130",0,0,0,Implants w/ HCPCS
0200881,TOTAL SHOULDER IMPLANTABLE,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"30,488",0,0,0,Implants w/ HCPCS
0201608,MISC-SURGERY/IMPLANTS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"9,049",0,0,0,Implants w/o HCPCS
0202226,PENILE PROSTHESIS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"44,809",0,0,0,Implants w/ HCPCS
0203513,MINOR 1ST HOUR,4420,SURGERY,360,360,360,"6,491","6,610",0,0,0,Operating Room
0203539,MAJOR 1ST HOUR,4420,SURGERY,360,360,360,"7,515","9,060",0,0,0,Operating Room
0203547,MAJOR I EACH ADDITIONAL 30 MINS,4420,SURGERY,360,360,360,"2,533","3,055",0,0,0,Operating Room
0203554,MAJOR II 1ST HOUR,4420,SURGERY,360,360,360,"7,515","9,060",0,0,0,Operating Room
0203562,MAJOR II EACH ADDITIONAL 30 MINS,4420,SURGERY,360,360,360,"2,744","3,310",0,0,0,Operating Room
0203570,MAJOR III 1ST HOUR,4420,SURGERY,360,360,360,"7,515","9,060",0,0,0,Operating Room
0203588,MAJOR III EACH ADDITIONAL 30 MINS,4420,SURGERY,360,360,360,"3,063","3,690",0,0,0,Operating Room
0204271,PMKR GEN DUAL RATE-RESP,4471,PROSTHESIS & PT CHARGEABLE,275,275,275,0,"20,836",0,0,0,Implants w/ HCPCS
0204297,PACEMAKER VENTRICULAR LEAD,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"12,093",0,0,0,Implants w/ HCPCS
0205070,MAJOR 1ST 30 MINUTES,4420,SURGERY,360,360,360,"3,758","4,530",352,"1,322,816","1,594,560",Operating Room
0205088,MINOR 1ST 30 MINUTES,4420,SURGERY,360,360,360,"3,053","3,305",436,"1,331,108","1,440,980",Operating Room
0249029,MAJOR ADDITIONAL MINUTES,4420,SURGERY,360,360,360,121,175,"37,580","4,547,180","6,576,500",Operating Room
0249045,MINOR ADDITIONAL MINUTES,4420,SURGERY,360,360,360,95,125,"23,752","2,256,440","2,969,000",Operating Room
0249169,SYNOVIS 1.5MM COUPLER,4470,C.P.D.,278,278,278,283,494,0,0,0,Implants w/o HCPCS
0249177,SYNOVIS 2.0MM COUPLER,4470,C.P.D.,278,278,278,283,762,1,283,762,Implants w/o HCPCS
0249284,BIOZORB TISSUE MARKER 3X3CM,4470,C.P.D.,278,278,278,"2,000","3,500",0,0,0,Implants w/ HCPCS
0249292,BIOZORB TISSUE MARKER 3X4CM,4470,C.P.D.,278,278,278,"2,000","3,500",0,0,0,Implants w/ HCPCS
0249327,UROLIFT SYSTEM,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"2,975","5,206",24,"71,400","124,950",Implants w/ HCPCS
0249333,PROLARYN INJECTABLE IMPLANT,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"1,150","2,013",0,0,0,Implants w/ HCPCS
0249335,IMPLANTABLE BREAST PROSTHESIS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"9,343",0,0,0,Implants w/ HCPCS
0249336,BREAST TISSUE EXPANDERS,4420,SURGERY,278,278,278,0,"8,264",0,0,0,Implants w/ HCPCS
0249417,IMPLANTABLE SYNTHETIC HERNIA MESH,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"2,481",0,0,0,Implants w/ HCPCS
0249418,IMPLANTABLE CARDIAC EVENT RECORDER,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"15,750",0,0,0,Implants w/ HCPCS
0249631,PROPEL MOMETASONE FUROATE IMPLANT,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"1,720","3,731",3,"5,160","11,193",Implants w/ HCPCS
0249649,PROPEL MINI MOMETAS FUROATE IMPLANT,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"1,720","3,461",0,0,0,Implants w/ HCPCS
0249656,LINX REFLUX MANAGEMENT SYSTEM 13,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"11,000","19,250",0,0,0,Implants w/o HCPCS
0249664,LINX REFLUX MANAGEMENT SYSTEM 14,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"11,000","19,250",0,0,0,Implants w/o HCPCS
0249672,LINX REFLUX MANAGEMENT SYSTEM 15,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"11,000","19,250",0,0,0,Implants w/o HCPCS
0249680,LINX REFLUX MANAGEMENT SYSTEM 16,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"11,000","19,250",0,0,0,Implants w/o HCPCS
0249698,LINX REFLUX MANAGEMENT SYSTEM 17,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"11,000","19,250",0,0,0,Implants w/o HCPCS
0249700,ISTENT TRABECULAR MICRO-BYPASS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,"4,250","7,438",0,0,0,Implants w/ HCPCS
0249735,INTUBATION ENDOTRACHEAL EMERGENCY,4720,RESPIRATORY THERAPY,361,361,361,"1,030","1,498",0,0,0,Phase I
0249755,URETHRAL SLING,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"7,573",0,0,0,Implants w/ HCPCS
0249763,ANCHORS AND INTERFERENCE SCREWS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"3,983",0,0,0,Implants w/ HCPCS
0249771,"STENT, PERCUFLEX AND CONTOUR",4471,PROSTHESIS & PT CHARGEABLE,278,278,278,399,489,35,"13,965","17,124",Implants w/ HCPCS
0249780,ORIF IMPLANTS,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,0,"17,048",0,0,0,Implants w/ HCPCS
0249805,GRAFT DURAGEN 1X1,4471,PROSTHESIS & PT CHARGEABLE,278,278,278,977,"1,637",8,"7,815","13,095",Implants w/o HCPCS
0400101,THERAPEUTIC PHLEBOTOMY,4540,BLOOD BANK,940,940,940,144,666,0,0,0,Phase I
0400168,SAME DAY MEDICAL UNIT / HR OBSR L2,4428,YAG LASER,762,762,762,179,251,0,0,0,Phase I
0400176,SAME DAY MEDICAL UNIT / HR OBSR L3,4428,YAG LASER,762,762,762,179,251,0,0,0,Phase I
0400184,IV INFUS TX/DX W/MD EA ADD HR,4428,YAG LASER,940,940,761,315,459,0,0,0,Phase I
0400192,TX/DX INJ SUBQ/IM,4428,YAG LASER,940,940,761,152,511,0,0,0,Phase I
0400200,TX PROPH / DX INJ IV,4428,YAG LASER,940,940,761,357,"1,153",0,0,0,Phase I
0400218,"IV INFUS THERAPY, 1 HOUR",4428,YAG LASER,761,761,761,511,802,0,0,0,Phase I
0400234,OBSERVATION DIRECT ORDER,4880,,762,762,762,571,609,5,"2,855","3,045",Phase I
0400242,OBSERVATION PER HOUR,4880,,762,762,762,179,251,0,0,0,Phase I
0400259,3SUR OBSERVATION/HR,4427,RECOVERY,762,762,762,184,258,0,0,0,Phase I
0400267,4THF OBSERVATION/HR,3184,FOURTH FLOOR ROOM/CARE,762,762,762,184,258,113,"20,792","29,154",Phase I
0400275,ICU5 OBSERVATION/HR,3010,INTENSIVE CARE-ROOM/CARE,762,762,762,427,599,24,"10,248","14,376",Phase I
0400283,TELE OBSERVATION/HR,3130,TELEMETRY UNIT-ROOM/CARE,762,762,762,216,303,"2,641","570,456","800,223",Phase I
0400291,5SOU OBSERVATION/HR,3182,FIFTH FLOOR - SOUTH,762,762,762,216,303,"1,545","333,720","468,135",Phase I
0400309,5OBS OBSERVATION/HR,3380,OBSTETRICS-ROOM/CARE,762,762,762,184,258,137,"25,208","35,346",Phase I
0400317,6THF OBSERVATION/HR,3183,SIXTH FLOOR-ROOM/CARE,762,762,762,184,258,"2,513","462,392","648,354",Phase I
0400325,CCU8 OBSERVATION/HR,3030,CORONARY CARE-ROOM/CARE,762,762,762,427,599,0,0,0,Phase I
0400333,EDVU OBSERVATION/HR,4010,EMERGENCY ROOM,762,762,762,184,258,0,0,0,Phase I
0400341,GYN OBSERVATION/HR,3380,OBSTETRICS-ROOM/CARE,762,762,762,184,258,0,0,0,Phase I
0700047,EGD,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"2,799","4,844",40,"111,960","193,760",Phase I
0700161,"EGD, TUBE PLACEMENT",4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"2,674","4,881",10,"26,740","48,810",Phase I
0700518,LUMBAR PUNCTURE (GI LAB),4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),361,361,361,"1,093","2,417",0,0,0,Phase I
0701441,BRAVO ESOPH RELFX TST W/ ELECT,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"1,873","1,405",3,"5,619","4,215",Phase I
0701458,GI TRACT CAPSULE ENDOSCOPY,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"3,520","4,724",3,"10,560","14,172",Phase I
0701466,GI WIRELESS CAPSULE MEASURE,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"3,520","1,706",0,0,0,Phase I
0701474,ESOPHAGUS MOTILITY STUDY,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,"1,873","3,030",5,"9,365","15,150",Phase I
0701516,GASTROSTOMY REPLACEMENT W/O ENDO,4760,ENDOSCOPY DEPT (DIAGNOSTIC FIBEROPTICS),750,750,750,914,"1,306",2,"1,828","2,612",Phase I
0800029,SPIROMETRY,4730,PULMONARY,460,460,460,170,597,0,0,0,Phase I
0800037,PRE & POST DILAT SPIRO,4730,PULMONARY,460,460,460,286,767,0,0,0,Phase I
0800045,VITAL CAPACITY TOTAL,4730,PULMONARY,460,460,460,179,219,1,179,219,Phase I
0800052,GAS DIL/WASHOUT LUNG VOL,4730,PULMONARY,460,460,460,280,459,0,0,0,Phase I
0800078,DIFFUSION CAPACIT,4730,PULMONARY,460,460,460,481,536,0,0,0,Phase I
0800094,FLOW-VOLUME LOOP,4730,PULMONARY,460,460,460,421,465,0,0,0,Phase I
0800102,O2 SAT/OXIMETRY INITIAL,4730,PULMONARY,460,460,460,144,191,"3,533","508,752","674,803",Phase I
0800201,O2 SAT/OXIMETRY,4730,PULMONARY,460,460,460,144,191,347,"49,968","66,277",Phase I
0800205,COLLECTION CAPILLARY BLOOD SPECIMEN,4730,PULMONARY,361,361,361,35,45,1,35,45,Phase I
0800210,CO2 EXPIRED GAS INFRARED ANALYZER,4720,RESPIRATORY THERAPY,460,460,460,"1,350",296,0,0,0,Phase I
0800276,ARTERIAL PUNCTURE,4730,PULMONARY,361,361,361,34,145,0,0,0,Phase I
0800318,OXIMETER-NURSERY MULTIPLE,4730,PULMONARY,460,460,460,262,613,76,"19,912","46,588",Phase I
1000017,RH (D) TYPING,4540,BLOOD BANK,302,302,302,34,64,0,0,0,Phase I
1000033,BLOOD TYPING ABO,4540,BLOOD BANK,302,302,302,65,123,658,"42,770","80,934",Phase I
1000041,ANTIBODY IDENTIFICATION RBC ECH PNL,4540,BLOOD BANK,302,302,302,352,378,15,"5,280","5,670",Phase I
1000066,ANTIBODY SCREEN RBC ECH SERUM TECH,4540,BLOOD BANK,302,302,302,55,113,583,"32,065","65,879",Phase I
1000074,CRYOPRECIPITATE THAW FEE/UNIT,4540,BLOOD BANK,302,302,302,214,251,0,0,0,Phase I
1000082,POOLING PLATELET CRYO,4540,BLOOD BANK,302,302,302,122,151,0,0,0,Phase I
1000116,"BLOOD TYPING, RBC ANTIGENS",4540,BLOOD BANK,302,302,302,214,251,4,856,"1,004",Phase I
1000124,"DONOR BLD COLLECT, UNIT",4540,BLOOD BANK,302,302,302,425,899,0,0,0,Phase I
1000140,DIRECT COOMBS (DAT),4540,BLOOD BANK,302,302,302,59,102,88,"5,192","8,976",Phase I
1000264,RH (D) TYPING,4540,BLOOD BANK,302,302,302,34,64,671,"22,814","42,944",Phase I
1000272,ANTIBODY TITER W/AHG,4540,BLOOD BANK,302,302,302,122,151,0,0,0,Phase I
1000363,COLD AGGLUTININ;TITER,4540,BLOOD BANK,302,302,302,25,11,0,0,0,Phase I
1000413,ANTIBODY ELUTION,4540,BLOOD BANK,302,302,302,122,173,0,0,0,Phase I
1000439,CORD BLOOD ELUATE,4540,BLOOD BANK,302,302,302,122,173,4,488,692,Phase I
1000470,RED CELLS ABSORPTION,4540,BLOOD BANK,302,302,302,60,67,0,0,0,Phase I
1000546,COMPATIBILITY TEST EACH UNIT,4540,BLOOD BANK,302,302,302,122,383,269,"32,818","103,027",Phase I
1000561,COMPATABILITY EA UNIT ANTIGLOB,4540,BLOOD BANK,302,302,302,381,423,0,0,0,Phase I
1000926,AUTOLOGOUS RED CELLS FROM ARC,4540,BLOOD BANK,302,302,302,425,899,0,0,0,Phase I
1001031,WARM AGG TESTING-RED CROSS,4540,BLOOD BANK,302,302,302,55,113,0,0,0,Phase I
1001189,FFP THAW,4540,BLOOD BANK,302,302,302,214,251,40,"8,560","10,040",Phase I
1001205,FFP TYPE AB-RC,4504,CLINICAL LAB-IMMUNOLOGY,302,302,302,214,251,0,0,0,Phase I
1001213,JUMBO FFP-RC,4504,CLINICAL LAB-IMMUNOLOGY,302,302,302,214,251,0,0,0,Phase I
1001221,JUMBO FFP TYPE AB-RC,4504,CLINICAL LAB-IMMUNOLOGY,302,302,302,214,251,0,0,0,Phase I
1100049,"ROUT ECG,12 LEADS;TRACE ONLY",4590,ECG,730,730,730,502,735,"2,573","1,291,646","1,891,155",Phase I
1100056,ANKLE BRACHIAL INDICES,4590,ECG,921,921,921,789,"1,225",2,"1,578","2,450",Phase I
1100064,DUPLEX SCAN OF HEMODIALYSIS ACCESS,4590,ECG,921,921,921,464,"1,913",0,0,0,Phase I
1100072,DOPPLER ECHO FOLLOW UP,4590,ECG,480,480,480,467,"1,242",0,0,0,Phase I
1100098,VENOUS DUPLEX UPPER EXT BILATERAL,4590,ECG,921,921,921,"1,753","2,291",3,"5,259","6,873",Phase I
1100163,"ECHO,T-ESOPH,RT;PROBE,I&R",4590,ECG,480,480,480,"3,243","4,924",2,"6,486","9,848",Phase I
1100189,"ECHO,T-THORAC,RT;LTD,FU",4590,ECG,480,480,480,"1,221","1,475",17,"20,757","25,075",Phase I
