St. Vincent Medical Center # 106190762,,,
SVMC Dept#,Charge Number,Charge Description, 06/01/18 Default Price 
19,1908318,ADAPTER CARDIOPLEGIA (11-50), $166.00 
19,1979566,ADAPTER CELLULAR USB (151-200), $821.00 
19,1978436,ADAPTER CMPRES BMT 178711," $2,149.00 "
19,1910348,ADAPTER HEMOSTASIS VALVE, $66.00 
18,1851583,ADAPTER SAFESHEATH/ ATTAIN PER EACH, $241.00 
19,1902956,ADAPTER STRAIGHT, $3.00 
23,2300242,ADAPTER SWIVEL, $83.00 
19,1938505,ADAPTOR MALE, $23.00 
19,1922277,ADAPTOR SLEEVE USCI, $73.00 
19,1926112,ADAPTOR-DLP, $23.00 
18,1802818,ADDL ABLATION L/R ATRIAL FIB," $18,823.00 "
18,1801786,ADDL INTRAVASC DISTAL BLOODFLOW VEL," $3,987.00 "
94,9420589,ADEFOVIR 10MG TABLET, $228.75 
94,9400169,ADENOSINE 60MG/20ML INJ," $1,117.50 "
94,9400151,ADENOSINE 6MG/2ML INJECTION, $73.75 
94,9400177,ADENOSINE 90MG/30ML INJ," $1,607.50 "
19,1979681,ADHES BARRIER 5X6 SEPRAFM, $777.00 
19,1979673,ADHESION BARRIOR (251-300)," $1,007.00 "
19,1917756,ADHESION BARRIOR (301-400)," $1,641.00 "
30,3003332,ADHESIVE BARRIER (601-700)," $2,954.00 "
19,1943158,ADHESIVE SKIN CLOSURE (11-50), $166.00 
12,1204213,ADMIN OF HEPATITIS B VACCINE, $148.00 
34,3400116,ADMIN OF HEPATITIS B VACCINE, $148.00 
12,1201037,ADMIN OF INFLUENZA VIRUS VACCINE, $148.00 
94,9446600,ADMIN OF INFLUENZA VIRUS VACCINE, $148.00 
12,1204205,ADMIN OF PNEUMOCOCCAL VACCINE, $148.00 
27,2701290,ADMIN OF PNEUMOCOCCAL VACCINE, $148.00 
94,9446584,ADMIN OF PNEUMOCOCCAL VACCINE, $148.00 
00,0090191,ADMINISTRATIVE DAY 5S1," $2,605.00 "
00,0090217,ADMINISTRATIVE DAY 5S2," $2,605.00 "
00,0090167,ADMINISTRATIVE DAY 5W1," $2,605.00 "
00,0090183,ADMINISTRATIVE DAY 5W2," $2,605.00 "
00,0090241,ADMINISTRATIVE DAY 6S1," $2,605.00 "
00,0090258,ADMINISTRATIVE DAY 6S2," $2,605.00 "
00,0090225,ADMINISTRATIVE DAY 6W1," $2,605.00 "
00,0090233,ADMINISTRATIVE DAY 6W2," $2,605.00 "
00,0090282,ADMINISTRATIVE DAY 7S1," $2,605.00 "
00,0090290,ADMINISTRATIVE DAY 7S2," $2,605.00 "
00,0090266,ADMINISTRATIVE DAY 7W1," $2,605.00 "
00,0090274,ADMINISTRATIVE DAY 7W2," $2,605.00 "
00,0090605,ADMINISTRATIVE DAY 7W2," $2,605.00 "
00,0090308,ADMINISTRATIVE DAY 8W," $2,605.00 "
00,0090704,ADMINISTRATIVE DAY REHAB," $2,605.00 "
94,9408774,ADVAIR 100-50MCG 14S DISKUS, $515.00 
94,9408790,ADVAIR 250-50MCG 14S DISKUS, $515.00 
94,9408816,ADVAIR 500-50MCG 14S DISKUS, $825.00 
29,2902104,AERO FLOW TUBING, $54.00 
94,9420597,AEROCHAMBER, $137.00 
94,9463266,AEROCHAMBER+ FLOW-VU W/CMFRT MSK M, $257.00 
29,2900215,AEROECLIPSE HHN, $20.00 
29,2900207,AEROVENT CHAMBER, $23.00 
04,0411058,AFO BRACE," $2,378.00 "
18,1803436,AICD DUAL CHAMBER (13001-14000)," $41,251.00 "
18,1869395,AICD DUAL CHAMBER (15001-16000)," $47,251.00 "
18,1809532,AICD DUAL CHAMBER (16001-17000)," $50,251.00 "
18,1841121,AICD DUAL CHAMBER (17001-18000)," $53,251.00 "
19,1906890,AICD DUAL CHAMBER (17001-18000)," $53,251.00 "
18,1860543,AICD DUAL CHAMBER (18001-19000)," $56,251.00 "
18,1840883,AICD DUAL CHAMBER (24001-25000)," $74,251.00 "
18,1803543,AICD NON SINGLE OR DUAL (18-19K)," $56,251.00 "
18,1809904,AICD NON SINGLE OR DUAL (19-20K)," $59,251.00 "
18,1809680,AICD NON SINGLE OR DUAL (20-21K)," $62,251.00 "
18,1802321,AICD NON SINGLE OR DUAL (21-22K)," $65,251.00 "
18,1803626,AICD NON SINGLE OR DUAL (22-23K)," $68,251.00 "
18,1869437,AICD NON SINGLE OR DUAL (23-24K)," $71,251.00 "
18,1860527,AICD NON SINGLE OR DUAL (24-25K)," $74,251.00 "
18,1801950,AICD NON SINGLE OR DUAL (25-26K)," $77,251.00 "
18,1861939,AICD SINGLE CHAMBER (12-13K)," $38,251.00 "
18,1869403,AICD SINGLE CHAMBER (14001-15000)," $44,251.00 "
18,1840875,AICD SINGLE CHAMBER (15001-16000)," $47,251.00 "
18,1809557,AICD SINGLE CHAMBER (16001-17000)," $50,251.00 "
18,1860535,AICD SINGLE CHAMBER (19001-20000)," $59,251.00 "
19,1918770,AICD SINGLE CHAMBER (23-24000)," $71,251.00 "
19,1917905,AICD SINGLE CHAMBER (3501-4000)," $14,533.00 "
04,0432906,AIR SUPPORT BED," $1,512.00 "
12,1200013,AIRWAY INHALATION TREATMENT INITIAL, $407.00 
29,2900017,AIRWAY INHALATION TREATMENT INITIAL, $407.00 
29,2900694,AIRWAY INHALATION TREATMENT INITIAL, $407.00 
29,2901189,AIRWAY INHALATION TREATMENT INITIAL, $407.00 
12,1204155,AIRWAY INHALATION TX SUBSEQUENT, $407.00 
29,2900645,AIRWAY INHALATION TX SUBSEQUENT, $407.00 
29,2900652,AIRWAY INHALATION TX SUBSEQUENT, $407.00 
29,2920668,AIRWAY INHALATION TX SUBSEQUENT, $407.00 
29,2920981,AIRWAY INHALATION TX SUBSEQUENT, $407.00 
19,1931799,AIRWAY MASK DISPOSABLE (11-50), $166.00 
94,9445891,AL HYD-MG HYD-SIMETH SUSP 30ML, $15.00 
94,9420621,ALBENDAZOLE 200MG TABLET, $28.00 
94,9418799,ALBUMIN HUMAN  5% INJ 500ML, $666.25 
94,9418807,ALBUMIN HUMAN 25% INJ 100ML, $910.00 
94,9418815,ALBUMIN HUMAN 25% INJ 50ML, $547.00 
94,9418781,ALBUMIN HUMAN 5% INJ 250ML, $505.00 
01,0162859,ALBUMIN OTHER SOURCE QUAN EACH SPM, $170.00 
01,0107441,ALBUMIN SERUM PLASMA/WHOLE BLOOD, $156.00 
48,4801775,ALBUMIN URINE MICROALBUMIN QUAN [AP, $5.11 
94,9420670,ALBUTEROL 1.25MG/3ML INH SOL, $22.50 
94,9420662,ALBUTEROL 2.5MG/0.5ML INH SOL, $13.75 
94,9420647,ALBUTEROL 2.5MG/3ML INH SOL, $13.75 
94,9420688,ALBUTEROL 2MG TABLET, $107.00 
94,9420704,ALBUTEROL 4MG TABLET, $107.00 
94,9420746,ALBUTEROL HFA 18G INHALER, $247.00 
94,9420720,ALBUTEROL HFA 6.8G INHALER, $419.00 
94,9420738,ALBUTEROL HFA 8G INHALER, $145.00 
94,9419185,ALCOHOL DEHYDRATED 5ML AMPULE, $245.00 
19,1918457,ALGINATE DRESSING (11-50), $166.00 
94,9420829,ALISKIREN 150MG TABLET, $39.00 
94,9420837,ALISKIREN 300MG TABLET, $47.50 
48,4803664,ALLERGEN SPECIFIC IGE QN/SQ EA [AP, $4.70 
19,1941939,ALLO BONE PUTTY 10C WRIGT," $4,050.00 "
19,1941921,ALLO BONE PUTTY 5CC WRIGT," $3,829.00 "
19,1943943,ALLOGRAFT (1501-2000)," $7,033.00 "
19,1943059,ALLOGRAFT (2001-2500)," $8,908.00 "
19,1904952,ALLOGRAFT (5501-6000)," $19,126.00 "
30,3000957,ALLOGRAFT BONE (1001-1500)," $5,158.00 "
30,3000940,ALLOGRAFT BONE (301-400)," $1,641.00 "
30,3003514,ALLOGRAFT CYMETRA (301-400)," $1,641.00 "
30,3000056,ALLOGRAFT HUMAN (1001-1500)," $5,158.00 "
19,1912187,ALLOGRAFT HUMAN (19-20K)," $59,251.00 "
30,3003134,ALLOGRAFT SYNTHETIC (151-200), $821.00 
30,3004504,ALLOGRAFT SYNTHETIC (2501-3000)," $10,783.00 "
30,3004009,ALLOGRAFT SYNTHETIC (501-600)," $2,516.00 "
19,1918341,ALLOGRAFT TISSUE (2501-3000)," $10,783.00 "
19,1902378,ALLOGRAFT TISSUE (3501-4000)," $14,533.00 "
19,1918812,ALLOGRAFT TISSUE (501-600)," $2,516.00 "
94,9420878,ALLOPURINOL 100MG TABLET, $8.75 
94,9420886,ALLOPURINOL 300MG TABLET, $12.00 
48,4802922,ALPHA FETOPROTEIN L3 & TOTL AFP, $71.99 
48,4800082,ALPHA-1 ANTITRYPSIN TOTAL [AP, $14.63 
48,4803466,ALPHA-1 ANTITRYPSIN TOTAL [AP, $14.63 
48,4800090,ALPHA-1-ANTITRYPSIN PHENOTYPE [AP, $15.74 
01,0105106,ALPHA-FETOPROTEIN (AFP) SERUM, $211.00 
94,9420910,ALPRAZOLAM 0.25MG TABLET, $13.75 
94,9420936,ALPRAZOLAM 1MG TABLET, $16.25 
94,9404195,ALTEPLASE 2MG INJECTION, $546.25 
94,9404161,ALTEPLASE 50MG INJECTION," $13,616.25 "
94,9446436,ALUM HYDRO 320MG/5ML SUSP 30ML, $12.50 
94,9457896,ALVIMOPAN 12MG CAPSULE, $432.00 
94,9421041,AMANTADINE 100MG CAPSULE, $8.00 
94,9421058,AMANTADINE 100MG/10ML SYRUP, $18.75 
19,1903145,AMBIANT SUPER TURBOVAC (251-300)," $1,007.00 "
94,9400326,AMIKACIN 1G/4ML INJECTION, $83.00 
94,9421157,AMILORIDE 5MG TABLET, $26.25 
94,9421223,AMINO ACID 8.5% W/LYTES 500ML, $222.00 
94,9421231,AMINO ACIDS 10% 500ML, $222.00 
94,9421249,AMINO ACIDS 10% W/LYTES 500ML, $222.00 
94,9421264,AMINO ACIDS 5.5% 500ML, $222.00 
94,9421272,AMINO ACIDS 5.5% W/LYTES 500ML, $222.00 
94,9421215,AMINO ACIDS 8.5% 500ML, $222.00 
94,9421306,AMINOCAPROIC ACID 500MG TABLET, $62.00 
94,9419250,AMINOCAPROIC ACID 5G/20ML INJ, $44.00 
94,9400367,AMINOPHYLLINE 500MG/20ML INJ, $28.75 
94,9400375,AMIODARONE 150MG/3ML INJECTION, $52.50 
94,9421371,AMIODARONE 200MG TABLET, $31.25 
94,9421447,AMITRIPTYLINE 100MG TABLET, $25.00 
94,9421454,AMITRIPTYLINE 10MG TABLET, $10.00 
94,9421470,AMITRIPTYLINE 25MG TABLET, $12.00 
94,9421488,AMITRIPTYLINE 50MG TABLET, $17.00 
94,9421504,AMLODIPINE  10MG TABLET, $24.00 
94,9421512,AMLODIPINE 2.5MG TABLET, $20.00 
94,9421520,AMLODIPINE 5MG TABLET, $20.00 
94,9421553,AMMONIUM LACTATE 12% LOT 225G, $213.75 
19,1923192,AMNIOTIC MEMBRANE (1501-2000)," $7,033.00 "
19,1913326,AMNIOTIC MEMBRANE (501-600)," $2,516.00 "
19,1918333,AMNIOTIC MEMBRANE (901-1000)," $4,266.00 "
19,1913979,AMNIOTIC MEMBRANE(1001-1500)," $5,158.00 "
19,1918887,AMNIOTIC MEMBRANE(2001-2500)," $8,908.00 "
94,9421728,AMOX-CLAV 250MG-62.5MG/5ML SUSP, $42.50 
94,9465568,AMOXICILLIN 125MG/5ML 100ML, $47.00 
94,9421637,AMOXICILLIN 2.5G/100ML SUSP, $65.00 
94,9421645,AMOXICILLIN 250MG CAPSULE, $10.00 
94,9421678,AMOXICILLIN 250MG/5ML 80 ML MDV, $60.00 
94,9462821,AMOXICILLIN 400MG/5ML SUSP 50ML, $57.00 
94,9421702,AMOXICILLIN 500MG CAPSULE, $11.25 
94,9422650,AMOXICILLIN-CLAVULANATE 250-125MG T, $48.75 
94,9400409,AMPHOTERICIN B 50MG INJECTION, $251.25 
94,9400441,AMPHOTERICIN B LIPID 100MG INJ, $907.00 
94,9400474,AMPICILLIN 1000MG INJECTION, $72.00 
94,9421744,AMPICILLIN 125MG/5ML SUSP, $11.25 
94,9400508,AMPICILLIN 2000MG INJECTION, $88.75 
94,9421769,AMPICILLIN 250MG/5ML SUS 100ML, $102.00 
94,9421793,AMPICILLIN 500MG CAPSULE, $11.25 
94,9447210,AMPICILLIN 500MG INJECTION, $43.75 
94,9400581,AMPICILLIN/SULBACTAM 1.5G INJ, $55.00 
94,9400599,AMPICILLIN/SULBACTAM 3G INJ, $87.00 
18,1861814,AMPLATZER SEPTAL OCCLUDER," $14,891.00 "
19,1904473,AMS CONTROL ACCESSORY KIT," $2,459.00 "
94,9421835,ANAGRELIDE 0.5MG CAPSULE, $69.00 
48,4804472,ANALYSIS F2 GENE 20210G>A VAR [AP, $31.83 
48,4804464,ANALYSIS F5 GENE LEIDEN VARIANT [AP, $31.83 
30,3050960,ANALYZE NEURO STIMULATOR," $1,220.00 "
94,9421850,ANASTROZOLE 1MG TABLET, $106.25 
30,3002094,ANESTHESIA (MINUTES), $25.00 
19,1942093,"ANESTHESIA, MIN", $25.00 
04,0430660,ANGIOCATH, $99.00 
19,1941087,ANGIOCATH (11-50), $166.00 
18,1802123,ANGIODYNAMIC SOS CATHETER, $111.00 
13,1300334,ANGIOGRAM PULMONARY NONSELECT," $3,684.00 "
03,0321935,ANGIOGRAM VISCERAL W OR W/O FLUSH," $10,436.00 "
13,1300250,ANGIOGRAM VISCERAL W OR W/O FLUSH," $10,436.00 "
19,1909084,ANGIOGRAPHIC IMAGE CATH (11-50), $166.00 
13,1300284,ANGIOGRAPHY ADRENAL BILAT SELECTIVE," $9,306.00 "
13,1300276,ANGIOGRAPHY ADRENAL UNI SELECT LT," $9,037.00 "
13,1300268,ANGIOGRAPHY ADRENAL UNI SELECT RT," $9,037.00 "
03,0321976,ANGIOGRAPHY EA ADDL VESSEL," $6,703.00 "
13,1300342,ANGIOGRAPHY EA ADDL VESSEL," $6,703.00 "
03,0336701,ANGIOGRAPHY EXTREMITY BILAT," $8,274.00 "
03,0396713,ANGIOGRAPHY EXTREMITY BILAT," $8,274.00 "
13,1300243,ANGIOGRAPHY EXTREMITY BILAT," $8,274.00 "
18,1860881,ANGIOGRAPHY EXTREMITY BILAT," $8,274.00 "
03,0304675,ANGIOGRAPHY EXTREMITY UNILAT," $7,612.00 "
13,1300201,ANGIOGRAPHY EXTREMITY UNILAT," $7,612.00 "
18,1860774,ANGIOGRAPHY EXTREMITY UNILAT," $7,612.00 "
03,0302026,ANGIOGRAPHY EXTREMITY UNILAT LT," $7,612.00 "
03,0396705,ANGIOGRAPHY EXTREMITY UNILAT LT," $7,612.00 "
13,1300227,ANGIOGRAPHY EXTREMITY UNILAT LT," $7,612.00 "
18,1860873,ANGIOGRAPHY EXTREMITY UNILAT LT," $7,612.00 "
03,0302034,ANGIOGRAPHY EXTREMITY UNILAT RT," $7,612.00 "
03,0396697,ANGIOGRAPHY EXTREMITY UNILAT RT," $7,612.00 "
13,1300235,ANGIOGRAPHY EXTREMITY UNILAT RT," $7,612.00 "
18,1851435,ANGIOGRAPHY EXTREMITY UNILAT RT," $7,612.00 "
18,1801661,ANGIOGRAPHY ILIAC DURING CCATH," $4,333.00 "
18,1871011,ANGIOGRAPHY INTERNAL MAMMARY," $3,397.00 "
03,0300483,ANGIOGRAPHY PELVIC SELECT/SUPRA," $10,327.00 "
13,1300292,ANGIOGRAPHY PELVIC SELECT/SUPRA," $10,327.00 "
03,0376046,ANGIOGRAPHY PULMONARY BILAT SELECT," $9,037.00 "
13,1300326,ANGIOGRAPHY PULMONARY BILAT SELECT," $9,037.00 "
03,0370197,ANGIOGRAPHY PULMONARY UNI SEL LT," $7,048.00 "
13,1300300,ANGIOGRAPHY PULMONARY UNI SEL LT," $7,048.00 "
03,0370213,ANGIOGRAPHY PULMONARY UNI SEL RT," $7,048.00 "
13,1300318,ANGIOGRAPHY PULMONARY UNI SEL RT," $7,048.00 "
13,1300219,ANGIOGRAPHY SPINAL SELECTIVE," $12,444.00 "
18,1860675,ANGIOJET PUMPSET," $1,406.00 "
48,4800132,ANGIOTENSIN I-CONV ENZYME (ACE) [AP, $15.90 
94,9466574,ANGIOTENSIN II 2.5MG/1ML INJ," $6,773.00 "
12,1215029,ANKLE BRACE, $73.00 
19,1907641,ANKLE JOINT DEVICE (4501-5000)," $16,408.00 "
04,0498915,ANKLE/FOOT ORTHOSIS," $3,878.00 "
38,3801040,ANOSCOPY DX W/COLL SPECIMEN(S), $516.00 
19,1925205,ANTERIOR CHMBR IOL (101-150), $603.00 
19,1917616,ANTERIOR CHMBR IOL (151-200), $821.00 
48,4802823,ANTIBODY  HELICOBACTER PYLORI [AP, $16.04 
48,4800231,ANTIBODY ASPERGILLUS [AP, $16.39 
48,4803540,ANTIBODY ASPERGILLUS [AP, $16.39 
48,4803920,ANTIBODY BORRELIA BURGORFERI [AP, $18.54 
48,4800272,ANTIBODY BRUCELLA [AP, $9.61 
48,4800454,ANTIBODY CHLAMYDIA IGM [AP, $13.82 
48,4800553,ANTIBODY COCCIDIOIDES [AP, $10.64 
48,4800579,ANTIBODY COCCIDIOIDES [AP, $10.64 
48,4800595,ANTIBODY COCCIDIOIDES [AP, $10.64 
48,4800611,ANTIBODY COCCIDIOIDES [AP, $10.64 
48,4800629,ANTIBODY COCCIDIOIDES [AP, $10.64 
48,4803565,ANTIBODY COCCIDIOIDES [AP, $10.64 
01,0105122,ANTIBODY CYTOMEGALOVIRUS CMV, $177.00 
48,4800504,ANTIBODY CYTOMEGALOVIRUS CMV [AP, $12.97 
01,0105130,ANTIBODY CYTOMEGALOVIRUS CMV IGM, $232.00 
48,4804589,ANTIBODY CYTOMEGALOVIRUS IGM [AP, $15.07 
48,4800702,ANTIBODY ENTEROVIRUS [AP, $14.18 
48,4804225,ANTIBODY FUNGUS NES [AP, $13.34 
48,4804175,ANTIBODY HELMINTH NES [AP, $14.16 
48,4801213,ANTIBODY HEPATITIS DELTA AGENT, $18.98 
48,4801239,ANTIBODY HEPATITIS DELTA AGENT, $88.30 
48,4811071,ANTIBODY HERPES SIMPLEX TYPE 1 [AP, $11.86 
48,4811089,ANTIBODY HERPES SIMPLEX TYPE 2 [AP, $17.27 
48,4801304,ANTIBODY HISTOPLASMA [AP, $13.61 
01,0100537,ANTIBODY HIV-1 & HIV-2 1 RESULT, $215.00 
01,0197418,ANTIBODY HIV-1 & HIV-2 1 RESULT, $215.00 
48,4801320,ANTIBODY HTLV/HIV CONFIRM TEST [AP, $17.72 
48,4803276,ANTIBODY HTLV/HIV CONFIRM TEST [AP, $17.72 
48,4804613,ANTIBODY ID LEUKOCYTE AB [AR, $404.00 
48,4801247,ANTIBODY ID PLATELET ANTIBODIES [AP, $20.00 
48,4802013,ANTIBODY ID PLATELET ANTIBODIES [AP, $20.00 
48,4804969,ANTIBODY ID PLATELET ANTIBODIES [AP, $210.00 
48,4804621,ANTIBODY ID PLATELET ANTIBODIES [AR, $404.00 
48,4802005,ANTIBODY ID PLATELET IMMUNO [AP, $13.56 
48,4803391,ANTIBODY ID PLATELET IMMUNO [AP, $13.56 
48,4801627,ANTIBODY LEGIONELLA [AP, $16.66 
01,0100545,ANTIBODY MUMPS, $71.00 
48,4801825,ANTIBODY MYCOPLASMA [AP, $14.42 
48,4801957,ANTIBODY PARVOVIRUS [AP, $16.37 
48,4800801,ANTIBODY PROTOZOA NES [AP, $13.49 
48,4804514,ANTIBODY RICKETTSIA [AP, $21.07 
01,0100560,ANTIBODY RUBEOLA, $90.00 
41,4101804,ANTIBODY SCREEN RBC EACH SERUM, $209.00 
48,4802427,ANTIBODY TOXOPLASMA [AP, $12.81 
48,4802435,ANTIBODY TOXOPLASMA IGM [AP, $12.83 
48,4802864,ANTIBODY TREPONEMA PALLIDUM [AP, $11.69 
01,0100552,ANTIBODY VARICELLA-ZOSTER, $76.00 
48,4801403,ANTIBODY VIRUS NES [AP, $14.02 
48,4803011,ANTIBODY WEST NILE VIRUS [AP, $15.66 
48,4803003,ANTIBODY WEST NILE VIRUS IGM [AP, $18.34 
48,4800009,ANTINUCLEAR AB ANA TITER [AP, $10.35 
48,4800173,ANTINUCLEAR ANTIBODIES ANA [AP, $10.88 
48,4802310,ANTISTREPTOLYSIN O TITER [AP, $6.58 
48,4800181,ANTITHROMBIN III ACTIVITY [AP, $10.47 
48,4803342,ANTITHROMBIN III ANTIGEN ASSAY [AP, $11.77 
94,9426289,ANTITHYMOCYTE GLOB 250MG INJ," $3,963.75 "
03,0336826,AORTOGRAM ABD BI ILIOFEM LWR EXT," $7,658.00 "
13,1300193,AORTOGRAM ABD BI ILIOFEM LWR EXT," $7,658.00 "
18,1860758,AORTOGRAM ABD BI ILIOFEM LWR EXT," $7,658.00 "
03,0345207,AORTOGRAPHY ABD BY SERIALOGRAPHY," $7,612.00 "
13,1300185,AORTOGRAPHY ABD BY SERIALOGRAPHY," $7,612.00 "
18,1860741,AORTOGRAPHY ABD BY SERIALOGRAPHY," $7,612.00 "
03,0336867,AORTOGRAPHY THORACIC W/SERIALOGRPHY," $7,048.00 "
13,1300177,AORTOGRAPHY THORACIC W/SERIALOGRPHY," $7,048.00 "
94,9421892,APAP 120MG SUPPOSITORY, $2.00 
94,9421918,APAP 160MG/5ML SUSP, $18.75 
94,9421926,APAP 325MG SUPPOSITORY, $1.25 
94,9421934,APAP 325MG TABLET, $1.25 
94,9421959,APAP 500MG TABLET, $1.25 
94,9421967,APAP 650MG SUPPOSITORY, $1.25 
94,9421983,APAP 650MG/20.3ML SOLN, $13.75 
94,9422015,APAP-CODEINE 120-12MG/5 ML, $18.00 
94,9422031,APAP-CODEINE 300-30MG TABLET, $10.00 
94,9422049,APAP-CODEINE 300-60MG TABLET, $15.00 
94,9422072,APAP-HYDROCODONE 325-10MG TAB, $15.00 
94,9422080,APAP-HYDROCODONE 325-5MG TAB, $13.00 
94,9422098,APAP-HYDROCODONE 325-7.5MG TAB, $12.00 
94,9420357,APAP-OXYCODONE 325-10MG TAB, $32.50 
94,9422130,APAP-OXYCODONE 325-5 MG TAB, $17.00 
25,2522258,APHASIA EVAL PER HOUR, $571.00 
94,9459934,APIXABAN 2.5MG TABLET, $48.00 
94,9459546,APIXABAN 5MG TABLET, $48.00 
31,3101334,APPL SHORT LEG SPLINT, $800.00 
