WATSONVILLE COMMUNITY HOSPITAL,,,
,,,
SVCCD,DESC, PRICE1 , PRICE2 
1061526,S-INS CATH RENART 1U," 9,691.32 ", -   
1061527,S-INS CATH RENART 1B," 10,763.51 ", -   
1061535,S-INS CATH RENART 2B," 10,763.51 ", -   
1061536,S-INS ENDO VENA CAVA," 51,001.43 ", -   
1061537,S-REDO ENDO VENA CAV," 35,191.55 ", -   
1061538,S-REM ENDO VENA CAVA," 35,191.55 ", -   
1061539,S-INS PULSE GEN MULT," 45,659.29 ", -   
1061540,S-REM-REP PM GEN SNG," 49,079.68 ", -   
1061541,S-REM-REP PM GEN DUL," 52,492.99 ", -   
1061542,S-REM-REP PM GEN MLT," 52,492.99 ", -   
1061543,S-INS PULSE GEN DUAL," 89,069.55 ", -   
1061544,S-INS ICD PLS GN MLT," 89,069.55 ", -   
1061545,S-REM-REP CVD SINGLE," 89,069.55 ", -   
1061546,S-REM-REP CVD DUAL," 89,069.55 ", -   
1061547,S-REM-REP CVD MULT," 89,069.55 ", -   
1061573,S-TRNSCTH THROM ART," 54,103.02 ", -   
1061574,S-TRNSCTH THROM VEN," 54,103.02 ", -   
1061598,IR-TC PLC STN ART IN," 72,461.51 ", -   
1061702,IR-CAT DIAL TRAN BAL," 9,887.13 ", -   
1061705,IR-THRMBC TRAN BAL," 9,887.13 ", -   
1061801,IR-TLUM BAL ANG 1STA," 62,600.32 ", -   
1110801,OR LEV 1 INI 15 MIN," 5,201.91 ", -   
1110802,OR LEV 2 INI 15 MIN," 6,938.60 ", -   
1110803,OR LEV 3 INI 15 MIN," 8,671.18 ", -   
1110804,OR LEV 4 INI 15 MIN," 10,407.85 ", -   
1110805,OR LEV 5 INI 15 MIN," 12,140.49 ", -   
1110806,OR LEV 6 INI 15 MIN," 13,873.14 ", -   
1110811,OR LEV 1 EA ADD MIN, 173.26 , -   
1110812,OR LEV 2 EA ADD MIN, 229.68 , -   
1110813,OR LEV 3 EA ADD MIN, 288.09 , -   
1110814,OR LEV 4 EA ADD MIN, 344.53 , -   
1110815,OR LEV 5 EA ADD MIN, 402.96 , -   
1110816,OR LEV 6 EA ADD MIN, 459.33 , -   
1110821,AD PROCEDURE OR LV 1," 5,201.91 ", -   
1110822,AD PROCEDURE OR LV 2," 6,938.60 ", -   
1110823,AD PROCEDURE OR LV 3," 8,671.18 ", -   
1110824,AD PROCEDURE OR LV 4," 10,407.85 ", -   
1110825,AD PROCEDURE OR LV 5," 12,140.49 ", -   
1110826,AD PROCEDURE OR LV 6," 13,873.14 ", -   
1110841,PAIN MGMT IN PROC L1," 8,173.57 ", -   
1110842,PAIN MGMT IN PROC L2," 10,790.67 ", -   
1110851,PERFUSION LEVEL 1," 3,304.46 ", -   
1110864,LITHOTRIPSY," 47,584.87 ", -   
1120001,PACU LEV 1 INI 15 MN," 1,433.87 ", -   
1120002,PACU LEV 2 INI 15 MN," 2,149.80 ", -   
1120003,PACU LEV 3 INI 15 MN," 2,867.71 ", -   
1120004,PACU LEV 4 INI 15 MN," 3,583.61 ", -   
1120011,PACU LEV 1 EA ADD MN, 40.22 , -   
1120012,PACU LEV 2 EA ADD MN, 60.32 , -   
1120013,PACU LEV 3 EA ADD MN, 82.47 , -   
1120014,PACU LEV 4 EA ADD MN, 102.55 , -   
1131111,ANES LV 1 INI 15 MIN," 2,411.22 ", -   
1131112,ANES LV 2 INI 15 MIN," 3,615.79 ", -   
1131113,ANES LV 3 INI 15 MIN," 4,822.39 ", -   
1131114,ANES LV 4 INI 15 MIN," 6,027.02 ", -   
1131121,ANES LV 1 EA ADD MIN, 74.40 , -   
1131122,ANES LV 2 EA ADD MIN, 110.61 , -   
1131123,ANES LV 3 EA ADD MIN, 148.81 , -   
1131124,ANES LV 4 EA ADD MIN, 185.06 , -   
1138501,LABOR EPIDURAL, 74.40 , -   
1160111,GI LAB LEV 1 1ST 15," 2,578.78 ", -   
1160112,GI LAB LEV 2 1ST 15," 2,922.60 ", -   
1160113,GI LAB LEV 3 1ST 15," 3,266.45 ", -   
1160114,GI LAB LEV 4 1ST 15," 3,782.21 ", -   
1160141,GASTROESOP REFLX TST," 3,149.54 ", -   
1160142,G ESOPH TEST W ELEC," 3,028.40 ", -   
1160148,ESOPHAGUS MOTIL STUD," 3,469.32 ", -   
1160151,GASTRIC MOTILITY," 2,994.90 ", -   
1160163,DUODENAL MOT STUDY," 2,994.90 ", -   
1160403,MODSED SAME ADD15MIN, 83.70 , -   
1210007,IVIG (OCTAGAM) 500MG, 81.38 , -   
1210013,ZOLEDRONIC ACID 1MG, 725.10 , -   
1210016,CEPHALEX 250/5 100ML, 21.09 , -   
1210022,OXYCODONE 5MG/5ML OR, 16.33 , -   
1210027,ALTEPLASE RECOM 1MG, 517.20 , -   
1210031,NICARDIP 25/10ML INJ, 137.94 , -   
1210035,LEVALBUT1.25MG/0.5ML, 120.52 , -   
1210060,MICONAZ 2%VAG CR 45G, 51.20 , -   
1210080,MORPHIN .5MG/.5ML OR, 150.62 , -   
1210083,HYDROMORPH UP TO 4MG, 54.73 , -   
1210090,LEVETIRACET 10MG INJ, 19.15 , -   
1210093,PENTAMIDIN NEB 300MG," 3,292.41 ", -   
1210095,FLU VAC NOPRSV ANTIG, 175.75 , -   
1210103,ACETYLCYST COMP UD, 241.04 , -   
1210115,RIVASTIG 9.5MG PATCH, 30.03 , -   
1210116,RIVASTIG 4.6MG PATCH, 30.03 , -   
1210121,ACETYLCYS 10%INH 10M, 65.29 , -   
1210130,MORPHINE UP TO 10MG, 210.40 , -   
1210134,PRAMO1-HC AC1%FM 10G, 191.45 , -   
1210140,CLOPIDOGREL 300MG TB, 80.44 , -   
1210145,CEFEPIME 500MG INJ, 180.77 , -   
1210146,CEFOTAXIME NA 1GM, 152.32 , -   
1210147,ALTEPLASE RECOM 1MG, 544.58 , -   
1210148,ALTEPLASE RECOM 1MG, 544.58 , -   
1210149,CEFOXITIN 1GM IJ, 26.29 , -   
1210152,PALIVIZUMAB 50MG," 2,636.27 ", -   
1210156,CASPOFUNGIN ACE 5MG, 844.94 , -   
1210162,OCTREOTIDE ND 25MCG, 61.94 , -   
1210164,OCTREOTIDE ND 25MCG, 126.74 , -   
1210165,OCTREOTIDE ND 25MCG, 152.09 , -   
1210166,PAMIDRONATE 30MG IJ," 1,855.00 ", -   
1210176,FOSPHENYTOIN 50MG, 8.82 , -   
1210183,ENOXAPARIN 10MG INJ, 119.79 , -   
1210185,ENOXAPARIN 10MG INJ, 119.79 , -   
1210188,AMPICILLIN/SUB 1.5GM, 390.01 , -   
1210194,CEFAZOLIN 500MG INJ, 20.09 , -   
1210195,CEFTRIAXONE 250MGINJ, 202.28 , -   
1210196,CEFTRIAXONE 250MGINJ, 202.28 , -   
1210197,CEFTRIAXONE 250MGINJ, 202.28 , -   
1210198,CEFUROXIME 750MG INJ, 545.67 , -   
1210199,CEFTAZIDIM 500MG INJ, 523.89 , -   
1210201,CILAS NA IMIP 250MG, 464.73 , -   
1210202,CIPROFLOXAC 200MG IV, 381.63 , -   
1210204,DEFEROXAMIN 500MGINJ, 130.14 , -   
1210205,DEXAMETH NA 1MG INJ, 18.42 , -   
1210206,PHENYTOIN NA 50MGINJ, 80.35 , -   
1210207,DOBUTAMINE 250MG INJ, 990.90 , -   
1210209,CEFOTAXIME NA 1GM, 152.32 , -   
1210210,MEROPENEM 100MG INJ, 185.90 , -   
1210211,ACYCLOVIR 5MG INJ, 25.34 , -   
1210212,ACYCLOVIR 5MG INJ, 0.25 , -   
1210221,FONDAPARINUX 0.5MG, 39.94 , -   
1210222,FONDAPARINUX 0.5MG, 39.94 , -   
1210224,LEVOFLOXAC 250MG INJ," 1,013.92 ", -   
1210225,LEVOFLOXAC 250MG INJ," 1,013.92 ", -   
1210229,IVIG (OCTAGAM) 500MG, 81.38 , -   
1210233,KETOROLAC 15MG INJ, 276.71 , -   
1210235,AMIODARONE 30MG INJ, 42.26 , -   
1210236,AMPICILLIN 500MG INJ, 202.53 , -   
1210237,AMPICILLIN 500MG INJ, 172.40 , -   
1210238,FLUCONAZOL 200MG INJ," 2,441.88 ", -   
1210243,BISMUTH SUB 262MG/15, 7.02 , -   
1210246,H-COD7.5-APAP500/15M, 60.24 , -   
1210250,BUPIVAC-MPF .5% 30ML, 434.55 , -   
1210251,MORPHINE PF 10MG INJ, 713.06 , -   
1210255,BETAXOLOL 0.5% OS 5M, 200.85 , -   
1210262,FUROSEMIDE 20MG INJ, 46.86 , -   
1210263,FUROSEMIDE 20MG INJ, 170.73 , -   
1210266,MEGESTROL 400MG/10ML, 287.28 , -   
1210267,MEPERID HCL 100MGINJ, 81.99 , -   
1210268,MEPERID HCL 100MGINJ, 81.99 , -   
1210269,MEPERID HCL 100MGINJ, 81.99 , -   
1210282,CLOBETAS .05% CR 30G, 89.99 , -   
1210294,PIPER/TAZOB 1G/.125G, 338.59 , -   
1210327,EPTIFABITIDE 5MG IJ, 439.39 , -   
1210330,APAP/OXYCOD325/5 5ML, 8.40 , -   
1210331,ALUMINUM HYD 320/5ML, 38.40 , -   
1210341,ASCORB AC500/5ML LIQ, 6.44 , -   
1210342,AMIODARONE 30MG INJ, 42.26 , -   
1210349,CLOTRIM 1% SOLN 10ML, 64.50 , -   
1210351,ANALGESIC BALM 30GM, 20.09 , -   
1210366,PHEN-SHK-MO-PE OIN30, 182.45 , -   
1210371,CARBID25-LEVO100MGTB, 71.97 , -   
1210400,CALCIPOTR.005%CR 60G, 814.39 , -   
1210407,EMOLLIENT LOT 120ML, 12.78 , -   
1210436,PED MVI/FE 10/ML 50M, 63.88 , -   
1210466,NEBIVOLOL 5MG TAB, 20.46 , -   
1210474,PANTOPRAZ 40MG PKT, 84.66 , -   
1210479,IVIG (PRIVIGEN)500MG," 1,073.08 ", -   
1210487,VANCOMYCIN 500MG INJ, 228.14 , -   
1210490,ACETIC ACID.25% 1000, 165.87 , -   
1210495,MESALAMIN 1.2GM DRTB, 65.53 , -   
1210498,THROMBIN 5000U RECOM, 342.47 , -   
1210507,DEXAMETH 0.25MG ORAL, 4.10 , -   
1210538,MIDAZOL  HCL 1MG INJ, 59.17 , -   
1210552,PHYTONADIONE 1MG INJ, 40.01 , -   
1210554,IPRA-ALBU.5-2.5MG/3M, 36.34 , -   
1210555,TOBRAMYCIN UPTO 80MG, 422.49 , -   
1210558,VANCOMYCIN 500MG INJ, 228.14 , -   
1210563,HYDR PEROX 3% 240ML, 65.29 , -   
1210569,POTASSI CHL 2MEQ INJ, 15.65 , -   
1210593,HIV KIT EXPAND-VIRAC," 1,159.47 ", -   
1210609,LIDO-MPF 0.5% 50ML, 25.75 , -   
1210641,LIDOCAINE 1.5% 20ML, 682.91 , -   
1210663,P-EP/SHARK/COCOA SUP, 65.29 , -   
1210666,LUBIPROSTONE 8MCG CP, 14.37 , -   
1210677,INTEGRAFLOW WND 1CC," 4,219.04 ", -   
1210710,LIDO-MPF1%/EPI 10ML, 334.75 , -   
1210711,LIDOC-MPF 2% INJ 2ML, 117.14 , -   
1210714,H-COD2.5-APAP167/5ML, 57.93 , -   
1210732,HYDROMOR.2MG/ML 100M, 399.30 , -   
1210736,MAGNES SULF 500MGINJ, 202.81 , -   
1210739,POTASSI CHL 2MEQ INJ, 12.78 , -   
1210741,MORPHINE UP TO 10MG, 203.74 , -   
1210746,MULTIVITAM INJ 10ML, 141.63 , -   
1210752,VIT D3 1000UNT TAB, 19.68 , -   
1210753,PENTOBARBITAL 50MG, 161.09 , -   
1210757,TRANEXAMIC 1000MG IJ, 68.26 , -   
1210779,DOCUSATE NA 250MG CP, 5.03 , -   
1210789,MAGNES SULF 500MGINJ, 50.22 , -   
1210798,DOPAMIN HCL 40MG INJ, 25.34 , -   
1210801,DEXAMETH NA 1MG INJ, 10.04 , -   
1210802,DEXAMETH NA 1MG INJ, 21.75 , -   
1210816,FENTANY CIT 0.1MGINJ, 178.34 , -   
1210823,ALBUMIN 5% 250ML IV," 1,207.08 ", -   
1210876,RANITIDINE 25MG INJ, 65.29 , -   
1210881,DEXAMETH 0.25MG ORAL, 2.50 , -   
1210889,MED CHAIN TRIGLY 5ML, 11.45 , -   
1210890,MORPH PO 20MG/ML 1ML, 144.84 , -   
1210895,TACROLIMUS 1MG PO, 80.35 , -   
1210896,RIFAMPIN SUSP 600/24, 214.23 , -   
1210901,HEPARIN 1000U INJ, 15.06 , -   
1210902,HEPARIN 1000U INJ, 29.96 , -   
1210912,SOD CHLOR .9% 1500ML, 30.71 , -   
1210915,FIBRIN SEALANT 10ML," 15,214.96 ", -   
1210921,FACTOR VIIA 1MCG," 4,058.13 ", -   
1210926,TRIAMCINOL A 1MG INJ, 11.81 , -   
1210929,OASIS WOUND MAT SQCM, 31.87 , -   
1210931,INTEGRA BMWD SQ CM, 65.26 , -   
1210933,DERMAGRAFT SQ CM, 142.29 , -   
1210961,REGADENOSON 0.1MG IJ, 221.42 , -   
1210967,DEXAMETH NA 1MG INJ, 9.66 , -   
1210968,LORAZEPAM 2MG INJ, 42.24 , -   
1210973,FIBRIN SEALANT 4ML," 6,085.99 ", -   
1210975,MICAFUNGIN 1MG INJ, 26.98 , -   
1211027,DARBEPO 1MCG NO-ESRD, 76.04 , -   
1211034,POTASSI CHL 2MEQ INJ, 39.09 , -   
1211035,DOPAMIN HCL 40MG INJ, 92.97 , -   
1211037,MIDAZOL  HCL 1MG INJ, 59.17 , -   
1211038,MIDAZOL  HCL 1MG INJ, 1.68 , -   
1211039,GENTAMICIN UPTO 80MG, 195.86 , -   
1211040,GENTAMICIN 80MG INJ, 156.42 , -   
1211045,METHOTREX NA 5MG, 5.94 , -   
1211048,EPO NESRD 1000 U INJ, 140.49 , -   
1211051,EPO NESRD 1000 U INJ, 140.49 , -   
1211052,EPO NESRD 1000 U INJ, 140.49 , -   
1211075,APAP 325MG/10.15ML, 9.30 , -   
1211089,ANTIP-BENZ-POLY 14ML, 10.04 , -   
1211091,HYDROCORTIS 100MGINJ, 160.68 , -   
1211093,ROPIVACAINE 1MG INJ, 1.68 , -   
1211094,METHYLPRED 125MG INJ, 236.58 , -   
1211109,ACETYLCYS 20%INH 30M," 1,098.41 ", -   
1211114,HEPARIN 1000U INJ, 13.80 , -   
1211116,POTASSI CHL 2MEQ INJ, 39.09 , -   
1211117,HEPARIN NA 10U FLUSH, 6.69 , -   
1211128,DEXAMETH 0.25MG ORAL, 1.89 , -   
1211150,DOPAMIN HCL 40MG INJ, 92.97 , -   
1211151,DOPAMIN HCL 40MG INJ, 92.97 , -   
1211153,CEFAZOLIN 500MG INJ, 51.89 , -   
1211155,HEPARIN NA 10U FLUSH, 6.07 , -   
1211157,SOD CHLOR .9% 10ML, 33.48 , -   
1211159,MAGNES SULF 500MGINJ, 183.95 , -   
1211162,HEPARIN 1000U INJ, 29.96 , -   
1211166,HYDROXYZI UP TO 25MG, 25.75 , -   
1211167,NITROFUR MONO 100MG, 74.06 , -   
1211186,PHENYLEPHRIN 1ML INJ, 20.91 , -   
1211187,MAGNES SULF 500MGINJ, 5.55 , -   
1211190,TUBERCU 5U/.1ML .1ML, 103.01 , -   
1211199,DEXTROSE 50% 50ML, 277.86 , -   
1211202,MULTIVIT-MIN LIQ 5ML, 6.44 , -   
1211205,MULTIVITAMIN W/MINER, 5.03 , -   
1211206,APAP/COD 120-12/5ML, 65.29 , -   
1211208,K & NA PHOS PWD PKT, 10.04 , -   
1211215,AMINOPHYLL 250MG INJ, 81.99 , -   
1211216,DOBUTAMINE 250MG INJ," 1,981.79 ", -   
1211217,MORPHINE PF 10MG INJ, 713.06 , -   
1211219,DEX 5%/WATER 50ML, 406.73 , -   
1211223,METHYLPRED 125MG INJ, 236.58 , -   
1211254,MIDAZ 1MG/ML NS 50ML," 3,925.81 ", -   
1211347,MILRINONE 5MG INJ, 128.92 , -   
1211352,PREDNISOLONE 5MG TAB, 5.03 , -   
1211362,QUETIAPINE 50MG SRTB, 23.15 , -   
1211363,QUETIAPINE 150MGSRTB, 29.24 , -   
1211364,FENTANY CIT 0.1MGINJ, 5.03 , -   
1211383,PED MVI/MIN/C 45/1ML, 122.85 , -   
1211404,QUINIDINE SULF 300MG, 9.66 , -   
1211420,OPIUM 1% TINCTUR 1ML, 12.88 , -   
1211422,SOD CHL 3% 4ML NEB, 39.06 , -   
1211424,AMOX-CLAV 400-57 CHW, 17.71 , -   
1211449,PANCURON 10MG/5ML IJ, 831.88 , -   
1211460,ACETYLCYS 10%INH 4ML, 65.29 , -   
1211466,FLUTI/SALM 115/21 12, 11.85 , -   
1211467,FLUTI/SALM 230/21 12, 18.29 , -   
1211493,ALLODERM SQ CM, 70.32 , -   
1211494,ALUM 1% IRR 1000ML, 150.63 , -   
1211503,RABIES IG HEAT TX, 904.08 , -   
1211507,DRONEDRARONE 400MG, 46.07 , -   
1211520,PRASUGREL 10MG TAB, 24.29 , -   
1211524,LACOSAMIDE 50MG TAB, 16.41 , -   
1211528,BRIMONIDIN.15%OS 5ML, 477.17 , -   
1211530,NALBUPHINE 10MG INJ, 132.31 , -   
1211531,NEOSTIGMINE .5MG INJ, 9.00 , -   
1211532,OFLOXAC .3%OTIC 10ML, 75.68 , -   
1211533,LEVONORGEST 1.5MG TB, 77.90 , -   
1211542,CEFTRIAXONE 250MGINJ, 202.22 , -   
1211547,FOLIC AC/B COMX W/C, 9.66 , -   
1211639,GLYCERIN 2GM SUPP, 65.29 , -   
1211644,ATROPINE 0.01MG INJ, 3.40 , -   
1211663,ALPRAZOLAM ODT 0.5MG, 27.78 , -   
1211675,PROBIOTIC CAPSULE, 6.76 , -   
1211702,FLUCONAZOL 200MG INJ," 2,441.88 ", -   
1211706,SEVELAMER 0.8GM PWD, 30.11 , -   
1211727,SOD ACE 200MEQ/100ML, 396.70 , -   
1211728,K PHOS DI 3MM/ML 50M, 127.97 , -   
1211754,MIDAZ 1MG/ML NS100ML," 3,925.81 ", -   
1211765,BUDESONIDE 0.5MG/2ML, 103.79 , -   
1211767,NOREPI 8MG D5W 250ML, 771.65 , -   
1211780,NITROGLY 2% OIN 60GM, 86.00 , -   
