Procedure ID,Description,Amount
11105,GANCICLOVIR 500 MG INJ  ,779
11113,SPACR HIP 125X9MM BNE CM,10580
11127,LOSARTAN/HCTZ 100/25MG T,50.25
11149,AMIODARONE 30 MG INJ    ,54.75
11150,CLINDAMYCIN 600MG INJ   ,83.25
11194,XALANTAN .005% OS 2.5ML ,983.5
11218,ORAMORPH 15 SR          ,28
11229,ACCUZYME OINT 30GM      ,633.25
11241,BIAXIN 250- 5ML 50ML    ,890
11274,FIORICET TAB            ,31.25
11309,LIDO 2% + EPI 1:200000 I,219.75
11310,LIDO 2% + EPI 1:100000 I,120
11321,HC/PRAMOXINE 1% CR 60GM ,1700
11332,VALTREX 500MG CAPLET    ,143.75
11354,XYLOCAINE MPF 10        ,88
11365,XYLOCAINE MPF 2         ,101
11398,CYCLOSPORINE 100 MG PO  ,111.75
11401,LAMICTRAL 25MG T        ,90.25
11412,ALLEGRA 60MG            ,19.75
11423,UNIVASC 7.5MG T         ,37.75
11445,WELLBUTRIN 100MG C      ,60.5
11456,LAMIVUDINE 150 MG TAB   ,126
11503,TACROLIMUS IMM 1 MG PO  ,88
11514,ATROVENT NASAL P .06    ,23.75
11536,CALC CARB (VIT D) TAB   ,16.5
11570,ASPIRIN 81MG EC         ,0.25
11592,CARNITOR 330MG TAB      ,21.25
11605,FOSPHEN PE 50 MG INJ    ,183.75
11661,OXYCODONE 20MG T        ,73.75
11672,OXYCODONE 5MG TAB       ,19.75
11683,PROPRANALOL 60MG SA     ,24.75
11707,URISED TAB              ,18
11729,HYSKON                  ,313.75
11774,SYNTHROID 0.088MG       ,16.5
11810,MORP SULF IR 15MG       ,19.75
11821,MORPHINE SULF SA 30MG   ,47.25
11887,NITRO 50MG/10ML SDV     ,114
11898,ALBUTEROL 2MG/5ML SYRUP ,14.75
11901,VITAMIN D 50MUN         ,41
11912,WELLBUTRIN 75MG         ,47.25
11923,ACYCLOVIR 200MG/5ML SUSP,85
11934,ZYPREXA 5MG TAB         ,178.25
11956,STERILE VIAL 30ML       ,192.5
11967,D5LR W/20KCL 1000ML     ,261.25
11978,D5/NS W/20KCL 1000ML    ,261.25
12026,LIPITOR 10MG            ,59.5
12071,LIDOCAINE/EPI 1% 20ML   ,60.5
12093,LIDOCAINE 1% 20ML VIAL  ,53.5
12117,FLUOROMETH .1% OP OI3.5G,213.25
12128,CASODEX 50MG TAB        ,339.75
12139,HUMULIN 50/50 1ML       ,32.75
12151,ENLON10MG/ML 15ML       ,158
12173,ARIMIDEX 1MG TAB        ,224.75
12184,SUDAFED 12HR            ,16.5
12195,ARICEPT 5MG TAB         ,129.5
12208,MENINGOCOCCAL POLY VAC  ,1458.75
12219,ANDRODERM2.5MG PATCH    ,83.25
12220,CLOTRIMAZOLE 15GM CRM   ,219.75
12286,MELPHALAN 50 MG INJ     ,21136.5
12297,AUGMENTIN 875MG TAB     ,140.25
12311,WELLBUTRIN SR 150MG     ,68.75
12333,VASOCON-A OS 15ML       ,78.25
12344,DEPACON 500MG/5ML       ,248.5
12355,IOPIDINE O/S 0.5% 5ML   ,1072.75
12388,MIDODRINE 2.5 MG TAB    ,31.25
12402,LISINOPRIL 2.5MG TABS   ,16.5
12413,PREMPRO TABS #28        ,45.75
12457,COREG 12.5MG TAB        ,39.5
12479,CAL CHLORIDE 10% VIAL   ,56.5
12491,LACRI-LUBE OO NP        ,131.75
12515,LEVOTHROID 0.125MG      ,16.5
12548,LAMISIL 250MG           ,287.5
12559,AZITHROMYCIN 200MG/5ML  ,158
12560,NEORAL CAPS 25MG        ,31.25
12571,CELLCEPT CAPS 250MG     ,83.25
12582,KETOCONAZOLE 200MG TAB  ,56.5
12606,MIRAPEX .125MG TAB      ,59.5
12617,POLIO VACCINE (IPOL)    ,418.25
12628,ZIAC TAB 2.5MG          ,59.5
12630,DEF DRUG ANTIDEP TRI 6+ ,9.74
12631,AST (SGOT)              ,2.25
12632,CALR COMMON VAR IN EXON9,175
12639,TEGRETOL SR 200MG TAB   ,21.25
12662,MORPHINE EPD/IT PF 200MG,4095
12684,COMBIVENT INHALER 14.7G ,1641.75
12719,CLARITIN D TAB          ,18
12731,MACROBID 100MG          ,54.75
12742,ZOVIRAX 3GM TUBE        ,768.75
12811,NYS/TRIM/ACE CREAM 60GM ,91.5
12877,DEPAKOTE SPRINKLE 125MG ,23
12902,REMERON 15MG TAB        ,74.75
12913,TOBRAMYCIN 0.3% OPH SOLN,197
12935,ZOSYN 2.25GM VL         ,185.25
12946,COREG 3.125MG TAB       ,47.25
12957,MAXIDEX OPTH SUSP 5ML   ,564.25
12991,DAPSONE 100MG TAB       ,16.5
13016,COUMADIN 3MG TAB        ,24.75
13027,MIRAPEX 1MG TAB         ,64.25
13038,ACYCLOVIR 800MG TAB     ,60.5
13050,DIFLUCAN 200MG TAB      ,226.75
13107,VOLMAX 4MG SA TABLET    ,23
13152,EUCERIN LOTION 240ML    ,47.25
13185,NISOLDIPINE SA 10MG TAB ,37.75
13209,ANAGRELIDE 0.5MG CAP    ,110.5
13243,AUGMENTIN 400MG/5ML SUSP,282.75
13254,LEVAQUIN 500MG TAB      ,250.5
13265,PAROXETINE 10MG         ,68.75
13276,FEOSOL(IRON) 50MG CAPLET,16.5
13323,DOVONEX 30G CR          ,1804.75
13356,K-PHOS NEUTRAL          ,16.5
13378,AZITHROMYCIN 500 MG INJ ,173.5
13389,DEXTROAMPHETAMINE 5MG SP,16.5
13403,MIDAZOLAM 10 MG INJ     ,54.75
13469,KETOCONAZOLE 2% SHAMPOO ,495.5
13470,SOD CHL 5% OPH OINT 3.5G,106.75
13481,TAMSULOSIN HCL 0.4MG CAP,73.75
13505,ESTRATEST TABLET        ,68.75
13516,NICARDIPINE 20MG CAP    ,31.5
13538,TALC STERILE POWD 5GM   ,183.75
13550,EFFEXOR 75MG XR CAP     ,84.25
13572,OFLOXACIN 0.3% 5ML OTIC ,606.75
13583,VENLAFAXIME 37.5MG XL C ,76.25
13594,CHLORHEXIDINE 0.12% SOLN,47.25
13607,TORSEMIDE 20MG UD TAB   ,33
13629,VITAMIN B-100 COMPLEX   ,16.5
13641,TORSEMIDE 10MG UD TAB   ,29.75
13652,ACARBOSE 50MG TAB       ,23
13663,BSS OPHT IRR SOL 500 ML ,359
13696,FILGRASTIM 480 MCG INJ  ,4549.75
13732,DOXAZOSIN 1MG TAB       ,19.75
13743,LEVOFLOXACIN 25MG/ML IV ,556
13754,TIAGABINE 4MG TAB       ,78.25
13765,GUANFACINE 1MG TAB      ,21.25
13787,ECONAZOLE 1% TOP 15GM   ,322
13798,UNIPHYLL 600MG TAB      ,41
13878,NALOXONE 2MG/2ML SYRNGE ,275.75
13890,TERCONAZOLE-7 VAG CR    ,614.25
13903,FLUOCIN 0.05% 30GM CR   ,236.5
13914,MS CONTIN 100MG TAB     ,127.25
13925,TERCONAZOLE 3 VG SUPP   ,208
13947,POLYTRIM OPTH SOLN 10CC ,413.25
13958,CLOPIDOGREL BISUL 75MG T,97.5
13970,TOPIRAMATE 200MG TAB    ,152
14006,TOPIRAMATE 100MG TAB    ,129.5
14017,ANUSOL OINTMENT 30G     ,42.75
14028,DONEPEZIL 10MG TAB      ,129.5
14039,DEPAKOTE 125MG UD TAB   ,23
14040,VITAMIN A 8000 UNIT CAP,7.25
14051,LEVOCARNITINE INJ 500MG ,192.5
14062,ENALAPRIL 2.5MG UD TAB  ,18
14073,LEVOCARNITINE 1 G INJ   ,173.5
14095,ROPIVACAINE 0.2% 20ML   ,192.5
14108,ROPIVACAINE 0.5% 30ML   ,192.5
14119,ROPIVACAINE 1% 20ML     ,192.5
14120,HAEMOPHILUS B CONJ VACC ,358.75
14131,LEVOFLOXACIN 250 MG     ,250.75
14142,LEVOFLOXACIN 500MG/100ML,499
14186,ROPINIROLE(REQUIP)1MG   ,18
14233,LANOLIN HYDROUS 30 GMS  ,58
14244,FLUDARABINE PHOS 50MGINJ,3926
14255,DDAVP 0.1MG TAB         ,74.75
14266,FLUVOXAMINE 50MG TAB    ,47.25
14288,LEVOFLOXACIN 250MG TAB  ,220.75
14302,ATORVASTATIN 20MG TAB   ,82
14335,MOMETASONE 0.1%CREAM 15G,229
14346,OXACILLIN 2GM VIAL      ,264.75
14357,GLIMEPIRIDE 2MG TAB     ,21.25
14379,DOLASETRON 12.5 MG INJ  ,4291
14380,UROCIT-K 540MG TAB      ,16.5
14426,ENOXAPARIN 60 MG INJ    ,580.75
14448,ATENOLOL 5MG/10ML IV    ,197
14482,METRONIDAZOLE VAG GEL   ,445.5
14506,REPAGLINIDE 0.5MG TAB   ,41
14517,Y-CATH EXT. SET NICU-TPN,3
14528,TOPIRAMATE 25MG TAB     ,50.25
14539,OLANZAPINE 10MG TAB     ,268.5
14540,SOD CHL 5% OPH SOL 15ML ,467.75
14562,HEPARIN 1000U/500NS FLUS,261.25
14573,CLEOCIN 2% VAG CR 40GM  ,864.75
14595,ZOSYN 4.5GM PREMIXED BAG,534.5
14608,ZOSYN 3.375 GMS PREMIXED,344.5
14619,VITAMIN E 1000 IU CAP   ,16.5
14620,LIDOCAINE 2% VISC 100ML ,68.75
14664,ZOSYN 2.25GMS/50ML IVPB ,261.25
14675,HYDROCORTISONE 5MG TAB  ,16.5
14700,POVODINE-IODINE OINT 30G,74.75
14711,BACITRACIN 0.94GM OINT  ,16.5
14722,UNNA BOOT(UNNA-FLEX)WRAP,91.5
14733,ENOXAPARIN 40 MG INJ    ,397
14777,CIPROFLOXACIN 0.3% 3.5GM,902.75
14788,REGRANEX 15 GM TUBE     ,564.25
14824,TOLTERODINE 2MG TAB     ,50.25
14846,CITALOPRAM 20MG TAB     ,59.5
14857,LEFLUNOMIDE 20MG (ARAVA),383.75
14868,NALTREXONE 50MG TAB     ,74.75
14891,ZIAC 5/6.25 TAB         ,59.5
14904,METHOTREXATE 1 G VL     ,38473.25
14915,ZITHROMAX 100MG/5ML 15ML,337.25
14926,DIGOXIN 0.125MG/2.5ML EL,34.5
14937,CALCIFEROL 800 U/0.1CC  ,16.5
14948,KCL 10MEQ/50ML BOLUS    ,267.25
14959,VASERETIC 10/25 TAB     ,50.25
14960,INH ACETYLCYSTN 20% 10ML,183.75
14971,AVAPRO 150MG TAB        ,45.75
14982,SINGULAIR 10MG TAB      ,78.25
14993,ACETYLCYSTEINE 20% 4ML  ,96
15007,SUMATRIPTAN SUCC 6MG INJ,1246.25
15030,CLOBETASL 0.05% TOP 45GM,543
15052,CLAFORAN 1GM/50ML IVPB  ,261.25
15063,ROPINIROLE 0.25MG TAB   ,18
15074,ACEL-IMUNE 0.5ML INJ    ,444.5
15085,EUCERIN CR 60 GMS       ,47.25
15096,QUETIAPINE 25 MG TAB    ,54.75
15110,HC/PRAMOXIN 2.5-1%CR 30G,850.5
15132,MILRINONE 200 MCG/ML INJ,29.5
15143,IRINOTECAN 20MG INJ     ,192.75
15154,EFAVIRENZ 200MG         ,118.75
15187,ISOSULFAN BLUE 50 MG INJ,2980.25
15198,CIPRO 400MG VIAL        ,377.75
15212,RENAGEL CAP             ,21.25
15223,TIZANIDINE 4MG TAB      ,42.75
15267,NEURONTIN 400MG CAP     ,47.25
15278,AZACTAM 1GM IVPB        ,484.75
15290,KERLONE 10MG TAB        ,33
15303,BUPROPRION SR 100MG TAB ,66.5
15325,CARDURA 4MG TAB         ,21.25
15336,RIZATRIPTAN 10MG TAB    ,357.5
15358,PRAVASTATIN 20MG TAB    ,60.5
15369,TRIAMCIN 0.025% CR 80 GM,58
15405,ASTELIN SPRAY PUMP      ,2158.75
15427,ENALAPRILAT 1.25MG VIAL ,77.25
15449,MIDODRINE 5 MG TAB      ,54.75
15450,LEVALBUTEROL 3ML IPPB   ,34.75
15494,CLOZAPINE 25MG TAB      ,48.75
15507,DERMABOND - OR          ,465.75
15518,VICOPROFEN TAB          ,53.5
15530,ROSIGLITAZONE 4MG TAB   ,76.25
15552,NORCO TAB (HCDONE/APAP) ,13
15585,ALP 1 PRO INHIB HUM 10MG,31
15632,FELODIPINE 2.5MG SR TAB ,29.75
15698,NASONEX NASAL SPRAY     ,747.25
15712,PERMETHRIN 5% 60GM CR   ,832.75
15723,CALMOSEPTINE 120G       ,76.25
15756,PILOCARPINE 2% 15ML OPTH,160.5
15789,GLATIRAMER ACE 20 MG    ,1227
15790,LAMICTAL 100MG TAB      ,103.5
15814,CELECOXIB 200MG CAP     ,76.25
15825,METROGEL 0.75% GEL 1 OZ ,2730
15836,EPOPROSTENOL 0.5 MG INJ ,259.5
15847,INH LEVLBUT NCUD 0.63 MG,33.75
15869,CILASTATN/IMIPINM 250 MG,251.75
15881,ADDERALL 10MG TAB       ,64.25
15892,TAMIFLU 75 MG CAP       ,169.75
15905,ARTHROTEC-75 TAB        ,50.25
15916,ALBENDAZOLE 200MG TAB   ,4220
15950,GLUCOTROL 2.5MG XL TAB  ,16.5
15961,AGGRENOX CAP            ,24.5
15972,LOSARTAN 25MG TAB       ,36.25
15983,REPAGLINIDE 1MG TAB     ,41
16019,PIOGLITAZONE 30MG TAB   ,137.75
16031,CANDESARTAN 8MG TAB     ,45.75
16042,TRANYLCYPROMINE 10MG TAB,31.25
16064,ENTACAPONE 200MG TAB    ,58
16075,ONDANSETRON 4MG TAB     ,303
16133,TERBINAFINE CR 1% 30GM  ,183
16155,EPTIFIBATIDE 5 MG       ,123.25
16166,EPTIFIBATIDE 5 MG       ,138.5
16177,CANDESARTAN 16MG TAB    ,45.75
16188,CANDESARTAN 4MG TAB     ,45.75
16199,RSV-MAB RECOM 50 MG IM  ,12369.75
16213,INTERF BETA1A 30MCG IM  ,7360.75
16224,PENCICLOVIR CR 1% 1.5GM ,661.75
16235,KETOROLAC 0.5% OPHTH 3ML,527
16279,PIOGLITAZONE 45MG TAB   ,146
16280,OXCARBAZEPINE 300MG TAB ,64.25
16304,MEROPENEM 1 G INJ       ,607.5
16326,CORLOPAM 10MG/ML 1ML    ,1030
20100,CD 45 1ST MARK          ,99
20101,CELL MRK GLYCO ADD      ,99
20102,BORD PERTUSSIS AMP PR   ,253
20103,T CELLS TOTAL           ,63
20104,TDT PEROX AB            ,419.5
20105,CD2 (LEU5B) PEROX AB    ,419.5
20106,CD4 (LEU3 A+B) PEROX AB ,419.5
20107,CD8 (LEU 2A) PEROX AB   ,419.5
20109,MYELOPEROXIDASE AB IHC  ,419.5
20110,EBV PEROX AB            ,419.5
20113,PAX-5 PEROX AB (BSAP)   ,419.5
20115,HERPES PEROX AB         ,419.5
20116,M A IHC HER-2NEU QT/SQT ,122.5
20117,NOVOLG MX 70/30 100 U/ML,45.75
20118,SULFACETMD 10% OS  5ML  ,236.5
20119,ESTRADIOL 0.025MG TD PAT,206.75
20121,STALEVO 100 TABLET      ,58
20123,B PERTUSS/PARAPERTUS AMP,253
20124,A AVIUM-INTRAC DIR PROBE,72
20125,CULT LEGIONELLA SCR     ,47
20126,LEG PNEUMOPHILIA AG IFT ,47
20128,RSV AG OIA              ,204
20129,M A IHC HER-2NEU QT/SQT ,419.5
20130,TRANS CATH STNT EXT VERT,23626.25
20134,STENT CARTD10X30 STRT RX,34088
20135,STENT CARTD 6-8X40 TAPRD,34088
20136,STENT CARTD 6X20 STRT RX,34088
20137,STENT CARTD7-10X30 TAPRD,34088
20138,STENT CARTD7-10X40 TAPRD,34088
20139,STENT CARTD 7X30 STRT RX,34088
20140,STENT VASC 6-8MM 30MM RX,32092
20141,STENT CARTD 8X30 STRT RX,34088
20142,FILTER ACUNET RX 5.5X190,12306
20143,FILTER ACUNET RX 6.5X190,12306
20144,FILTER ACUNET RX 4.5X190,12306
20145,FILTER ACUNET RX 7.5X190,12306
20146,CTHGD RNWY 6F AL1       ,1124
20147,CTHGD RNWY 6F AL2       ,1297
20148,CTHGD RNWY 6F Q3.5      ,1297
20149,CTHGD RNWY 6F Q4        ,1183
20150,CTHGD RNWY 6F Q4.5      ,1297
20152,GD CATH 6F RUNWAY AL1 SH,209
20153,GD CATH 6F RUNWAY AL2 SH,209
20154,CTHGD RNWY 6F CLS3.5    ,1124
20155,CTHGD RNWY 6F CLS4      ,1124
20156,GD CATH 6F RUNWAY CLS4.5,1338
20157,GD CATH 6F RUNWAY AL1.5 ,1372
20158,CTHGD RNWY 6F F3.5      ,1183
20159,CTHGD RNWY 6F F4        ,1124
20160,CTHGD RNWY 6F F5        ,1183
20161,CTHGD RNWY 6F F6        ,1183
20162,GD CATH 6F RNWY IM 85CM ,1297
20163,GD CATH 6F RNWY IM 110CM,221
20164,GD CATH 6F RNWY RCB SH  ,209
20165,GD CATH 6F RNWY LCB SH  ,209
20166,GD CATH 6F RUNWAY IM SH ,209
20167,GD CATH 6F RUNWAY MP1SH ,209
20168,GD CATH 6F RUNWAY HS SH ,209
20169,GD CATH 6F RUNWAY AR1   ,209
20170,GD CATH 6F RUNWAY AR2   ,209
20171,GD CATH 6F RUNWAY AL3   ,209
20172,GD CATH 6F RUNWAY AL.75 ,209
20173,GD CATH 6F RUNWAY RCB   ,209
20174,GD CATH 6F RUNWAY LCB   ,209
20175,GD CATH 6F RUNWAY IM    ,209
20176,GD CATH 6F RUNWAY Q3.5SH,209
20177,GD CATH 6F RUNWAY Q4SH  ,209
20178,GD CATH 6F RUNWAY MP1   ,209
20179,GD CATH 6F RUNWAY MP2   ,209
20180,GD CATH 6F RUNWAY FR3   ,209
20181,GD CATH 6F RUNWAY IM90CM,209
20182,GD CATH 6F RNWY FR3.5SH ,209
20183,GD CATH 6F RUNWAY FR4SH ,209
20184,GD CATH 6F RUNWAY ART3  ,209
20185,GD CATH 6F RUNWAY ART3SH,209
20186,GWIRE EXT ACS 145CM     ,333
20187,CTHGD RNWY 6F Q5        ,1183
20188,CTHGD RNWY 6F HS        ,1124
20189,CTHGD RNWY 6F FL3.5SH   ,1183
20190,CTHGD RNWY 6F FL4SH     ,1183
20191,CTHGD RNWY 6F CLS3      ,1183
20192,CATH EP 6F HEX JSN 120CM,733
20194,CATH EP 5F QPLR 401441  ,333
20195,CATH EP 5F QPLR 401443  ,333
20196,CATH 5FR BIPOLAR 401761 ,261
20197,GWIRE HITORQ SS 300CM   ,333
20198,GWIRE HITORQ LTIP 300CM ,333
20199,GDW HITRQ HVYWT JTIP 300,333
20200,GUIDE CATH 6F RUNWAY FL3,209
20201,GUIDE CATH 6F RNWY FL3.5,209
20202,GUIDE CATH 6F RUNWAY FL4,209
20203,GUIDE CATH 6F RNWY FL4.5,209
20204,GUIDE CATH 6F RUNWAY FL5,209
20205,CTHGD RNWY 6F FL6       ,1297
20206,CT HEART WO CN W QUAN CA,1610.75
20207,CHEMO SQ/IM NON HORM ANP,214.75
20208,CHEMO SQ/IM HORMONL ANPL,214.75
20211,AZACITIDINE 1 MG INJ    ,209.75
20213,EPOTN ALFA 1000 U NESRD ,425
20214,DIG IMMUNE FAB PER VIAL ,14069.5
20217,3D CT/MRI/US/OTH IND    ,2303.75
20218,TC99M DEPREOTID DX 35MCI,4153.75
20219,TC99M MEBROFEN DX 15MCI ,472.5
20220,TC99M PYROPHOS DX 25MCI ,472.5
20221,TC99M PENTETATE DX 25MCI,472.5
20222,TC99M MACRO ALB DX 10MCI,472.5
20223,TC99M SULFUR CO DX 20MCI,472.5
20224,IN111 IBRITU TIU DX 5MCI,17479.75
20225,Y90 IBRITUM TIU TX 40MCI,193161.75
20226,CO57/58 CYANOCOB DX 1UCI,1512.75
20227,IN111 OXYQUINO DX 0.5MCI,5338.75
20228,IN111 PENTETAT DX 0.5MCI,3304.5
20230,TC99M SOD GLUCE DX 25MCI,472.5
20231,TC99M SUCCIMER DX 10MCI ,1571.25
20232,GA67 CITRATE DX 1 MCI   ,170.25
20233,TC99M BICISATE DX 25 MCI,2737.5
20234,XENON XE133 GAS DX 10MCI,493.25
20235,CO57 CYANOCO ORAL DX UCI,1748.5
20236,TC99M LABEL RBC DX 30MCI,1154.75
20237,TC99M OXIDRONAT DX 30MCI,472.5
20238,TC99M MERTIATID DX 15MCI,2061
20239,P32 CHROMIC SUSP TX 1MCI,2467
20240,IN111 PENTETREOT DX 6MCI,1833.5
20241,TC99M FANOLESOM DX 25MCI,8391
20247,OXALIPLATIN 0.5 MG INJ  ,553.25
20249,DOXORUBICIN 10 MG INJ   ,100.75
20250,BLEOMYCIN SULF 15 U INJ ,3135.5
20251,CISPLATIN 10MG INJ      ,500
20254,CYTARABINE 100 MG INJ   ,192.75
20255,DACARBAZINE 100 MG INJ  ,106.5
20256,DAUNORUBICIN 10 MG INJ  ,302.75
20257,ETOPOSIDE 10 MG INJ     ,886.75
20258,IFOSFAMIDE 1 G INJ      ,1762.25
20259,MESNA 200 MG INJ        ,192.75
20260,IDARUBICIN HCL 5 MG INJ ,1208.75
20262,MITOMYCIN 5 MG INJ      ,1139.75
20265,VINORELBINE TARTRAT 10MG,483
20269,PAMIDRONATE 30 MG INJ   ,3001.75
20291,RENAL CA PEROX AB       ,419.5
20292,GCDRP 15 AB (FEMALE) IHC,419.5
20293,M A IHC HER-2NEU QT/SQT ,419.5
20296,ORTH MGT TRAIN EA 15M OT,182.5
20297,PROST TRAINING EA 15M OT,182.5
20299,ORTH MGT TRAIN EA 15M PT,182.5
20300,PROST TRAINING EA 15M PT,182.5
20302,TOUCH PREP INITIAL SITE ,840.25
20303,TOUCH PREP EA ADD SITE  ,358.25
20304,HLA DR DQ MULTIPLE AG   ,300
20305,OBS PER HOUR            ,112
20306,DIRECT REFERRAL TO OBS  ,294
20307,OBS PER HOUR            ,112
20308,DIRECT REFERRAL TO OBS  ,294
20309,OBS PER HOUR            ,112
20310,DIRECT REFERRAL TO OBS  ,294
20311,OBS PER HOUR            ,112
20312,DIRECT REFERRAL TO OBS  ,294
20313,OBS PER HOUR            ,112
20314,DIRECT REFERRAL TO OBS  ,294
20315,OBS PER HOUR            ,112
20316,DIRECT REFERRAL TO OBS  ,294
20317,OBS PER HOUR            ,112
20318,DIRECT REFERRAL TO OBS  ,294
20319,OBS PER HOUR            ,112
20320,DIRECT REFERRAL TO OBS  ,294
20321,OBS PER HOUR            ,112
20322,DIRECT REFERRAL TO OBS  ,294
20323,OBS PER HOUR            ,112
20324,DIRECT REFERRAL TO OBS  ,294
20330,STENT TAXUS 3.5X16      ,23280
20331,STENT TAXUS 3.5X20      ,23280
20333,STENT TAXUS 3.5X28      ,24444
20334,STENT PREMIER 3.50X32MM ,21617
20335,STENT TAXUS 3.5X8       ,23280
20336,STENT TAXUS 2.5X12      ,23280
20337,STENT TAXUS 2.5X16      ,23280
20338,STENT TAXUS 2.5X20      ,23280
20339,STENT TAXUS 2.5X24      ,24527
20340,STENT TAXUS 2.5X8       ,23280
20341,STENT TAXUS 2.75X12     ,23280
20342,STENT TAXUS 2.75X16     ,23280
20343,STENT TAXUS 2.75X20     ,23280
20344,STENT TAXUS 2.75X24     ,23280
20345,STENT TAXUS 2.75X28     ,23280
20346,STENT PREM (MR)2.75X32MM,21617
20347,STENT TAXUS 2.75X8      ,23280
20348,STENT TAXUS 3.0X12      ,23280
20349,STENT TAXUS 3.0X16      ,23280
20350,STENT TAXUS 3.0X20      ,23280
20351,STENT TAXUS 3.0X24      ,24527
20352,STENT TAXUS 3.0X28      ,23280
20353,STENT PREM (MR)3.00X32MM,21617
20354,STENT TAXUS 3.0X8       ,23280
20355,STENT TAXUS 3.5X12      ,23280
20356,DUTASTERIDE 0.5MG CAPSUL,53.5
20357,HYDORCOD 5MG/APAP 325MG ,10.75
20360,VASOVIEW 6 HRV SET      ,3692
20361,RETR ACROBAT STANDARD   ,12000
20362,ANTI-CCP                ,10.12
20363,IVIG POWDER NOS 500 MG  ,349.5
20364,EEG MONITOR PORT UNATT  ,6868.75
20368,TR MED PHYSICS SPECIAL  ,9700.75
20369,3D RADIOTHER PLAN W DVH ,32339.5
20370,TR TREAT DEVICE CPLEX   ,7112.5
20372,FETAL FIBRONECTIN SQN   ,909.25
20373,OCC BLD PEROX OTH SOURCE,372
20374,SIROLIMUS RAPAMUNE QN   ,16.86
20375,LIPOPROTEIN ULTRA QN BLD,14.5
20376,LIPOPROTEIN (A)         ,8.76
20377,VERTICAL AUTO PROF BLD  ,11
20378,LIPOPROTEIN ELECTRO BLD ,9.57
20379,LIPOPROTEIN ELECTRO BLD ,13
20380,SKIN TRICHOPHYTON       ,419.5
20381,3D CT/MRI/US/OTH NOT IND,2303.75
20384,HANTAVIRUS AB IGG QL    ,52
20385,HANTAVIRUS AB IGM QL    ,52
20387,INTERLEUKIN 6 IA QN     ,121.75
20389,LEVOTHYROXINE .175MG TAB,19.75
20390,INJECTION IM OR SQ      ,90
20392,INJECTION IM OR SQ      ,94.5
20393,MLH-1 IHC AB            ,122.5
20394,MSH-2 AB IHC            ,122.5
20397,CARBO DEF TRANSFERRIN   ,155
20398,NORCO 7.5/325 TB        ,10.75
20400,INJECTION IM OR SQ      ,94.5
20405,I123 SOD DX 100-999 UCI ,351
20406,IRON DEXTRAN 50 MG INJ  ,337.75
20407,GD CATH 6FR RNWY ART3.5 ,209
20408,GD CATH 6F RNWY ART3.5SH,209
20409,GD CATH 6F RNWY ART4    ,209
20410,GD CATH 6F RNWY ART4SH  ,209
20411,GD CATH 6F RNWY ART4.5  ,209
