Hospital Name:  Mercy St Francis SF,,,
OSHPD Facility No: 106380960,,,
"Effective Date of Charges: July 1, 2018",,,
,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator
0502757,ER LEVEL 5 W/PROCEDURE   ," 7,422.00 ",
0502807,ER CRIT CARE 30-74 W/PROC," 11,717.00 ",
0510305,CARDIOVERSION ELCTIVE EXT," 3,534.00 ",
0510321,PACING TRANSCUTANEOUS    ," 2,332.00 ",
0510354,GLUCOSE BLD BY DEVICE POC, 259.00 ,
0510362,OCC BLD FEC QL 3 SPEC POC, 225.00 ,
0510388,PREG URINE VISUAL POC    , 196.00 ,
0510404,UA NONAUTO W/O MICRO POC , 147.00 ,
0510412,LACTATE/LACTIC ACID POC  , 57.00 ,
0510420,METABOL PANL IONZD CA POC, 49.00 ,
0510446,ARTERIAL CATH/CANN PERC  , 196.00 ,
0510453,VENIPUNCTURE             , 271.00 ,
0510560,INH TX INITIAL EA DAY    , 695.00 ,
0510578,INH TX EA SUBSEQ TX/DAY  , 621.00 ,
0510586,DEMO/EVAL INHALATION TX  , 470.00 ,
0510917,INJ TX/DX/PRO IVPUSH INIT, 327.00 ,
0510958,INJ TX/DX/PROPH SUBQ/IM  , 258.00 ,
0511097,MODERATE SEDAT ADD 15MIN , 205.00 ,
0511162,INF IV HYDRA INIT 31-60MN, 738.00 ,
0511170,INF IV HYDRAT EA ADD HR  , 495.00 ,
0511188,INF TX/DX/PRO INIT 1ST HR, 738.00 ,
0511196,INF TX/DX/PRO EA ADD HR  , 495.00 ,
0511204,INF TX/DX/PRO SEQ 1HR    , 738.00 ,
0511212,INJ TX/DX/PRO IV PUSH SEQ, 327.00 ,
0511220,INF TX/DX CONCURRENT     , 495.00 ,
0511261,INF TX/PROPH SUBQ 1ST HR , 698.00 ,
0511279,INF TX/PROPH SUBQ ADD HR , 151.00 ,
0511295,INJ TX/PRO/DX IVP SME DRG, 327.00 ,
0511360,INF IV HYDRA INIT 31-60MN, 738.00 ,
0511378,INF IV HYDRAT EA ADD HR  , 495.00 ,
0511386,INF TX/DX/PRO INIT 1ST HR, 738.00 ,
0511394,INF TX/DX/PRO EA ADD HR  , 495.00 ,
0511659,GASTR INTB/ASP/LAV PHY SK, 762.00 ,
0511758,EMERG ROOM CPR           ," 3,420.00 ",
0511816,DEBR SL SESSION 1ST 20CM ," 6,913.00 ",
0511824,DEBR SELCT SESSION ADD 20," 6,913.00 ",
0515007,ANOSCOPY DIAGNOSTIC      , 580.00 ,
0515015,APPLICATION OF CAST      ," 1,681.00 ",
0515023,APPLICATION OF SPLINT    , 935.00 ,
0515032,DENTAL PROC/REIMPLANT    , 422.00 ,
0515056,CHANGE TUBE SIMPLE       ," 1,923.00 ",
0515072,CLOSE/PK WND DEHISCEN SMP," 1,498.00 ",
0515098,CAUT/CNTRL BLEED LEVEL 1 ," 1,162.00 ",
0515114,DEBRID/AVUL NAIL EVAC HEM, 673.00 ,
0515130,DEBRIDE SKIN/SUBQ/MUS    ," 2,594.00 ",
0515148,DRESS/DEBRIDE BURN       ," 1,002.00 ",
0515155,EPIDURAL BLOOD PATCH     ," 4,569.00 ",
0515163,EXCISE/REPAIR NAIL       ," 2,160.00 ",
0515171,HEMORRHOID EXC/INC SIMPLE," 3,624.00 ",
0515189,INCIS/DRAIN/ASP LEVEL 3  ," 11,837.00 ",
0515197,INCIS/DRAIN/ASP LEVEL 1  ," 1,809.00 ",
0515205,INJ NERVE/OTHR ASP/INJ JT," 1,838.00 ",
0515213,INSERT CATH BLADDER      ," 1,096.00 ",
0515214,BLADDER PROCEDURE LEVEL 1," 1,025.00 ",
0515221,CV CATH/PICC LEVEL 1     ," 3,244.00 ",
0515247,CV CATH/PICC LEVEL 2     ," 9,042.00 ",
0515270,INTUBATION ENDOTRACHEAL  ," 2,269.00 ",
0515288,IRRIG/LAV/INSTL BLAD/OTHR," 1,056.00 ",
0515296,LAC RPR LEVEL 3          ," 19,220.00 ",
0515304,LAC RPR LVL3 ADD<5CM     ," 1,498.00 ",
0515312,LAC RPR LEVEL 2          ," 3,817.00 ",
0515320,LAC RPR LEVEL 1          ," 1,498.00 ",
0515338,LUMBAR/SHUNT PUNCTURE    ," 1,838.00 ",
0515346,PERICARDIOCENTES INITIAL ," 2,793.00 ",
0515353,PLACE NDL INTRAOSSO INFUS," 1,655.00 ",
0515361,PLACE NG/OG TUBE PHY SKIL," 1,552.00 ",
0515379,REMOVE CERUMEN IMPACTED  , 533.00 ,
0515387,REMOVE FB/IMPLANT LEVEL 3," 16,536.00 ",
0515395,REMOVE FB/IMPLANT LEVEL 2," 5,083.00 ",
0515403,REM FB/SKN LES IMP LVL 1 , 950.00 ,
0515429,REMOV/BIVALV/RPR CAST    , 935.00 ,
0515452,STRAPPING                , 935.00 ,
0515460,THORACENTESIS/THORACOSTOM," 2,793.00 ",
0515478,TRACHEOSTOMY EMERGENCY   ," 5,479.00 ",
0515486,TRANSFUS BLD/BLD COMP    ," 2,195.00 ",
0515494,OB/GYN PROCEDURE LEVEL 3 ," 15,136.00 ",
0515502,CURETTAGE NON OB         ," 1,809.00 ",
0515510,TX FX/DISLOC LEVEL 1     ," 1,565.00 ",
0515528,TX DISLOC LEVEL 3 W ANES ," 11,949.00 ",
0515585,PARACENTESIS/PERIT LAVAGE," 2,793.00 ",
0515593,EXCISION LEVEL 1         ," 2,432.00 ",
0515619,CATH FOR SPECIMEN COLLECT, 525.00 ,
0515627,INCIS/DRAIN/ASP LEVEL 2  ," 5,919.00 ",
0515650,ENDOSCOPY PROC COMPLEX   ," 3,759.00 ",
0520056,COLLAR CERVICAL          , 109.00 ,
0520106,CATH EPISTAXIX           , 237.00 ,
0520254,PACER PADS EXTERNAL      , 224.00 ,
0520452,OXYGEN CANNULA/MASK      , 120.00 ,
0525154,KIT GASTRIC LAVAGE       , 217.00 ,
0525204,TRAY PELVIC DISP         , 163.00 ,
0525610,TX FX/DISLOC LEVEL 2     ," 5,083.00 ",
0525620,TX FX/DISLOC LEVEL 3     ," 16,553.00 ",
0525634,EXPLORE WOUND            ," 6,415.00 ",
0525643,DEBRID OPEN FX W/FB REMOV," 2,981.00 ",
0525644,DEBR NON-SELECTIV SESSION," 2,341.00 ",
0550203,TROPONIN QN POC          , 260.00 ,
0550204,ENDOSCOPY PROC INTERMED  ," 1,880.00 ",
0550205,MOD SEDAT <5YRS 1ST 15M  , 205.00 ,
0550206,MOD SEDAT =>5YRS 1ST 15M , 205.00 ,
0550207,INJ NON NERVE/JOINT      ," 1,797.00 ",
0550208,ALCOH/SUBST INTERV >30MN , 482.00 ,
0550209,ALCOH/SUBST INTERV 15-30 , 96.00 ,
0550210,ARTERIAL PUNCTURE        , 239.00 ,
0550211,BLADDER PROCEDURE LEVEL 2, 587.00 ,
0550212,CV CATH LEVEL 3          ," 4,198.00 ",
0550213,CYSTOSTOMY PROC COMPLEX  ," 1,819.00 ",
0550214,DECLOT THROMBOLYSIS      ," 2,525.00 ",
0550215,ECG 12 LEAD TRACING ONLY , 655.00 ,
0550216,EMERGENCY ESRD DIALY TRMT," 6,285.00 ",
0550217,EXCISION LEVEL 2         ," 2,298.00 ",
0550218,FORESKIN MANIPULATION    , 231.00 ,
0550219,INS PERITL CATH/CANN     ," 3,062.00 ",
0550220,INS/REPL TEMP PACER ELECT," 7,462.00 ",
0550221,MOD SED <5Y 1ST 15 OTH MD, 297.00 ,
0550222,MOD SED =>5Y 1ST 15 OTHMD, 297.00 ,
0550223,MOD SEDAT ADD 15M OTH MD , 297.00 ,
0550224,NASOPHARYNGOSCOPY W ENDO , 559.00 ,
0550225,CANALITH REPOS PER DAY   , 135.00 ,
0550226,RECTAL PROCEDURE INTERMED, 714.00 ,
0550227,SKIN PROCEDURE COMPLEX   ," 1,527.00 ",
0550228,THORACOTOMY              ," 7,225.00 ",
0550229,THROMBOLYSIS CORONARY IV , 998.00 ,
0550230,TOBACCO COUNSELING >10MIN, 130.00 ,
0550231,TOBACCO COUNSELING 3-10MN, 94.00 ,
0550232,VENIPUNCT CUTDOWN < AGE 1, 209.00 ,
0550233,VENIPUNCT CUTDOWN > AGE 1," 1,007.00 ",
0550234,WINDOWING/WEDGING OF CAST, 235.00 ,
0550235,TELHEALTH FAC FEE NONHSPA, 64.00 ,
0550236,LARYNGOSCOPY DIAGNOSTIC  , 157.00 ,
0970997,ERROR                    , -   ,2
0980603,BD DEN DAYS MCL          , -   ,2
0980607,BD DEN MED NEC           , -   ,2
0998728,BX SR HPMG               , -   ,2
1000001,TRANSFUS BLOOD/COMP 1HR  ," 1,646.00 ",
1000002,TRANSFUS BLOOD/COMP 2HR  ," 2,063.00 ",
1000003,TRANSFUS BLOOD/COMP 3HR  ," 2,480.00 ",
1000004,TRANSFUS BLOOD/COMP 4HR  ," 2,897.00 ",
1000005,TRANSFUS BLOOD/COMP 5HR  ," 3,293.00 ",
1000006,TRANSFUS BLOOD/COMP 6HR  ," 3,710.00 ",
1000007,TRANSFUS BLOOD/COMP 7HR  ," 4,127.00 ",
1000008,TRANSFUS BLOOD/COMP 8HR  ," 4,544.00 ",
1000009,INFUSION/CHEMOTHERAPY    , -   ,2
1000010,TRANSFUS BLOOD/COMP >8HR ," 4,961.00 ",
1000011,OBSERVATION PER HOUR     , 503.00 ,
1003300,VISIT LEVEL 1 EST PT     , 140.00 ,
1003359,VISIT LEVEL 2 EST PT     , 234.00 ,
1003409,VISIT LEVEL 3 EST PT     , 257.00 ,
1003458,VISIT LEVEL 4 EST PT     , 602.00 ,
1003508,VISIT LEVEL 5 EST PT     , 866.00 ,
1003557,VENIPUNCTURE NON LAB     , 109.00 ,
1003607,BLOOD COLLECTION VAD     , 287.00 ,
1003706,PHLEBOTOMY THERAPEUT     , 689.00 ,
1003755,INJ TX/DX/PROPH SUBQ/IM  , 308.00 ,
1003763,INJ TX/DX/PRO IVPUSH INIT, 308.00 ,
1003771,INJ TX/DX/PRO IV PUSH SEQ, 308.00 ,
1003912,VISIT LEVEL 1 EST W PROC , 140.00 ,
1003920,VISIT LEVEL 2 EST W PROC , 234.00 ,
1003938,VISIT LEVEL 3 EST W PROC , 257.00 ,
1003946,VISIT LEVEL 4 EST W PROC , 602.00 ,
1003953,VISIT LEVEL 5 EST W PROC , 866.00 ,
1004001,PUMP PORTABL REFILL/MAINT," 1,325.00 ",
1004050,PUMP IMPLANTD REFIL/MAINT," 1,325.00 ",
1004357,ASPIRATION(S) BONE MARROW," 1,498.00 ",
1004456,LUMBAR PUNCTURE DIAGNOSTC," 1,080.00 ",
1004472,VASC ACCES THROMBL DECLOT, 403.00 ,
1004514,GLUCOSE BLD BY DEVICE POC, 259.00 ,
1004548,INF TX/DX CONCURRENT     , 465.00 ,
1004555,INF IV HYDRA INIT 31-60MN," 1,707.00 ",
1004563,INF IV HYDRAT EA ADD HR  , 443.00 ,
1004571,INF TX/DX/PRO INIT 1ST HR, 461.00 ,
1004589,INF TX/DX/PRO EA ADD HR  , 294.00 ,
1004597,INF TX/DX/PRO SEQ 1HR    , 904.00 ,
1004605,CHEMO SQ/IM NONHORMONAL  , 469.00 ,
1004613,CHEMO SQ/IM HORMONAL     , 202.00 ,
1004621,CHEMO IV PUSH INITIAL    , 869.00 ,
1004639,CHEMO IV PUSH EA ADD     , 486.00 ,
1004647,CHEMO INF INIT 1ST HR    , 616.00 ,
1004654,CHEMO INF EA ADD HR      , 130.00 ,
1004662,IRRIG IMPLANTED VEN ACCES, 228.00 ,
1004688,INSERT NONTUN CV CATH >5 ," 1,845.00 ",
1004696,INS PICC WO PORT/PUMP>5YR," 3,368.00 ",
1004704,REPAIR CV CATH WO PUM/POR," 1,224.00 ",
1004712,REPL PICC WO PORT        ," 2,983.00 ",
1004720,REM TUN CV CATH WO PORT/P," 1,224.00 ",
1004738,REM TUN CVA DEV W PORT/P ," 2,070.00 ",
1004746,CHEMO INF EA SEQ 1ST HR  , 310.00 ,
1004753,CHEMO INJ INTRALESION <=7, 885.00 ,
1004761,CHEMO INJ INTRALESION > 7, 885.00 ,
1004779,CHEMO ADMIN PERIT CAV IND, 851.00 ,
1004787,VISIT LEVEL 1 NEW PT     , 140.00 ,
1004795,VISIT LEVEL 1 NEW W PROC , 140.00 ,
1004803,VISIT LEVEL 2 NEW PT     , 234.00 ,
1004811,VISIT LEVEL 2 NEW W PROC , 234.00 ,
1004829,VISIT LEVEL 3 NEW PT     , 257.00 ,
1004837,VISIT LEVEL 3 NEW W PROC , 257.00 ,
1004845,VISIT LEVEL 4 NEW PT     , 602.00 ,
1004852,VISIT LEVEL 4 NEW W PROC , 602.00 ,
1004860,VISIT LEVEL 5 NEW PT     , 866.00 ,
1004878,VISIT LEVEL 5 NEW W PROC , 866.00 ,
1004879,OFFICE VISIT W/PROC PC NC, -   ,1
1004886,ADMIN OTHER IMMUN VAC ONE, 178.00 ,
1004894,ADMIN OTHER IMMUN VAC ADD, 89.00 ,
1004902,INF IV TX/DX PUMP PROLONG, 508.00 ,
1004910,CHEMO IV INF PUMP PROLONG, 689.00 ,
1004928,PLEURODESIS INSTIL AGENT ," 1,352.00 ",
1004936,BLOOD COLLECTION PICC    , 315.00 ,
1004944,INJ TX/PRO/DX IVP SME DRG, 308.00 ,
1004951,ADMIN IMMUN ORAL/NASL ONE, 154.00 ,
1004969,ADMN IMMUN ORAL/NASAL ADD, 154.00 ,
1004977,ADMIN INFLUENZA VACCINE  , 107.00 ,
1004985,ADMIN PNEUMO VACCINE     , 178.00 ,
1005008,BLAD INSTL ANTICARCINOGEN, 475.00 ,
1007005,BX&ASPIRAT BONE MARROW DX, 819.00 ,
1090001,EQ CLINIC VISIT LEVEL    , -   ,2
1090002,EQ TREATMT ROOM VISIT LEV, -   ,2
1090029,EQ RENAL DIALYSIS CRRT   , -   ,2
1090030,EQ RENAL DIALYSIS CAPD   , -   ,2
1090032,EQ ROOM LEAVE OF ABSENCE , -   ,2
1090033,EQ ROOM SUBACUTE CARE I  , -   ,2
1090034,EQ ROOM SUBACUTE CARE III, -   ,2
1090035,EQ ROOM SUBACUTE CARE IV , -   ,2
1090036,EQ ROOM SUBACUTE CARE OTH, -   ,2
1091111,EQ PHARM SELF ADMIN & 636, -   ,2
1091112,EQ PHARM W HCPCS & 250 MC, -   ,2
1091113,EQ ORGAN ACQU CADAVER DON, -   ,2
1091114,EQ EMERGENCY MED SCREEN  , -   ,2
1096916,EQ ROOM PVT GENERAL      , -   ,2
1096924,EQ ROOM SEMI GENERAL     , -   ,2
1096932,EQ ROOM SEMI M/S/GYN     , -   ,2
1096940,EQ ROOM SEMI PVT OB      , -   ,2
1096957,EQ ROOM SEMI PVT PED     , -   ,2
1096965,EQ ROOM SEMI PVT PSYCH   , -   ,2
1096973,EQ ROOM SEMI ONCOLOGY    , -   ,2
1096981,EQ ROOM SEMI PVT REHAB   , -   ,2
1096999,EQ ROOM NEWBORN LEVEL 1  , -   ,2
1097005,EQ ROOM NEWBORN NICU II  , -   ,2
1097013,EQ ROOM NEWBORN NICU III , -   ,2
1097021,EQ ROOM NEWBORN NICU IV  , -   ,2
1097039,EQ ROOM SUBACUTE CARE    , -   ,2
1097047,EQ ROOM ICU GENERAL      , -   ,2
1097054,EQ ROOM INTER ICU/TEL    , -   ,2
1097062,EQ ROOM ICU TRAUMA       , -   ,2
1097070,EQ ROOM CCU GENERAL      , -   ,2
1097088,EQ ROOM INTER CCU/TEL    , -   ,2
1097096,EQ PHARM GENERAL         , -   ,2
1097104,EQ PHARM W HCPCS         , -   ,2
1097112,EQ PHARM SELF ADMIN      , -   ,2
1097120,EQ PHARM TAKE HOME       , -   ,2
1097138,EQ PHARM REL TO RAD      , -   ,2
1097161,EQ PHARM IV SOLUTION     , -   ,2
1097187,EQ INFUSION/IV THERAPY   , -   ,2
1097203,EQ SUPPLY NONSTERILE     , -   ,2
1097211,EQ SUPPLY STERILE        , -   ,2
1097229,EQ SUPPLY PROST/ORTHOTIC , -   ,2
1097237,EQ SUPPY PACEMAKER/LEADS , -   ,2
1097245,EQ SUPPLY IMPLANT EYE LNS, -   ,2
1097252,EQ SUPPLY IMPLANT        , -   ,2
1097260,EQ LAB GENERAL           , -   ,2
1097278,EQ LAB CHEMISTRY         , -   ,2
1097286,EQ LAB IMMUNOLOGY        , -   ,2
1097294,EQ LAB HEMATOLOGY        , -   ,2
1097302,EQ LAB BACTERIOLOGY      , -   ,2
1097310,EQ LAB UROLOGY           , -   ,2
1097328,EQ LAB PATH CYTOLOGY     , -   ,2
1097336,EQ LAB PATH HISTOLOGY    , -   ,2
1097344,EQ LAB PATH BIOPSY       , -   ,2
1097351,EQ RADIOLOGY GENERAL     , -   ,2
1097369,EQ RADIOLOGY ARTHROGRAPHY, -   ,2
1097377,EQ RADIOLOGY ARTERIOGRAPH, -   ,2
1097385,EQ RADIOLOGY CHEST XRAY  , -   ,2
1097393,EQ RAD THERAP CHEMO ADM  , -   ,2
1097401,EQ RAD THERAP RADIATION  , -   ,2
1097419,EQ RAD THERAP CHEMO IV   , -   ,2
1097427,EQ NUC MED PROC DIAGNOS  , -   ,2
1097435,EQ NUC MED PROC THERAPEU , -   ,2
1097443,EQ NUC MED RADIOPHARM DX , -   ,2
1097450,EQ NUC MED RADIOPHARM TX , -   ,2
1097468,EQ CT SCAN GENERAL       , -   ,2
1097476,EQ CT SCAN HEAD          , -   ,2
1097484,EQ CT SCAN BODY          , -   ,2
1097492,EQ CT SCAN OTHER         , -   ,2
1097500,EQ SURGERY GEN           , -   ,2
1097518,EQ SURGERY MINOR         , -   ,2
1097526,EQ ANESTH GENERAL        , -   ,2
1097534,EQ BLOOD COMPONENT GEN   , -   ,2
1097542,EQ BLOOD ADMINISTRATION  , -   ,2
1097559,EQ MAMMOGRAPHY DIAGNOSTIC, -   ,2
1097567,EQ ULTRASOUND            , -   ,2
1097575,EQ MAMMOGRAPHY SCREENING , -   ,2
1097583,EQ PET SCAN              , -   ,2
1097591,EQ RESPIRATORY GENERAL   , -   ,2
1097609,EQ RESPIRATORY INHAL     , -   ,2
1097617,EQ HBO HYPERBARIC O2     , -   ,2
1097625,EQ RESPIRATORY STREN/ENDR, -   ,2
1097633,EQ PHYSICAL THER GENERAL , -   ,2
1097641,EQ PHYSICAL THER GEN-OTH , -   ,2
1097666,EQ PHYSICAL THER GEN-MCAL, -   ,2
1097674,EQ PHYSICAL THER GROUP   , -   ,2
1097682,EQ PHYSICAL THER GRP-OTH , -   ,2
1097708,EQ PHYSICAL THER EVAL    , -   ,2
1097716,EQ PHYSICAL THER EVAL-OTH, -   ,2
1097732,EQ PHYSICAL THER EVALMCAL, -   ,2
1097740,EQ OCCUP THER GENERAL    , -   ,2
1097757,EQ OCCUP THER GEN-OTH    , -   ,2
1097773,EQ OCCUP THER GEN - MCAL , -   ,2
1097781,EQ OCCUP THER GROUP      , -   ,2
1097799,EQ OCCUP THER GRP - OTH  , -   ,2
1097815,EQ OCCUP THER EVAL       , -   ,2
1097823,EQ OCCUP THER EVAL - OTH , -   ,2
1097849,EQ OCCUP THER EVAL - MCAL, -   ,2
1097856,EQ SPEECH PATH GENERAL   , -   ,2
1097864,EQ SPEECH PATH GROUP RATE, -   ,2
1097872,EQ SPEECH PATH EVAL      , -   ,2
1097880,EQ SPEECH PATH EVAL-OTH  , -   ,2
1097898,EQ EMERGENCY DEPARTMENT  , -   ,2
1097906,EQ PULMONARY FUNCTION GEN, -   ,2
1097914,EQ AUDIOLOGY DIAGNOSTIC  , -   ,2
1097915,EQ AUDIOLOGY GENERAL     , -   ,2
1097922,EQ CARDIO GEN-NON CATHLAB, -   ,2
1097930,EQ CARDIO CATH LAB/EP LAB, -   ,2
1097948,EQ CARDIAC STRESS TEST   , -   ,2
1097955,EQ ECHOCARDIOLOGY        , -   ,2
1097971,EQ CLINIC                , -   ,2
1097989,EQ MRI GENERAL           , -   ,2
1097997,EQ MRI BRAIN             , -   ,2
1098003,EQ MRI SPINAL CORD       , -   ,2
1098004,EQ OB DIAGNOSTIC         , -   ,2
1098011,EQ MRA HEAD AND NECK     , -   ,2
1098029,EQ MRA LOWER EXTREMITIES , -   ,2
1098037,EQ MRA NON HEAD/NCK/EXTRM, -   ,2
1098045,EQ SUPPLY FDA IDE 272    , -   ,2
1098052,EQ TRAUMA RESPONSE LEV II, -   ,2
1098060,EQ RECOVERY ROOM GENERAL , -   ,2
1098078,EQ OB PROCEDURE          , -   ,2
1098086,EQ EKG/ECG GENERAL       , -   ,2
1098094,EQ EKG/ECG HOLTER MONITOR, -   ,2
1098102,EQ EEG GENERAL           , -   ,2
1098110,EQ ENDOSCOPY/GI          , -   ,2
1098128,EQ TREATMENT ROOM        , -   ,2
1098144,EQ OBSERVATION ROOM      , -   ,2
1098151,EQ VACCINE ADMIN PREVENT , -   ,2
1098177,EQ OB DELIVERY           , -   ,2
1098185,EQ LITHOTRIPSY ESWL      , -   ,2
1098193,EQ RENAL HEMODIALYSIS    , -   ,2
1098201,EQ RENAL CCPD            , -   ,2
1098219,EQ BEHAV HLTH TX GENERAL , -   ,2
1098227,EQ BEHAV HLTH INDIVID RX , -   ,2
1098235,EQ BEHAV HLTH GROUP RX   , -   ,2
1098243,EQ BEHAV HLTH TESTING    , -   ,2
1098250,EQ DIAGNOSTIC SVC OTHER  , -   ,2
1098268,EQ PERIPHERAL VASCLR LAB , -   ,2
1098276,EQ ELECTROMYELOGRAM      , -   ,2
1098284,EQ THERAPEUTIC SVC OTHER , -   ,2
1098292,EQ EDUCATION/TRAINING    , -   ,2
1098300,EQ CARDIAC REHAB         , -   ,2
1098318,EQ STATISTICAL           , -   ,2
1098326,EQ BEHAV HLTH FAMILY RX  , -   ,2
1098524,EQ ROOM SUBACUTE/SNF I   , -   ,2
1098532,EQ ROOM ICU SURGICAL     , -   ,2
1098540,EQ ROOM ICU MEDICAL      , -   ,2
1098557,EQ PHARM REL TO DX TEST  , -   ,2
1098599,EQ SUPPLY IMP W RX HCPCS , -   ,2
1098623,EQ PHARM OTHER           , -   ,2
1098649,EQ SUPPLY FDA IDE 275    , -   ,2
1098656,EQ SUPPLY FDA IDE 278    , -   ,2
1098664,EQ LAB OTHER             , -   ,2
1098672,EQ PULMONARY REHAB       , -   ,2
1098680,EQ IP INFANT AUDIOLOGY DX, -   ,2
1098698,EQ PHARM VACCINE PREVENT , -   ,2
1098706,EQ VACCINE ADMIN OTHER   , -   ,2
1098714,EQ SPEECH PATH EVAL-MCAL , -   ,2
1098722,EQ MRI OTHER             , -   ,2
1098730,EQ LAB PATH GENERAL      , -   ,2
1098748,EQ SPEECH PATH GEN - OTH , -   ,2
1098755,EQ SUPPLY IMPLANT FDA DEF, -   ,2
1098763,EQ PHARM EPO UNDER 10000 , -   ,2
1098771,EQ PHARM EPO OVER 10000  , -   ,2
1098805,EQ CATH/EP LAB PROCEDURES, -   ,2
1098813,EQ CATH/EP LAB RAD 320   , -   ,2
1098821,EQ CATH/EP LAB RAD 323   , -   ,2
1098847,EQ RENAL DIALYSIS NON HD , -   ,2
1098854,EQ OTHER DIAG-ALLERGY TST, -   ,2
1098862,EQ ANESTH INCIDENT TO RAD, -   ,2
1098888,EQ AMBULANCE             , -   ,2
1098912,EQ OB CIRCUMCISION       , -   ,2
1098920,EQ TRAUMA RESPONSE LEVIII, -   ,2
1098938,EQ PREVENTIVE CARE       , -   ,2
1098953,EQ PHYSICAL THER FUNCCODE, -   ,2
1098961,EQ OCCUP THER FUNC CODE  , -   ,2
1098979,EQ SPEECH PATH FUNC CODE , -   ,2
1098987,EQ ROOM PRIVATE M/S/GYN  , -   ,2
1098995,EQ ROOM PRIVATE PEDS     , -   ,2
1099001,EQ ROOM PRIVATE PSYCH    , -   ,2
1099019,EQ ROOM PRIVATE REHAB    , -   ,2
1099027,EQ ROOM SEMI DETOX       , -   ,2
1099035,EQ ROOM SEMI PEDS 3/4    , -   ,2
1099043,EQ ROOM SEMI PSYCH 3/4   , -   ,2
1099050,EQ ROOM SEMI REHAB 3/4   , -   ,2
1099068,EQ ROOM PRIVATE DLX GEN  , -   ,2
1099076,EQ ROOM PRIVATE DLX M/S/G, -   ,2
