Procedure ID,Procedure,Charge
CDM10048,ACNE SURGERY,425
CDM10049,DRAINAGE OF ABSCESS,1333
CDM10050,DRAINAGE OF MULTIPLE ABSCESS,2272
CDM10051,DRAINAGE OF TAILBONE CYST,1366
CDM10052,DRAINAGE OF TAILBONE CYST,2003
CDM10053,REMOVAL OF FOREIGN BODY FROM TISSUE ACCESSED BENEATH THE SKIN,755
CDM10054,REMOVAL OF FOREIGN BODY FROM TISSUE ACCESSED BENEATH THE SKIN,3224
CDM10055,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,5255
CDM10056,ASPIRATION OF ABSCESS BLOOD ACCUMULATION BLISTER OR CYST,1517
CDM10057,DRAINAGE OF WOUND INFECTION AFTER SURGERY,5643
CDM10058,REMOVAL OF INFLAMED OR INFECTED SKIN UP TO 10% OF BODY SURFACE,1159
CDM10059,REMOVAL OF INFLAMED OR INFECTED SKIN,169
CDM10060,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN FRACTURE AND/OR DISLOCATION,1366
CDM10061,REMOVAL OF FOREIGN MATERIAL FROM SKIN TISSUE AND MUSCLE AT OPEN FRACTURE AND/OR DISLOCATION,1942
CDM10062,REMOVAL OF FOREIGN MATERIAL FROM SKIN TISSUE MUSCLE AND BONE AT OPEN FRACTURE AND/OR DISLOCATION,5643
CDM10063,REMOVAL OF SKIN AND TISSUE FIRST 20 SQ CM OR LESS,2086
CDM10064,REMOVAL OF SKIN AND/OR MUSCLE FIRST 20 SQ CM OR LESS,1599
CDM10065,REMOVAL OF SKIN AND BONE FIRST 20 SQ CM OR LESS,3224
CDM10066,REMOVAL OF SKIN AND TISSUE,313
CDM10067,REMOVAL OF SKIN AND/OR MUSCLE,442
CDM10068,REMOVAL OF SKIN AND BONE,1488
CDM10069,REMOVAL OF SINGLE THICKENED SKIN GROWTH,425
CDM10070,REMOVAL OF 2 TO 4 THICKENED SKIN GROWTHS,339
CDM10071,REMOVAL OF MORE THAN 4 THICKENED SKIN GROWTHS,418
CDM10072,BIOPSY OF SINGLE GROWTH OF SKIN AND/OR TISSUE,711
CDM10073,BIOPSY OF EACH ADDITIONAL GROWTH OF SKIN AND/OR TISSUE,190
CDM10074,REMOVAL OF UP TO AND INCLUDING 15 SKIN TAGS,425
CDM10075,REMOVAL OF SKIN TAGS,57
CDM10076,SHAVING OF 0.5 CENTIMETERS OR LESS SKIN GROWTH OF THE TRUNK ARMS OR LEGS,213
CDM10077,SHAVING OF 0.6 CENTIMETERS TO 1.0 CENTIMETERS SKIN GROWTH OF THE TRUNK ARMS OR LEGS,322
CDM10078,SHAVING OF 1.1 TO 2.0 CENTIMETERS SKIN GROWTH OF THE TRUNK ARMS OR LEGS,379
CDM10079,SHAVING OF OVER 2.0 CENTIMETERS SKIN GROWTH OF THE TRUNK ARMS OR LEGS,755
CDM10080,SHAVING OF 0.5 CENTIMETERS OR LESS SKIN GROWTH OF SCALP NECK HANDS FEET OR GENITALS,244
CDM10081,SHAVING OF 0.6 CENTIMETERS TO 1.0 CENTIMETERS SKIN GROWTH OF SCALP NECK HANDS FEET OR GENITALS,324
CDM10082,SHAVING OF 1.1 TO 2.0 CENTIMETERS SKIN GROWTH OF SCALP NECK HANDS FEET OR GENITALS,425
CDM10083,SHAVING OF OVER 2.0 CENTIMETERS SKIN GROWTH OF SCALP NECK HANDS FEET OR GENITALS,755
CDM10084,SHAVING OF 0.5 CENTIMETERS OR LESS SKIN GROWTH OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,213
CDM10085,SHAVING OF 0.6 CENTIMETERS TO 1.0 CENTIMETERS SKIN GROWTH OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,294
CDM10086,SHAVING OF 1.1 TO 2.0 CENTIMETERS SKIN GROWTH OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,378
CDM10087,SHAVING OF OVER 2.0 CENTIMETERS SKIN GROWTH OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,755
CDM10088,REMOVAL OF GROWTH (0.5 CENTIMETERS OR LESS) OF THE TRUNK ARMS OR LEGS,967
CDM10089,REMOVAL OF GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1241
CDM10090,REMOVAL OF GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1366
CDM10091,REMOVAL OF GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1910
CDM10092,REMOVAL OF GROWTH (3.1 TO 4.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,3099
CDM10093,REMOVAL OF GROWTH (4.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,2952
CDM10094,REMOVAL OF GROWTH (0.5 CENTIMETERS OR LESS) OF THE SCALP NECK HANDS FEET OR GENITALS,1613
CDM10095,REMOVAL OF GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2181
CDM10096,REMOVAL OF GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2700
CDM10097,REMOVAL OF GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,3101
CDM10098,REMOVAL OF GROWTH (3.1 TO 4.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,3572
CDM10099,REMOVAL OF GROWTH (OVER 4.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,5490
CDM10100,REMOVAL OF GROWTH (0.5 CENTIMETERS OR LESS) OF THE FACE EARS EYELIDS NOSE LIPS OR MOUTH,1351
CDM10101,REMOVAL OF GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS OR MOUTH,1366
CDM10102,REMOVAL OF GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS OR MOUTH,1511
CDM10103,REMOVAL OF GROWTH (2.1 TO 3.0 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,2333
CDM10104,REMOVAL (3.1 TO 4.0 CENTIMETERS) GROWTH OF FACE EARS EYELIDS NOSE LIPS OR MOUTH,2972
CDM10105,REMOVAL (OVER 4.0 CENTIMETERS) GROWTH OF THE FACE EARS EYELIDS NOSE LIPS OR MOUTH,4259
CDM10106,REMOVAL OF SKIN AND TISSUE BENEATH THE SKIN OF GROIN FOR EXCESSIVE SWEATING,5643
CDM10107,REMOVAL OF MALIGNANT GROWTH (0.5 CENTIMETERS OR LESS) OF THE TRUNK ARMS OR LEGS,1899
CDM10108,REMOVAL OF MALIGNANT GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,905
CDM10109,REMOVAL OF MALIGNANT GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,992
CDM10110,REMOVAL OF MALIGNANT GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1188
CDM10111,REMOVAL OF MALIGNANT GROWTH (3.1 TO 4 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1306
CDM10112,REMOVAL OF MALIGNANT GROWTH (OVER 4.0 CENTIMETERS) OF THE TRUNK ARMS OR LEGS,1950
CDM10113,REMOVAL OF MALIGNANT GROWTH (0.5 CENTIMETERS OR LESS) OF THE SCALP NECK HANDS FEET OR GENITALS,1613
CDM10114,REMOVAL OF MALIGNANT GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,1997
CDM10115,REMOVAL OF MALIGNANT GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2279
CDM10116,REMOVAL OF MALIGNANT GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2819
CDM10117,REMOVAL OF MALIGNANT GROWTH (3.1 TO 4 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2663
CDM10118,REMOVAL OF MALIGNANT GROWTH (OVER 4.0 CENTIMETERS) OF THE SCALP NECK HANDS FEET OR GENITALS,2901
CDM10119,REMOVAL OF MALIGNANT GROWTH (0.5 CENTIMETERS OR LESS) OF THE FACE EARS EYELIDS NOSE OR LIPS,1899
CDM10120,REMOVAL OF MALIGNANT GROWTH (0.6 TO 1.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE OR LIPS,992
CDM10121,REMOVAL OF MALIGNANT GROWTH (1.1 TO 2.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE OR LIPS,1171
CDM10122,REMOVAL OF MALIGNANT GROWTH (2.1 TO 3.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE OR LIPS,1899
CDM10123,REMOVAL OF MALIGNANT GROWTH (3.1 TO 4.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE OR LIPS,2355
CDM10124,REMOVAL OF MALIGNANT GROWTH (OVER 4.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE OR LIPS,2901
CDM10125,TRIMMING OF FINGERNAILS OR TOENAILS,135
CDM10126,REMOVAL OF TISSUE FROM 1 TO 5 FINGER OR TOE NAILS,135
CDM10127,REMOVAL OF TISSUE FROM 6 OR MORE FINGER OR TOE NAILS,399
CDM10128,SEPARATION OF NAIL PLATE FROM NAIL BED,425
CDM10129,SEPARATION OF NAIL PLATE FROM NAIL BED,275
CDM10130,REMOVAL OF BLOOD ACCUMULATION BETWEEN NAIL AND NAIL BED,257
CDM10131,REMOVAL OF NAIL,755
CDM10132,REMOVE NAIL BED/FINGER TIP,2901
CDM10133,BIOPSY OF FINGER OR TOE NAIL,1642
CDM10134,REPAIR OF FINGER OR TOE NAIL BED,1159
CDM10135,REPAIR OF FINGER OR TOE NAIL BED WITH GRAFT,3711
CDM10136,REMOVAL OF SKIN OF FINGER OR TOE NAIL,755
CDM10137,REMOVAL OF TAILBONE CYST,5643
CDM10138,INJECTION OF UP TO 7 SKIN GROWTHS,536
CDM10139,INJECTION OF MORE THAN 7 SKIN GROWTHS,383
CDM10140,INTRODUCTION OF PIGMENT INTO SKIN (6.0 SQ CM OR LESS) TO CORRECT COLOR DEFECT,755
CDM10141,INTRODUCTION OF PIGMENT INTO SKIN (6.1 TO 20.0 SQ CM) TO CORRECT COLOR DEFECT,886
CDM10142,INTRODUCTION OF PIGMENT INTO SKIN TO CORRECT COLOR DEFECT,103
CDM10143,INJECTION OF 1 CC OR LESS FILLING MATERIAL INTO TISSUE,467
CDM10144,INJECTION OF 1.1 TO 5.0 CC FILLING MATERIAL BENEATH THE SKIN,886
CDM10145,INJECTION OF OVER 10.0 CC FILLING MATERIAL BENEATH THE SKIN,755
CDM10146,REMOVAL OF IMPLANTABLE CONTRACEPTIVE CAPSULES,1366
CDM10147,INSERTION OF HORMONE PELLETS BENEATH THE SKIN,408
CDM10148,INSERTION OF DRUG DELIVERY IMPLANT INTO TISSUE,189
CDM10149,REMOVAL OF DRUG DELIVERY IMPLANT FROM TISSUE,408
CDM10150,REMOVAL WITH REINSERTION OF DRUG DELIVERY IMPLANT INTO TISSUE,408
CDM10151,REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE SCALP NECK UNDERARMS TRUNK ARMS AND/OR LEGS,1549
CDM10152,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF THE SCALP NECK UNDERARMS GENITALS TRUNK ARMS AND/OR LEGS,1644
CDM10153,REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF THE SCALP NECK UNDERARMS GENITALS TRUNK ARMS AND/OR LEGS,1923
CDM10154,REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF THE SCALP NECK UNDERARMS GENITALS TRUNK ARMS AND/OR LEGS,2393
CDM10155,REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE SCALP NECK UNDERARMS GENITALS TRUNK ARMS AND/OR LEGS,2982
CDM10156,REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF THE SCALP NECK UNDERARMS GENITALS TRUNK ARMS AND/OR LEGS,3363
CDM10157,REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,425
CDM10158,REPAIR OF WOUND (2.6 TO 5.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,449
CDM10159,REPAIR OF WOUND (5.1 TO 7.5 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,579
CDM10160,REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,728
CDM10161,REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,993
CDM10162,REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,1175
CDM10163,REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF THE FACE EARS EYELIDS NOSE LIPS AND/OR MUCOUS MEMBRANES,1332
CDM10164,REPAIR OF SEPARATION OF WOUND CLOSURE,1159
CDM10165,REPAIR OF SEPARATION OF WOUND CLOSURE WITH INSERTION OF PACKING,996
CDM10166,REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,595
CDM10167,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,755
CDM10168,REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,806
CDM10169,REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,935
CDM10170,REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,1089
CDM10171,REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF THE SCALP UNDERARMS TRUNK ARMS AND/OR LEGS,1856
CDM10172,REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF NECK HANDS FEET AND/OR GENITALS,755
CDM10173,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF NECK HANDS FEET AND/OR GENITALS,1012
CDM10174,REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF NECK HANDS FEET AND/OR GENITALS,1086
CDM10175,REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF NECK HANDS FEET AND/OR GENITALS,1357
CDM10176,REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF NECK HANDS FEET AND/OR GENITALS,1579
CDM10177,REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF NECK HANDS FEET AND/OR GENITALS,1856
CDM10178,REPAIR OF WOUND (2.5 CENTIMETERS OR LESS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,2736
CDM10179,REPAIR OF WOUND (2.6 TO 5.0 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,3253
CDM10180,REPAIR OF WOUND (5.1 TO 7.5 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,3481
CDM10181,REPAIR OF WOUND (7.6 TO 12.5 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,3542
CDM10182,REPAIR OF WOUND (12.6 TO 20.0 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,4821
CDM10183,REPAIR OF WOUND (20.1 TO 30.0 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,6117
CDM10184,REPAIR OF WOUND (OVER 30.0 CENTIMETERS) OF FACE EARS EYELIDS NOSE LIPS AND/OR MOUTH,6790
CDM10185,REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF TRUNK,1909
CDM10186,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF TRUNK,2250
CDM10187,REPAIR OF WOUND OF TRUNK,880
CDM10188,REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF SCALP ARMS AND/OR LEGS,1972
CDM10189,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF SCALP ARMS AND/OR LEGS,2745
CDM10190,REPAIR OF WOUND OF SCALP ARMS AND/OR LEGS,387
CDM10191,REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,771
CDM10192,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,1564
CDM10193,REPAIR OF WOUND OF FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,429
CDM10194,REPAIR OF WOUND (1.1 TO 2.5 CENTIMETERS) OF EYELIDS NOSE EARS AND/OR LIPS,1159
CDM10195,REPAIR OF WOUND (2.6 TO 7.5 CENTIMETERS) OF EYELIDS NOSE EARS AND/OR LIPS,1219
CDM10196,REPAIR OF WOUND OF EYELIDS NOSE EARS AND/OR LIPS,468
CDM10197,TISSUE TRANSFER REPAIR OF WOUND (10 SQ CENTIMETERS OR LESS) OF THE TRUNK,2238
CDM10198,TISSUE TRANSFER REPAIR OF WOUND (10.1 TO 30.0 SQ CENTIMETERS) OF THE TRUNK,4402
CDM10199,TISSUE TRANSFER REPAIR OF WOUND (10 SQ CENTIMETERS OR LESS) OF THE SCALP ARMS AND/OR LEGS,2238
CDM10200,TISSUE TRANSFER REPAIR OF WOUND (10.1 TO 30.0 SQ CENTIMETERS) OF THE SCALP ARMS AND/OR LEGS,4402
CDM10201,TISSUE TRANSFER REPAIR OF WOUND (10 SQ CENTIMETERS OR LESS) OF THE FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,4402
CDM10202,TISSUE TRANSFER REPAIR OF WOUND (10.1 TO 30.0 SQ CENTIMETERS) OF THE FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,3593
CDM10203,TISSUE TRANSFER REPAIR OF WOUND (10 SQ CENTIMETERS OR LESS) OF EYELIDS NOSE EARS AND/OR LIPS,4402
CDM10204,TISSUE TRANSFER REPAIR OF WOUND (10.1 TO 30.0 SQ CENTIMETERS) OF EYELIDS NOSE EARS AND/OR LIPS,3608
CDM10205,TISSUE TRANSFER REPAIR OF WOUND (30.1 TO 60.0 SQ CENTIMETERS),6554
CDM10206,ADJACENT TISSUE TRANSFER OR REARRANGEMENT ANY AREA; EACH ADDITIONAL 30.0 SQ CM.,2101
CDM10207,PREPARATION OF GRAFT SITE AT TRUNK ARMS OR LEGS (FIRST 100 SQ CM OR 1% BODY AREA INFANTS AND CHILDREN),3711
CDM10208,PREPARATION OF GRAFT SITE OF FACE SCALP EYELIDS MOUTH NECK EARS EYE REGION GENITALS HANDS FEET AND/OR MULTIPLE FINGERS OR TOES (FIRST 100 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN),886
CDM10209,SKIN GRAFT (2 CENTIMETERS) TO TIP OF FINGER OR TOE,3050
CDM10210,RELOCATION OF PATIENT SKIN (20 SQ CENTIMETERS OR LESS) TO TRUNK,6554
CDM10211,RELOCATION OF PATIENT SKIN TO TRUNK,277
CDM10212,RELOCATION OF PATIENT SKIN (20 SQ CENTIMETERS OR LESS) TO SCALP ARMS AND/OR LEGS,4573
CDM10213,RELOCATION OF PATIENT SKIN TO SCALP ARMS AND/OR LEGS,250
CDM10214,RELOCATION OF PATIENT SKIN TO FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET (20 SQ CENTIMETERS OR LESS),4402
CDM10215,RELOCATION OF PATIENT SKIN TO FOREHEAD CHEEKS CHIN MOUTH NECK UNDERARMS GENITALS HANDS AND/OR FEET,390
CDM10216,RELOCATION OF PATIENT SKIN TO NOSE EARS EYELIDS AND/OR LIPS (20 SQ CENTIMETERS OR LESS),1996
CDM10217,RELOCATION OF PATIENT SKIN TO NOSE EARS EYELIDS AND/OR LIPS,488
CDM10218,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO TRUNK ARMS OR LEGS (FIRST 25 SQ CM OR LESS),3251
CDM10219,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO TRUNK ARMS OR LEGS,223
CDM10220,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE GREATER OR EQUAL TO 100 SQ CM) TO TRUNK ARMS OR LEGS (FIRST 100 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN),6554
CDM10221,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE GREATER OR EQUAL TO 100 SQ CM) TO TRUNK ARMS OR LEGS,453
CDM10222,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO FACE SCALP EYELIDS MOUTH NECK EARS EYE REGION GENITALS HANDS FEET AND/OR MULTIPLE FINGERS OR TOES (FIRST 25 SQ CM OR LESS),3711
CDM10223,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE UP TO 100 SQ CM) TO FACE SCALP EYELIDS MOUTH NECK EARS EYE REGION GENITALS HANDS FEET AND/OR MULTIPLE FINGERS OR TOES,208
CDM10224,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE GREAT THAN OR EQUAL TO 100 SQ CM) TO FACE SCALP EYELIDS MOUTH NECK EARS EYE REGION GENITALS HANDS FEET AND/OR MULTIPLE FINGERS OR TOES (FIRST 100 SQ CM OR 1% BODY AREA OF INFANTS AND CHILDREN),3876
CDM10225,APPLICATION OF SKIN SUBSTITUTE (WOUND SURFACE GREAT THAN OR EQUAL TO 100 SQ CM) TO FACE SCALP EYELIDS MOUTH NECK EARS EYE REGION GENITALS HANDS FEET AND/OR MULTIPLE FINGERS OR TOES,2836
CDM10226,CREATION OF FLAP GRAFT TO EYELIDS NOSE EARS LIPS OR MOUTH,3439
