IVNUM,IVDESC,IVSW9,IVCPTCD,IVPRICE1,IVFPRICE1,IVFDATE1
213133,LAC COMPLEX N/H/F/G EA ADDITIONAL 5CM,,13133,286.5,301,20190101
213150,LAC COMPLEX EYELID/LIP/NOSE/EAR <1CM,,13150,526,552.5,20190101
213151,LAC COMPLEX EYELID/LIP/NOSE/EAR 1.1-2.5C,,13151,578.5,607.5,20190101
213152,LAC COMPLEX EYELID/LIP/NOSE/EAR 2.6-7.5C,,13152,725,761.5,20190101
216000,BURN TX 1ST DEGREE,,16000,265,278.5,20190101
216020,BURN DRESS/DEBRIDMENT SMALL,,16020,118.5,125.5,20190101
216025,BURN DRESS/DEBRIDMENT MEDIUM,,16025,235.5,247.5,20190101
216030,BURN DRESS/DEBRIDMENT LARGE>1,,16030,309.5,325,20190101
220103,WOUND EXPLORATATION EXTREMITY,,20103,392.5,412,20190101
220552,INJ TRIGGER POINTS,,20552,380.5,399.5,20190101
220605,ARTHROCENTESIS ASP INJ INTERMED JOINT,,20605,140.5,149,20190101
220610,ASPIR/INJECT JOINT OR BURSA,,20610,222,233,20190101
220822,REATTACH FINGERTIP,,20822,568.5,597,20190101
221315,CLOSED REDUCT NOSE,,21315,751.5,781.5,20190101
221480,CLOSE TMJ DISLOC INITOR SUB,,21480,252,264.5,20190101
223500,CLAVICLE FIG 8,,23500,365,383.5,20190101
223505,CLOSED TREAT CLAV FX WITH MANIP,,23505,390.5,410,20190101
223650,CLOSED RED SHOULDER WO ANES,,23650,228.5,240,20190101
223655,CLOSED RED SHOULDER @ ANESTHESIA,,23655,1150.5,1185,20190101
224600,CLOSED REDUCTION ELBOW,,24600,512.5,538,20190101
224640,CLSD REDUCT RADIAL HEAD SUB CHILD,,24640,376.5,395.5,20190101
225535,CLOSED REDUCTION ULNAR SHAFT,,25535,332,348.5,20190101
225565,CLOSED REDUCT FX WRIST ADULT,,25605,376.5,395.5,20190101
225603,CLOSED RED WRIST W/ MANIPULATION CHILD,,25605,355,373,20190101
225605,CLOSED REDUCT FX WRIST ADULT,,25605,376.5,395.5,20190101
225675,CLOSED REDUCT DISTAL RADIOULNAR DISCLOS,,25675,543,570,20190101
226770,CLOSED REDUCT FINGER JOINT,,26770,341,358,20190101
226775,RED DISLOC-INTERPHALANGEAL W ANES,,26775,781.5,813,20190101
227250,HIP C/R MANIPULATION,,27250,460,483,20190101
227252,CLSD REDUCT HIP DISLO @ ANES,,27252,783,814.5,20190101
227510,CLOSED TREATMENT OF BROKEN THIGH BONE MA,,27510,621.25,652.5,20190101
227560,CLOSED REDUCT PATELLAR DISCLOSURE,,27560,402,422,20190101
227752,CLOSED REDUCT TIBIAL SHAFT,,27752,341,358,20190101
227781,CLOSED REDUCT FX FIBULAR SHAFT,,27781,713,748.5,20190101
227788,CLOSED REDUCT FX FIBULA,,27788,713,748.5,20190101
227810,CLSED REDUCT FX ANKLE,,27810,380.5,399.5,20190101
227840,CLOSED REDUCT DISLO ANKLE,,27840,512.5,538,20190101
227842,CLOSED RED ANKLE @ ANESTHESIA,,27842,1150.5,1185,20190101
228190,FB REMOVAL FOOT SUBCU,,28190,460,483,20190101
228470,CLOSED REDUCT METATARSAL,,28470,415,436,20190101
228475,CLOSED REDUCT METATARSAL FX,,28475,341,358,20190101
228515,TREATMENT FX TOE,,28515,415,436,20190101
228660,CLOSED REDUCT INTERPHALANGEAL JOINT,,28660,286,300.5,20190101
229065,CAST LONG ARM SHOULDER/HAND,,29065,338,355,20190101
229075,CAST ELBOW TO FINGER,,29075,292.5,292.5,0
229085,CAST APP WRIST/HAND,,29085,293.5,308,20190101
229105,SPLINT LONG ARM,,29105,271.5,285,20190101
229125,SPLINT APP SHORT ARM,,29125,235.5,247.5,20190101
229130,SPLINT FINGER,,29130,118,125,20190101
229200,STRAPPING THORAX,,29200,155.5,165,20190101
229345,CAST LONG LEG THIGH-TOES,,29345,441,463,20190101
229405,CAST LEG BELOW KNEE,,29405,312.5,328,20190101
229505,SPLINT LONG LEG THIGH TO ANKLE,,29505,252.5,265,20190101
229515,SPLINT LOWER LEG/ANKLE,,29515,241,253,20190101
230000,E&M LEVEL 5,,99285,1392,1434,20190101
230005,ER DOPPLER,,,174,184.5,20190101
230010,ER EXTERNAL PACERS,,,1150.5,1185,20190101
230020,E&M LEVEL 1,,99281,113,120,20190101
230021,E&M LEVEL 2,,99282,347.5,365,20190101
230022,E&M LEVEL 3,,99283,514.5,540,20190101
230023,E&M LEVEL 4,,99284,1022.5,1053,20190101
230030,ER MINOR PREP,,,114.5,121.5,20190101
230031,TRANSFER PREP II,,,664.5,697.5,20190101
230040,RAPID RHINO ANTERIOR,,,72.5,77.5,20190101
230042,TRAY SUTURE,,,90,96.5,20190101
230060,CAST ROOM LEVEL II,,,167,177,20190101
230061,CAST ROOM LEVEL I,,,113,120,20190101
230300,FB REMOVAL NOSE,,30300,222,233,20190101
230901,NASAL BLEED SIMPLE,,30901,248.5,261,20190101
230903,NASAL BLEED COMPLEX ANTERIOR,,30903,341,358,20190101
230905,NASAL BLEED COMPLEX ANTERIOR,,30905,353,370.5,20190101
231000,SEXUAL ASSAULT RN EXAMINER,,,664.5,697.5,20190101
231511,"ENDOSCOPY OF LARYNX, REM  FOREIGN BODY",,31511,361.5,379.5,20190101
232000,THORACENTESIS,,32421,666.5,700,20190101
232002,CHEST TUBE INSERTION PNEUMOTHORAX,,32422,696,731,20190101
232020,CHEST TUBE INSERTION HEMOTHORAX,,32551,851.5,885.5,20190101
232554,THORACENTESIS W/OUT IMAGINING GUIDANCE,,32554,289.5,304,20190101
232555,THORACENTESIS W/ IMAGINING GUIDANCE,,32555,365,383.5,20190101
233010,PERICARDIOCENTESIS,,33010,781,812,20190101
236430,BLOOD ADMIN/UNIT ER,,36430,836,869.5,20190101
236556,CENTRAL LINE INSERTION >5 YEARS,,36556,977,1016,20190101
236569,PICC LIN INSERTION >5YR,,36569,1037,1068,20190101
240831,LAC MOUTH VESTIBULE COMPLEX >2.5CM,,40831,425.5,447,20190101
246040,I/D ISCHIORECTA/PERIREC,,46040,607.5,638,20190101
246083,INC THROMBOSED HEMORRHOID EXTERNAL,,46083,356.5,374.5,20190101
249080,ABDOMINAL PERICENTISIS,,49080,553,580.5,20190101
249082,PARACENTESIS W/OUT IMAGING GUIDANCE,,49082,264.5,277.5,20190101
249083,PARACENTISIS W/ IMAGING GUIDANCE,,49083,405,425.5,20190101
249084,"PARACENTISIS LAVAGE, W/ IMAGING GUIDANCE",,49084,320,336,20190101
251140,STRYKER ORTHOLOCK EX PIN 6007-3-150,,,2446.5,2495.5,20190101
251701,CATH UREATHRA STRAIGHT,,51701,131.5,139.5,20190101
251702,CATH UREATHRA FOLEY,,51702,171,181.5,20190101
251703,CATH COMPLEX,,51703,328.5,345,20190101
251705,CATH CHANGE SUPERPUBIC,,51705,238,250,20190101
251806,EXOS WRIST BRACE WITH BOA RT LG,,,201.5,211.5,20190101
256055,ATTEND LINERS  WRONG,,,22,24,20190101
262270,LUMBAR PUNCTURE,,62270,626,657.5,20190101
264450,NERVE BLOCK/PERPHERAL NERVE,,64450,421,442,20190101
265205,FB REMOVAL EYE SUPERFICIAL,,65205,179.5,190.5,20190101
265220,FB REMOVAL EYE CORNEAL NO SLITLAMP,,65220,307.5,323,20190101
269200,FB REMOVAL EAR,,69200,202.5,212.5,20190101
269210,FB REMOVAL EAR,,69210,78,83.5,20190101
290471,INJ/IMMUNIZATION,,90471,38,41,20190101
290472,INJ/IMMUNIZATION EA ADDITIONAL,,90472,39,42,20190101
290658,INFLUENZA IRUS VACCINE,,90658,29.5,32,20190101
290669,PNEUMOCCOCCAL VACCINE > 5 YEARS,,90669,161,170.5,20190101
290675,RABIES VACCINE/INTRMUSCULAR,,90675,616,647,20190101
290702,INJ/TETNUS<7 YRS,,90702,63.5,68,20190101
290714,INJ/TETNUS 7 YRS OR OLDER,,90471,68.5,73.5,20190101
290718,INJ/TETNUS 7 YRS OR OLDER,,90718,68.5,73.5,20190101
290760,020IV HYDRATION INITIAL 1ST HR,,96360,380.5,399.5,20190101
290761,IV HYDRATION ADDL UP TO 8HR,,96361,85,91,20190101
290765,IV INFUSION DRUG 1ST HR,,96365,355,373,20190101
290766,IV THERAPY ADD HRS MAX 8,,96366,78,83.5,20190101
290767,SEQUENTIAL INFUSION ADDL HR,,96367,196,208,20190101
290768,IV INFUS ADD SEQUENTIAL,,96368,78,83.5,20190101
290772,SQ/IM INJECTION,,96372,52.5,56,20190101
290774,INJ IV PUSH,,96374,177,187.5,20190101
290775,IV PUSH EA ADD,,96375,177,187.5,20190101
290780,IV THERAPY 1ST HR,,90765,210.5,221,20190101
290781,IV THERAPY ADD HRS MAX 8,,90766,118.5,125.5,20190101
290782,SQ/IM INJECTION,,90772,107,113.5,20190101
290784,INJ IV PUSH,,90774,189,200.5,20190101
290788,CATH COMPLEX,,,77,82.5,20190101
291105,GASTRIC LAVAGE,,43753,327.5,344,20190101
292950,ER CPR,,92950,792,823.5,20190101
292960,CARDIOVERSION O-P,,92960,736,773,20190101
296411,CHEMO ADMIN IVP,,96411,185,196,20190101
296523,IRRIGATE PICC LINE,,96523,178,188.5,20190101
299141,CONSCIOUS SEDATION ER FOR <5 YRS,,99143,249.5,262,20190101
299142,CONSCIOUS SEDATION ORAL,,99142,167.27,167.27,0
299143,CONSCIOUS SEDATION ORAL,,99143,248.5,261,20190101
299144,CONSCIOUS SEDATION ER FOR >5 YRS,,99144,173,183.5,20190101
299145,CONSCIOUS SEDATION EACH ADD 15 MIN,,99145,91.5,98,20190101
299151,CONSCIOUS SEDATION ER FOR <5 YRS,,99151,249.5,262,20190101
299152,CONSCIOUS SEDATION ER FOR >5 YRS,,99152,173,183.5,20190101
299153,CONSCIOUS SEDATION EACH ADD 15 MIN,,99153,91.5,98,20190101
299175,IPECAC ADMINSTRATION,,99175,211.5,222,20190101
299195,PHLEBOTOMY THERAPEUTIC,,99195,181,192,20190101
299291,CRITICAL CARE 1ST 74 MIN,,99291,1706.5,1740.5,20190101
299292,CRITICAL CARE ADD 30 MIN,,99292,584,613,20190101
451647,TOPAMAX 50MG TAB,,,30.56,30.56,0
459999,PRUTECT EMUL 45GM TUBE,,,130.49,130.49,0
510000,DELIVERY PREP,,,222,233,20190101
510001,FETAL HEART MONITOR,,59025,206.5,217,20190101
510005,INDUCTION/STIMULATION PER HOUR,,,179.5,190.5,20190101
510010,INSTRUMENTS-OB,,,423.5,444.5,20190101
510015,LABOR/DELIVERY SERVICES,,,1483.5,1528,20190101
510020,TEST NON STRESS,,59025,191.5,203,20190101
510021,TEST STRESS,,59051,491.5,516,20190101
510025,TRAY L/D ANESTHESIA,,,113.5,120.5,20190101
510030,VACUUM DELIVERY KIT/PUMP,,,213.5,224,20190101
510035,ADMISSION KIT OB,,,228,239.5,20190101
600000,CIRCUMCISION,,54150,77,82.5,20190101
600005,INFANT OVERHEAD WARMER,,,241.5,253.5,20190101
600006,INFANT RESUCITATION,,99465,484,508,20190101
600007,INFANT STABILIZATION,,,337.5,351,20190101
600008,NEWBORN HEARING,,92587,191.5,203,20190101
600016,BILI BLANKET,,,230.19,241.5,20190101
600020,BABY TUBING WARMER,,,54,55,20190101
739681,IV D5 0.9% 1000ML,,,29,31.5,20190101
792209,IV D5W:  1000ML,,,32,34.5,20190101
820552,INJ TRIGGER POINTS,,20552,380.5,399.5,20190101
836430,BLOOD ADMIN/UNIT OBSERVE,,36430,836,869.5,20190101
851701,CATH UREATHRA STRAIGHT,,51701,131.5,139.5,20190101
870000,OBSERVE LEVEL 2 1ST HR,,G0378,729.5,766,20190101
870005,OBSERVE LEVEL 2 EA ADD'L HR,,G0378,35,38,20190101
870006,OBSERVE LEVEL 3 1ST HOUR,,G0378,800.5,832.5,20190101
870007,OBSERVE LEVEL 3 ADDL HRS,,G0378,48,52,20190101
870010,OBSERVE LEVEL 1 1ST HR,,G0378,633,664.5,20190101
870011,OBSERVE LEVEL 1 EA ADD'L HR,,G0378,24,26,20190101
870020,IV INFUSION DRUG 1ST HR,,96365,316,332,20190101
870021,INFUSION THERAPY EA ADDL HR,,96366,75.5,81,20190101
870030,TRANSFUSION THERAPY PER VISIT,,36430,898,934,20190101
890760,IV HYDRATION INITIAL 1ST HR,,96360,380.5,399.5,20190101
890761,IV HYDRATION ADDL UP TO 8HR,,96361,85,91,20190101
890765,IV INFUSION DRUG 1ST HOUR,,96365,355,373,20190101
890766,IV THERAPY ADD HRS MAX 8,,96366,85,91,20190101
890767,SEQUENTIAL INFUSION ADDL HR,,96367,196,208,20190101
890768,IV INFUS ADD SEQUENTIAL,,96368,78,83.5,20190101
890772,SQ/IM INJECTION,,96372,52.5,56,20190101
890774,INJ IV PUSH,,96374,189,200.5,20190101
890775,IV PUSH EA ADD,,96375,177,187.5,20190101
896411,CHEMO ADMIN IVP,,96411,185,196,20190101
896523,IRRIGATE PICC LINE,,96523,189,200.5,20190101
940005,TR-MINOR SURGERY,,,264,277,20190101
940010,TR-COLONSCOPE,,,1517,1547.5,20190101
940012,TR-SIGMOIDOSCOPY FLEX DX W/WO COLL,,45330,1217,1253.5,20190101
940020,TR-GASTROSCOPE,,,1175.5,1211,20190101
940030,TR-ULTRAPULSE LASER MACHINE PER 15 MIN,,,336.5,353.5,20190101
950000,OR EAR TUBE ONLY,,,2192.5,2236.5,20190101
950007,OR SETUP/CANCELLATION,,,644,676,20190101
950011,DEVISE GYNECARE TVT 810041,,,3386.5,3454,20190101
950013,OR DRAPE INCISE SMALL,,,74.5,79.5,20190101
950014,OR DRAPE INCISE LARGE,,,93,99.5,20190101
950015,OR DENTAL 1ST HOUR,,,958.5,997,20190101
950016,OR DENTAL EA ADD'L HALF HR,,,497.5,522.5,20190101
950017,OR VITAL SYSTEM MONITOR,,,311.5,327,20190101
950056,KIT-CHOLE/OTHER,,,4010.5,4090.5,20190101
950057,KIT-BARD PORT 8FR. INTRODUCER,,,1917,1955.5,20190101
950058,KIT-AMBIT PCA PUMP,,,628,659.5,20190101
950069,MYTEC SHOULDER ANCHOR,,,1165,1200,20190101
950310,TRAP POLYP,,,65,69.5,20190101
950311,CATHETER DRAINAGE MACLOC ANDERSON,,,690,724.5,20190101
958000,OR MAJOR  PER MINUTE,,,158.5,168,20190101
958010,OR MINOR  PER MINUTE,,,132,140,20190101
959000,OR MAJOR ORTHO PER MINUTE,,,158.5,168,20190101
959010,OR MINOR ORTHO PER MINUTE,,,128,135.5,20190101
959020,OR GENERAL  PER MINUTE,,,123,130.5,20190101
959030,OR LAP CHOLE PER MINUTE,,,140,148.5,20190101
959031,OR LAP APPY PER MINUTE,,,74.5,79.5,20190101
959032,OR LAP HERNIA PER MINUTE,,,140,148.5,20190101
959033,OR LAPBAND PER MINUTE,,,140,148.5,20190101
959040,OR ENT PER MINUTE,,,207,217.5,20190101
959050,OR TONSILLECTOMY,,,3482,3551.5,20190101
959060,OR UROLOGY PER MINUTE,,,203,213,20190101
1160000,RECOVERY ROOM LEVEL 3 PER 15MIN,,,73,78,20190101
1160001,RECOVERY ROOM LEVEL 2 PER 15 MINUTE,,,38.5,41.5,20190101
1160002,RECOVERY ROOM LEVEL 1 PER 15 MINUTE,,,20.5,22,20190101
1160005,RECOVERY ROOM ADD'L HLF HOUR,,,236,248,20190101
1160010,RECOVERY ROOM DENTAL,,,113.5,120.5,20190101
1160015,RECOVERY VITAL SYSTEMS MONITORING,,,322,338,20190101
1190765,IV THERAPY 1ST HR,,90765,380.5,399.5,20190101
1190767,SEQUENTIAL INFUSION ADDL HR,,90767,55,59,20190101
1190772,SQ/IM INJECTION,,90772,97.5,104.5,20190101
1190774,INJ IV PUSH,,90774,178,189,20190101
1500002,AEROSOL THERAPY TREATMENT,,94642,80,85.5,20190101
1500003,AEROSOL THERAPY CONTINUE HOURLY,,94642,60,64,20190101
1500007,IPPB TREATMENT,,94640,87,87,0
1500011,OXYGEN TENT HOURLY,,,18,19.5,20190101
1500012,OXYGEN HOURLY,,,20.5,22,20190101
1500019,OXYGEN HOURLY,,,16,17.5,20190101
1500022,NEBULIZER TREATMENT,,94664,91.5,98,20190101
1500023,INCUBATOR OXYGEN HOURLY,,,41,44.5,20190101
1500024,CHEST PHYSIO,,94667,80,85.5,20190101
1500026,INCENT SPIROMETRY TEACH/TREATMENT,,,38.5,41.5,20190101
1500027,INCENTIVE SPIROMETER WRONG,,,65,69.5,20190101
1500030,PERSONAL THERAPIST-HOURLY,,,72,77,20190101
1500033,VENTILATOR FIRST DAY,,94002,1187.5,1223,20190101
1500034,VENTILATOR SUBSEQUENT DAYS,,94003,813.5,846,20190101
1500036,SLEEP STUDY BASELINE,,95810,2898.5,2956.5,20190101
1500037,SLEEP STUDY CPAP,,95811,3187,3250.5,20190101
1500050,SNF DAILY OXYGEN,,94642,14,15,20190101
1500051,SNF NEBULIZER,,94664,14,15,20190101
1500355,PULMONARY FUNCTIONS TEST,,94060,265.5,290,20190101
1550000,RT AEROSOL THERAPY CONTINUE HOURLY,,94642,60,64,20190101
1550001,RT AEROSOL THERAPY TREATMENT,,94642,80,85.5,20190101
1550003,RT BIPAP DAILY,,94660,394,413.5,20190101
1550005,RT CHEST PHYSIO,,94667,80,85.5,20190101
1550006,RT INCENT SPIROMETY TEACH/TREATMENT,,,38.5,41.5,20190101
1550007,RT INCENTIVE SPIROMETER,,,65,69.5,20190101
1550008,RT INCUBATOR OXYGEN HOURLY,,,41,44.5,20190101
1550009,RT INHALATION TREATMENT,,94640,107.5,114,20190101
1550010,RT IPPB TREATMENT,,94640,87,93,20190101
1550011,RT NEBULIZER TREATMENT,,94664,91.5,98,20190101
1550012,RT OXYGEN HOURLY,,,22,24,20190101
1550013,RT OXYGEN TENT HOURLY,,,18,19.5,20190101
1550014,RT PEAK FLOW METER,,94010,87,93,20190101
1550016,RT PULMONARY FUNCTIONS TEST,,94060,265.5,279,20190101
1550017,RT SLEEP STUDY BASELINE,,95810,2898.5,2956.5,20190101
1550018,RT SLEEP STUDY CPAP,,95811,3187,3250.5,20190101
1550019,RT SNF DAILY OXYGEN,,94642,14,15,20190101
1550020,RT SNF NEBULIZIER,,94664,14,15,20190101
1550021,RT VENTILATOR FIRST DAY,,94002,1187.5,1223,20190101
1550023,RT VENTILATOR SUBSEQUENT DAYS,,94003,813.5,846,20190101
1590136,PEAK FLOW METER,,94010,87,93,20190101
1594618,PULMONARY STRESS TEST SIMPLE,,94618,134.5,142.5,20190101
1594620,PULMONARY STRESS TEST SIMPLE,,94620,134.5,142.5,20190101
1594640,INHALATION TREATMENT,,94640,107.5,114,20190101
1594660,BIPAP/CPAP DAILY,,94660,394,413.5,20190101
1595806,HOME SLEEP TEST,,95806,614,644.5,20190101
1710002,PT AQUATIC THERAPY 15 MIN,,97113,131.5,139.5,20190101
1710003,COMPRESSION GLOVE,,,108.5,115,20190101
1710004,SI BELT,,,90,96.5,20190101
1710005,CPM CONTINUOUS PASSIVE MOTION DEVISE,,E0936,1303,1303,0
1710006,PT CARDIAC REHAB WITH MONITOR,,93798,134.5,142.5,20190101
1710007,PT CARDIAC STRESS TEST,,93017,1149,1183.5,20190101
1710014,WOUND DEBRIDMENT,,97602,134.5,142.5,20190101
1710016,PT ELECTRICAL STIMULATION,,G0283,74.5,79.5,20190101
1710018,PT EVALUATION,,97001,189.5,201,20190101
1710022,PT GAIT TRAINING 15 MIN,,97116,82.5,88.5,20190101
1710024,PT HOME HEALTH,,G0151,202.8,213,20190101
1710025,PT HOME HEALTH ASSIST,,G0157,191.36,203,20190101
1710028,PT IONTOPHORESIS 15 MIN,,97033,159.5,169,20190101
1710030,PT MANUAL THERAPY TECHNIQUES,,97140,101,101,0
1710032,PT MASSAGE 15 MIN,,97124,82.5,88.5,20190101
1710034,PT NEUROMUSCULAR RE-EDUCATION,,97112,101,101,0
1710038,PT RE-EVALUATION,,97002,189.5,201,20190101
1710042,PT TENS APPLICATION,,64550,122.5,130,20190101
1710044,PT THERAPEUTIC ACTIVITIES 15 MIN,,97530,117.5,117.5,0
1710046,PT THERAPEUTIC PROCEDURE 15 MIN,,97110,93.5,93.5,0
1710048,PT GROUP THERA PROC 15-60 MIN,,97150,67.5,72,20190101
1710052,PT ULTRASOUND 15 MIN,,97035,74.5,74.5,0
1710072,PT EVALUATION NH,,97001,189.5,201,20190101
1710073,PT GAIT TRAINING NH,,97116,82.5,88.5,20190101
1710081,PT/THERAPETIC ACTIVITY NH,,97530,117.5,124.5,20190101
1710082,PT THERAPEUTIC PROCED 15 MIN NH,,97110,93.5,100,20190101
1710084,PT ULTRASOUND N.H.,,97035,74.5,79.5,20190101
1710085,PT WHIRLPOOL,,97022,69.5,74.5,20190101
1710200,TLSO BACK BRACE,,,566.5,595,20190101
1729200,PT STRAPPING THORAX,,29200,139,147.5,20190101
1729240,PT STRAPPING SHOULDER,,29240,151,160,20190101
1729260,PT STRAPPING ELBOW OR WRIST,,29260,130,138,20190101
1729280,PT STRAPPING HAND OR FINGER,,29280,127,134.5,20190101
1729520,PT STRAPPING HIP,,29520,129.5,137.5,20190101
1729530,PT STRAPPING KNEE,,29530,131.5,139.5,20190101
1729540,PT STRAPPING ANKLE/FOOT,,29540,82.5,88.5,20190101
1729550,PT STRAPPING TOES,,29550,62,66.5,20190101
1770030,PT HOME PULLEY KIT,,,64.5,69,20190101
1770100,PT BRACE FITTING,,97760,80.5,86,20190101
1770101,PT SPLINT ADJUSTMENT,,97762,116,123,20190101
1780002,ST SPEECH/LANGUAGE EVALUATION,,92506,183,194,20190101
1780003,ST SPEECH THERAPY VISIT,,92507,217.5,228.5,20190101
1780005,ST SPEECH THERAPY INDIVIDUAL,,92507,204.5,214.5,20190101
