Antelope Valley Hospital,,
FY2018 AVERAGE CHARGES BY DRG,,
DRG,DRG Description,Average Charge Per Stay
097,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,"$31,455.19"
098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$85,641.52"
100,SEIZURES W MCC,"$56,303.92"
101,SEIZURES W/O MCC,"$34,966.46"
103,HEADACHES W/O MCC,"$16,574.28"
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,"$61,871.05"
124,OTHER DISORDERS OF THE EYE W MCC,"$15,458.88"
125,OTHER DISORDERS OF THE EYE W/O MCC,"$19,720.30"
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"$169,471.88"
152,OTITIS MEDIA & URI W MCC,"$28,376.95"
153,OTITIS MEDIA & URI W/O MCC,"$43,388.14"
158,DENTAL & ORAL DISEASES W CC,"$55,571.30"
164,MAJOR CHEST PROCEDURES W CC,"$80,702.76"
165,MAJOR CHEST PROCEDURES W/O CC/MCC,"$30,925.10"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$176,229.85"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$59,892.55"
175,PULMONARY EMBOLISM W MCC,"$66,980.15"
176,PULMONARY EMBOLISM W/O MCC,"$57,901.33"
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$139,360.31"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$71,093.00"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$76,658.35"
180,RESPIRATORY NEOPLASMS W MCC,"$63,167.58"
181,RESPIRATORY NEOPLASMS W CC,"$26,113.01"
183,MAJOR CHEST TRAUMA W MCC,"$50,471.70"
184,MAJOR CHEST TRAUMA W CC,"$43,364.15"
185,MAJOR CHEST TRAUMA W/O CC/MCC,"$35,456.25"
186,PLEURAL EFFUSION W MCC,"$56,783.70"
187,PLEURAL EFFUSION W CC,"$63,394.81"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$68,799.05"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$78,933.61"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$46,502.59"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$39,358.32"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$72,900.48"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$38,049.94"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$50,148.88"
197,INTERSTITIAL LUNG DISEASE W CC,"$91,428.39"
199,PNEUMOTHORAX W MCC,"$57,869.63"
200,PNEUMOTHORAX W CC,"$62,980.67"
202,BRONCHITIS & ASTHMA W CC/MCC,"$65,355.72"
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$37,436.02"
204,RESPIRATORY SIGNS & SYMPTOMS,"$39,957.35"
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$44,019.08"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$22,784.58"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"$225,040.90"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$92,892.27"
215,OTHER HEART ASSIST SYSTEM IMPLANT,"$400,957.02"
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"$550,178.98"
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$223,722.95"
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$90,886.25"
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$143,658.45"
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$160,649.14"
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$64,501.49"
241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC,"$28,166.70"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$97,156.95"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$134,962.73"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$117,770.37"
245,AICD GENERATOR PROCEDURES,"$495,957.37"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$148,919.95"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$123,814.33"
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"$55,702.79"
252,OTHER VASCULAR PROCEDURES W MCC,"$89,832.26"
253,OTHER VASCULAR PROCEDURES W CC,"$109,085.12"
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$85,511.90"
255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$74,808.53"
256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"$47,531.19"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$108,740.29"
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"$117,533.80"
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"$206,407.81"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$170,143.71"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"$252,788.35"
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$121,271.90"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$61,452.09"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$48,686.79"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$40,670.70"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$44,704.40"
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC","$40,141.90"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$74,027.55"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$44,336.17"
291,HEART FAILURE & SHOCK W MCC,"$62,966.04"
292,HEART FAILURE & SHOCK W CC,"$34,660.32"
293,HEART FAILURE & SHOCK W/O CC/MCC,"$27,079.70"
296,"CARDIAC ARREST, UNEXPLAINED W MCC","$67,228.75"
298,"CARDIAC ARREST, UNEXPLAINED W/O CC/MCC","$12,692.00"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"$74,947.93"
300,PERIPHERAL VASCULAR DISORDERS W CC,"$54,361.29"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$29,441.98"
302,ATHEROSCLEROSIS W MCC,"$93,759.95"
303,ATHEROSCLEROSIS W/O MCC,"$23,801.69"
304,HYPERTENSION W MCC,"$35,176.41"
305,HYPERTENSION W/O MCC,"$63,095.01"
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$21,634.45"
307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"$19,103.95"
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$63,781.50"
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$40,321.31"
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$27,640.63"
311,ANGINA PECTORIS,"$25,494.60"
312,SYNCOPE & COLLAPSE,"$28,064.08"
313,CHEST PAIN,"$24,829.08"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$77,974.19"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$38,579.07"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$27,432.38"
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$177,190.75"
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$151,948.53"
328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$73,900.22"
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$157,840.36"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$110,823.75"
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$90,044.89"
335,PERITONEAL ADHESIOLYSIS W MCC,"$111,563.97"
336,PERITONEAL ADHESIOLYSIS W CC,"$82,664.97"
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$69,975.50"
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$151,245.59"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$33,117.55"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$31,915.48"
345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$34,723.65"
350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$92,898.10"
351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$93,556.45"
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$34,050.80"
353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$61,197.33"
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$103,892.99"
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$352,105.70"
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$78,698.23"
368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$34,665.43"
369,MAJOR ESOPHAGEAL DISORDERS W CC,"$59,318.30"
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$145,816.08"
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$53,998.82"
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$28,320.70"
374,DIGESTIVE MALIGNANCY W MCC,"$57,810.14"
375,DIGESTIVE MALIGNANCY W CC,"$60,729.29"
377,G.I. HEMORRHAGE W MCC,"$95,059.87"
378,G.I. HEMORRHAGE W CC,"$45,045.60"
379,G.I. HEMORRHAGE W/O CC/MCC,"$29,861.10"
380,COMPLICATED PEPTIC ULCER W MCC,"$37,313.94"
381,COMPLICATED PEPTIC ULCER W CC,"$42,745.22"
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"$49,245.75"
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$37,193.43"
388,G.I. OBSTRUCTION W MCC,"$64,411.94"
389,G.I. OBSTRUCTION W CC,"$53,452.27"
390,G.I. OBSTRUCTION W/O CC/MCC,"$20,492.21"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$49,541.46"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$29,814.20"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$64,419.31"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$38,250.83"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$41,681.53"
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","$126,109.60"
406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","$142,497.95"
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"$256,306.97"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$91,819.95"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$63,779.45"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$72,666.10"
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$156,387.20"
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$49,920.48"
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$46,063.62"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$89,844.27"
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"$38,292.44"
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,"$125,187.61"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$54,879.78"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$36,695.10"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$24,965.80"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$86,311.80"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$56,506.74"
443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$12,627.30"
444,DISORDERS OF THE BILIARY TRACT W MCC,"$76,243.33"
445,DISORDERS OF THE BILIARY TRACT W CC,"$45,979.88"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$33,623.16"
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$357,619.35"
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$329,896.25"
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,"$735,002.55"
459,SPINAL FUSION EXCEPT CERVICAL W MCC,"$313,357.63"
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$264,118.99"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"$110,007.52"
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$300,219.16"
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$163,759.60"
465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","$73,452.85"
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,"$119,365.13"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$80,092.83"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$146,815.44"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$130,062.85"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$73,011.29"
471,CERVICAL SPINAL FUSION W MCC,"$275,538.60"
472,CERVICAL SPINAL FUSION W CC,"$193,957.58"
473,CERVICAL SPINAL FUSION W/O CC/MCC,"$178,956.14"
474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,"$204,737.37"
480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$145,617.76"
481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$80,805.89"
482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$75,960.91"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$114,090.46"
485,KNEE PROCEDURES W PDX OF INFECTION W MCC,"$60,848.25"
486,KNEE PROCEDURES W PDX OF INFECTION W CC,"$67,094.90"
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$68,007.20"
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$58,229.65"
492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","$168,089.24"
493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$86,162.72"
494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$59,958.07"
498,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,"$108,901.25"
499,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,"$50,681.10"
501,SOFT TISSUE PROCEDURES W CC,"$47,280.16"
510,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC","$90,042.55"
511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","$60,053.35"
512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$76,548.19"
514,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC","$29,603.55"
515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,"$121,891.90"
516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"$91,851.53"
517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$77,591.56"
518,BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,"$200,597.85"
519,BACK & NECK PROC EXC SPINAL FUSION W CC,"$114,319.08"
520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$101,598.66"
534,FRACTURES OF FEMUR W/O MCC,"$18,724.30"
535,FRACTURES OF HIP & PELVIS W MCC,"$35,763.75"
536,FRACTURES OF HIP & PELVIS W/O MCC,"$31,137.87"
537,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC","$26,220.10"
539,OSTEOMYELITIS W MCC,"$37,434.64"
542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"$107,360.78"
543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$45,820.32"
544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"$39,395.73"
545,CONNECTIVE TISSUE DISORDERS W MCC,"$66,009.25"
548,SEPTIC ARTHRITIS W MCC,"$262,876.20"
551,MEDICAL BACK PROBLEMS W MCC,"$93,505.87"
552,MEDICAL BACK PROBLEMS W/O MCC,"$38,788.80"
553,BONE DISEASES & ARTHROPATHIES W MCC,"$20,535.90"
554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$34,239.40"
555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,"$18,583.05"
556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"$33,385.29"
557,"TENDONITIS, MYOSITIS & BURSITIS W MCC","$60,011.07"
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$35,390.50"
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC","$52,423.03"
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$32,651.43"
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","$23,273.40"
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC","$36,619.15"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$37,372.80"
564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,"$65,375.10"
565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"$45,084.12"
566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,"$25,691.45"
570,SKIN DEBRIDEMENT W MCC,"$90,037.61"
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC,"$223,356.00"
577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,"$57,643.88"
578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,"$54,624.05"
579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$110,644.28"
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$48,207.83"
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$62,118.35"
584,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC","$193,740.60"
592,SKIN ULCERS W MCC,"$58,551.18"
593,SKIN ULCERS W CC,"$28,853.32"
597,MALIGNANT BREAST DISORDERS W MCC,"$63,230.98"
602,CELLULITIS W MCC,"$38,453.97"
603,CELLULITIS W/O MCC,"$41,414.85"
604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","$41,327.73"
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$24,427.36"
607,MINOR SKIN DISORDERS W/O MCC,"$54,929.25"
615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,"$120,135.59"
616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","$172,584.55"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$56,621.12"
622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC","$136,223.70"
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$45,953.30"
625,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC","$41,979.70"
629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$71,004.71"
637,DIABETES W MCC,"$59,060.61"
638,DIABETES W CC,"$33,468.33"
639,DIABETES W/O CC/MCC,"$26,891.43"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$42,765.46"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$26,106.25"
644,ENDOCRINE DISORDERS W CC,"$47,859.59"
645,ENDOCRINE DISORDERS W/O CC/MCC,"$12,283.00"
658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"$90,025.81"
660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"$119,969.50"
662,MINOR BLADDER PROCEDURES W MCC,"$331,126.40"
663,MINOR BLADDER PROCEDURES W CC,"$50,266.52"
666,PROSTATECTOMY W CC,"$84,988.90"
669,TRANSURETHRAL PROCEDURES W CC,"$57,007.63"
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"$63,777.45"
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$78,451.72"
674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"$147,829.04"
