MNEMONIC,DESC.,CUR PRICE 12/2018
CCS0120123,PAD GEL SET ARTIC HYPOTHR LRG,2340
CCS0120124,KIT TUBE TRACHEOSTOMY INSERTN,33.1
CCS0120125,INTRO SET RHINO 24-26FR,783.03
CCS0120126,TUBE TRACH CUFFED #6,127.53
CCS0120127,TUBE TRACH CUFFED #8,127.53
CCS0120128,SALINE KIT ART RAD 18Gx10.8CM,87.15
CCS0120129,CATH KIT ART RAD 20Gx10.8CM,28.58
CCS0120130,CATH KIT VEN MICRO-SENSOR,2375
CCS0120131,ADMINS SET IV BLD TRAP RANGER,27.51
CCS0120132,PRESSURE TUBING KIT TRIFURCATD,76.98
CCS0120133,CATH SAFETY REG AMPL 24FR,221.25
CCS0120134,NEDL BIOPSY - CENTESIS 19G 5FR,39.7
CCS0120135,SET PNEUMOTHORAX ST 10.2FR,453.45
CCS0120136,KIT MICROSENSOR BASIC ICP,2200
CCS0120137,INFILTRATION ULT PURE PORTEX,32.13
CCS0120138,DRSNG VAC GRAMM SILVER FOAM,145.75
CCS0120140,BLADE LARYNGO VIDEO SMALL,32.48
CCS0120141,BLADE LARYNGO VIDEO LARGE,45
CCS0120142,SMART CAPNOLINE ADULT PLUS,32.31
CCS0120143,FILTERLINE H SET ADULT/PEDI,33.61
CCS0120144,PAD UNIVERSAL TEMP MGMT,772.5
CCS0120145,OXIMETER SENSOR NASAL ADULT,29.69
CCS0120147,KIT PLEUREX CATHETER 7000,1437.5
CCS0120149,"KIT, PLACEMENT PLEURX",2000
CCS0120150,"KIT, PLEURX ACCESS",62.5
CCS0120151,"KIT, DRAINAGE LOCK PLEURX",121.43
CCS0120152,"KIT, DRAINAGE PLEURX",147.5
CCS0120153,KIT ICU ARTERIAL BUNDLE,80.33
CCS0120155,CATH NEDL CENTSS 4 SIDES 18G,39.7
CCS0120157,CATH ULTRANE GODRON 16FRx40CM,190.65
CCS0120158,TUBE STMCH BLAKEMORE ADLT 20FR,365.88
CCS0120159,CATH SWAN-GANZ COMBO 110CM 8F,875
CCS0120160,PENCIL ELECSURG SMOKE EVAC,36.35
CCS0120161,PK NASAL RAPID RHINO 7.5CM,91.75
CCS0120162,PERICARDIOCENT KIT PERIVAC 8.3,418.33
CCS0120163,PASSER SHUNT CATH PERI 60CM,375.75
CCS0120164,TUBE TRACH CUFFED SHILEY SZ8,190.93
CCS0120165,TUBE TRACH CUFFED SHILEY PROX8,190.93
CCS0120166,TUBE TRACH CUFFED SHILEY SZ7,190.93
CCS0120167,TUBE TRACH CUFFED SHILEY PROX7,190.93
CCS0120168,TUBE TRACH CUFFED SHILEY SZ6,190.93
CCS0120169,TUBE TRACH CUFFED SHILEY PROX6,190.93
CCS0120170,CATH KIT CV DL MAC 9FRx10CM,223.81
CCS0120171,LARYNGOSC VIDER STAT CBLT/RN,45
CCS0120172,MANIFOLD INFUS T XT SET 3CVL,33.83
CCS0120173,INTERDRY AG SILVER 10INx12FT,117.84
CCS0120174,COMPASS THROACENTESIS,174.88
CCS0120175,CHEST TUBE TRY 14F QUICK THAL,366.98
CCS0120176,TUBE CRICO QUICK TRACH 4MM,653.26
CCS0120177,DRAIN CHEST VALVE COOK,102.75
CCS0120178,CATH BALN SENSATN+ 8FR 50ML,2587.5
CCS0120179,CATH BALN SENSATN+ 7.5FR 40ML,2587.5
CCS0120180,KIT CARTRIDGE RAPID INFUSER,749.38
CCS0120181,LL CONNECT NOMOLINE FEMALE,35.69
CCS0120182,KIT TRANSDUC SAFESET A-LINE 84,104
CCS0120183,PK NASAL RHINO RAPID 5.5CM,89
CCS0120184,LIT IV TRANSPAC SAFESET 60IN,53.8
CCS0120185,CATH PNEUMOTHORX WAYNE 14F,486.73
CCS0120186,BLANKT HYPOTHRM STAND STRYKER,525
CCS0120187,BLANKT HYPOTHRM LARGE STRYKER,537.5
CCU0140010,AEROSOL/NEB RX TREATMENT,270.4
CCU0140025,ADMIN VACCINE GENERAL,110.01
CCU0160051,INFUSN: HYDRT INIT 31MIN >1HR,612.55
CCU0160052,INFUSION: HYDRATION EA ADD HR,412.54
CCU0160053,IV THERAPY UP>1 HOUR (INIT),846.55
CCU0160054,IV THERAPY EA ADD HOUR,422.97
CCU0160055,IV THERAPY SEQUEN UP TO ONE HR,888.74
CCU0160056,IV THERAPY CONCURRENT INFUSION,531.3
CCU0160057,INJECTION SUB/Q IM,407.49
CCU0160058,"INJECTION, IN-ART THER/DIAG",382.11
CCU0160059,INJECTION IV TX/PROPH (INIT),405.16
CCU0160060,INJECT IV THER/DIAG EA ADD-NEW,534.54
CCU0160061,IV PUSH SAME DRUG - SEQUENTIAL,446.4
CHL1170055,XR ORBITS,654.6
CHL1170061,XR SKULL AP LATERAL,654.6
CHL1170089,XR RIBS BILATERAL,654.6
CHL1170091,XR STERNUM,654.6
CHL1170093,XR STERNOCLAVIC JOINTS,654.6
CHL1170099,XR KNEES BILATERAL STANDING,654.6
CHL1170105,XR CERVICAL SPINE 2 VIEWS,654.6
CHL1170107,XR CERVICAL SPINE COMPLETE,1096.9
CHL1170109,XR CERVICAL SPINE COMP W FLEX&,1096.9
CHL1170111,XR THORACIC SPINE 2 VIEWS,654.6
CHL1170113,XR LUMBAR SPINE 2 VIEWS,654.6
CHL1170115,XR LUMBAR SPINE COMPLETE,1096.9
CHL1170117,XR LUMBAR SPINE COMP W BEND,1096.9
CHL1170119,XR LUMBAR SPINE BENDING ONLY,1096.9
CHL1170121,XR SCOLIOSIS 2 VIEWS,654.6
CHL1170123,XR PELVIS 1 VIEW,654.6
CHL1170125,XR PELVIS 3 VIEWS,654.6
CHL1170127,XR SACROILIAC JOINT,654.6
CHL1170129,XR SACRUM & COCCYX,654.6
CHL1170155,XR AC JOINTS,654.6
CHL1170157,XR INFANT EXTREMITY UPPER,654.6
CHL1170159,XR INFANT EXTREMITY LOWER,654.6
CHL1170165,XR ABD SERIES COMPLT ACUTE,1096.9
CHL1170217,XR BONE AGE,654.6
CHL1170219,XR BONE LENGTH,654.6
CHL1170221,XR BONE DENSITOMETRY,1057.15
CHL1170229,XR BONE SURVEY CHILD,1096.9
CHL1170255,LUMBAR/SPINAL PUNCTURE DIAG,3483.83
CHL1170391,XR THORACIC SPINE W SWIMMERS,654.6
CHL1170393,XR THORACIC SPINE W OBLIQUES,654.6
CHL1170409,XR CLAVICLE LT,654.6
CHL1170411,XR ELBOW LT,654.6
CHL1170413,XR FOREARM LT,654.6
CHL1170415,XR HUMERUS LT,654.6
CHL1170417,XR SCAPULA LT,654.6
CHL1170419,XR SHOULDER LT CMPLT 2 VIEWS,654.6
CHL1170421,XR WRIST AP & LAT LT,654.6
CHL1170423,XR WRIST COMPLETE LT,654.6
CHL1170425,XR HAND AP & LAT LT,654.6
CHL1170427,XR HAND COMPLETE LT,654.6
CHL1170429,XR FINGER THUMB LT,654.6
CHL1170431,XR FINGER SECOND LT,654.6
CHL1170433,XR FINGER THIRD LT,654.6
CHL1170435,XR FINGER FOURTH LT,654.6
CHL1170437,XR FINGER FIFTH LT,654.6
CHL1170439,XR CLAVICLE RT,654.6
CHL1170441,XR ELBOW RT,654.6
CHL1170443,XR FOREARM RT,654.6
CHL1170445,XR HUMERUS RT,654.6
CHL1170447,XR SCAPULA RT,654.6
CHL1170449,XR SHOULDER RT CMPLT 2 VIEWS,654.6
CHL1170451,XR WRIST AP & LAT RT,654.6
CHL1170453,XR WRIST COMPLETE RT,654.6
CHL1170455,XR HAND AP & LAT RT,654.6
CHL1170457,XR HAND COMPLETE RT,654.6
CHL1170459,XR FINGER THUMB RT,654.6
CHL1170461,XR FINGER SECOND RT,654.6
CHL1170463,XR FINGER THIRD RT,654.6
CHL1170465,XR FINGER FOURTH RT,654.6
CHL1170467,XR FINGER FIFTH RT,654.6
CHL1170469,XR ANKLE AP & LAT RT,654.6
CHL1170471,XR ANKLE COMPLETE RT,654.6
CHL1170475,XR FOOT AP & LAT RT,654.6
CHL1170477,XR FOOT COMPLETE RT,654.6
CHL1170487,XR RIBS UNI INCLUD AP CHEST 3V,654.6
CHL1170489,XR KNEE & PATELLA W OBLIQUES R,654.6
CHL1170491,XR KNEE AP & LAT RT,654.6
CHL1170493,XR KNEE COMPLETE RT,654.6
CHL1170495,XR TIBIA FIBULA RT,654.6
CHL1170497,XR OS CALCIS HEEL RT,654.6
CHL1170499,XR RIBS RT,654.6
CHL1170503,XR TOE GREAT RT,654.6
CHL1170505,XR TOE SECOND RT,654.6
CHL1170507,XR TOE THIRD RT,654.6
CHL1170509,XR TOE FOURTH RT,654.6
CHL1170511,XR TOE FIFTH RT,654.6
CHL1170513,XR ANKLE AP & LAT LT,654.6
CHL1170515,XR ANKLE COMPLETE LT,654.6
CHL1170519,XR FOOT AP & LAT LT,654.6
CHL1170521,XR FOOT COMPLETE LT,654.6
CHL1170531,XR KNEE & PATELLA W/OBLIQUES L,654.6
CHL1170533,XR KNEE AP & LAT LT,654.6
CHL1170535,XR KNEE COMPLETE LT,654.6
CHL1170537,XR TIBIA FIBULA LT,654.6
CHL1170539,XR OS CALCIS HEEL LT,654.6
CHL1170541,XR RIBS LT,654.6
CHL1170545,XR TOE GREAT LT,654.6
CHL1170547,XR TOE SECOND LT,654.6
CHL1170549,XR TOE THIRD LT,654.6
CHL1170551,XR TOE FOURTH LT,654.6
CHL1170553,XR TOE FIFTH LT,654.6
CHL1170559,XR FLUOROGUIDE FOR SPINE INJEC,1316.61
CHL1170644,XRACB CLAVICLE BILAT,0
CHL1170646,XRACB ELBOW BILAT MIN 3VW EASD,0
CHL1170648,XRACB FORARM BILAT 2VW EA SIDE,0
CHL1170650,XRACB HMERUS BILT MIN2VW EA SD,0
CHL1170652,XRACB SCAPULA BILAT,0
CHL1170654,XRCB SHOULD BILAT MIN2VW EA SD,0
CHL1170656,XRACB WRIST AP & LAT BILAT,0
CHL1170658,XRACB WRIST COMP BILAT 3VWEASD,0
CHL1170660,XRACB HAND AP & LAT BILAT,0
CHL1170662,XRACB HAND COMP BILAT 3VW EASD,0
CHL1170664,XRACB ANKLE AP & LAT BILAT,0
CHL1170666,XRACB ANKLE COMP BILAT 3VWEASD,0
CHL1170668,XRACB FEMUR BILAT 2VWS EA SIDE,0
CHL1170670,XRACB FOOT AP & LAT BILAT,0
CHL1170672,XRACB FOOT COMP BILAT 3VW EASD,0
CHL1170674,XRACB TIB FIB BILAT 2VW EA SD,0
CHL1170676,XRACB KNEE AP & LAT BILAT,0
CHL1170679,XR BONE DENS APPEND SKEL DUAL,424.5
CHL1170683,XR BONE LNGTH STDY (SCANOGRAM),654.6
CHL1170740,C-SPINE AP&LAT FLEX & EXT,1096.9
CHL1170741,L-SPINE AP&LAT FLEX & EXT,1096.9
CHL1170745,BILATERAL RIBS INC AP CXR,1096.9
CHL1170746,XRACB CHEST 3VWS INS/EXP/LAT,0
CHL1170774,XR KNEE SINGLE VIEW,654.6
CHL1170776,XR ELBOW 2 VIEW RT,623.43
CHL1170777,XR ELBOW 2 VIEW LT,623.43
CHL1170797,XR BONE DENSTY W VERTEB ASSMT,341.05
CHL1170798,XR BONE DENSITY > VERTEB ASSMT,213.06
CHL1170823,UNLIST DIAG RADIOLOGIC PROC,3065.07
CHL1170825,RAD EXAM SPINAL COLUMN 1 VIEW,1096.9
CHL1170826,RAD EXAM SPINAL COLUMN 2-3VWS,1096.9
CHL1170829,EXAM HIP/PELVIS 1 VIEW LT,631.92
CHL1170830,EXAM HIP/PELVIS 1 VIEW RT,631.92
CHL1170831,EXAM HIP/PELVIS 2-3 VIEWS LT,631.92
CHL1170832,EXAM HIP/PELVIS 2-3 VIEWS RT,631.92
CHL1170833,EXAM HIP/PELVIS 4 VIEWS LT,631.92
CHL1170834,EXAM HIP/PELVIS 4 VIEWS RT,631.92
CHL1170835,EXAM HIP/PEL BILAT 2 VIEWS,1096.9
CHL1170836,EXAM HIP/PEL BILAT 3-4 VIEWS,1096.9
CHL1170837,EXAM HIP/PEL BILAT 5 VIEWS,1096.9
CHL1170839,EXAM FEMUR 1 VIEW LT,654.6
CHL1170840,EXAM FEMUR 1 VIEW RT,654.6
CHL1170841,EXAM FEMUR 2 VIEWS-RT,654.6
CHL1170842,EXAM FEMUR 2 VIEWS-LT,654.6
CHL1170880,XR CHEST 1 VIEW,654.6
CHL1170881,XR CHEST 2 VIEWS,654.6
CHL1170882,XR CHEST 3 VIEWS,654.6
CHL1170883,XR CHEST 4 & > VIEWS,654.6
CHL1170885,XR ABD/KUB 1 VIEW,654.6
CHL1170886,XR ABD/KUB 2 VIEWS,1496.31
CHL1170895,XRCB KNEE COMPLETE RT & LT,0
CHL1170897,XRwXS BONE DENS APPND SKL DUAL,424.5
CHL1170898,XR SHOULDER RT 1 VIEW,654.6
CHL1170899,XR SHOULDER LT 1 VIEW,654.6
CHL1170900,XR UPPR GI-SMALL BOWEL W CON,830.79
CHL1170902,XR ABD SERIES 3-4 VIEWS,1352.26
CHL1170905,XRACB FL LUMBAR PUNC-CISTERNGM,0
CHM0183001,HEMOGLOBIN ELECTROPHORESIS,309.9
CHM0183003,HEPATITIS B SURFACE ANTIGEN,105.45
CHM0183005,"MYOGLOBIN SCREEN, URINE",310.9
CHM0183007,BLOOD VOLUME,2504.65
CHM0183009,RBC SURVIVAL,3043.88
CHM0183011,SCHILLING-PART 1,998.05
CHM0183013,"SCHILLING TEST, WITH/WITHOUT I",613.57
CHM0183015,SCHILLING-PART 2,1075.37
CHM0183017,"T4, TOTAL",165.37
CHM0183021,"HCG, QUALITATIVE",180.83
CHM0183023,"HCG, QUANTITATIVE",280.73
CHM0183025,"SEMEN ANAL, COMPLETE",290.08
CHM0183027,"OSMOLALITY, URINE",164.12
CHM0183029,URINE-GLUCOSE QUANT.,94.52
CHM0183031,AMMONIA,350.81
CHM0183033,PHENOBARBITAL,275.86
CHM0183043,BILIRUBIN TOTAL NEA,120.85
CHM0183045,BILIRUBIN DIRECT NEA,120.85
CHM0183047,"BILIRUBIN, TOTAL",120.85
CHM0183049,CALCIUM,124.21
CHM0183053,"CARBON DIOXIDE, CO2",117.72
CHM0183055,"CHLORIDE, URINE",120.96
CHM0183057,"CHLORIDE, CL",110.63
CHM0183059,"CHOLESTEROL, FLUID",95
CHM0183061,"CHOLESTEROL, TOTAL",95
CHM0183063,"LDL CHOLESTEROL, DIRECT",88.35
CHM0183065,DILANTIN,319.26
CHM0183067,CREATININE,123.34
CHM0183069,"CREATININE, FLUID",124.59
CHM0183071,CREATININE CLEARANCE,227.47
CHM0183073,AMYLASE,156.13
CHM0183075,"AMYLASE, URINE",156.13
CHM0183077,LDH,145.3
CHM0183081,ALKALINE PHOSPHATASE,113.6
CHM0183083,"SGOT, AST",124.59
CHM0183085,"GENTAMICIN, RANDOM",394.71
CHM0183087,"GLUCOSE, FINGER STICK",94.52
CHM0183089,"GLUCOSE, BLOOD",94.52
CHM0183093,IRON,156.02
CHM0183095,MAGNESIUM,75
CHM0183097,OSMOLALITY,159.01
CHM0183099,"PHOSPHORUS, URINE",124.59
CHM0183101,"PHOSPHORUS, INORGANIC",114.12
CHM0183103,"POTASSIUM, URINE",103.51
CHM0183105,ALBUMIN,109.74
CHM0183107,"PROTEIN, TOTAL",88.3
CHM0183109,"PROTEIN, CSF",88.3
CHM0183111,"PROTEIN, URINE",88.3
CHM0183115,"SODIUM, URINE",116.97
CHM0183119,SWEAT CHLORIDE - RIGHT ARM,114.36
CHM0183120,SWEAT CHLORIDE - LEFT ARM,114.36
CHM0183123,"TOBRAMYCIN, RANDOM",388.09
CHM0183125,"UREA NITROGEN, BUN",95.03
CHM0183127,THEOPHYLLINE,340.7
CHM0183129,URIC ACID,108.74
CHM0183131,"GLUCOSE, CSF",94.52
CHM0183133,"VALPROIC ACID, TOTAL",326.11
CHM0183169,CPK,156.88
CHM0183171,CKMB,277.99
CHM0183175,GTT FIRST 2 HOURS,309.9
CHM0183177,GTT 3RD HOUR,94.28
CHM0183181,GTT-FIRST 2 HOURS,309.9
CHM0183183,GTT-3RD HOUR,94.28
CHM0183185,GTT-4TH HOUR,94.28
CHM0183189,GTT -FIRST 2 HOURS,309.9
CHM0183191,GTT -3RD HOUR,94.28
CHM0183193,GTT -4TH HOUR,94.28
CHM0183195,GTT -5TH HOUR,94.28
CHM0183199,GTT - FIRST 2 HOURS,309.9
CHM0183201,GTT - 3RD HOUR,94.28
CHM0183203,GTT - 4TH HOUR,94.28
CHM0183205,GTT - 5TH HOUR,94.28
CHM0183207,GTT - 6TH HOUR,94.28
CHM0183209,ACETONE,108.74
CHM0183211,CORTISOL,392.47
CHM0183213,PROCAINAMIDE,403.19
CHM0183215,"T4, FREE",98.71
CHM0183217,TRIGLYCERIDES,138.55
CHM0183219,"TRIGLYCERIDE, FLUID",138.55
CHM0183221,LITHIUM,159.01
CHM0183223,HDL,160
CHM0183225,LACTATE,257.15
CHM0183227,LACTOSE TOLERANCE TEST,309.9
