Report Name:,Daily CDM,
0045252,ROOM CARE ADM DAY-4T LEV1,"1,858.00"
0047100,ROOM CARE ADM DY-CC1 LEV1,"1,858.00"
0047209,ROOM CARE ADM DY-CC2 LEV1,"1,858.00"
0047308,ROOM CARE ADM DY-3PZ LEV1,"1,858.00"
0047407,ROOM CARE ADMIN DAY - 4PZ,"1,858.00"
0054130,ROOM CARE CCU-EDH,"6,923.00"
0055038,ROOM CARE NUR-NICU INTEN,"22,521.00"
0055046,ROOM CARE NICU INTENSIVE,"22,521.00"
0055079,ROOM CARE SEMI PRIV-P3,"5,544.00"
0063198,ROOM CARE DOU/ONCOLOGY-2N,"5,544.00"
0064055,ROOM CARE INTERMEDIATE SU,"10,124.00"
0064147,ROOM CARE INTENS CARE-CLB,"13,336.00"
0065250,ROOM CARE DOU/ONCOLOGY,"5,544.00"
0073163,ROOM CARE TELEMTRY-IPT P4,"6,923.00"
0083162,ROOM CARE SEMI PRV-OBS-P4,"5,544.00"
0083188,ROOM CARE SEMI PRIVATE-2N,"3,195.00"
0084004,ROOM CARE SEMI PRIVATE-1N,"1,220.00"
0084087,ROOM CARE TCU-HOSPICE,"2,475.00"
0093013,OPT IN BED-BARLOW HOSP,0.00
0093146,ROOM CARE OBS HR ONE-2T,0.00
0093161,ROOM CARE OBS HR ONE - P4,0.00
0093179,ROOM CARE OBS HR ONE-2S,0.00
0093187,ROOM CARE SEMI PRIVATE-2S,0.00
0093195,ROOM CARE OBS HR ONE -2N,0.00
0094003,ROOM CARE SEMI PRIVATE-1N,"3,419.00"
0094052,ROOM CARE OBS HR ONE-OR,0.00
0094086,ROOM CARE TCU-1S LEVEL 3,"2,475.00"
0094144,ROOM CARE OBS - CLB,0.00
0095000,ROOM CARE OBS HR ONE-P2,0.00
0095034,ROOM CARE OBS HR ONE-NSY,0.00
0095042,ROOM CARE OBS HR ONE-NIN,0.00
0095075,ROOM CARE OBS P3,0.00
0095208,ROOM CARE OBS HR ONE-1T,0.00
0095224,OBS HR ONE-3T,0.00
0095257,OBS HR ONE,0.00
0096404,ROOM CARE OBS HR ONE-2W,0.00
0097006,ROOM CARE OBS HR ONE-SAU,0.00
0097055,ROOM CARE OBS HR ONE-PACU,0.00
0097311,ROOM CARE OBS HR ONE-4PZ,0.00
0097402,ROOM CARE OBS HR ONE-4PZ,0.00
0100016,SUTURE VALVE,"3,175.00"
0100024,SUTURE CABG W/AV/MV,"3,614.00"
0100032,SUTURE CABG,"1,591.00"
0100446,ORSDS MAJOR B 1/4 HR,"1,126.00"
0100453,ORSDS MAJOR B,"4,655.00"
0100461,ORSDS MAJOR A 1/4 HR,"1,298.00"
0100487,ORSDS MAJOR A,"5,273.00"
0100503,ORSDS RECOVERY RM B,564.00
0100552,URETERAL GUIDE WIRE,129.00
0100602,CORNEAL PROC-TIS ANGIO DY,"8,067.00"
0100610,CRYO PROBES,"6,050.00"
0100628,MINOR SURG-D 1/2 HR,"5,516.00"
0100636,MINOR SURG-D 1/4 HR,467.00
0100651,MINOR SURG-C 1/4 HR,659.00
0100982,UTERINE MANIPULATOR,148.00
0101097,TOURNIQUET,204.00
0102962,MAJOR SURG-A 1 HR,"14,816.00"
0102970,MAJOR SURG-A 1/4 HR,"1,844.00"
0103721,MAJOR SUTURE SET,605.00
0103739,MINOR SUTURE SET,328.00
0103812,CENTRIMED PUMP-OR,"3,259.00"
0104059,MAJOR SUTURE A SET,"1,241.00"
0104091,OP VITRECTOMY 1-1.5 HR,"4,768.00"
0104406,CUSA STRAIGHT/CURVED,"1,435.00"
0104505,ONCOTECH ASSAY KIT,"6,281.00"
0104547,KIT ICU VENTRICULOSTOMY,532.00
0104646,ORSDS GENERAL SUTURE MINO,565.00
0104653,ORSDS GENERAL SUTURE MAJO,850.00
0104661,ORSDS EYE SUTURE,"1,126.00"
0104729,CABG OR SERVICES,"36,828.00"
0104752,MINOR C WITH HIGH TECH,"15,946.00"
0104760,MAJOR B WITH HIGH TECH,"23,023.00"
0104778,MAJOR A WITH HIGH TECH,"30,955.00"
0104786,COSMETIC 1/4 HR SSS,110.00
0104794,COSMETIC A 1 HR SSS,990.00
0104836,MINOR SURG-C 1 HR,"9,618.00"
0109165,BARD UROLOGIST TRAY,840.00
0109173,KII BALLOON BLUNT TIP SYS,84.00
0109199,SEPRAFILM,"1,020.00"
0109207,MINICAP EXTENDED LIFE PD,230.00
0109215,MINICAP W/POVIDONE IODINE,21.00
0201079,RECOVERY ROOM A 1 HR,"4,302.00"
0201103,RECOVERY ROOM A 1/4 HR,613.00
0300244,ANES LOCAL/MAC ANESTH,798.00
0300426,ACTIVATED CLOTTING TIME,678.00
0300590,ANES SDS GEN ANESTHESIA,"1,862.00"
0300608,ANES SDS MAC ANESTHESIA,745.00
0300780,IABP BALLOON CATHETER,"4,692.00"
0300798,IABP FO BALLOON CATHETER,"5,414.00"
0300806,GEN ANES 3HRS OR LESS,"4,577.00"
0300814,GEN ANES OVER 3 HOURS,"14,916.00"
0400218,DIABETES OP TRG IND 60MIN,492.00
0400226,DIABETES OP TRG GRP 60MIN,285.00
0401448,DIABETES ED CLASS SERIES,75.00
0401455,DIABETES ED GESTATIONAL,17.00
0401505,DIABETES ED INDIVIDUAL,17.00
0401604,SSS SPINAL TAP,"2,648.00"
0600866,SDS VASOVASOTOMY,"2,500.00"
0608091,SDS MINOR C 1/4 HR,924.00
0608109,SDS RECOVERY RM A 1/4 HR,299.00
0608133,SDS MAJOR A 1/4 HR,"1,555.00"
0608141,SDS MINOR C 1/2 HR,"5,516.00"
0608158,SDS MAJOR A 1 HR,"8,301.00"
0608166,SDS RECOVERY RM A 1 HR,"1,763.00"
0608174,SDS RECOVERY RM B,559.00
0608224,SDS CORNEAL TISSUE,0.00
0608398,SDS EYE SUTURE,"1,126.00"
0608406,SDS GENERAL SUTURE 3> PKG,850.00
0608414,SDS GENERAL SUTURE 1-3 PK,565.00
0608463,SDS SCLERAL TISSUE,"1,343.00"
0608547,SDS MINOR HIGH TECH,"15,946.00"
0608554,SDS MAJOR HIGH TECH,"17,771.00"
0608562,COSMETIC A 1 HR,990.00
0608570,COSMETIC B 1/2 HR,605.00
0608588,COSMETIC 1/4 HR,110.00
0615088,BREAST IMPLANT,"4,232.00"
0700039,AMNIOCENTESIS,974.00
0700047,LD CERCLAGE,"12,453.00"
0700062,LD FETAL MONITORING,343.00
0700096,LD MINOR SURG 1 HR,"5,516.00"
0700120,LD OR MAJOR SURG,"3,593.00"
0700161,NON-STRESS TEST,"1,220.00"
0705004,LD VAGINAL DELIVERY,"8,603.00"
0705020,L&D C-SECTION SURGERY,"9,209.00"
0705038,LD OB RECOVERY ROOM,"2,108.00"
0705046,OB OBS IV PUSH INITIAL,980.00
0705053,OB OBS INFUSN HYDR ADD HR,137.00
0705061,OB OBS SUBQ/1M INJECTION,531.00
0705079,OB OBS CATH INSERTION,357.00
0705087,OB OBS IV INF HYDR 1ST HR,"1,510.00"
0705095,OB OBS IV PUSH ADDL NEW D,735.00
0705103,BLOOD PATCH OB,"1,457.00"
0705111,OB OBS HRS ADMIT D/C SAME,"3,333.00"
0705129,I&D OF VULVA/PERINEUM,670.00
0705137,OUTPT OBS HR INE P2 MOD25,300.00
0705145,OP OBS EA ADD HR P2 MOD25,300.00
0705152,OB OBS IV INFS HYD 31-60M,"1,510.00"
0705160,OB OBS INF HYD ADD HR>30M,137.00
0705178,OB OBS THRPTC INF INITIAL,"1,510.00"
0705186,OB OBS THRP INF AD HR>31M,137.00
0705194,OB OBS THRP INF SQ 16-60M,137.00
0705202,OB OBS SUBQ/1M INJ MOD59,531.00
0705210,OB OBS IV PUSH INITIAL,980.00
0705228,OB OBS IV PUSH ADD NEW RX,735.00
0705236,OB OBS IV PUSH ADDL SM RX,162.00
0705244,OBS BIOPHYSICAL W/O NST,"1,072.00"
0751271,BLOOD TRANSFUSION-OB,"3,050.00"
0800037,DRESSING ADAPTIC,90.00
0800045,DRESSING ADAPTIC,29.00
0800052,DRESSING ADAPTIC,104.00
0800102,BAG LEG DISP,124.00
0800128,BAG BARD BILE,280.00
0800136,"BANDAGE 2"" PLASTER",61.00
0800193,"BANDAGE ACE 2""",15.00
0800201,"BANDAGE ACE 3""",27.00
0800219,"BANDAGE ACE 4""",16.00
0800227,"BANDAGE ACE 6""",22.00
0800235,BANAGE KERLIX ROL STER,75.00
0800243,"BANDAGE KLING 2""",3.00
0800250,"BANDAGE KLING 3""",15.00
0800268,"BANDAGE KLING 4""",16.00
0800276,"BANDAGE KLING 6""",20.00
0800292,BANDAGE WEBRIL ALL SIZE,80.00
0800342,BINDER ABDOMINL UNIV,759.00
0800425,BLADE BEAVER,617.00
0800581,STAPLE BONE COV,122.00
0800656,BRUSH CYSTOLOGY,562.00
0800755,CANE,219.00
0800789,CANNULA FEMORAL,578.00
0800797,CANNULA VENOUS,228.00
0800821,CANNULA OXYGEN,107.00
0800847,ELECTRODE BIPOLA,"2,899.00"
0801050,CATH EMBOLECTOMY,886.00
0801068,CATH EMBOL 4,976.00
0801084,CATH AORTIC ARCH,594.00
0801126,CATH ANGIO 22X1,60.00
0801217,CATH FEMORAL COBE,525.00
0801233,CATH FOGARTY 6FR,"1,130.00"
0801266,CATH FOLEY 14 5CC,228.00
0801274,CATH FOLEY 16 5CC,228.00
0801282,CATH FOLEY 18 5CC,228.00
0801316,CATH FOLEY 24 5CC,244.00
0801324,CATH FOLY 28 30CC,228.00
0801332,CATH HICKMAN,"1,328.00"
0801340,CATH INTRODUCER 6,90.00
0801357,CATH INTRODUCER 7,710.00
0801654,CATH SUCTION,137.00
0801670,CATH SWANGANZ PAC,"5,719.00"
0801688,CATH THOR RT ANG,383.00
0801704,TRAY FOLEY CATH,563.00
0801738,CATH VENTRI FISHR,"1,348.00"
0801761,KIT DAVOL FEMALE CATH,193.00
0801860,CATH BONNANO,"1,401.00"
0801878,CATH ROBINSON 10,75.00
0801902,CATH ROBINSON 16,75.00
0801910,CATH ROBINSON 18,75.00
0801985,CATH URETERAL,187.00
0802017,CAUTERY EYE DISPO,354.00
0802041,CERVICAL COLLAR C,425.00
0802058,CERVICAL COLLAR C,354.00
0802124,SCLERAL CIRCLING BAND 40,551.00
0802173,CLIPS HEMO LGRE,467.00
0802181,CLIPS HEMO MED,423.00
0802199,CLIPS HEMO SM,403.00
0802371,CORTICAL SCREW 60,251.00
0802447,CRUTCHES COMPLETE,409.00
0802462,CERVICAL COLLAR P,"1,274.00"
0802470,CERVICAL COLLAR P,"1,105.00"
0802496,CERVICAL COLLAR P,492.00
0802587,TUBE CYSTO IRRIGA,109.00
0802678,"DRAIN PENROSE 1""",107.00
0802736,DRESSING 1X8 XEROFOAM,55.00
0802744,DRESSING 5X9 XEROFOAM,94.00
0802769,DRESSING TEGADERM 10X12,71.00
0802785,DRESSING SURGIPAD 5X9,22.00
0802793,DRESSING FINGER,48.00
0802850,DRESSING SPAN 5,33.00
0802892,DRESSING GAUZE,29.00
0802934,EAR CENTER BOBBIN,323.00
0803072,TRAY ENDOTRACHIAL,700.00
0803106,SHIELD FOX EYE,29.00
0803171,SPONGE FLUFF STERILE TRAY,231.00
0803205,GAUZE VASELIN 1X8,37.00
0803213,GAUZE VASELIN 3X2,61.00
0803239,GAUZE VASELIN 5X7,100.00
0803254,GELOCAST 3,61.00
0803569,GREAT TOE PROSTH,404.00
0803577,GAUZE 2X2 O P,20.00
0803759,VALVE HEIMLICH,171.00
0803791,HEMOVAC 2500 400,"1,040.00"
0803825,HIP COMPRESSION LAG SCREW,"1,508.00"
0803999,SET CENTRAL LINE,193.00
0804005,PAD HYPOTHERMIA,643.00
0804047,FILTER IN-LINE,144.00
0804070,CONNECTOR INFUSIO,330.00
0804153,SET MINOR SUTURE INST,421.00
0804203,RING INVALID,282.00
0804211,PACKING IODOFORM,219.00
0804229,"PACKING GAUZE IDOFO 1/2""",244.00
0804237,PACKING IODOFORM,152.00
0804245,PACKING IODOFORM,248.00
0804336,IV CATHETER QUICK,70.00
0804344,IV CATHETER QUICK 20,63.00
0804351,NEEDLE QUIK CATH 24,67.00
0804385,IV INFUSION ST BTRFLY 21,20.00
0804450,SET IV BURETROL 2C0148,208.00
0804518,IV STARTER KIT,152.00
0804575,KIT VESSEL CATH,961.00
0804617,KNEE PATELLAR BUT,"2,387.00"
0804831,NEEDLE TRUE CUT,591.00
0804856,NERVE STIMULATOR,421.00
0804880,PACKING NUGAUZE 1,156.00
0804898,"PACKING NU GAUZE 1/4""",203.00
0804906,PACKING NUGAUZE 2,210.00
0804963,PERITONEAL TROCAT,856.00
0804971,SPLINT 3X15 P/P,362.00
0804989,PACEMAKER ELECTRO,584.00
0805010,PAD GROUNDING,199.00
0805135,KIT PRECUTANCOUS SHEATH,"1,103.00"
0805226,PLATE  5 60MM,"1,999.00"
0805275,PLATE SEMITUBULAR,371.00
0805317,PLATE SMALL FRAG,436.00
0805325,PLATE SMALL TUB,361.00
0805358,SET PNEUMOTHORAX,"2,155.00"
0805366,SNARE POLYPECTMY,"1,538.00"
0805382,DRESSING GAUZE 4X4 6/TRAY,40.00
0805457,PUDENZ VALVE,928.00
0805507,IMPLANT RETIN 106,380.00
0805648,SCREW OLECRAN,721.00
0805655,SCREW REG,220.00
0805663,SCREW S FRAG CAN,595.00
0805747,SHIRLEY SUMP DRAI,311.00
0805754,POST-OP WOOD SHOE M,358.00
0805762,POST-OP WOOD SHOE,358.00
0805770,POST-OP WOOD SHOE M,358.00
0805796,POST-OP WOOD SHOE L,358.00
0805812,SHOE MILLO PEDC L,311.00
0805820,SHOE MILLO PEDC M,311.00
0805838,SHOE MILLO PEDC S,311.00
0805911,CATH SILASTIC 3 F,483.00
0805952,SILICONE TIRE RE2,471.00
0805978,CEMENT SIMPLEX BONE,0.00
0806026,SLING ARM ORTHOPE,432.00
0806075,SPONGE SOF WICK 4X4,22.00
0806174,SPLINT ALUMINM-FO,94.00
0806182,SPLINT ALUMINM FI,80.00
0806240,SPLINT NASAL DENV,"1,052.00"
0806257,SPLINT POSTERIOR +9,707.00
0806265,SPLINT POSTERIOR ANKLE/FT,707.00
0806273,SPLINT SUGAR TONG,934.00
0806299,SPLINT KNEE M,"1,371.00"
0806307,SPLINT KNEE S,"1,143.00"
0806315,SPLINT KNEE LG,"1,310.00"
0806323,SPLINT KNEE XLG,"1,143.00"
0806364,PIN STEINMAN,0.00
0806398,DRESSING STERI,94.00
0806406,DRESSING STERI,94.00
0806448,STOCKINET BIAS 4,29.00
0806455,STOCKINET BIAS 6,37.00
0806489,STOPCOCKS 3-WAY NYLON,117.00
0806497,SUCTION LINERS,244.00
0806562,SUSPENSOR W/O LEG,166.00
0806596,SUSPENSORIES W/LG,166.00
0806620,SET SUTURE REMOVAL,152.00
0806802,DRESSING TELFA2X3,22.00
0806810,DRESSING TELFA3X8,22.00
0806968,IMPLANT TRAPEZIUM,"5,944.00"
0807016,TRAY CATH 16FR STRAIGHT,165.00
0807206,TRAY SPINAL ADULT,625.00
0807214,TRAY SPINAL PEDS,518.00
0807313,TUBE ANGLED CHEST,144.00
0807347,TUBE CAROTID JAVI,370.00
0807396,TUBE LEVINE PLAST 18,55.00
0807420,TUBE LEVINE RUBBE,358.00
0807495,TUBE YANKAUER SUC,88.00
0807529,TUBE DUODENAL GI,"1,687.00"
0807586,FILTER BLOOD ULTIPOR,540.00
0807610,UNDERWATER CHEST,640.00
0807628,UNIPK CATRK EXT A,869.00
0807644,URETERAL BRSH KIT,"1,190.00"
0807677,SET URINARY DRAIN,244.00
0807693,URINE METER,603.00
0807735,VAGINAL SPECULUM,88.00
0807941,BRACE WRIST,523.00
0807966,CONNECTOR Y,847.00
0807990,WIRE KIRSHNER,155.00
0808055,STIMULATOR NERVE,649.00
0808063,SUCTION ELECTRO,354.00
0808097,TESTICULAR PROSTH,"2,503.00"
0808147,PIN HALF,358.00
0808154,ROD COMPRESSION,"1,395.00"
0808238,CATH SWANGANZ,"2,826.00"
0808253,SHOULDER IMMOBIL LG,730.00
0808261,SHOULDER IMMOBIL MED,268.00
0808378,SET PREP DISPOS,87.00
0808386,IV CATHLON #20,135.00
0808394,IV CATHLON #18,135.00
0808543,PAD EYE OVAL EACH,20.00
0808634,CAST FULL BODY +9,"1,645.00"
0808683,CAST SHORT ARM +9,431.00
0808691,CAST SHORT ARM -9,87.00
0808725,CAST LO ARM PL -9,386.00
0808741,CAST LONG ARM + 9,372.00
0808782,CAST LONG LEG + 9,"1,165.00"
0808816,SORBITAL,226.00
0808907,VALVE ST JUDES (A),0.00
0808949,PATELLA COMP RMC,"4,450.00"
0808980,BN GR ST PW SUPPY,"19,191.00"
0809103,STOPCOCKS (3-WAY),104.00
0809319,CATH BALLOON,"2,862.00"
0809335,CATH FOLEY 26 5CC,228.00
0809350,DRESSING SURGICAL 4X6,33.00
0809368,DRESSING SURGICAL 6X8,55.00
0809434,DRAIN SUMP W/FLTR,769.00
0809459,DRAIN TROCAR 1/4,"1,096.00"
0809467,DRAIN TROCR 1/8,"1,096.00"
0809475,DRAIN FLAT 1/2,747.00
0809483,DRAIN FLAT 1/4,859.00
0809673,PENCIL ELECTROSURGICAL,243.00
0809681,IOL POSTERIOR CHAMBER,"2,798.00"
0809855,CATH VEIN,102.00
0809863,SPONGES SOF WICK  2X2,22.00
0809921,GRADIENT COMPRSS STOCKING,0.00
0810051,FILTER REDI FLOW SYSTEM,973.00
0810085,BAG AMBU & VALVE,781.00
0810093,PROBE RECTAL DISP,663.00
0810135,CATH STAMEY SUPRAPUBIC,988.00
0810168,CATH RUTNER WEDG,409.00
0810192,DRAIN EVACUATOR 400 CC 70,658.00
0810200,SET IRRIGATION,280.00
0810226,TRAY PARA CERVICAL BLOCK,432.00
0810283,ELECTRODE FETAL SCALP,383.00
0810424,IRRIG 4BTLE TUR,273.00
0810499,CLAMP GREEN,90.00
0810549,SWABSTICK BETADINE,20.00
0810556,SET CARDIOPLEGIC,"3,437.00"
0810564,DRAIN MINI 100,518.00
0810598,CATH FOLEY 3 WAY,228.00
0810903,OTOTOME BURRS,734.00
0811174,GRAFT 8MM,"2,431.00"
0811299,MASK DISP,80.00
0811323,CAP INJECTION,52.00
0811414,CANNULA ROOT,586.00
0811422,CANNULA ADAPTER,259.00
0811430,LIG A LOOPS,139.00
0811463,CANISTER SUCTION 1200CC,210.00
0811471,STAPLE RICHARDS,883.00
0811554,STOCKINET TUBE 6,368.00
0811570,GRAFT PIPE VASCULAR,"3,626.00"
0811711,WIRE GUIDE GW-35,295.00
0811760,DRAPE U,454.00
0811794,DRAPE TOWEL,124.00
0811828,DRESSING DUO DERM,228.00
0811851,DRESSING GAUZE2X2 10 PKG,17.00
0811885,TRAY VENTRICULOST,633.00
0811943,CERVICAL COLLAR,"1,098.00"
0811968,AB VACURETTE #6,193.00
0811976,AB TUBING,413.00
0812024,SHUNT INAHARA,"1,459.00"
0812065,TRAY THORACENTISE,643.00
0812214,GRATF BIONIT,"3,790.00"
0812297,LENS AIDE,75.00
0812354,ADMIN PUMP SET,453.00
0812420,CATH FOLEY 3 WAY,287.00
0812479,KIT NASAL PACKING,"1,476.00"
0812669,CATH SUCTION 14FR,61.00
0812693,CATH SUCTION DELEE MUCUS,186.00
0812727,CATH SUCTION 14FR,48.00
0812800,DRESSING TEGADERM,33.00
0812909,KIT SPINAL 25G,700.00
0812917,TRAY EPIDURAL,"1,040.00"
0812925,STENT BARD COIL,"1,466.00"
0812974,BRACE CLAVICLE SM,296.00
0812982,SLING ARM SM,228.00
0812990,SLING ARM PED,228.00
0813154,SPLINT POSITION HAND/WRIS,625.00
0813295,SET RADIAL CATH,414.00
0813360,TUBE BRONCHO 377R,626.00
0813436,GRAFT RINGED 6MM,"9,174.00"
0813543,TUBE FEEDING COR,889.00
0813675,INTRA AORTIC BALLOON,"15,024.00"
0813717,FILTER SYSTEM GREENFIELD,"11,092.00"
0813725,BAG DRAINAGE URE,248.00
0813808,PNEUMOGRAM - PEDIATRIC,"1,618.00"
0813899,CATH FOGARTY 3FR,"1,274.00"
0813907,CATH DEAFLEX,"1,688.00"
0813949,CATH HICKMAN,"1,652.00"
0813972,SPLINT WRIST R,591.00
0813980,SPLIT WRIST L,649.00
0814004,TUBE LASER TRACH,"2,107.00"
0814079,TUBING NITRO 2C9100,658.00
0814277,GRAFT GORTEX PTCH,"2,517.00"
0814327,TUBE KEOFEED 5FR,438.00
0814376,HEMOCONCENTRATOR,"4,267.00"
0814384,STENT BILIARY,"2,097.00"
0814392,NEEDLE ENDOSCOPIC,"1,420.00"
0814400,SET PEG,"2,442.00"
0814434,"CAST K 4""",735.00
0814442,"CAST K 5""",926.00
0814483,CATH DOUBLE LUMEN,"3,934.00"
0814509,"CAST K 2""",459.00
0814517,"CAST K 3""",494.00
0814566,COVER ROLL 12X12,33.00
0814590,CONNECTOR DENVER,271.00
0814616,BLADE POWER SAW DISPOSABL,781.00
0814632,RING ANNULOPLASTY,0.00
0814640,DURA TUTOPLAST6X8,"7,510.00"
0814657,RING FALLOPIAN BAND,"1,161.00"
0814665,FILTER STORZ,80.00
0814699,PATELLAR COMPONET,"2,266.00"
0814723,PROBE BICAP,"4,281.00"
0814731,ELECTRODE EXTER,"1,310.00"
0814780,WIRE MEDTRONIC PACER,"1,036.00"
0814855,GUIDE WIRE TFJ,677.00
0814889,CONNECTOR TUBING,"1,449.00"
0815027,TRAY MYELOGRAM PH4320,790.00
0815035,TRAY MYELOGRAM PH4324A,594.00
0815050,BLOOD PUMP SET,626.00
0815134,KIT MULTI-LUMEN,"2,063.00"
0815183,TRAY SADDLE BLOCK,707.00
0815274,NEEDLE BIOPSY DGB,540.00
0815290,CATH SUBCLAVIAN,"2,346.00"
0815308,CATH BALLON,"3,120.00"
0815407,DRAIN PENROSE 1/4,94.00
0815589,KNEE RMC PAT,"4,025.00"
0815647,IMPLANT EYE,0.00
0815654,EYE CONFORMER,697.00
0815738,HIP HOWMEDICA FEM,"3,215.00"
0815761,CATH HEMED 11.0 DL LUMEN,"2,550.00"
0815787,POUCH ACTIVE LIFE,139.00
0815852,WIRE .035 EXCHANGE,524.00
0815886,AORTIC PUNCH DISP,649.00
0816033,STAPLE PROX LSV30,"2,125.00"
0816108,TRAY FOLEY TRU-MS,747.00
0816116,WIRE GUIDE 3610,317.00
0816124,NEEDLE CHIBA 22G,449.00
0816157,CLAMP ACTIVE LIFE,15.00
0816207,STAPLE DISP SKIN,"1,129.00"
0816215,CATH VACCESS DOUBLE LUMEN,"1,654.00"
0816249,NEEDLE ENTRY 19G,379.00
0816256,TRAY PREOPERATIVE,276.00
0816264,DRESSING BIOCLUSI,166.00
0816280,BAG BLOOD LINER,"1,201.00"
0816298,GUIDE WIRE TSCF 3,428.00
0816314,GUIDE WIRE TSF 32,304.00
0816330,TRAY ANESTHESIA EPIDURAL,807.00
0816348,TRAY AMNIOCENT OB,640.00
0816371,ILLUMINATOR,831.00
0816447,TRAP MUCOUS SPEC,155.00
0816454,SYNTHES SCREWS,530.00
0816488,SYNTHES C-CLAMP,"1,051.00"
0816538,ENEMA UNIT BUCKET,64.00
0816546,TUBE FEEDING 8FR,52.00
0816553,TUBE EXTENSION K-50,52.00
0816561,INJECTION SITE/DUAL,132.00
0816587,SPINAL NEEDLE REG,100.00
0816595,PLUG CATH,22.00
0816645,WAX BONE W316,28.00
0816686,ACE COLLES WRENCH,80.00
0816785,SPONGE XR DETEC,67.00
0816793,SPONGE RAY-TEC,107.00
0816801,STAPLING INTERNAL,"1,423.00"
0816819,ELECTRODE PACING,"1,309.00"
0816827,CONNECTING TUBING SUCTION,88.00
0816868,HEMOSTAT SURGICAL,676.00
0816876,HEMOSTAT 2X14,594.00
0816884,HEMOSTAT SURGICAL,454.00
0816892,GAUZE TUBE SIZE 10,399.00
0816934,KIT CENTRAL VEIN,"1,027.00"
