Russellville Hospital,,
Standard Average Charges by Diagnosis Related Group,,
,,
DRG,DESCRIPTION, Average Charge 
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM &","$25,864 "
562,"FX, SPRN, STRN & DISL EXCEPT FEMUR,","$28,816 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR,","$19,002 "
565,OTHER MUSCULOSKELETAL SYS & CONNECT,"$25,353 "
570,SKIN DEBRIDEMENT W MCC,"$33,024 "
571,SKIN DEBRIDEMENT W CC,"$25,966 "
572,SKIN DEBRIDEMENT W/O CC/MCC,"$19,859 "
576,SKIN GRAFT EXC FOR SKIN ULCER OR CE,"$39,914 "
579,"OTHER SKIN, SUBCUT TISS & BREAST PR","$61,796 "
580,"OTHER SKIN, SUBCUT TISS & BREAST PR","$24,211 "
581,"OTHER SKIN, SUBCUT TISS & BREAST PR","$18,631 "
593,SKIN ULCERS W CC,"$50,414 "
603,CELLULITIS W/O MCC,"$17,274 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & B","$14,925 "
607,MINOR SKIN DISORDERS W/O MCC,"$43,500 "
617,AMPUTAT OF LOWER LIMB FOR ENDOCRINE,"$34,931 "
623,SKIN GRAFTS & WOUND DEBRID FOR ENDO,"$25,372 "
627,"THYROID, PARATHYROID & THYROGLOSSAL","$25,233 "
637,DIABETES W MCC,"$36,695 "
638,DIABETES W CC,"$22,934 "
639,DIABETES W/O CC/MCC,"$12,218 "
640,"MISC DISORDERS OF NUTRITION,METABOL","$39,902 "
641,"MISC DISORDERS OF NUTRITION,METABOL","$18,925 "
644,ENDOCRINE DISORDERS W CC,"$12,404 "
645,ENDOCRINE DISORDERS W/O CC/MCC,"$15,133 "
674,OTHER KIDNEY & URINARY TRACT PROCED,"$29,260 "
682,RENAL FAILURE W MCC,"$49,344 "
683,RENAL FAILURE W CC,"$23,306 "
689,KIDNEY & URINARY TRACT INFECTIONS W,"$37,763 "
690,KIDNEY & URINARY TRACT INFECTIONS W,"$21,351 "
694,URINARY STONES W/O ESW LITHOTRIPSY,"$17,813 "
696,KIDNEY & URINARY TRACT SIGNS & SYMP,"$12,734 "
699,OTHER KIDNEY & URINARY TRACT DIAGNO,"$10,892 "
700,OTHER KIDNEY & URINARY TRACT DIAGNO,"$22,005 "
728,INFLAMMATION OF THE MALE REPRODUCTI,"$26,341 "
730,OTHER MALE REPRODUCTIVE SYSTEM DIAG,"$29,725 "
742,UTERINE & ADNEXA PROC FOR NON-MALIG,"$40,211 "
743,UTERINE & ADNEXA PROC FOR NON-MALIG,"$29,002 "
776,POSTPARTUM & POST ABORTION DIAGNOSE,"$27,615 "
800,SPLENECTOMY W CC,"$60,035 "
803,OTHER O.R. PROC OF THE BLOOD & BLOO,"$25,201 "
811,RED BLOOD CELL DISORDERS W MCC,"$34,068 "
812,RED BLOOD CELL DISORDERS W/O MCC,"$18,975 "
813,COAGULATION DISORDERS,"$7,045 "
815,RETICULOENDOTHELIAL & IMMUNITY DISO,"$15,243 "
853,INFECTIOUS & PARASITIC DISEASES W O,"$70,310 "
854,INFECTIOUS & PARASITIC DISEASES W O,"$56,990 "
857,POSTOPERATIVE OR POST-TRAUMATIC INF,"$53,712 "
866,VIRAL ILLNESS W/O MCC,"$12,530 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV,"$41,259 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV,"$30,237 "
880,ACUTE ADJUSTMENT REACTION & PSYCHOS,"$10,020 "
881,DEPRESSIVE NEUROSES,"$6,755 "
884,ORGANIC DISTURBANCES & INTELLECTUAL,"$19,244 "
885,PSYCHOSES,"$9,121 "
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, L","$11,085 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/,"$14,242 "
902,WOUND DEBRIDEMENTS FOR INJURIES W C,"$44,276 "
909,OTHER O.R. PROCEDURES FOR INJURIES,"$27,859 "
914,TRAUMATIC INJURY W/O MCC,"$14,477 "
916,ALLERGIC REACTIONS W/O MCC,"$17,240 "
917,POISONING & TOXIC EFFECTS OF DRUGS,"$30,599 "
918,POISONING & TOXIC EFFECTS OF DRUGS,"$13,461 "
923,"OTHER INJURY, POISONING & TOXIC EFF","$18,050 "
941,O.R. PROC W DIAGNOSES OF OTHER CONT,"$22,886 "
947,SIGNS & SYMPTOMS W MCC,"$16,778 "
948,SIGNS & SYMPTOMS W/O MCC,"$19,174 "
949,AFTERCARE W CC/MCC,"$15,316 "
950,AFTERCARE W/O CC/MCC,"$35,192 "
951,OTHER FACTORS INFLUENCING HEALTH ST,"$1,834 "
956,"LIMB REATTACHMENT, HIP & FEMUR PROC","$88,591 "
981,EXTENSIVE O.R. PROCEDURE UNRELATED,"$104,322 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED,"$36,285 "
987,NON-EXTENSIVE O.R. PROC UNRELATED T,"$36,153 "
988,NON-EXTENSIVE O.R. PROC UNRELATED T,"$30,681 "
989,NON-EXTENSIVE O.R. PROC UNRELATED T,"$27,941 "
999,UNGROUPABLE,"$30,304 "
