IVNUM,IVDESC, Price 
50049,"DEB BONE ADD-ON, TR","$1,276.00 "
50050,BX SKIN SUBCUTANEOUS/M,$240.00 
50051,"BX SKIN SUBCUTANEOUS/M, FAC",$48.00 
50052,"BX SKIN SUBCUTANEOUS/M-PROFESSIONAL, PRO",$192.00 
50053,"BX SKIN SUBCUTANEOUS/M, SP",$263.00 
50054,"BX SKIN SUBCUTANEOUS/M, SP, FAC",$53.00 
50055,"BX SKIN SUBCUTANEOUS/M PROFESS, SP, PRO",$210.00 
50056,"BX SKIN SUBCUTANEOUS/M, TR",$285.00 
50057,"BX SKIN SUBCUTANEOUS/M, TR, FAC",$57.00 
50058,"BX SKIN SUBCUTANEOUS/M PROFESS, TR, PRO",$228.00 
50059,ADDITIONAL LESION REMOVAL,$152.00 
50060,"ADDITIONAL LESION REMOVAL, FAC",$30.00 
50061,"ADDITIONAL LESION REMOVAL, PRO",$122.00 
50062,"ADDITIONAL LESION REMOVAL, SP",$199.00 
50063,"ADDITIONAL LESION REMOVAL, SP, FAC",$40.00 
50064,"ADDITIONAL LESION REMOVAL, SP, PRO",$159.00 
50065,"ADDITIONAL LESION REMOVAL, TR",$218.00 
50066,SKIN TAG REMOVAL,$415.00 
50067,"SKIN TAG REMOVAL, FAC",$83.00 
50068,"SKIN TAG REMOVAL, PRO",$332.00 
50069,"SKIN TAG REMOVAL, SP",$454.00 
50070,"SKIN TAG REMOVAL, SP, PRO",$363.00 
50071,"SKIN TAG REMOVAL, SP, FAC",$91.00 
50072,"SKIN TAG REMOVAL, TR",$494.00 
50073,SHAVE SKIN LES 1 F/E/E,$341.00 
50074,"SHAVE SKIN LES 1 F/E/E, FAC",$68.00 
50075,"SHAVE SKIN LES 1 F/E/E FACILITY, PRO",$273.00 
50076,"SHAVE SKIN LES 1 F/E/E, SP",$374.00 
50077,"SHAVE SKIN LES 1 F/E/E, TR",$406.00 
50078,EXC B9 LES MRGN XCP SK,$362.00 
50079,"EXC B9 LES MRGN XCP SK, FAC",$72.00 
50080,"EXC B9 LES MRGN XCP SK, PRO",$290.00 
50081,"EXC B9 LES MRGN XCP SK, SP",$397.00 
50082,"EXC B9 LES MRGN XCP SK, TR",$431.00 
50083,EXC B9 LES MRGN XCP SK,$521.00 
50084,"EXC B9 LES MRGN XCP SP, FAC",$104.00 
50085,"EXC B9 LES MRGN XCP SK, PRO",$417.00 
50086,"EXC B9 LES MRGN XCP SK, SP",$570.00 
50087,"EXC B9 LES MRGN XCP SK, TR",$620.00 
50088,EXC TR-EXT B9+MARG 1.1-2 CM,$578.00 
50089,"EXC TR-EXT B9+MARG 1.1-2 CM, FAC",$116.00 
50090,"EXC TR-EXT B9+MARG 1.1-2 CM, PRO",$462.00 
50091,"EXC TR-EXT B9+MARG 1.1-2 CM, SP",$633.00 
50092,"EXC TR-EXT B9+MARG 1.1-2 CM, TR",$688.00 
50093,EXC B9 LES MRGN XCP,"$1,141.00 "
50094,"EXC B9 LES MRGN XCP SK, FAC",$228.00 
50095,"EXC B9 LES MRGN XCP SK, PRO",$913.00 
50096,"EXC B9 LES MRGN XCP SK, SP","$1,250.00 "
50097,"EXC B9 LES MRGN XCP SK, TR","$1,359.00 "
50098,EXC H-F-NK-SP B9+MARG 0.5/<,$404.00 
50099,"EXC H-F-NK-SP B9+MARG 0.5/<, FAC",$81.00 
50100,"EXC H-F-NK-SP B9+MARG 0.5/<, PRO",$323.00 
50101,"EXC H-F-NK-SP B9+MARG 0.5/<, SP",$443.00 
50102,"EXC H-F-NK-SP B9+MARG 0.5/<, TR",$481.00 
50103,EXC B9 LES MRGN XCP SK,$575.00 
50104,"EXC B9 LES MRGN XCP SK, FAC",$115.00 
50105,"EXC B9 LES MRGN XCP SK, PRO",$460.00 
50106,"EXC B9 LES MRGN XCP SK, SP",$630.00 
50107,"EXC B9 LES MRGN XCP SK, TR",$685.00 
50108,EXC B9 LES MRGN XCP SK,$719.00 
50109,"EXC B9 LES MRGN XCP SK, FAC",$144.00 
50110,"EXC B9 LES MRGN XCP SK, PRO",$575.00 
50111,"EXC B9 LES MRGN XCP SK, SP",$788.00 
50112,"EXC B9 LES MRGN XCP SK, TR",$856.00 
50113,EXC H-F-NK-SP B9+MARG 2.1-3,$991.00 
50114,"EXC H-F-NK-SP B9+MARG 2.1-3, SP","$1,086.00 "
50115,"EXC H-F-NK-SP B9+MARG 2.1-3, TR","$1,180.00 "
50116,EXC H-F-NK-SP B9+MARG 3.1-4,"$1,207.00 "
50117,"EXC H-F-NK-SP B9+MARG 3.1-4, SP","$1,323.00 "
50118,"EXC H-F-NK-SP B9+MARG 3.1-4, TR","$1,437.00 "
50119,EXC H-F-NK-SP B9+MARG >4CM,"$1,574.00 "
50120,"EXC H-F-NK-SP B9+MARG >4CM, SP","$1,724.00 "
50121,"EXC H-F-NK-SP B9+MARG >4CM, TR","$1,874.00 "
50122,EXC B9 LES MRGN XCP SK,$510.00 
50123,"EXC B9 LES MRGN XCP SK, FAC",$102.00 
50124,"EXC B9 LES MRGN XCP SK, PRO",$408.00 
50125,"EXC B9 LES MRGN XCP SK, SP",$559.00 
50126,"EXC B9 LES MRGN XCP SK, TR",$607.00 
50127,EXC B9 LES MRGN XCP SK,$622.00 
50128,"EXC B9 LES MRGN XCP SK, FAC",$124.00 
50129,"EXC B9 LES MRGN XCP SK, PRO",$498.00 
50130,"EXC B9 LES MRGN XCP SK, SP",$681.00 
50131,"EXC B9 LES MRGN XCP SK, TR",$740.00 
50132,EXC FACE-MM B9+MARG 2.1-3 CM,$976.00 
50133,"EXC FACE-MM B9+MARG 2.1-3 CM, SP","$1,068.00 "
50134,"EXC FACE-MM B9+MARG 2.1-3 CM, TR","$1,161.00 "
50135,EXC TR-EXT MAL+MARG 0.6-1 CM,$673.00 
50136,"EXC TR-EXT MAL+MARG 0.6-1 CM, SP",$737.00 
50137,"EXC TR-EXT MAL+MARG 0.6-1 CM, TR",$801.00 
50138,EXC TR-EXT MAL+MARG 2.1-3 CM,$924.00 
50139,"EXC TR-EXT MAL+MARG 2.1-3 CM, SP","$1,012.00 "
50140,"EXC TR-EXT MAL+MARG 2.1-3 CM, TR","$1,099.00 "
50141,EXC TR-EXT MAL+MARG 3.1-4 CM,"$1,152.00 "
50142,"EXC TR-EXT MAL+MARG 3.1-4 CM, SP","$1,262.00 "
50143,"EXC TR-EXT MAL+MARG 3.1-4 CM, TR","$1,372.00 "
50144,EXC TR-EXT MAL+MARG >4 CM,"$1,542.00 "
50145,"EXC TR-EXT MAL+MARG >4 CM, SP","$1,688.00 "
50146,"EXC TR-EXT MAL+MARG >4 CM, TR","$1,835.00 "
50147,EXC S/N/H/F/G MAL+MRG 0.6-1,"$1,886.00 "
50148,"EXC S/N/H/F/G MAL+MRG 0.6-1, SP","$2,065.00 "
50149,"EXC S/N/H/F/G MAL+MRG 0.6-1, TR","$2,245.00 "
50150,EXC S/N/H/F/G MAL+MRG 2.1-3,"$1,107.00 "
50151,"EXC S/N/H/F/G MAL+MRG 2.1-3, SP","$1,212.00 "
50152,"EXC S/N/H/F/G MAL+MRG 2.1-3, TR","$1,317.00 "
50153,EXC S/N/H/F/G MAL+MRG 3.1-4,"$2,821.00 "
50154,"EXC S/N/H/F/G MAL+MRG 3.1-4, SP","$3,090.00 "
50155,"EXC S/N/H/F/G MAL+MRG 3.1-4, TR","$3,359.00 "
50156,EXC F/E/E/N/L MAL+MRG 0.5CM<,"$1,630.00 "
50157,"EXC F/E/E/N/L MAL+MRG 0.5CM<, SP","$1,786.00 "
50158,"EXC F/E/E/N/L MAL+MRG 0.5CM<, TR","$1,941.00 "
50159,EXC F/E/E/N/L MAL+MRG 1.1-2,"$1,140.00 "
50160,"EXC F/E/E/N/L MAL+MRG 1.1-2, SP","$1,249.00 "
50161,"EXC F/E/E/N/L MAL+MRG 1.1-2, TR","$1,357.00 "
50162,EXC F/E/E/N/L MAL+MRG 2.1-3,"$1,430.00 "
50163,"EXC F/E/E/N/L MAL+MRG 2.1-3, SP","$1,566.00 "
50164,"EXC F/E/E/N/L MAL+MRG 2.1-3, TR","$1,702.00 "
50165,TRIM NONDYSTROPHIC NAI,$111.00 
50166,"TRIM NONDYSTROPHIC NAI, FAC",$22.00 
50167,"TRIM NONDYSTROPHIC NAI, PRO",$89.00 
50168,"TRIM NONDYSTROPHIC NAI, SP",$122.00 
50169,"TRIM NONDYSTROPHIC NAI, TR",$133.00 
50170,DEBRIDE NAIL 1-5,$141.00 
50171,"DEBRIDE NAIL 1-5, SP",$154.00 
50172,"DEBRIDE NAIL 1-5, TR",$167.00 
50173,"AVULSION OF NAIL PLATE, P OR C, S, S",$482.00 
50174,"AVULSION OF NAIL PLATE, P OR C,S,S, FAC",$96.00 
50175,"AVULSION OF NAIL PLATE, P OR C,S,S, PRO",$386.00 
50176,"AVULSION OF NAIL PLATE, P OR C,S,S, SP",$528.00 
50177,"AVULSION OF NAIL PLATE, P OR C,S,S, TR",$574.00 
50178,REMOVAL OF NAIL PLATE ADD ON,$288.00 
50179,"REMOVAL OF NAIL PLATE ADD ON, SP",$316.00 
50180,"REMOVAL OF NAIL PLATE ADD ON, TR",$343.00 
50181,EVACUATION OF SUBUNGUAL HEMATOMA,$230.00 
50182,"EVACUATION OF SUBUNGUAL HEMATOMA, FAC",$46.00 
50183,"EVACUATION OF SUBUNGUAL HEMATOMA, PRO",$184.00 
50184,"EVACUATION OF SUBUNGUAL HEMATOMA, SP",$252.00 
50185,"EVACUATION OF SUBUNGUAL HEMATOMA, TR",$274.00 
50186,REMOVE NAIL BED/FINGER TIP,"$2,738.00 "
50187,"REMOVE NAIL BED/FINGER TIP, SP","$2,999.00 "
50188,"REMOVE NAIL BED/FINGER TIP, TR","$3,260.00 "
50189,REPAIR OF NAIL BED,"$1,194.00 "
50190,"REPAIR OF NAIL BED, SP","$1,308.00 "
50191,"REPAIR OF NAIL BED, TR","$1,421.00 "
50192,EXCISION OF NAIL FOLD TOE,$701.00 
50193,"EXCISION OF NAIL FOLD TOE, SP",$768.00 
50194,"EXCISION OF NAIL FOLD TOE, TR",$835.00 
50195,EXC OF PILONIDAL CYST; SIMPLE,"$2,274.00 "
50196,"EXC OF PILONIDAL CYST; SIMPLE, SP","$2,491.00 "
50197,"EXC OF PILONIDAL CYST; SIMPLE, TR","$2,707.00 "
50198,REMOVE PILONIDAL CYST EXTEN,"$3,233.00 "
50199,"REMOVE PILONIDAL CYST EXTEN, SP","$3,541.00 "
50200,"REMOVE PILONIDAL CYST EXTEN, TR","$3,849.00 "
50201,"INJ, INTRALESIONAL, <= 7 LESIONS",$221.00 
50202,"INJ, INTRALESIONAL, <= 7 LESIONS, FAC",$44.00 
50203,"INJ, INTRALESIONAL, <= 7 LESIONS, PRO",$177.00 
50204,"INJ, INTRALESIONAL, <= 7 LESIONS, SP",$242.00 
50205,"INJ, INTRALESIONAL, <= 7 LESIONS, TR",$262.00 
50206,IUD INSERTION,$681.00 
50207,"IUD INSERTION, FAC",$136.00 
50208,"IUD INSERTION, PRO",$545.00 
50209,"IUD INSERTION, SP",$746.00 
50210,"IUD INSERTION, SP, FAC",$149.20 
50211,"IUD INSERTION, SP, PRO",$596.80 
50212,NEXPLNON REMOVAL,$482.00 
50213,"NEXPLNON REMOVAL, FAC",$96.00 
50214,"NEXPLNON REMOVAL, PRO",$386.00 
50215,"IUD REMOVAL, SP",$753.00 
50216,"IUD REMOVAL, SP, FAC",$151.00 
50217,"IUD REMOVAL, SP, PRO",$602.00 
50219,"NEXPLENON, REMOVAL AND REINSERTION",$961.00 
50220,"NEXPLENON, REMOVAL AND REINSERTION, FAC",$192.00 
50221,"NEXPLENON, REMOVAL AND REINSERTION, PRO",$769.00 
50222,"NEXPLENON, REMOVAL AND REINSERTION, SP","$1,052.00 "
50223,"NEXPLENON,REMOVE AND REINSERTION,SP,FAC",$210.40 
50224,"NEXPLENON,REMOVE AND REINSERTION,SP,PRO",$841.60 
50225,"NEXPLENON, REMOVAL AND REINSERTION, TR","$1,144.00 "
50226,"SIMPLE REPAIR, =<2.5CM",$561.00 
50227,"SIMPLE REPAIR, =<2.5CM, FAC",$112.00 
50228,"SIMPLE REPAIR, =<2.5CM, PRO",$449.00 
50229,"SIMPLE REPAIR, =<2.5CM, SP",$615.00 
50230,"SIMPLE REPAIR, =<2.5CM, TR",$668.00 
50231,"SIMPLE REPAIR, 2.6-7.5CM",$665.00 
50232,"SIMPLE REPAIR, 2.6-7.5CM, FAC",$133.00 
50233,"SIMPLE REPAIR, 2.6-7.5CM, PRO",$532.00 
50234,"SIMPLE REPAIR, 2.6-7.5CM, SP",$728.00 
50235,"SIMPLE REPAIR, 2.6-7.5CM, SP, FAC",$146.00 
50236,"SIMPLE REPAIR, 2.6-7.5CM, SP, PRO",$582.00 
50237,"SIMPLE REPAIR, 2.6-7.5CM, TR",$791.00 
50238,"SIMPLE REPAIR, 7.6-12.5CM",$826.00 
50239,"SIMPLE REPAIR, 7.6-12.5CM, FAC",$165.00 
50240,"SIMPLE REPAIR, 7.6-12.5CM, PRO",$661.00 
50241,"SIMPLE REPAIR, 7.6-12.5CM, SP",$905.00 
50242,"SIMPLE REPAIR, 7.6-12.5CM, SP, FAC",$181.00 
50243,"SIMPLE REPAIR, 7.6-12.5CM, SP, PRO",$724.00 
50244,"SIMPLE REPAIR, 7.6-12.5CM, TR",$984.00 
50245,"SIMPLE REPAIR, 12.6-20CM","$1,408.00 "
50246,"SIMPLE REPAIR, 12.6-20CM, FAC",$282.00 
50247,"SIMPLE REPAIR, 12.6-20CM, PRO","$1,126.00 "
50248,"SIMPLE REPAIR, 12.6-20CM, SP","$1,542.00 "
50249,"SIMPLE REPAIR, 12.6-20CM, TR","$1,676.00 "
50250,"SIMPLE REPAIR, FACE =<2.5CM",$649.00 
50251,"SIMPLE REPAIR, FACE =<2.5CM, FAC",$130.00 
50252,"SIMPLE REPAIR, FACE =<2.5CM, PRO",$519.00 
50253,"SIMPLE REPAIR, FACE =<2.5CM, SP",$711.00 
50254,"SIMPLE REPAIR, FACE =<2.5CM, TR",$772.00 
50255,"SIMPLE REPAIR, FACE 2.5-5CM",$760.00 
50256,"SIMPLE REPAIR, FACE 2.5-5CM, FAC",$152.00 
50257,"SIMPLE REPAIR, FACE 2.5-5CM, PRO",$608.00 
50258,"SIMPLE REPAIR, FACE 2.5-5CM, SP",$833.00 
50259,"SIMPLE REPAIR, FACE 2.5-5CM, SP, PRO",$666.00 
50260,"SIMPLE REPAIR, FACE 2.5-5CM, SP, FAC",$167.00 
50261,"SIMPLE REPAIR, FACE 2.5-5CM, TR",$905.00 
50262,"SUPERFICIAL WND DEHISCENCE SMPL CLSR, SP","$2,538.00 "
50263,"SUPERFICIAL WND DEHISCENCE SMPL CLSR, TR","$2,826.00 "
50264,INTMD RPR S/A/T/EXT 2.5 CLM/<,$633.00 
50265,"INTMD RPR 2.5 CM <, SP",$693.00 
50266,"INTMD RPR S/A/T/EXT 2.5CM <, TR",$754.00 
50267,INTMD RPR S/A/T/EXT 2.6-7.5,$799.00 
50268,"INTMD RPR S/A/T/EXT 2.6-7.5, SP",$875.00 
50269,"INTMD RPR S/A/T/EXT 2.6-7.5, TR",$952.00 
50270,INTMD RPR S/TR/EXT 7.6-12.5,$810.00 
50271,"INTMD RPR S/TR/EXT 7.6-12.5, SP",$887.00 
50272,"INTMD RPR S/A/T/EXT 7.6-12.5, TR",$964.00 
50273,INTMD RPR S/A/T/EXT 12.6-20,"$3,133.00 "
50274,"INTMD RPR S/A/T/EXT 12.6-20, SP","$3,431.00 "
50275,"INTMD RPR S/A/T/EXT 12.6-20, TR","$3,730.00 "
50276,INTMD RPR S/A/T/EXT 20.1-30,"$3,467.00 "
50277,"INTMD RPR S/A/T/EXT 20.1-30, SP","$3,797.00 "
50278,"INTMD RPR S/A/T/EXT 20.1-30, TR","$4,127.00 "
50279,INTMD RPR S/TR/EXT >30CM,"$3,992.00 "
50280,"INTMD RPR S/TR/EXT >30 CM, SP","$4,372.00 "
50281,"INTMD RPR S/TR/EXT >30 CM, TR","$4,752.00 "
50282,INTMD WND REPAIR HF GENIT,$750.00 
50283,"INTMD WND REPAIR HF GENIT, SP",$821.00 
50284,"INTMD WND REPAIR HF GENIT, TR",$892.00 
50285,INTMD RPR HF GENIT 2.6-7.5,$798.00 
50286,"INTMD RPR HF GENIT 2.6-7.5, SP",$874.00 
50287,"INTMD RPR HF GENIT 2.6-7.5, TR",$950.00 
50288,INTMD RPR HF GENIT 7.6-12.5,"$2,943.00 "
50289,"INTMD RPR HF GENIT 7.6-12.5, SP","$3,223.00 "
50290,"INTMD RPR HF GENIT 7.6-12.5, TR","$3,504.00 "
50291,INTMD RPR HF GENIT 12.6-20,"$3,324.00 "
50292,"INTMD RPR HF GENIT 12.6-20, SP","$3,641.00 "
50293,"INTMD RPR HF GENIT 12.6-20, TR","$3,957.00 "
50294,INTMD RPR FACE 2.5 CM<,$866.00 
50295,"INTMD RPR FACE 2.5CM <, SP",$949.00 
50296,"INTMD RPR FACE 2.5CM <, TR","$1,031.00 "
50297,INTMD RPR FACE 2.6-5,$981.00 
50298,"INTMD RPR FACE 2.6-5, SP","$1,075.00 "
50299,"INTMD RPR FACE 2.6-5, TR","$1,168.00 "
50300,INTMD RPR FACE 12.6-20,"$3,920.00 "
50301,"INTMD RPR FACE 12.6-20, SP","$4,293.00 "
50302,"INTMD RPR FACE 12.6-20, TR","$4,667.00 "
50303,COMPLEX RPR TRUNK 1.1-2.5CM,"$2,741.00 "
50304,"COMPLEX RPR TRUNK 1.1-2.5CM, FAC",$548.00 
50305,"COMPLEX RPR TRUNK 1.1-2.5CM, PRO","$2,193.00 "
50306,"COMPLEX RPR TRUNK 1.1-2.5CM, SP","$3,002.00 "
50307,"COMPLEX RPR TRUNK 1.1-2.5CM, SP, FAC",$600.00 
50308,"COMPLEX RPR TRUNK 1.1-2.5CM, SP, PRO","$2,402.00 "
50309,"COMPLEX RPR TRUNK 1.1-2.5CM, TR","$3,263.00 "
50310,CMPLX RPR TRUNK 2.6-7.5CM,"$1,575.00 "
50311,"CMPLX RPR TRUNK 2.6-7.5CM, SP","$1,725.00 "
50312,"CMPLX RPR TRUNK 2.6-7.5CM, TR","$1,875.00 "
50313,CMPLX RPR S/A/L 1.1-2.5CM,"$2,874.00 "
50314,"CMPLX RPR S/A/L 1.1-2.5CM, SP","$3,147.00 "
50315,"CMPLX RPR S/A/L 1.1-2.5CM, TR","$3,421.00 "
50316,CMPLX RPR S/A/L 2.6-7.5CM,"$1,201.00 "
50317,"CMPLX RPR S/A/L 2.6-7.5CM, SP","$1,316.00 "
50318,"CMPLX RPR S/A/L 2.6-7.5CM, TR","$1,430.00 "
50319,CMPLX RPR S/A/L ADDL 5CM,$787.00 
50320,"CMPLX RPR S/A/L ADDL 5CM, SP",$863.00 
50321,"CMPLX RPR S/A/L ADDL 5CM, TR",$938.00 
50322,"CMPX RPR FACE, HAND, GEN","$1,350.00 "
50323,"CMPX RPR FACE, GEN, HAND, FAC",$270.00 
50324,"CMPX RPR FACE, GEN, HAND, PRO","$1,080.00 "
50325,"CMPX RPR FACE, GEN, HAND, SP","$1,479.00 "
50326,"CMPLX RPR FACE, GAN HAND, TR","$1,607.00 "
50327,REPAIR WOUND OR LESION 2.6-7.5CM,"$1,498.00 "
50328,"REPAIR WOUND OR LESION 2.6-7.5CM, SP","$1,641.00 "
50329,"REPAIR WOUND/LESION, TR","$1,784.00 "
50330,REPAIR WOUND/LESION ADD-ON,$891.00 
50331,"REPAIR WOUND/LESION ADD-ON, SP",$976.00 
50332,"REPAIR WOUND/LESION ADD-ON, TR","$1,061.00 "
50333,"LATE CLOSURE OF WOUND, SP, FAC",$510.00 
50334,"LATE CLOSURE OF WOUND, SP","$4,117.00 "
50335,"LATE CLOSURE OF WOUND, TR","$4,475.00 "
50336,"POST OP EXPLORATION-EXTREMITY,TR","$5,782.00 "
50337,"TIS TRNFR F/C/C/M/N/A/G/H/F, SP","$4,680.00 "
50338,"TIS TRNFR F/C/C/M/N/A/G/H/F, TR","$5,087.00 "
50339,WOUND PREP TRK/ARM/LEG,"$1,637.00 "
50340,"WOUND PREP TRK/ARM/LEG, PRO","$1,309.60 "
50341,"WOUND PREP TRK/ARM/LEG, TR","$1,949.00 "
50343,INITIAL NURSING 25MIN,$335.00 
50344,"I & D HEMATOMA/SEROMA/FLID,SP",$693.00 
50345,"I & D PILONIDAL CYST; SIMPLE,SP",$682.00 
50346,"PUNCTURE ASPIRATION,SP",$471.00 
50347,"DRAINAGE OF SKIN ABSCESS,SP",$902.00 
50349,"DEBRIDE SKIN/BONE @ FX SITE,SP","$5,773.00 "
50350,"DEBRID SKIN/SUBQ,SP",$800.00 
50351,EPIFIX APPLICATION,$300.00 
50352,"EPIFIX APPLICATION, FAC",$60.00 
50353,"EPIFIX APPLICATION, PRO",$240.00 
50354,"EPIFIX APPLICATION, SP",$345.00 
50355,"EPIFIX APPLICATION, TR",$375.00 
50356,COMPOSITE SKIN GRAFT,"$7,215.00 "
50357,"COMPOSITE SKIN GRAFT, SP","$7,902.00 "
50358,"COMPOSITE SKIN GRAFT, TR","$8,589.00 "
50359,"REVISION OF UPPER EYELID, SP","$4,085.00 "
50360,"REVISION OF UPPER EYELID, TR","$4,440.00 "
50361,DRSG/DBM OR PTL THICK BURN LG,$306.00 
50362,"DRSG/DBM OR PTL THICK BURN LG, FAC",$61.00 
50363,"DRSG/DBM OR PTL THICK BURN LG, PRO",$245.00 
50364,"DRSG/DBM OR PTL THICK BURN LG, SP",$335.00 
50365,"DRSG/DBM OR PTL THICK BURN LG, TR",$364.00 
50366,DRSG/DBM OR PTL THICK BURN LG,$746.00 
50367,"DRSG/DBM OR PTL THICK BURN LG, SP",$817.00 
50368,"DRSG/DBM OR PTL THICK BURN LG, TR",$888.00 
50369,DESTRUCTION OF PREMALIGNANT LESION 1ST,$208.00 
50370,"DESTRUCTION PREMALIGNANT LESION 1ST, FAC",$41.60 
50371,"DESTRUCTION PREMALIGNANT LESION 1ST, PRO",$166.40 
50372,"DESTRUCTION PREMALIGNANT LESION 1ST, SP",$228.00 
50373,"DESTRUCTION PREMALIGNANT LESION 1ST, TR",$248.00 
50374,DESTRUCTION OF PREMALIGNANT LESION 2-14,$55.00 
50375,"DESTRUCTION PREMALIG LESION 2-14, FAC",$11.00 
50376,"DESTRUCTION PREMALIG LESION 2-14, PRO",$44.00 
50377,"DESTRUCTION PREMALIGNANT LESION 2-14, SP",$60.00 
50378,"DESTRUCTION PREMALIGNANT LESION 2-14, TR",$65.00 
50379,DSTR BENIGN LES NOT SKIN TAG <14,$329.00 
50380,"DSTR BENIGN LES NOT SKIN TAG <15, FAC",$66.00 
50381,"DSTR OF BENIGN LES NOT SKIN TAG <16, PRO",$263.00 
50382,"DSTR BENIGN LES NOT SKIN TAG <17, SP",$360.00 
50383,"DSTR BENIGN LES NOT SKIN TAG <18, TR",$391.00 
50384,CHEMICAL CAUTERIZATION OF GRANULATION,$374.00 
50385,"CHEM CAUTERIZATION OF GRANULATION, FAC",$75.00 
50386,"CHEM CAUTERIZATION OF GRANULATION, PRO",$299.00 
50387,"CHEM CAUTERIZATION OF GRANULATION, SP",$409.00 
50388,"CHEM CAUTERIZATION OF GRANULATION, TR",$445.00 
50389,DSTR MAL LES FACE <0.5CM,"$1,151.00 "
50390,"DSTR MAL LES FACE <0.5CM, FAC",$230.00 
50391,"DSTR MAL LES FACE <0.5CM, PRO",$921.00 
50392,"DESTRUCT MALIGNANT LESION FACE<0.5CM,SP","$1,260.00 "
50393,"DESTR MALIGNANT LESION, FACE <0.5CM","$1,151.00 "
50394,"DESTRUCT, MALIGNANT LESION, FACE <0.5,SP","$1,260.00 "
50396,"Bx breast 1st lesion us imag,SP","$3,556.00 "
50398,"Bx breast percut w/o image,SP","$1,350.00 "
50400,"Removal of breast lesion,SP","$3,260.00 "
50401,"Excision addl breast lesion,SP","$1,587.00 "
50403,"Removal of chest wall lesion,SP","$11,448.00 "
50405,"Place breast clip percut,SP",$50.00 
50407,"PARTIAL MASTECTOMY,SP","$3,772.00 "
50409,"PROV SERV MASTECTOMY SUB,SP","$5,408.00 "
50411,PROV. SVCS. I & D,$761.00 
50412,"PROV SERV INCISION/DRAINAGE,SP",$834.00 
50413,"PROV SERV INCISION/DRAINAGE,TR",$906.00 
50414,"Explore wound abdomen,SP","$4,369.00 "
