Description, Base Price 
"99498 Advance Care Planning, @ additional 30 min", 98.00 
"A0998 - Ambulance response and treatment, no transport", -   
Abdominal Aortic Aneurysm Repair," 5,916.00 "
Abdominal Perineal Resection," 10,519.00 "
ABG., 247.00 
ABG., 247.00 
ABO/Rh Interp, 97.00 
Accord 2.0mm Cable with Clamp," 2,202.00 "
ACCU CHECK, 49.00 
Acetaminophen Level, 104.00 
Acetaminophen Level MCL, 284.00 
Acetominophen CLS, 284.00 
Acetylcholine Receptor Binding Antibody MCL, 267.00 
Acetylcholine Receptor Blocking Antibodies MCL, 268.00 
Acetylcholine Receptor Modulating MCL, 370.00 
Acetylcholinesterase CLS, 117.00 
"Acromioplasty Or Acromionectomy, Partial, With Or Without Coracoacromial Ligament Release"," 1,990.00 "
Acromioplasty Shoulder," 5,916.00 "
ACTH Plasma CLS, 358.00 
ACTH Stimulation CLS, 157.00 
Add-On Lesion Removal, 276.00 
Adenoidectomy," 5,007.00 "
Adenovirus PCR MCL, 536.00 
Adjacent tissue transfer or rearrangement  forehead  cheeks chin mouth ect  defect 10 sq cm or less," 2,145.00 "
"Adjacent tissue transfer or rearrangement, Trunk; defect10 sq cm or less"," 1,602.00 "
ADL Training 97535- BCE, 134.00 
ADL Training Charge, 134.00 
ADL Training Charges, 134.00 
ADL Training PT 97535- BCE, 134.00 
Admin of Pneumoccocal Immunization, 64.00 
Admission Assessment Adult Brief, 13.00 
Adrenocorticotropic Hormone MCL, 157.00 
ADV RUN EMERG/ALS * Amb Charge," 3,377.00 "
ADV RUN/EMERG Amb Charge," 2,632.00 "
ADV RUN/NONEMERG * Amb Charge, -   
ADV RUN/NONEN/ALS * Amb Charge," 2,207.00 "
Aerobic & Anaerobic Culture CLS, 88.00 
Aerobic Culture CLS, 127.00 
Aerosol Treatment, 116.00 
AFB Culture & Stain CLS, 164.00 
AFP-Tumor Marker CLS, 239.00 
AIR MATTRESS, 45.00 
AIRTRAQ  LARYN PED SIZE 1, 363.00 
AIRTRAQ  LARYN SMALL SIZE 2, 363.00 
AIRTRAQ OPTICAL LARYN SIZE 3, 363.00 
AIRWAY NASAL, 45.00 
Alanine Aminotransferase, 91.00 
Albumin Level, 78.00 
Albumin PML, 138.00 
Alcohol Level 1, 155.00 
Aldolase CLS, 145.00 
Aldolase MCL, 81.00 
Aldosterone CLS, 379.00 
Aldosterone MCL, 475.00 
Alkaline Phosphatase, 119.00 
Alkaline Phosphatase Isoenzymes MCL, 53.00 
Allergy Injection Multi POC, 26.00 
Allergy Injection Multi POC - No Charge, -   
Allergy Injection Single POC, 24.00 
Allergy Injection Single POC - No Charge, -   
ALLEVYN DR  5 X 5(66020044), 13.00 
ALLEVYN DRESSING 3 X3, 20.00 
ALLEVYN DRESSING 6 X5 3/8, 56.00 
ALLEVYN FOAM DRESSING 6  X 6, 36.00 
ALOE VESTA-PERINEAL/SKIN CLEANSER, 20.00 
Alpha Fetoprotein Tumor Marker MCL, 239.00 
Alpha-1-AntiTrypsin CLS, 189.00 
AMB WAIT TIME 1/2HR Amb Charge, 128.00 
AMB/ADDL PERSONNEL Amb Charge, 94.00 
AMBULANCE BLS MILEAG, 34.00 
Ambulance Mileage Four, 128.00 
Ambulance Mileage One, 34.00 
Ambulance Mileage Three, 94.00 
Ambulance Mileage Two, 178.00 
Ambulance Option Eight," 3,934.00 "
Ambulance Option Five," 2,207.00 "
Ambulance Option Four, -   
Ambulance Option Seven," 3,377.00 "
Ambulance Option Six," 2,632.00 "
Ambulance Option Three," 1,108.00 "
Ambulance Option Two, 940.00 
Amitriptyline Level MCL, 90.00 
Ammonia CLS, 202.00 
Ammonia Venous MCL, 202.00 
Amputation Above Knee," 6,315.00 "
Amputation Below Knee," 6,315.00 "
Amputation Digit," 4,095.00 "
Amputation Finger," 4,095.00 "
Amputation Foot," 6,315.00 "
Amputation Limb," 6,315.00 "
Amputation Toe," 4,095.00 "
"Amputation, finger or thumb, primary or secondary, any joint and phaalanx single including neurotomi"," 2,036.00 "
"Amputation, metatarsal, with toe, single"," 1,393.00 "
"Amputation, metatarsal, with toe, single [MONR]"," 1,393.00 "
Amylase 24H Urine CLS, 96.00 
Amylase Body Fluid MCL, 72.00 
Amylase Level, 96.00 
"ANA Scr, reflex Confirmation MCL", 110.00 
ANA Screen CLS, 171.00 
Anal Fistula Repair," 4,398.00 "
ANES BREATH CIRCUI CHARGE, 137.00 
ANES IV START LINE CHARGE, -   
ANES SUPPLIES CHARGE, 78.00 
ANESTHES AGENTS CHARGE, 94.00 
Anesthesia Unit, 189.00 
Anesthesia Unit, -   
ANESTHETIC CHARGE, -   
ANESTHETIC EQUIP CHARGE, -   
ANESTHETIST UNITS CHARGE, 189.00 
Angiotensin Conv Enz CLS, 137.00 
"Annual Wellness Visit, Initial (AWV)", 205.00 
"Annual Wellness Visit, Subsequent (AWV)", 200.00 
Anoscopy Charge, 189.00 
"Anterior Colporrhaphy, Repair Cystocele w/ or w/o Repair Urethrocele Charge"," 2,401.00 "
Anterior Cruciate Ligament Repair," 5,916.00 "
Anterior Posterior Repair," 10,519.00 "
Anterior Repair," 10,519.00 "
Anterior Resection Low," 10,519.00 "
Anterior Vesicourethropexy/Urethropexy (MMK) Simple Charge," 2,246.00 "
Anti Thrombin III Activity MCL, 117.00 
Anti-A, 117.00 
Antibody Screen Tube, 164.00 
Anti-D, 62.00 
Anti-D, 117.00 
Antinuclear Antibody IFA Confirmation with Titer  MCL, 104.00 
Antistreptolysin O MCL, 104.00 
Anti-Thrombin III CLS, 88.00 
Aph FFP ACDA, 245.00 
Aph Plt ACDA LR Irr," 1,405.00 "
Aph RBC ACDA AS1 LR 2, 529.00 
Aph RBC ACDA AS3 LR, 563.00 
Aph RBC ACDA AS3 LR 1, 563.00 
Aph Thawed Plasma F24RT24, 226.00 
Aph Thawed Plasma F24RT24 C1, 226.00 
Aph Thawed Plasma F24RT24 C2, 226.00 
Aph Thawed Plasma F24RT24 C3, 226.00 
Aph Thawed Plasma F24RT24 C4, 226.00 
Aph Thawed Plasma F24RT24DV, 226.00 
Appendectomy," 5,642.00 "
Appendectomy Charge," 2,104.00 "
Appendectomy Laparoscopic," 7,272.00 "
Appendectomy; for ruptured appendix with abscess or generalized peritonitis," 2,352.00 "
Appendectomy; when done for indicated purpose at time of other major procedure (Not as seperate proc, 269.00 
Applic of Long Arm Splint (Shoulder to Hand) Charge, 210.00 
Applic of Long Leg Splint (Thigh to Ankle or toes) Charge, 161.00 
Applic of Short Arm Splint (Forearm to Hand); Static Charge, 199.00 
Applic of Short Leg Splint (Calf to Foot) Charge, 161.00 
"Applic, Cast; Elbow to Finger (Short Arm) Charge", 255.00 
"Applic, Cast; Shoulder to Hand (Long Arm) Charge", 238.00 
Application of finger splint; static, 79.00 
Application of on-body injector (includes cannula insertion) for timed subcutaneous injection, 47.50 
Application of Short Arm Splint Dynamic, 198.00 
Application of Unna Boot, 170.00 
APPLICATOR COTTON TIP 6IN STERILE, 9.00 
AQUACEL 4X4 HYDROFIBER DRESSING 10/BOX, 26.00 
AQUACEL AG 4X4 HYDROFIBER, 49.00 
AQUACEL RIBBON 3/4  X 18   5/BOX, 39.00 
"Arbovirus & West Nile Ab Panel, Serum CLS", 380.00 
Arbovirus Antibody Titer MCL, 231.00 
ART PUNC/WITHDRAWAL BLOOD, 227.00 
"Arthrocentesis Intermed Joint, Wrist, Elbow, Ankle Med Admin POC", 121.00 
"Arthrocentesis, aspiration and/or injection, major joint or", 136.00 
"Arthrocentesis, Aspirtn and/or Inj; Small Joint or Bursa (eg, Fingers, toes) Charge", 156.00 
Arthroplasty  acetabular and proximal femoral prosthetic replacement  w/wo autograft or allograft," 4,752.00 "
Arthroplasty  knee  condyle and plateau  medial AND lateral compartments w/wo patella resurfacing," 5,077.00 "
Arthroplasty Hip Hemi," 10,352.00 "
Arthroplasty Hip Total Cemented," 11,982.00 "
Arthroplasty Hip Total Non-Cemented," 10,352.00 "
Arthroplasty Knee Total," 10,328.00 "
Arthroplasty Knee Total Bilateral," 12,746.00 "
Arthroplasty Shoulder Total," 9,746.00 "
Arthroscopy  shoulder  surgical  decompression of subacromial space   w/wo coracoacromial release," 2,220.00 "
Arthroscopy Knee," 5,916.00 "
Arthroscopy Shoulder," 5,916.00 "
Arthroscopy Shoulder with Acromioplasty," 5,916.00 "
Arthroscopy Shoulder with Rotator Cuff Repair," 5,916.00 "
"Arthroscopy, Knee, Surgical; Abrasion Arthroplasty Or Multiple Drilling Or Microfracture"," 2,202.00 "
"Arthroscopy, Knee, Surgical; Debridement/Shaving Of Articular Cartilage (Chondroplasty)"," 2,064.00 "
"Arthroscopy, Knee, Surgical; For Infection, Lavage And Drainage"," 1,686.00 "
"Arthroscopy, Knee, Surgical; W/ Meniscectomy-Medial & Lateral, Any Meniscal Shaving"," 2,296.00 "
"Arthroscopy, Knee, Surgical; w/Meniscectomy (Medial or Lateral, w/Any Meniscal Shaving) Charge"," 2,146.00 "
"Arthroscopy, knee, surgical; with meniscal repair (medial/lateral)"," 2,636.00 "
"Arthroscopy, knee, surgical; with meniscus repair (medial OR [MONR]"," 2,198.00 "
"Arthroscopy, Shoulder, Surgical; Debridement, Limited"," 1,911.00 "
"Arthrotomy, ankle, with joint exploration with or without biopsy, with or without removal of loose o"," 1,459.00 "
"Arthrotomy, Knee, With Exploration, Drainage, Or Removal Of Foreign Body (Eg, Infection)"," 2,396.00 "
ASO Titer CLS, 104.00 
Aspartate Aminotransferase, 91.00 
Aspiration of bladder: w/ insert of suprapubic catheter - [MONR], 487.00 
Aspirtn and/or Inj of Ganglion Cyst(s) Any Location Charge, 126.00 
Attended E-Stim Charges, 85.00 
Attended E-Stim Charges, 85.00 
Automated Differential 2, 42.00 
"Avulsion of Nail Plate, Partial or Complete, Simple; Single Charge", 205.00 
BAIR HUGGER FULL BODY, 67.00 
BAIR HUGGER LOWER BODY (10/BOX), 40.00 
BAIR HUGGER UPPER BODY, 41.00 
BALLOON DILATORS (5842), 663.00 
BALLOON DILATORS (5843), 663.00 
BANDAGE ACE 2X5 YDS, 20.00 
BANDAGE ACE 3X5 YDS, 20.00 
BANDAGE ACE 4X5 YDS, 20.00 
BANDAGE ACE 6X5 YDS, 20.00 
BANDAGE ACE STER 2, 9.00 
BANDAGE ACE STER 3, 9.00 
BANDAGE ACE STER 4, 15.00 
BANDAGE ACE STER 6, 18.00 
BANDAGE ESMARK 4 (055513), 12.00 
BANDAGE ESMARK 6 (055515), 17.00 
BANDAGE KERLIX 4 IN, 20.00 
BANDAGE KERLIX 6 IN, 20.00 
BANDAGE KLING 2 IN, 20.00 
BANDAGE KLING 3 IN, 20.00 
BANDAGE KLING 4 IN, 20.00 
BANDAGE KLING 6 IN, 20.00 
BANDAID 2  EXTRA LARGE LF, 20.00 
BARRIER CREME 9979, 74.00 
BARRIER RINGS  (7805), 8.00 
Bartholin Gland Cyst Marsupialization," 3,917.00 "
Bartonella henselae Antibody MCL, 288.00 
BASIC RUN/EMERGEN * Amb Charge," 1,108.00 "
BASIC RUN/NONEMER * Amb Charge, 940.00 
BCR-ABL Gene Rearrangement MCL," 1,217.00 "
BD DEXA Axial Skeleton, 299.00 
BD DEXA Bone Density Scan, 299.00 
Beta 2 Glycoprotein and Cardiolipin Antibodies MCL, 757.00 
Beta 2 Microglobulin MCL, 78.00 
Beta Screen Culture CLS, 88.00 
BETADINE SWABSTICKS 1 S, 20.00 
B-HCG Quant, 219.00 
B-HCG Quant CLS, 242.00 
Bilateral Sacroiliac Joint Steroid Injection," 1,636.00 "
Bilirubin Direct, 78.00 
Bilirubin Total, 78.00 
Bill ABO Typing, 90.00 
Bill After Hrs Fee, 137.00 
Bill Ag Typing T-1, 376.00 
Bill Ag Typing T-2, 272.00 
Bill Antibody ID Each, 208.00 
Bill Antibody Screen, 119.00 
Bill Antibody Titer ARC, 90.00 
Bill Antigen Screen, 33.00 
Bill Blood Group, 90.00 
Bill Blood Irradiation, 280.00 
Bill Creatinine, 45.00 
Bill Cytopath Cell Enhance 88112, 140.00 
Bill Cytopath Fluid 88104, 122.00 
Bill Decal Procedure 88311, 23.00 
Bill Elution Ab 1st w/Chem, 268.00 
Bill Elution Ab Additional, 268.00 
Bill Enzyme Ab Panel, 119.00 
Bill FNA Interp Report 88173, 215.00 
Bill FNA Rapid 88172, 59.00 
Bill FNA Rapid Addtl 88177, 21.00 
Bill Folate, 206.00 
Bill Frozen Section Addtl 88332, 35.00 
Bill Frozen Section First Spec 88331, 102.00 
Bill Handling Fee, 42.00 
Bill Holter Hookup, 530.00 
Bill ID ANA, 153.00 
Bill ID Other, 104.00 
Bill ID Urine, 119.00 
Bill ID., 119.00 
Bill Immunohisto Ea Ab IHC 88342, 197.00 
Bill Immunohisto IHC Tumor 88360, 209.00 
Bill Manual Diff, 61.00 
Bill Microalbumin, 45.00 
Bill Mileage, -   
Bill Misc Send Out, -   
"Bill Path Immunoperoxidase, addl 88341", 164.00 
Bill Pathology Consult 80500, 247.00 
Bill Rh(D) Type, 90.00 
Bill Sensitivity, 128.00 
Bill Surg Level I 88300, 74.00 
Bill Surg Level II 88302, 149.00 
Bill Surg Level III 88304, 154.00 
Bill Surg Level IV 88305, 210.00 
Bill Surg Level V 88307, 469.00 
Bill Surg Level VI 88309, 653.00 
Bill Surg Stains Micro Org 88312, 205.00 
Bill Surg Stains Non-Micro 88313, 164.00 
Bill Touch Prep 88333, 114.00 
Bill Venipuncture, 41.00 
Bill Volume Charge, 50.00 
BINDER ABDOMINAL 30 X45, 98.00 
BINDER ABDOMINAL 46 X62, 98.00 
BINDER ABDOMINAL 56 X72, 98.00 
