,,,
HOSPITAL INPATIENT DRG STANDARD CHARGES - FISCAL YEAR 2018,,,
MDC,MDC Description,Medicare DRG Code & Name, Avg. Standard Charge Per Encounter 
5,Circulatory System,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC MS," $59,513 "
5,Circulatory System,245 - AICD GENERATOR PROCEDURES MS," $124,479 "
5,Circulatory System,246 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTER MS," $126,032 "
5,Circulatory System,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC MS," $98,567 "
5,Circulatory System,248 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ A MS," $92,907 "
5,Circulatory System,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC MS," $72,239 "
5,Circulatory System,250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC MS," $85,037 "
5,Circulatory System,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC MS," $80,179 "
5,Circulatory System,252 - OTHER VASCULAR PROCEDURES W MCC MS," $96,155 "
5,Circulatory System,253 - OTHER VASCULAR PROCEDURES W CC MS," $92,134 "
5,Circulatory System,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC MS," $53,538 "
5,Circulatory System,255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC MS," $62,879 "
5,Circulatory System,256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC MS," $59,281 "
5,Circulatory System,258 - CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC MS," $73,172 "
5,Circulatory System,260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC MS," $112,517 "
5,Circulatory System,261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC MS," $50,682 "
5,Circulatory System,262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC MS," $40,676 "
5,Circulatory System,263 - VEIN LIGATION & STRIPPING MS," $133,457 "
5,Circulatory System,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES MS," $90,668 "
5,Circulatory System,265 - AICD LEAD PROCEDURES MS," $148,780 "
5,Circulatory System,266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC MS," $151,568 "
5,Circulatory System,267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC MS," $119,425 "
5,Circulatory System,268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC MS," $206,318 "
5,Circulatory System,269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC MS," $125,823 "
5,Circulatory System,270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC MS," $194,721 "
5,Circulatory System,271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC MS," $103,975 "
5,Circulatory System,272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC MS," $67,870 "
5,Circulatory System,273 - PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC MS," $173,149 "
5,Circulatory System,274 - PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC MS," $131,354 "
5,Circulatory System,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC MS"," $42,797 "
5,Circulatory System,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC MS"," $30,438 "
5,Circulatory System,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC MS"," $22,222 "
5,Circulatory System,"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC MS"," $92,046 "
5,Circulatory System,"284 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC MS"," $11,398 "
5,Circulatory System,"285 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC MS"," $9,248 "
5,Circulatory System,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC MS"," $81,401 "
5,Circulatory System,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC MS"," $50,368 "
5,Circulatory System,288 - ACUTE & SUBACUTE ENDOCARDITIS W MCC MS," $68,412 "
5,Circulatory System,289 - ACUTE & SUBACUTE ENDOCARDITIS W CC MS," $42,784 "
5,Circulatory System,291 - HEART FAILURE & SHOCK W MCC MS," $31,720 "
5,Circulatory System,292 - HEART FAILURE & SHOCK W CC MS," $22,487 "
5,Circulatory System,293 - HEART FAILURE & SHOCK W/O CC/MCC MS," $20,000 "
5,Circulatory System,294 - DEEP VEIN THROMBOPHLEBITIS W CC/MCC MS," $36,216 "
5,Circulatory System,299 - PERIPHERAL VASCULAR DISORDERS W MCC MS," $57,047 "
5,Circulatory System,300 - PERIPHERAL VASCULAR DISORDERS W CC MS," $30,485 "
5,Circulatory System,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC MS," $23,758 "
5,Circulatory System,302 - ATHEROSCLEROSIS W MCC MS," $27,316 "
5,Circulatory System,303 - ATHEROSCLEROSIS W/O MCC MS," $19,971 "
5,Circulatory System,304 - HYPERTENSION W MCC MS," $30,018 "
5,Circulatory System,305 - HYPERTENSION W/O MCC MS," $25,427 "
5,Circulatory System,306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC MS," $99,243 "
5,Circulatory System,307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC MS," $29,909 "
5,Circulatory System,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC MS," $33,207 "
5,Circulatory System,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC MS," $19,192 "
5,Circulatory System,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC MS," $14,959 "
5,Circulatory System,311 - ANGINA PECTORIS MS," $19,226 "
5,Circulatory System,312 - SYNCOPE & COLLAPSE MS," $23,868 "
5,Circulatory System,313 - CHEST PAIN MS," $21,873 "
5,Circulatory System,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC MS," $44,333 "
5,Circulatory System,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC MS," $34,431 "
5,Circulatory System,316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC MS," $15,701 "
5,Circulatory System,,
6,Digestive System,"326 - STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC MS"," $200,307 "
6,Digestive System,"327 - STOMACH, ESOPHAGEAL & DUODENAL PROC W CC MS"," $82,862 "
6,Digestive System,"328 - STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC MS"," $57,186 "
6,Digestive System,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC MS," $123,759 "
6,Digestive System,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC MS," $62,709 "
6,Digestive System,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC MS," $50,763 "
6,Digestive System,333 - RECTAL RESECTION W CC MS," $94,703 "
6,Digestive System,334 - RECTAL RESECTION W/O CC/MCC MS," $40,658 "
6,Digestive System,335 - PERITONEAL ADHESIOLYSIS W MCC MS," $135,378 "
6,Digestive System,336 - PERITONEAL ADHESIOLYSIS W CC MS," $66,001 "
6,Digestive System,337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC MS," $68,566 "
6,Digestive System,338 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC MS," $55,919 "
6,Digestive System,339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC MS," $64,525 "
6,Digestive System,340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC MS," $46,601 "
