NORTH SHORE MEDICAL CENTER STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
92000122,HC MOTOR &/SENS 13/> NRV CNDJ PRECONF ELTRODE LIMB,"$1,398.00"
92000121,HC MOTOR &/SENS 11-12 NRV CNDJ PRECONF ELTRODE LIMB,"$1,211.00"
92000120,HC MOTOR &/SENS 9-10 NRV CNDJ PRECONF ELTRODE LIMB,"$1,034.00"
92000119,HC MOTOR &/SENS 7-8 NRV CNDJ PRECONF ELTRODE LIMB,$857.00
92000118,HC MOTOR &/SENS 5-6 NRV CNDJ PRECONF ELTRODE LIMB,$653.00
92000117,HC MOTOR &/SENS 3-4 NRV CNDJ PRECONF ELTRODE LIMB,$653.00
92000116,HC MOTOR &/SENS 1-2 NRV CNDJ PRECONF ELTRODE LIMB,$440.00
92000103,HC INHLJ BRNCL CHALLENGE TSTG W/HISTAM/METHACHOL,$735.00
92000098,HC PATCH/APPLICATION TEST SPECIFY NUMBER TESTS,$124.00
92000089,HC SCR C/V CYTOTHINLAYERRESCR,$262.00
92000084,HC SCREEN CERV/VAG THIN LAYER,$197.00
92000080,HC SHORT-LATENCY SOMATOSENS EP STD UPR & LOW LIMB,"$1,427.00"
92000079,HC NEUROMUSCULAR JUNCT TSTG EA NRV ANY 1 METH,$277.00
92000078,HC ORBICULARIS OCULI REFLX ELECTRODIAGNOSTIC TEST,$303.00
92000077,HC VISUAL EP TSTG CNS CHECKERBOARD/FLASH,$554.00
92000073,HC SHORT-LATENCY SOMATOSENS EP STD LWR LIMBS,$647.00
92000072,HC SHORT-LATENCY SOMATOSENS EP STD UPR LIMBS,$662.00
92000067,HC NEEDLE EMG NONEXTREMTY MSCLES W/NERVE CONDUCTION,$364.00
92000066,HC NEEDLE EMG EA EXTREMTY W/PARASPINL AREA COMPLETE,$408.00
92000065,HC NEEDLE EMG EA EXTREMITY W/PARASPINL AREA LIMITED,$267.00
92000052,HC NDL EMG 2 XTR W/WO RELATED PARASPINAL AREAS,$562.00
92000051,HC NDL EMG 1 XTR W/WO RELATED PARASPINAL AREAS,$374.00
92000049,HC DUPLEX SCAN HEMODIALYSIS ACCESS,"$1,453.00"
92000046,HC DUP-SCAN ARTL INFL&VEN O/F PEN VSL COMPL,"$1,225.00"
92000045,HC DUP-SCAN AORTA IVC ILIAC VASCL/BPGS UNI/LMTD,"$1,247.00"
92000044,HC DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE,"$1,744.00"
92000043,HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN LMT,"$1,446.00"
92000042,HC DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN COM,"$2,628.00"
92000040,HC DUP-SCAN XTR VEINS UNILATERAL/LIMITED STUDY,"$1,169.00"
92000039,HC DUP-SCAN XTR VEINS COMPLETE BILATERAL STUDY,"$1,798.00"
92000037,HC DUP-SCAN UXTR ART/ARTL BPGS UNI/LMTD STUDY,"$1,194.00"
92000036,HC DUP-SCAN UXTR ART/ARTL BPGS COMPL BI STUDY,"$1,768.00"
92000035,HC DUP-SCAN LXTR ART/ARTL BPGS UNI/LMTD STUDY,"$1,457.00"
92000034,HC DUP-SCAN LXTR ART/ARTL BPGS COMPL BI STUDY,"$2,242.00"
92000033,HC N-INVAS PHYSIOLOGIC STD LXTR ART COMPL BI,"$1,685.00"
92000032,HC NON-INVASIVE PHYSIOLOGIC STUDY EXTREMITY 3 LEVLS,"$1,346.00"
92000031,HC NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 2 LEVEL,$884.00
92000030,HC NON-INVAS PHYSIOLOGIC STD EXTREMITY ART 2 LEVEL,$884.00
92000024,HC DUPLEX SCAN EXTRACRANIAL ART UNI/LMTD STUDY,"$1,193.00"
92000023,HC DUPLEX SCAN EXTRACRANIAL ART COMPL BI STUDY,"$1,770.00"
92000008,HC ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV EA 30 MIN,$357.00
92000007,HC ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV 1ST HR,$601.00
92000004,HC ELEC ALYS NSTIM PLS GEN SMPL SC/PERPH W/PRGRMG,$349.00
92000003,HC ELEC ALYS NSTIM PLS GEN BRN/SC/PERPH W/O REPRGRM,$152.00
92000002,HC CHOLINESTERASE INHIBITOR CHALLENGE TEST,$386.00
90000124,HC PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,$417.00
90000110,"HC INTENSIVE OUTPATUIENT PSYCHIATRIC SERVICES, PER DIEM",$498.00
90000106,"HC MENTAL HEALTH PARTIAL HOSPITALIZATION, TREATMENT LESS THAN 24 HOURS (HALF DAY)",$497.00
90000105,"HC MENTAL HEALTH PARTIAL HOSPITALIZATION, TREATMENT LESS THAN 24 HOURS (FULL DAY)",$996.00
90000103,HC OFFICE OUTPATIENT ESTAB 46+ MINUTES - PSYCH,$425.00
90000102,HC PSYCH - ESTAB PT - LEVEL 4 VISIT,$302.00
90000101,HC EST PATIENT PSYCH (99213) – MED LEVEL  (21-45 MIN),$193.00
90000100,HC PSYCH - ESTAB PT - LEVEL 2 VISIT,$102.00
90000099,HC EST PATIENT PSYCH (99211) – LOW LEVEL  (< 20 MIN),$102.00
90000087,HC CRISIS INTERVENTION PER HOUR,$279.00
90000066,HC COLLATERAL CONTACT (15 MIN),$42.00
90000057,HC PSYCHOTHERAPY FOR CRISIS EACH ADDL 30 MINUTES,$152.00
90000056,HC PSYCHOTHERAPY FOR CRISIS INITIAL 60 MINUTES,$420.00
90000055,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 60 MIN,$375.00
90000054,HC PSYCHOTHERAPY W/PATIENT 60 MINUTES,$381.00
90000053,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 45 MIN,$233.00
90000052,HC PSYCHOTHERAPY W/PATIENT 45 MINUTES,$253.00
90000051,HC PSYCHOTHERAPY W/PATIENT W/E&M SRVCS 30 MIN,$143.00
90000050,HC PSYCHOTHERAPY W/PATIENT 30 MINUTES,$169.00
90000049,HC PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,$417.00
90000048,HC PSYCHIATRIC DIAGNOSTIC EVALUATION,$407.00
90000045,HC HLTH&BEHAVIOR ASSMT EA 15 MIN W/PT RE-ASSMT,$148.00
90000043,HC STANDARDIZED COGNITIVE PERFORMANCE TESTING,$345.00
90000042,HC NEUROPSYCHOLOG TESTING COMPUTER W/PROF I&R,$331.00
90000041,HC NUROPSYC TSTG WPROF I&R ADMN BY TECH PR HR,$245.00
90000040,HC NUROPSYC TESTING PR HR W/PT & INTERPJ TIME,$509.00
90000039,HC NUBHVL STATUS XM PR HR W/PT INTERPJ&PREPJ,$617.00
90000038,HC DEVELOPMENTAL TESTING W/INTERP & REPORT,$520.00
90000037,HC DEVELOPMENTAL SCREEN W/SCORING & DOC STD INSTRM,$349.00
90000036,HC PSYCHOLOGICAL TESTING COMPUTER W/PROF I&R,$162.00
90000035,HC PSYCHOLOGICAL TESTING ADMN BY TECH PR HR,$256.00
90000034,HC PSYCHOLOGICAL TESTING PR HR WITH PATIENT,$535.00
90000030,HC BIOFEEDBACK TRAINING ANY MODALITY,$169.00
90000027,HC INTERPJ/EXPLNAJ RESULTS PSYCHIATRIC EXAM FAMILY,$120.00
90000026,HC MULTIPLE FAMILY GROUP PSYCHOTHERAPY,$89.00
90000025,HC FAMILY PSYCHOTHERAPY W/PATIENT PRESENT,$228.00
90000024,HC FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT,$256.00
90000022,HC GROUP PSYCHOTHERAPY,$88.00
90000021,HC OPPS/PHP; TRAIN & EDUC SERV,$289.00
90000020,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$224.00
90000019,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$113.00
90000011,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$113.00
90000010,HC OPPS/PHP;ACTIVITY THERAPY,$393.00
90000009,HC ELECTROCONVULSIVE THERAPY,"$1,229.00"
90000004,HC ENVIRONMENTAL IVNTJ MGMT PURPOSES PSYC PT,$181.00
84000014,HC INPATIENT CCPD,"$2,241.00"
84000001,HC DIALYSIS OTHER/THAN HEMODIALYSIS 1 PHYS/QHP EVAL,"$2,241.00"
82000033,HC ESRD EMERGENT HEMODIALYSIS OP,"$4,173.00"
80000003,HC INPATIENT HEMODIALYSIS,"$4,173.00"
77100011,HC ADMIN HEPATITIS B VACCINE (AS 1ST OR SINGLE),$25.00
77100010,HC ADMIN PNEUMOCOCCAL VACCINE (AS EA ADDL),$25.00
77100009,HC ADMIN PNEUMOCOCCAL VACCINE (AS 1ST OR SINGLE),$25.00
77100007,HC ADMIN INFLUENZA VIRUS VAC (AS 1ST OR SINGLE),$25.00
77100004,HC IMADM PRQ ID SUBQ/IM NJXS EA VACCINE,$22.00
77100003,HC IMADM PRQ ID SUBQ/IM NJXS 1 VACCINE,$25.00
77000018,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 60 MIN,$224.00
77000017,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 45 M,$169.00
77000016,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 30 M,$113.00
77000015,HC PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 15 M,$80.00
76200010,HC OBSERVATION CARVE OUT (60000 - 69999) - ENDO/NERVOUS/EYE/AUDITORY,$169.00
76200009,HC OBSERVATION CARVE OUT (50000 - 59999) - URINARY/MALE/FEMALE/MATERNITY,$169.00
76200008,HC OBSERVATION CARVE OUT (10000 - 29999) - INTEGUMENTARY/MUSCULOSKELETAL,$169.00
76200007,HC DIRECT ADMISSION OF PATIENT FOR HOSPITAL OBSERVATION CARE,$139.00
76200006,HC OBSERVATION CARVE OUT - SURGICAL,$169.00
76200005,HC OBSERVATION CARVE OUT - RESPIRATORY,$169.00
76200004,HC OBSERVATION CARVE OUT - CARDIOLOGY,$169.00
76200003,HC OBSERVATION CARVE OUT - DIGESTIVE,$169.00
76200002,HC OBSERVATION CARVE OUT - RADIOLOGY,$169.00
76200001,HC OBSERVATION PER HOUR,$169.00
76102090,HC BONE MARROW ASP SAME SITE AS BX,$903.00
76002481,HC DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,$350.00
76002480,HC THER APHERESIS W/EXTRACORPOREAL IMMUNOADSORPTION,"$8,680.00"
76002472,HC TIBIAL AUGMENTATION,"$1,657.00"
76002397,HC NDSC DCMPRN SPINAL CORD 1 W/LAMOT NTRSPC LUMBAR,"$3,530.00"
76002392,HC NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,"$1,897.00"
76002390,HC NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,"$1,897.00"
76002323,HC NSM DENTAL SURGERY PROCEDURE,"$1,059.00"
76002202,HC RMVL & RPLCMT XTRNL ACCESSIBLE NEPHROURTRL CATH,"$3,698.00"
76002197,HC REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,$60.00
76002193,HC BALLOON DILAT URETERAL STRICTURE W/IMG GID RS&I,$805.00
76002191,HC PLMT URTRL STENT PRQ NEW ACCESS W/SEP NFROS CATH,"$1,547.00"
76002190,HC PLMT URTRL STNT PRQ NEW ACESS W/O SEP NFROS CATH,"$1,223.00"
76002189,HC PLMT URTRL STENT PRQ PRE-EXISTING NFROS TRACT,$947.00
76002188,HC ENDOLUMINAL BX URTR &/RNL PELVIS NONENDOSCOPIC,I.C.
76002187,HC EXCHANGE NEPHROSTOMY CATHETER PRQ W/IMG GID RS&I,$444.00
76002186,HC CONVERT NEPHROSTOMY CATH TO NEPHROURTRL CATH PRQ,$906.00
76002185,HC PLMT NEPHROURETERAL CATH PRQ NEW ACCESS RS&I,"$1,180.00"
76002184,HC PLMT NEPHROSTOMY CATH PRQ NEW ACCESS RS&I,$957.00
76002183,HC NJX PX ANTEGRDE NFROSGRM &/URTRGRM EXSTNG ACESS,$293.00
76002178,HC PERQ SFT TISS LOC DEVICE PLMT ADD LES W/GDNCE,$187.00
76002177,HC PERQ SFT TISS LOC DEVICE PLMT 1ST LES W/GDNCE,$372.00
76002085,HC PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULJ LMBR,"$12,862.00"
76002084,HC PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULATION,"$12,862.00"
76002082,HC PERQ VERTEBROPLASTY UNI/BI INJECTION LUMBOSACRAL,"$6,410.00"
76002081,HC PERQ VERTEBROPLASTY UNI/BI INJX CERVICOTHORACIC,"$8,173.00"
76002078,HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/US,$258.00
76002077,HC ARTHROCENTESIS ASPIR&/INJ MAJOR JT/BURSA W/O US,$573.00
76002076,HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/US,$219.00
76002075,HC ARTHROCENTESIS ASPIR&/INJ INTERM JT/BURS W/O US,$573.00
76002074,HC ARTHROCNT ASPIR&/INJ SMALL JT/BURSAW/US REC RPRT,$193.00
76002073,HC ARTHROCENTESIS ASPIR&/INJ SMALL JT/BURSA W/O US,$573.00
76002072,HC PERQ SAC AGMNTJ BI W/WO BALO/MCHNL DEV 2/> NDLS,"$2,357.00"
76001981,HC BIOPSY SOFT TISSUE NECK/THORAX,"$3,246.00"
76001977,HC PERQ BREAST LOC DEVICE PLACEMT ADD LESIO MR GUID,$274.00
76001976,HC PERQ BREAST LOC DEVICE PLACEMT 1ST LESIO MR GUID,$597.00
76001973,HC IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,$668.00
76001953,HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL,"$10,133.00"
76001952,HC CHEMODENERV TRUNK MUSC 1-5,"$2,259.00"
76001951,HC CHEMODENERV 1 EXTREM 1-4 EA,"$2,259.00"
76001950,HC CHEMODENERV 1 EXTREMITY 1-4,"$2,259.00"
76001949,HC CHEMODENERV MUSC NECK DYSTON,"$1,272.00"
76001947,HC IMAGE CATH FLUID PERI/RETRO,"$3,464.00"
76001946,HC IMAGE CATH FLUID COLXN VISC,"$3,464.00"
76001945,HC VASC EMBOLIZE/OCCLUDE BLEED,"$27,099.00"
76001944,HC VASC EMBOLIZE/OCCLUDE ORGAN,"$27,099.00"
76001943,HC VASC EMBOLIZE/OCCLUDE ARTERY,"$27,099.00"
76001942,HC VASC EMBOLIZE/OCCLUDE VENOUS,"$27,099.00"
76001941,HC OPEN/PERQ PLACE STENT SAME,"$14,118.00"
76001940,HC OPEN/PERQ PLACE STENT 1ST,"$14,118.00"
76001939,HC PERQ DEV BREAST ADD US IMAG,$184.00
76001938,"HC PERQ DEVICE BREAST EA IMAG, US GUIDANCE",$376.00
76001937,"HC PERQ DEVICE BREAST EA IMAG, MAMM GUIDANCE",$213.00
76001936,HC PERQ DEVICE BREAST 1ST IMAG,$438.00
76001935,HC BX BREAST ADD LESION MR IMAG,$386.00
76001934,HC BX BREAST 1ST LESION MR IMAG,"$1,987.00"
76001933,HC BX BREAST ADD LESION US IMAG,$345.00
76001932,HC BX BREAST 1ST LESION US IMAG,"$1,987.00"
76001897,HC CHEST TUBE EXCHANGE,$224.00
76001872,HC GANGLION OF IMPAR BLOCK,"$1,734.00"
76001850,HC CHEMODERVATE FACIAL/TRIGEM/CERV MUSC MIGRAINE,$573.00
76001844,HC ASPIRATION BLADDER INSERT SUPRAPUBIC CATHETER,"$4,019.00"
76001835,HC CESSATION THROMBOLYTIC THRPY W/CATHETER REMOVAL,$642.00
76001834,HC THROMBOLYSIS ART/VENOUS INFSN W/IMAGE SUBSQ TX,"$1,086.00"
76001833,HC THROMBOLYSIS VENOUS INFUSION W/IMAGING INIT TX,"$1,558.00"
76001832,HC THROMBOLYSIS ARTERIAL INFUSION W/IMAGING INIT TX,"$1,765.00"
76001831,HC PRQ TRANSCATHETER RTRVL INTRVAS FB WITH IMAGING,"$1,351.00"
76001814,HC PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,"$2,280.00"
76001813,HC PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,"$1,374.00"
76001812,HC THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,"$1,374.00"
76001811,HC THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,"$1,374.00"
76001795,HC INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,$275.00
76001782,HC PERQ CRYOABLATION BONE,"$2,892.00"
76001764,HC ILIAC ART ANGIOCARDIAC CATH,$818.00
76001723,HC TRLUML PERIPHERAL ATHERECTOMY ILIAC ARTERY EA,"$14,043.00"
76001706,HC PERQ SAC AGMNTJ BI W/WO BALO/MCHNL DEV 2/> NDLS,"$2,357.00"
76001705,HC PERQ SAC AGMNTJ UNI W/WO BALO/MCHNL DEV 1/> NDL,"$7,294.00"
76001697,HC ANOGENITAL XM W/COLPOSCOPY CHILD/SUSPECT TRAUMA,$387.00
76001696,HC NEG PRESSURE WOUND THERAPY DME > 50 SQ CM,$156.00
76001695,HC NEG PRESSURE WOUND THERAPY DME </= 50 SQ CM,$146.00
76001694,HC RMVL DEVITAL TISS N-SLCTV DBRDMT W/O ANES 1 SESS,$154.00
76001693,HC DEBRIDEMENT OPEN WOUND EACH ADDITIONAL 20 SQ CM,$159.00
76001692,HC DEBRIDEMENT OPEN WOUND 20 SQ CM/<,$703.00
76001675,HC NASOPHARYNGOSCOPY W/ENDOSCOPE SPX,$453.00
76001671,HC TYMPANOSTOMY LOCAL/TOPICAL ANESTHESIA,"$1,543.00"
76001668,HC RMVL IMPACTED CERUMEN SPX UNILATERAL,$151.00
76001667,HC RMVL FB XTRNL AUDITORY CANAL ANES,"$4,918.00"
76001666,HC RMVL FB XTRNL AUDITORY CANAL W/O ANES,$232.00
76001664,HC EXCISION EXTERNAL EAR PARTIAL SIMPLE REPAIR,"$3,246.00"
76001663,HC BIOPSY EXTERNAL EAR,$739.00
76001662,HC DRAINAGE EXTERNAL AUDITORY CANAL ABSCESS,$599.00
76001661,HC DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA CMPLX,"$2,392.00"
76001660,HC DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE,$478.00
76001658,HC PROBE NASOLACRIMAL DUCT W/WO IRRIGATION,$893.00
76001655,HC SNIP INCISION LACRIMAL PUNCTUM,$723.00
76001652,HC EXCISION LESION CONJUNCTIVA > 1 CM,"$4,105.00"
76001651,HC EXCISION LESION CONJUNCTIVA </1 CM,"$3,389.00"
76001650,HC BIOPSY CONJUNCTIVA,"$1,823.00"
76001649,HC EXCISION & REPAIR EYELID ONE-FOURTH LID MARGIN,"$4,105.00"
76001648,HC EXCISION & REPAIR EYELID > ONE-FOURTH LID MARGIN,"$4,105.00"
76001647,HC REMOVAL EMBEDDED FOREIGN BODY EYELID,$515.00
76001644,HC REPAIR ENTROPION EXCISION TARSAL WEDGE,"$4,105.00"
76001643,HC REPAIR ENTROPION SUTURE,"$4,105.00"
76001642,HC REPAIR ECTROPION EXTENSIVE,"$4,105.00"
76001641,HC REPAIR ECTROPION EXCISION TARSAL WEDGE,"$4,105.00"
76001639,HC EXC LESION EYELID W/O CLSR/W/SIMPLE DIR CLOSURE,"$1,823.00"
76001635,HC INCISIONAL BIOPSY EYELID SKIN & LID MARGIN,$723.00
76001634,HC EXCISION CHALAZION SINGLE,$723.00
76001632,HC BLEPHAROTOMY DRAINAGE ABSCESS EYELID,$723.00
76001631,HC ORBITOTOMY W/O BONE FLAP EXPL W/DRAINAGE ONLY,"$5,626.00"
76001630,HC TREATMENT EXTENSIVE RETINOPATHY PHOTOCOAGULATION,"$4,030.00"
76001629,HC DSTRJ LESION CHOROID PHOTODYNAMIC THERAPY,"$1,217.00"
76001628,HC DSTRJ LOCLZD LES RETINA 1/> SESS PC,"$2,424.00"
76001626,HC RPR RETINAL DTCHMNT INJECTION AIR/OTHER GAS,"$4,856.00"
76001625,HC RPR RETINAL DTCHMNT 1/> SES PC INCL SUBRETI DRG,"$2,336.00"
76001624,HC RPR RETINAL DTCHMNT 1/>SES CRYOTX/DTHRM W/WO DR,"$4,856.00"
76001622,HC POST-CATARACT LASER SURGERY,"$1,212.00"
76001620,HC IRIDOPLASTY PHOTOCOAGULATION 1/> SESSIONS,"$1,547.00"
76001619,HC IRIDOTOMY STAB INC SPX XCP TRANSFIXION,"$1,321.00"
76001618,HC REVJ/RPR OPRATIVE WOUND ANTERIOR SEGMENT,"$3,379.00"
76001617,HC TRABECULOPLASTY BY LASER SURGERY,"$1,212.00"
76001613,HC CRNL RELAXING INC CORRJ INDUCED ASTIGMATISM,"$3,379.00"
