Charge Description,Charge Amount
EMER DEPT LEVEL 2       ,692.75
ANES MAC                ,710.25
INTUBATION ENDO EMERG   ,897.25
ANES LOCAL              ,"1,218.50"
EMER DEPT LEVEL 3       ,"1,391.50"
PROCEDURE CATEGORY 2    ,"1,602.75"
ANES REGIONAL           ,"1,642.00"
PROCEDURE CATEGORY 2    ,"1,703.25"
OR L&D LEVEL I 1ST HR   ,"1,931.00"
ROOM BOARD PVT OB       ,"1,952.00"
ROOM BOARD PVT          ,"1,952.00"
PROCEDURE CATEGORY 3    ,"2,122.00"
PROCEDURE CATEGORY 3    ,"2,168.00"
BIRTHING                ,"2,374.25"
ANES GENERAL 1ST HR     ,"2,420.75"
EMER DEPT LEVEL 4       ,"2,537.50"
OR L&D LEVEL II 1ST HR  ,"2,785.75"
OB STEP DOWN            ,"4,914.00"
EMER DEPT LEVEL 5       ,"5,145.00"
DIRECT REFERRAL TO OBS  ,67
IMMUNIZ ADMIN SGL       ,76.5
IV EACH ADD HOUR        ,151.75
IV INITIAL UP TO 1 HOUR ,369.5
IV HYDRAT INIT UP TO 1HR,378.75
CIU                     ,"5,164.00"
2E STEPDOWN             ,"5,604.00"
POST/CCU                ,"5,804.00"
NEWBORN CARE            ,"1,052.00"
OB PRIVATE              ,"1,952.00"
CONTINUING CARE         ,"8,070.00"
DIRECT REFERRAL TO OBS  ,539.75
IMMUNIZ ADMIN EA ADDTL  ,77
RM/BD PRIVATE 3G        ,"2,225.00"
ROOM-BOAR/ISOL          ,"5,185.00"
DIRECT REFERRAL TO OBS  ,68.75
OBSERVATION HOURS       ,71.25
RM/BD PRIVATE           ,"2,225.00"
ROOM-BOARD/ISOL         ,"5,185.00"
RELATED DONOR BMT       ,"14,866.25"
CORD RELATED TRANSPLANT ,"53,080.25"
UNRELATED DONOR BMT     ,"122,201.25"
ADMIN INFLUENZA VACCINE ,67
ROOM BOARD PVT          ,"2,225.00"
ROOM-BOARD/EMU          ,"5,185.00"
ROOM-BOARD/ISOL         ,"4,986.00"
ROOM/BOARD PVT 4NSUR    ,"2,225.00"
ISOLATION 4NSUR         ,"2,225.00"
BLOOD TRANSFUSION       ,846
ROOM BOARD PRIVATE 10E  ,"2,225.00"
ROOM/BOARD ISOL         ,"2,225.00"
ROOM/BOARD PRIVATE      ,"2,225.00"
OBS PER HOUR            ,68.5
DIRECT REFERRAL TO OBS  ,68.5
ROOM-BOARD PVT          ,"2,225.00"
SURG/ONCOLOGY STEPDOWN  ,"5,604.00"
OBSERVATION HOUR        ,68.5
IVP SINGLE/INITIAL DRUG ,152
CVVHD PER ADL DAY       ,979.25
CVVHD FIRST DAY         ,"3,673.25"
INTERMEDIATE ICU        ,"5,804.00"
RM BOARD CORONARY CARE  ,"13,009.00"
INTENSIVE CARE TRAUMA   ,"13,529.00"
INTENSIVE CARE          ,"13,529.00"
DIRECT REFERRAL TO OBS  ,132.75
OBS PER HOUR            ,132.75
ROOM-BOARD/PV           ,"2,225.00"
IMMUNIZ ADMIN SGL       ,76.25
IMMUNIZ ADMIN EA ADDTL  ,76.25
ROOM/BOARD PVT          ,"2,225.00"
RM/BD PVT 4NGNUR        ,"2,225.00"
8E/8W STEPDOWN          ,"5,604.00"
PICU ROOM AND BOARD PVT ,"2,186.00"
PICU STEP-DOWN          ,"5,504.00"
PICU BURN UNIT ACUTE    ,"12,091.00"
PICU TRAUMA             ,"12,573.00"
PICU PEDS INTENSIVE CARE,"12,573.00"
ECMO PER HR             ,569
ECMO REMVL ASSIST DEVICE,"11,047.00"
ECMO ASSIST DEV REPOSIT ,"12,152.00"
ROOM/BOARD PRIVATE      ,"2,186.00"
STEPDOWN                ,"5,504.00"
RM BOARD CORONARY CARE  ,"12,782.00"
INTENSIVE CARE          ,"13,292.00"
OBS PER HOUR            ,72.5
DIRECT REFERRAL TO OBS  ,72.5
ROOM-BOARD PVT          ,"2,186.00"
STEP DOWN               ,"5,504.00"
CORONARY CARE UNIT      ,"12,782.00"
ROOM/BOARD PVT          ,"2,186.00"
OBSERVATION HOUR        ,72.5
IMMUNIZ ADMIN SGL       ,80.75
IMMUNIZ ADMIN EA ADDTL  ,80.75
INJECTION IM OR SQ/SD GY,81.25
INJECTION IM OR SQ      ,81.25
IVP SINGLE/INITIAL DRUG ,160.5
IV EACH ADD HOUR        ,160.75
IVP EA ADD SEQ NEW DRUG ,160.75
IVP EA ADD SEQ SAME DRUG,160.75
INJECTION INTRA-ARTERIAL,166.25
IV HYDRAT EA ADD HR     ,202
IV ADDL SEQ INF UP TO 1H,202
IV CONCURRENT INFUSION  ,202
NDL/INCATH VEIN         ,336.5
IV INITIAL UP TO 1 HOUR ,390.75
IV HYDRAT INIT UP TO 1HR,400.25
ROOM-BOARD/PVT          ,"2,186.00"
INTENSIVE CARE          ,"12,782.00"
OT MOBILITY CUR STAT 100,0.01
OT MOBILITY GOAL STAT 0 ,0.01
OT MOBILITY GOAL STAT 1 ,0.01
OT MOBILITY GOAL STAT 20,0.01
OT MOBILITY GOAL STAT 40,0.01
OT MOBILITY GOAL STAT 60,0.01
OT MOBILITY GOAL STAT 80,0.01
OT MOBILITY GL STAT 100 ,0.01
OT MOBILITY DC STAT 0   ,0.01
OT MOBILITY DC STAT 1   ,0.01
OT MOBILITY DC STAT 20  ,0.01
OT MOBILITY DC STAT 40  ,0.01
OT MOBILITY DC STAT 60  ,0.01
OT MOBILITY DC STAT 80  ,0.01
OT MOBILITY DC STAT 100 ,0.01
OT BODY POS CURR STAT 0 ,0.01
OT BODY POS CURR STAT 1 ,0.01
OT BODY POS CURR STAT 20,0.01
OT BODY POS CURR STAT 40,0.01
OT BODY POS CURR STAT 60,0.01
OT BODY POS CURR STAT 80,0.01
OT BODY POS CUR STAT 100,0.01
OT BODY POS GOAL STAT 0 ,0.01
OT BODY POS GOAL STAT 1 ,0.01
OT BODY POS GOAL STAT 20,0.01
OT BODY POS GOAL STAT 40,0.01
OT BODY POS GOAL STAT 60,0.01
OT BODY POS GOAL STAT 80,0.01
OT BODY POS GL STAT 100 ,0.01
OT BODY POS DC STAT 0   ,0.01
OT BODY POS DC STAT 1   ,0.01
OT BODY POS DC STAT 20  ,0.01
OT BODY POS DC STAT 40  ,0.01
OT BODY POS DC STAT 60  ,0.01
OT BODY POS DC STAT 80  ,0.01
OT BODY POS DC STAT 100 ,0.01
OT CARRY CURRENT STAT 0 ,0.01
OT CARRY CURRENT STAT 1 ,0.01
OT CARRY CURRENT STAT 20,0.01
OT CARRY CURRENT STAT 40,0.01
OT CARRY CURRENT STAT 60,0.01
OT CARRY CURRENT STAT 80,0.01
OT CARRY CURR STAT 100  ,0.01
OT CARRY GOAL STAT 0    ,0.01
OT CARRY GOAL STAT 1    ,0.01
OT CARRY GOAL STAT 20   ,0.01
OT CARRY GOAL STAT 40   ,0.01
OT CARRY GOAL STAT 60   ,0.01
OT CARRY GOAL STAT 80   ,0.01
OT CARRY GOAL STAT 100  ,0.01
OT CARRY DC STAT 0      ,0.01
OT CARRY DC STAT 1      ,0.01
OT CARRY DC STAT 20     ,0.01
OT CARRY DC STAT 40     ,0.01
OT CARRY DC STAT 60     ,0.01
OT CARRY DC STAT 80     ,0.01
OT CARRY DC STAT 100    ,0.01
OT SELF CARE CURR STAT 0,0.01
OT SELF CARE CURR STAT 1,0.01
OT SELF CARE CUR STAT 20,0.01
OT SELF CARE CUR STAT 40,0.01
OT SELF CARE CUR STAT 60,0.01
OT SELF CARE CUR STAT 80,0.01
OT SLF CARE CUR STAT 100,0.01
OT SELF CARE GOAL STAT 0,0.01
OT SELF CARE GOAL STAT 1,0.01
OT SLF CARE GOAL STAT 20,0.01
OT SLF CARE GOAL STAT 40,0.01
OT SLF CARE GOAL STAT 60,0.01
OT SLF CARE GOAL STAT 80,0.01
OT SELF CARE GL STAT 100,0.01
OT SELF CARE DC STAT 0  ,0.01
OT SELF CARE DC STAT 1  ,0.01
OT SELF CARE DC STAT 20 ,0.01
OT SELF CARE DC STAT 40 ,0.01
OT SELF CARE DC STAT 60 ,0.01
OT SELF CARE DC STAT 80 ,0.01
OT SELF CARE DC STAT 100,0.01
OT OTH PT/OT CURR STAT 0,0.01
OT OTH PT/OT CURR STAT 1,0.01
OT OTH PT/OT CUR STAT 20,0.01
OT OTH PT/OT CUR STAT 40,0.01
OT OTH PT/OT CUR STAT 60,0.01
OT OTH PT/OT CUR STAT 80,0.01
OT OTH PT/OT CUR STA 100,0.01
OT OTH PT/OT GOAL STAT 0,0.01
OT OTH PT/OT GOAL STAT 1,0.01
OT OTH PT/OT GL STAT 20 ,0.01
OT OTH PT/OT GL STAT 40 ,0.01
OT OTH PT/OT GL STAT 60 ,0.01
OT OTH PT/OT GL STAT 80 ,0.01
OT OTH PT/OT GL STAT 100,0.01
OT OTH PT/OT DC STAT 0  ,0.01
OT OTH PT/OT DC STAT 1  ,0.01
OT OTH PT/OT DC STAT 20 ,0.01
OT OTH PT/OT DC STAT 40 ,0.01
OT OTH PT/OT DC STAT 60 ,0.01
OT OTH PT/OT DC STAT 80 ,0.01
OT OTH PT/OT DC STAT 100,0.01
OT SUB PT/OT CURR STAT 0,0.01
OT SUB PT/OT CURR STAT 1,0.01
OT SUB PT/OT CUR STAT 20,0.01
OT SUB PT/OT CUR STAT 40,0.01
OT SUB PT/OT CUR STAT 60,0.01
OT SUB PT/OT CUR STAT 80,0.01
OT SUB PT/OT CUR STA 100,0.01
OT SUB PT/OT GOAL STAT 0,0.01
OT SUB PT/OT GOAL STAT 1,0.01
OT SUB PT/OT GL STAT 20 ,0.01
OT SUB PT/OT GL STAT 40 ,0.01
OT SUB PT/OT GL STAT 60 ,0.01
OT SUB PT/OT GL STAT 80 ,0.01
OT SUB PT/OT GL STAT 100,0.01
OT SUB PT/OT DC STAT 0  ,0.01
OT SUB PT/OT DC STAT 1  ,0.01
OT SUB PT/OT DC STAT 20 ,0.01
OT SUB PT/OT DC STAT 40 ,0.01
OT SUB PT/OT DC STAT 60 ,0.01
OT SUB PT/OT DC STAT 80 ,0.01
OT SUB PT/OT DC STAT 100,0.01
OT SWALLOW CURR STAT 0  ,0.01
OT SWALLOW CURR STAT 1  ,0.01
OT SWALLOW CURR STAT 20 ,0.01
OT SWALLOW CURR STAT 40 ,0.01
OT SWALLOW CURR STAT 60 ,0.01
OT SWALLOW CURR STAT 80 ,0.01
OT SWALLOW CURR STAT 100,0.01
OT SWALLOW GOAL STAT 0  ,0.01
OT SWALLOW GOAL STAT 1  ,0.01
OT SWALLOW GOAL STAT 20 ,0.01
OT SWALLOW GOAL STAT 40 ,0.01
OT SWALLOW GOAL STAT 60 ,0.01
OT SWALLOW GOAL STAT 80 ,0.01
OT SWALLOW GOAL STAT 100,0.01
OT SWALLOW DC STAT 0    ,0.01
OT SWALLOW DC STAT 1    ,0.01
OT SWALLOW DC STAT 20   ,0.01
OT SWALLOW DC STAT 40   ,0.01
OT SWALLOW DC STAT 60   ,0.01
OT SWALLOW DC STAT 80   ,0.01
OT SWALLOW DC STAT 100  ,0.01
OT ATTEN CURRENT STAT 0 ,0.01
OT ATTEN CURRENT STAT 20,0.01
OT ATTEN CURRENT STAT 1 ,0.01
OT ATTEN CURRENT STAT 40,0.01
OT ATTEN CURRENT STAT 60,0.01
OT ATTEN CURRENT STAT 80,0.01
OT ATTEN CURRNT STAT 100,0.01
OT ATTEN GOAL STAT 0    ,0.01
OT ATTEN GOAL STAT 1    ,0.01
OT ATTEN GOAL STAT 20   ,0.01
OT ATTEN GOAL STAT 40   ,0.01
OT ATTEN GOAL STAT 60   ,0.01
OT ATTEN GOAL STAT 80   ,0.01
OT ATTEN GOAL STAT 100  ,0.01
OT ATTEN DC STAT 0      ,0.01
OT ATTEN DC STAT 1      ,0.01
OT ATTEN DC STAT 20     ,0.01
OT ATTEN DC STAT 40     ,0.01
OT ATTEN DC STAT 60     ,0.01
OT ATTEN DC STAT 80     ,0.01
OT ATTEN DC STAT 100    ,0.01
OT MEMORY CURRENT STAT 0,0.01
OT MEMORY CURRENT STAT 1,0.01
OT MEMORY CURR STAT 20  ,0.01
OT MEMORY CURR STAT 40  ,0.01
OT MEMORY CURR STAT 60  ,0.01
OT MEMORY CURR STAT 80  ,0.01
OT MEMORY CURR STAT 100 ,0.01
OT MEMORY GOAL STAT 0   ,0.01
OT MEMORY GOAL STAT 1   ,0.01
OT MEMORY GOAL STAT 20  ,0.01
OT MEMORY GOAL STAT 40  ,0.01
OT MEMORY GOAL STAT 60  ,0.01
OT MEMORY GOAL STAT 80  ,0.01
OT MEMORY GOAL STAT 100 ,0.01
OT MEMORY DC STAT 0     ,0.01
OT MEMORY DC STAT 1     ,0.01
OT MEMORY DC STAT 20    ,0.01
OT MEMORY DC STAT 40    ,0.01
OT MEMORY DC STAT 60    ,0.01
OT MEMORY DC STAT 80    ,0.01
OT MEMORY DC STAT 100   ,0.01
OT MOBILITY CURR STAT 0 ,0.01
OT MOBILITY CURR STAT 1 ,0.01
OT MOBILITY CURR STAT 20,0.01
OT MOBILITY CURR STAT 40,0.01
OT MOBILITY CURR STAT 60,0.01
THER PROCEDURES GROUP OT,240.75
PSYTX 30MIN PT/FAM      ,343.75
PSYTX GROUP (NOT FAMILY),363.75
GP EDUC/SKILL BLD       ,363.75
GP ACTIVITY THERAPY     ,363.75
PSYTX FAMILY W PATIENT  ,397.75
PSYTX FAMILY WO PATIENT ,397.75
PSYTX 45MIN PT/FAM      ,526.5
INTERACTIVE COMPLEXITY  ,526.75
GEROPSYCH SEMI PRIVATE  ,"1,334.00"
PSY ROOM ADULT          ,"2,811.00"
OBS PER HOUR            ,68.75
GYN PRIVATE             ,"1,952.00"
NEWBORN CARE            ,"1,288.00"
CONTINUING CARE         ,"4,036.00"
INTERMEDIATE CARE       ,"8,070.00"
NICU CRITICAL CARE      ,"10,335.00"
CONTINUING CARE         ,"6,849.00"
NICU CRITICAL CARE      ,"11,576.00"
BONE MARROW ICU         ,"5,371.00"
UNRLTD DON LYMPHOCYTE DO,"17,121.50"
UNRLTD DON LYMPHOCYTE FO,"21,197.25"
STEPDOWN                ,"5,185.00"
VENIPUNCTURE            ,10.75
INJECTION IM OR SQ/SD GY,75
THERAPEUTIC PHLEB       ,106.25
IRRIGATION OF VAD       ,149.5
COLL BLOOD CATHETER NOS ,177.5
IV EACH ADD HOUR        ,191.25
PROCEDURE CATEGORY 1    ,242
CHEMO SQ/IM W/WO LOCAL  ,282
REFILL/MAINT PORT PUMP  ,362.75
REFIL/MAIN PORT DRG DL  ,362.75
COLL BLOOD IMPLANTED VAD,399
CHEMO IV PUSH           ,495.75
CHEMO IV PUSH EA ADD DRG,495.75
CHEMO IV EA ADD HOUR    ,627
CHEMO IV EA ADD SEQ 1 HR,627
PROCEDURE CATEGORY 2    ,684
CHEMO INF UP TO 1H      ,756.25
CHEM INF>8H REQ PUMP    ,877.25
DECLOT VAD THROMB AGENT ,945.25
CHEMO CNS SPINAL PUNC   ,"1,441.25"
PROCEDURE CATEGORY 3    ,"1,699.75"
XR FLUOROSCOPY 0-60 MIN ,"1,430.50"
OR LITHO ADDL 30 MIN    ,"3,042.75"
OR MINOR ADDL 30 MIN    ,"3,740.00"
OR MAJOR ADDL 30 MIN    ,"5,333.50"
OTOLARYNGOL EXAM W ANES ,"6,937.75"
OPTHALM EAXM W ANES     ,"6,937.75"
OR MAJOR INT ADDL 30 MIN,"7,203.50"
OR MINOR 1ST HR         ,"7,215.50"
OR CARDIOTHOR ADDL 30M  ,"8,509.50"
OR MAJ TRAUMA EA ADD 30M,"9,002.25"
OR MAJ INT TRM EA AD 30M,"9,002.25"
OR MAJOR 1ST HR         ,"9,572.50"
AU EVO PO AND/OR CNS COM,"9,969.75"
OR CRDTHR TRM EA AD 30M ,"10,635.00"
OR MAJOR INTENSIVE 1ST H,"14,148.75"
OR MAJ TRAUMA 1ST HR    ,"14,150.00"
OR CARDIOTHOR 1ST HR    ,"16,589.00"
OR MAJ INT TRAUMA 1ST HR,"17,684.00"
OR CARDTHR TRAUMA 1ST HR,"20,731.50"
HUMAN EYE TISSUE CORNEAL,"26,820.75"
OR LITHO 1ST HR         ,"32,096.25"
PROCEDURE CATEGORY 2    ,"1,238.50"
XR FLUOROSCOPY 0-60 MIN ,"1,404.00"
PROCEDURE CATEGORY 3    ,"3,072.25"
OR MINOR ADDL 30 MIN    ,"3,673.00"
OR MAJOR ADDL 30 MIN    ,"5,238.50"
OTOLARYNGOL EXAM W ANES ,"6,814.25"
OPTHALM EXAM W ANES     ,"6,814.25"
OR MAJOR INT ADDL 30 MIN,"7,074.75"
OR MINOR 1ST HR         ,"7,087.25"
OR CARDIOTHOR ADDL 30 M ,"8,357.75"
OR MAJ TRAUMA EA ADD 30M,"8,840.75"
OR MAJ INT TRM EA AD 30M,"8,840.75"
OR MAJOR 1ST HR         ,"9,402.75"
AU EVO PO AND/OR CNS COM,"9,791.25"
OR CRDTHR TRM EA AD 30M ,"10,044.25"
"UNLISTED, DENTOALVEOLAR ","10,760.25"
OR MAJOR INTENSIVE 1ST H,"13,895.50"
OR MAJ TRAUMA 1ST HR    ,"13,897.25"
OR CARDIOTHOR 1ST HR    ,"16,292.00"
OR MAJ INT TRAUMA 1ST HR,"17,369.50"
OR CARDTHR TRAUMA 1ST HR,"19,578.00"
OR LITHO ADDL 30 MIN    ,"30,604.25"
OR LITHO 1ST HR         ,"34,249.25"
PROCEDURE CATEGORY 2    ,985.5
PACU ACUITY II ADDL 30M ,"1,202.25"
PACU ACUITY I           ,"1,624.75"
PACU ACUITY II 1ST HR   ,"2,948.50"
ELECTROCONVULSIVE THER  ,"4,147.00"
NARCOSYNTHESIS          ,"8,519.50"
PST AMB PROC 15 MIN     ,239.5
BASIC PAIN MGMT 15 MIN  ,62.75
INTERMED PAIN MGMT 15MIN,103
OP VISIT LEVEL 1 EST    ,153
POST AMB PROC 15 MIN    ,262.5
ANES GENERAL ADDL 30MIN ,444.75
ANES MAC                ,697.5
PAIN MGT LEVEL 1        ,801
PROCEDURE CATEGORY 2    ,869
XR FLUOROSCOPY 0-60 MIN ,991
PACU ACUITY II ADDL 30M ,"1,019.75"
ANES LOCAL              ,"1,196.75"
PUNCTURE LUMBAR DX      ,"1,277.00"
PACU ACUITY I           ,"1,377.75"
ANES REGIONAL           ,"1,612.25"
PAIN MGT LEVEL 2        ,"1,914.00"
OR LITHO ADDL 30 MIN    ,"2,214.50"
ANES GENERAL 1ST HR     ,"2,377.25"
PACU ACUITY II 1ST HR   ,"2,500.75"
OR MINOR ADDL 30 MIN    ,"2,592.00"
ENDO CATEGORY 1         ,"2,783.50"
ELECTROCONVULSIVE THER  ,"3,517.75"
INJ SACIL JNT ARTHRO  LT,"3,586.75"
INJ SACIL JNT ARTHRO  RT,"3,586.75"
INJ SACIL JOINT ARTHRO  ,"3,586.75"
INJ SI ANES/STD/TH AG LT,"3,586.75"
INJ SI ANES/STD/TH AG RT,"3,586.75"
INJ SI ANES/STD/TH AG   ,"3,586.75"
OR MAJOR ADDL 30 MIN    ,"3,696.75"
ENDO CATEGORY 2         ,"4,634.00"
OTOLARYNGOL EXAM W ANES ,"4,809.00"
OPTHALM EAXM W ANES     ,"4,809.00"
OR MAJOR INT ADDL 30 MIN,"4,992.75"
OR MINOR 1ST HR         ,"5,001.25"
OR CARDIOTHOR ADDL 30 M ,"5,671.00"
ENDO CATEGORY 3         ,"5,930.50"
OR MAJ TRAUMA EA ADD 30M,"5,999.50"
OR MAJ INT TRM EA AD 30M,"5,999.50"
OR MAJOR 1ST HR         ,"6,635.00"
AU EVO PO AND/OR CNS COM,"6,910.00"
OR CRDTHR TRM EA AD 30M ,"7,087.75"
NARCOSYNTHESIS PSY DX/TX,"7,226.00"
PAIN MGT LEVEL 3        ,"7,432.00"
ENDO CATEGORY 4         ,"7,781.50"
OR MAJ TRAUMA 1ST HR    ,"9,430.25"
OR MAJOR INTENSIVE 1ST H,"9,806.75"
OR CARDIOTHOR 1ST HR    ,"11,055.75"
OR MAJ INT TRAUMA 1ST HR,"11,785.75"
TU DESTR PROSTATE MCWV  ,"13,807.25"
OR CARDTHR TRAUMA 1ST HR,"13,816.75"
OR LITHO 1ST HR         ,"23,360.50"
HUMAN EYE TISSUE CORNEAL,"25,312.00"
IRRIGATION OF VAD       ,167.25
COLL BLOOD IMPLANTED VAD,313
DECLOT VAD THROMB AGENT ,887
REM TUN VAD W/O PP      ,"1,824.50"
REM TUN VAD W/PP        ,"1,824.50"
INS P CVAD WO PP 5 + YR ,"2,927.00"
REPLC PICC              ,"2,927.00"
REPOSITION CVC W/FLUORO ,"2,927.00"
INSERT TUN PICC >5YRS   ,"5,938.25"
INVESTIGATIONAL MED     ,0.25
PROPOFOL 10 MG INJ      ,0.41
BENZONATATE 200 MG CAP  ,0.75
CAFFEINE 200 MG TAB     ,0.75
PRAMIPEXOLE 0.5 MG TAB  ,0.75
NF HC                   ,1
NF IV SOLUTION          ,1
NF DRUG                 ,1
CHOLECALC ORAL LIQUID   ,1
CHOLECALC 1000 UNIT TAB ,1
GUAIFENESIN 20 MG/ML    ,1
IBUPROFEN 200 MG SOFTGEL,1
MAG PLUS PROTEIN TAB    ,1
PREDNISONE 2.5 MG PO    ,1
NAC CAP 600 MG          ,1.25
NIACIN CAP SR 500 MG    ,1.25
PACLITAXEL 1 MG INJ     ,1.25
BUPROPION XL 150 MG TAB ,1.25
"CHOLECALCIFEROL 10,000 U",1.25
HYDROMORPHONE 0.2 MG/ML ,1.25
CLONAZEPAM 0.125MG ODT  ,1.25
ALBUTEROL 2.5 MG/3 ML   ,1.25
PREDNISONE 5 MG PO      ,1.25
PREDNISONE 10 MG PO     ,1.25
PREDNISONE 20 MG PO     ,1.25
PREDNISONE IR/DR 1 MG PO,1.25
ACETAMINOPHEN 10MG INJ  ,1.25
ACETAMINOPHEN 10MG INJJW,1.25
LEVOFLOXACIN TAB 250 MG ,1.5
FOLIC ACID TAB 4 MG     ,1.5
BUSPIRONE TAB 15 MG     ,1.5
HYDROXYUREA 40MG/ML UDL ,1.5
CARVEDILOL 1.67MG/ML UDL,1.5
TOPIRAMATE 6 MG/ML UDL  ,1.5
SOD CHL 3% 4 ML         ,1.5
PRAVASTATIN TAB 40 MG   ,1.5
ACETAMINOPHEN 10MG INJ  ,1.5
ONDANSETRON 4 MG PO     ,1.5
FLORASTOR 250 MG CAP    ,1.5
CHLORHEXIDINE 15 ML MW  ,1.5
NEVIRAPINE 10 MG/ML SUSP,1.5
PREDNISONE 50 MG PO     ,1.5
SOD CHL 3% 15 ML        ,1.5
GLUCOSAMINE TAB 500 MG  ,1.75
AQUADEKS PED DROPS 1 ML ,1.75
GAVISCON ORAL SUSP 30 ML,1.75
MINERAL OIL 10 ML       ,1.75
ONDANSETRON 8 MG PO     ,1.75
GLYCOPYRR 0.2 MG/ML ORAL,1.75
ABACAVIR ORAL 20MG/ML   ,1.75
EMTRICITAB ORAL 10MG/ML ,1.75
LAMIVUDINE ORAL 5MG/ML  ,1.75
CLONAZEPAM 1 MG ODT     ,1.75
FAC VIII HUMAN          ,1.75
CALCITRIOL 0.5 MCG CAP  ,1.75
DEXAMETHASONE 0.5 MG PO ,1.75
DEXAMETHASONE 0.75 MG PO,1.75
DEXAMETHASONE 1 MG PO   ,1.75
DEXAMETHASONE 4 MG PO   ,1.75
DEXAMETHASONE 6 MG PO   ,1.75
TESTOSTERONE CYP 1MG INJ,1.75
HEPARIN 10 U LOCK       ,1.81
HEPARIN 10 U LOCK JW    ,1.81
OCUVITE TAB             ,2
LEVOFLOXACIN TAB 750 MG ,2
LEVOFLOXACIN TAB 500 MG ,2
AQUADEKS CHEWABLE TAB   ,2
AQUADEKS SOFTGEL CAP    ,2
PROMETH/COD SYRUP 5ML   ,2
CHLORPROM TAB 10 MG     ,2
ZIDOVUDINE 300 MG TAB   ,2
LEVAQUIN 25 MG/ML LIQUID,2
EZHD 340 GM             ,2
VB BARIUM PASTE  230 ML ,2
HYALURON OV PF 1 U INJ  ,2
FAC IX COMPLEX 1 UNIT   ,2
OXALIPLATIN 0.5 MG INJ  ,2
HYALURON OV PF 1 U INJJW,2
ARTIFI TEARS DROPPERETTE,2
PROPRANOLOL TAB 10 MG   ,2.25
LIBRIUM CAP 25 MG       ,2.25
LACTINEX TAB            ,2.25
FUROSEMIDE TAB 20 MG    ,2.25
ARTANE ELIX 0.4MG/ML UDL,2.25
ASA EC TAB 325MG        ,2.25
ASA TAB 325 MG          ,2.25
ATARAX SYR 10MG/5ML     ,2.25
SULFA/TRIM SUSP 1 ML    ,2.25
LACTULOSE LIQ 15 ML INC ,2.25
DOSS CAP 100 MG         ,2.25
BISACODYL SUPP 10 MG    ,2.25
BISACODYL TAB 5 MG      ,2.25
AMITRIPTYLINE  10 MG    ,2.25
FERROUS GLUC 325MG      ,2.25
FERROUS SULF TAB 5GR    ,2.25
FOLIC ACID TAB 1MG      ,2.25
ISONIAZID TAB 300 MG    ,2.25
IBUPROFEN TAB 400 MG    ,2.25
NEO-CALGLUCON SYR       ,2.25
OYSTER SHELL CA 500 MG  ,2.25
OYSTER SHELL CA 250 TAB ,2.25
PENICILLIN VK TAB250    ,2.25
